fold3/class_5/f1-score,fold4/class_4/precision,fold2/class_8/f1-score,fold2/class_5/f1-score,fold1/class_6/recall,fold4/class_9/recall,fold4/class_2/precision,fold3/class_10/precision,fold4/class_8/precision,fold3/class_3/recall,fold2/class_4/precision,fold4/class_7/f1-score,fold4/class_0/recall,fold1/class_7/precision,fold3/confusion_matrix,fold2/class_10/f1-score,fold2/class_0/recall,fold4/class_4/f1-score,fold2/class_8/recall,fold3/class_0/precision,fold1/class_9/precision,fold0/class_7/recall,fold1/class_10/precision,fold4/class_5/recall,fold3/class_8/precision,fold4/class_1/precision,fold2/class_8/precision,fold1/class_9/recall,fold0/class_8/precision,fold4/class_6/f1-score,fold3/class_7/f1-score,fold0/class_8/f1-score,fold1/class_3/f1-score,fold2/class_10/recall,fold3/class_1/f1-score,fold1/class_10/f1-score,fold0/class_6/f1-score,fold3/class_5/precision,fold3/class_2/precision,fold2/class_4/f1-score,fold0/class_0/recall,fold3/class_4/precision,fold3/class_2/f1-score,fold2/class_9/f1-score,fold3/class_8/recall,fold1/class_3/precision,fold0/class_5/f1-score,fold4/class_8/recall,fold2/class_6/recall,fold1/class_0/recall,fold2/class_6/precision,fold3/class_6/f1-score,_step,fold0/class_1/f1-score,fold0/class_3/f1-score,fold1/class_1/precision,fold2/class_9/precision,fold3/class_7/recall,fold4/class_8/f1-score,fold2/class_6/f1-score,fold3/class_3/f1-score,fold4/class_10/precision,fold0/class_2/recall,fold2/class_1/f1-score,fold0/confusion_matrix,fold1/class_9/f1-score,fold1/class_6/precision,fold3/class_7/precision,fold3/class_1/recall,fold2/class_2/precision,fold3/class_6/recall,fold0/class_2/precision,fold1/class_0/f1-score,fold4/class_7/precision,fold0/class_7/f1-score,fold0/class_9/precision,fold2/class_0/precision,fold0/class_5/precision,fold1/class_7/recall,fold4/class_1/f1-score,fold2/class_4/recall,fold1/class_2/f1-score,fold2/class_1/recall,fold0/class_10/precision,fold1/class_1/f1-score,fold0/class_3/recall,fold1/class_8/f1-score,fold1/class_6/f1-score,fold4/class_4/recall,fold1/class_1/recall,fold3/class_3/precision,fold2/class_7/recall,fold4/class_2/recall,fold1/class_4/recall,fold0/class_6/precision,fold3/class_10/f1-score,fold3/class_1/precision,fold3/class_9/recall,fold4/class_9/precision,fold3/class_2/recall,fold1/class_8/precision,fold2/class_1/precision,fold3/class_9/precision,fold1/class_5/precision,fold3/class_4/recall,_runtime,fold0/class_7/precision,fold2/class_3/f1-score,fold0/class_4/recall,fold2/confusion_matrix,fold4/class_5/precision,fold4/class_2/f1-score,fold4/class_3/f1-score,fold0/class_4/precision,fold2/class_5/precision,fold0/class_5/recall,fold0/class_3/precision,fold4/class_6/precision,fold4/class_1/recall,fold1/class_5/recall,_timestamp,fold2/class_7/precision,fold0/class_1/recall,fold2/class_7/f1-score,fold2/class_3/recall,fold0/class_0/precision,fold4/class_10/f1-score,fold4/class_3/precision,fold3/class_4/f1-score,fold3/class_8/f1-score,fold0/class_10/f1-score,fold0/class_9/recall,fold1/class_5/f1-score,fold4/class_0/precision,fold1/class_10/recall,fold0/class_6/recall,fold2/class_2/f1-score,fold4/class_9/f1-score,fold4/class_7/recall,fold1/class_2/recall,fold2/class_0/f1-score,fold1/class_4/precision,fold1/class_8/recall,fold2/class_3/precision,fold1/class_3/recall,fold2/class_10/precision,fold2/class_9/recall,cv5/fold_metrics,fold2/class_2/recall,fold1/confusion_matrix,fold3/class_0/f1-score,fold0/class_1/precision,fold0/class_8/recall,fold3/class_0/recall,fold4/class_10/recall,fold0/class_2/f1-score,fold4/class_0/f1-score,fold0/class_9/f1-score,fold3/class_5/recall,fold0/class_0/f1-score,fold0/class_10/recall,fold1/class_2/precision,fold3/class_9/f1-score,fold3/class_10/recall,fold1/class_4/f1-score,fold3/class_6/precision,fold4/class_3/recall,fold2/class_5/recall,fold1/class_7/f1-score,fold4/class_6/recall,fold4/confusion_matrix,fold1/class_0/precision,fold0/class_4/f1-score,fold4/class_5/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_8758e55b6162dcf4801c.table.json', 'artifact_path': 'wandb-client-artifact://tz05d1nl0gdo9gtmf9u3msx24u52s66i53zu8vvmx3sqns0lnk0l8imt21nfe3x9ibef4889eyjf3eobx45xw4eapeddbnbfx3cbp57yn49mdie4qog6b5qdo31wy73d/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://o1ze1o65ysg70twgez3ti4y2u5lhuztepb9yqs2ll5atggmyktxo52gjvmihdqqiy4k451hr1g451s827tqifog70uo012szr7bjf5hni1bb8x7z2kq0quem56xyr5jp:latest/fold0/confusion_matrix.table.json', 'nrows': 11, 'sha256': '8758e55b6162dcf4801c47b6534a00a023bc548c86b0d66c472de21515d8f597', 'size': 575, 'ncols': 12, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731.704986123,,,,,,,,,,,,,,,1770929459.7135928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983071714373654,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731.706613521,,,,,,,,,,,,,,,1770929459.7153893,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981535620864749,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9872727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731.707033624,,,,,,,,,,,,,,,1770929459.7159054,,0.9881710646041856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9863760217983651,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.9907235621521335,,,,,,,,,0.9834254143646409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731.707298149,,,,,,,,,,,,,,,1770929459.7162714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9870609981515711,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0.989423076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9865771812080537,,,,,,,,,,,,,,,,,,,,5731.707646389,,,,,,,,,,,0.9922854387656702,,,,1770929459.7165573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731.707906455,,,0.9915343915343915,,,,,0.9791013584117032,,,,,,,1770929459.7168794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9852786540483701,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9888698630136986,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,0.9897172236503856,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731.708064709,,,,,,,,,,0.9880239520958084,,,,,1770929459.7171457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9863013698630136,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9795918367346939,,,,,,,,,,,5731.708194526,,,,,,,,,,,,,,,1770929459.7172897,,,,,,,,,,,,,,,0.993103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,0.994573260976813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731.708303212,0.9892051030421982,,,,,,,,,,,,,,1770929459.717425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.9952785646836638,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731.708446346,,,,,,,,,,,,,,,1770929459.7175555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9906015037593985,,,,,,,,,,,,,,,,,,,,,
