fold0/class_1/recall,fold3/class_0/recall,fold1/class_1/recall,fold0/confusion_matrix,fold2/class_4/precision,fold0/class_7/recall,fold1/class_10/precision,fold2/class_6/recall,fold4/class_3/f1-score,fold3/class_9/recall,fold4/class_2/recall,fold0/class_4/recall,fold1/class_5/precision,fold0/class_5/recall,fold4/class_9/precision,fold4/class_0/f1-score,fold1/class_2/precision,fold4/class_10/precision,fold4/class_6/recall,fold4/class_8/recall,fold3/class_3/f1-score,fold0/class_2/precision,fold4/class_5/recall,fold3/class_10/precision,fold4/class_4/f1-score,fold3/class_4/f1-score,fold1/class_2/f1-score,fold3/class_10/f1-score,fold0/class_4/precision,fold3/class_8/f1-score,fold4/class_10/f1-score,fold0/class_7/f1-score,fold3/class_0/f1-score,fold2/class_3/f1-score,fold4/class_10/recall,fold4/class_1/f1-score,fold0/class_4/f1-score,fold0/class_2/f1-score,fold2/class_3/recall,fold0/class_1/f1-score,fold3/class_5/f1-score,fold1/class_7/precision,fold3/class_9/f1-score,fold1/class_0/f1-score,fold2/class_2/f1-score,fold4/class_3/precision,fold0/class_8/precision,fold4/class_1/precision,fold0/class_9/f1-score,fold1/class_6/f1-score,fold4/class_2/f1-score,fold0/class_10/recall,fold3/class_3/recall,fold3/class_7/precision,fold3/class_7/recall,fold1/class_3/recall,fold1/class_1/precision,fold1/class_8/recall,fold3/class_1/f1-score,fold1/class_9/f1-score,fold2/class_9/recall,fold1/class_6/recall,fold1/class_9/precision,fold2/class_5/recall,fold3/class_4/precision,fold1/class_4/precision,fold4/class_5/f1-score,fold0/class_5/precision,fold4/class_2/precision,fold1/class_1/f1-score,fold4/class_7/recall,fold2/class_1/precision,fold1/class_4/f1-score,fold3/class_8/precision,_runtime,fold0/class_3/recall,fold3/class_5/precision,fold4/confusion_matrix,fold2/class_0/recall,fold0/class_0/recall,fold4/class_4/precision,fold2/class_7/recall,fold2/class_3/precision,fold4/class_5/precision,fold2/class_0/f1-score,_step,fold1/class_10/f1-score,fold4/class_6/f1-score,cv5/fold_metrics,fold0/class_6/precision,fold2/class_8/f1-score,fold2/class_6/precision,fold2/class_9/f1-score,fold0/class_3/precision,fold0/class_1/precision,fold1/class_5/recall,fold1/class_4/recall,fold1/confusion_matrix,fold3/class_9/precision,fold2/class_8/recall,fold1/class_3/precision,fold1/class_2/recall,fold2/confusion_matrix,fold4/class_3/recall,fold3/class_10/recall,fold2/class_4/f1-score,fold0/class_3/f1-score,fold3/class_1/recall,fold2/class_2/recall,fold4/class_1/recall,fold0/class_8/f1-score,fold4/class_9/f1-score,fold2/class_2/precision,fold3/class_6/recall,fold4/class_9/recall,fold4/class_6/precision,fold4/class_4/recall,fold4/class_8/precision,fold1/class_9/recall,fold2/class_10/f1-score,fold1/class_3/f1-score,fold0/class_0/precision,fold2/class_5/precision,fold0/class_7/precision,fold4/class_0/precision,_timestamp,fold2/class_4/recall,fold2/class_0/precision,fold3/class_1/precision,fold0/class_2/recall,fold3/class_8/recall,fold3/class_2/f1-score,fold1/class_6/precision,fold1/class_0/recall,fold4/class_0/recall,fold0/class_9/recall,fold3/class_3/precision,fold2/class_6/f1-score,fold2/class_7/precision,fold3/class_6/precision,fold3/class_0/precision,fold2/class_10/precision,fold2/class_1/recall,fold1/class_7/recall,fold2/class_5/f1-score,fold0/class_8/recall,fold2/class_9/precision,fold3/class_2/recall,fold1/class_5/f1-score,fold0/class_6/f1-score,fold3/class_5/recall,fold4/class_8/f1-score,fold1/class_8/f1-score,fold0/class_10/precision,fold0/class_5/f1-score,fold0/class_10/f1-score,fold2/class_8/precision,fold3/class_4/recall,fold0/class_9/precision,fold3/class_7/f1-score,fold1/class_10/recall,fold2/class_7/f1-score,fold1/class_7/f1-score,fold1/class_8/precision,fold2/class_10/recall,fold3/class_2/precision,fold1/class_0/precision,fold4/class_7/precision,fold0/class_0/f1-score,fold3/confusion_matrix,fold3/class_6/f1-score,fold4/class_7/f1-score,fold0/class_6/recall,fold2/class_1/f1-score
,,,"{'artifact_path': 'wandb-client-artifact://6agrbv3fegtxf1kx2rtx7gflnssnu78ohwcc64skdf4bl84qybi3hh0gmdi9r89tuh6rz6dy3a23u3fj0a1s0n9ft7m84ksqborikjze1zff0dme2hsje89d4x3z5mzw/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_9d7cd78e00fa1c03613d.table.json', '_latest_artifact_path': 'wandb-client-artifact://ymokdsgon05vcbczhulw2sxtuh38n7dld1exwt6849updv2ujfjr2zdb4rb18u84dnfwxltmdsoevca7sza3lpvl88jp0owrak1jb3y8xev1z7inx22stxunffmp4w7l:latest/fold0/confusion_matrix.table.json', 'sha256': '9d7cd78e00fa1c03613da689c9c850f1ad3ae9ef836573df6b78f232c1377cde', 'ncols': 12, 'nrows': 11, 'log_mode': 'IMMUTABLE', 'size': 610, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161.428003594,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770923181.7863817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161.429701133,,,,,0.8301543332014246,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9210572532490341,,,,1770923181.788332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8732464721308746,,,,,
0.8407643312101911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833976833976834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161.429897061,,,,,,,,,,,2,,,,,,,,,0.8272980501392758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770923181.78869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.8186968838526912,,,,,,,,,,,,,,,,0.8263045032165832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161.430140304,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770923181.7889254,,,,0.834054834054834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161.430289059,0.87248322147651,,,,,,,,,,4,,,,,,,,0.8102493074792244,,,,,,,,,,,,,0.8402154398563735,,,,,,,,,,,,,,,,,,,1770923181.7891634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9358024691358025,,,,,,,,,,,,,,,,,0.5857805255023184,,,,,,,,0.720532319391635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161.430474607,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770923181.789311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9481037924151696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5900621118012422,,,,,,,5161.430591429,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770923181.7894588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7274119448698315,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161.430756026,,,,,,,,,,,7,,,,0.579731027857829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770923181.7896082,,,,,,,,,,,,,,,,,,,,,,,,0.7127251254797756,,,,,,,,,,,,,,,,,,,,,,,0.924904214559387,
,,,,,0.8209876543209876,,,,,,,,,,,,,,,,,,,,,,,,,,0.8213045156310305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161.430871465,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8216216216216217,,1770923181.7897553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8154981549815498,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161.430996724,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,0.8116048475945649,,,,,,,,,,,,,,,1770923181.7898877,,,,,,,,,,,,,,,,,,,,0.8077485380116959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
