fold2/class_7/recall,fold0/class_6/f1-score,fold2/class_6/f1-score,fold0/class_2/recall,fold1/class_0/f1-score,fold2/class_9/f1-score,fold0/confusion_matrix,fold1/class_4/f1-score,fold2/class_3/precision,fold2/class_0/precision,fold1/class_7/recall,fold0/class_6/recall,fold0/class_9/precision,_runtime,fold2/class_4/precision,fold0/class_4/precision,fold1/class_8/recall,fold0/class_9/f1-score,fold0/class_5/precision,fold1/class_7/f1-score,fold1/class_10/f1-score,fold1/class_0/recall,fold0/class_7/f1-score,fold1/class_9/recall,fold1/class_5/precision,fold0/class_8/f1-score,fold0/class_3/f1-score,fold0/class_5/recall,fold2/class_2/recall,fold0/class_8/recall,fold0/class_9/recall,fold2/class_8/recall,fold0/class_4/recall,fold0/class_10/recall,fold2/class_0/f1-score,fold1/class_7/precision,fold1/class_9/precision,fold0/class_5/f1-score,fold1/class_1/f1-score,fold2/class_1/recall,fold0/class_1/precision,fold2/class_10/f1-score,fold1/class_2/f1-score,fold2/class_5/f1-score,fold0/class_0/recall,fold1/class_2/recall,fold0/class_1/f1-score,fold1/class_4/recall,fold2/class_0/recall,fold2/class_9/recall,fold2/confusion_matrix,fold1/class_1/recall,fold1/class_1/precision,fold2/class_2/precision,fold2/class_10/precision,fold1/class_9/f1-score,fold1/class_5/f1-score,fold2/class_5/precision,fold2/class_8/f1-score,fold1/class_6/recall,fold0/class_3/precision,fold1/class_3/f1-score,fold1/class_8/f1-score,fold2/class_4/recall,fold2/class_7/precision,fold0/class_0/f1-score,fold0/class_2/precision,fold1/class_10/recall,fold0/class_10/f1-score,fold1/class_8/precision,fold0/class_2/f1-score,fold2/class_5/recall,fold0/class_10/precision,fold1/class_10/precision,fold0/class_6/precision,fold1/class_3/recall,_step,fold1/class_5/recall,fold0/class_3/recall,fold2/class_4/f1-score,fold0/class_7/recall,fold2/class_2/f1-score,fold2/class_6/recall,fold2/class_3/recall,fold0/class_4/f1-score,_timestamp,fold1/confusion_matrix,fold1/class_2/precision,fold0/class_8/precision,fold1/class_6/f1-score,fold2/class_6/precision,fold1/class_6/precision,fold1/class_4/precision,fold0/class_1/recall,fold0/class_7/precision,fold2/class_1/f1-score,fold2/class_8/precision,fold2/class_1/precision,fold2/class_10/recall,fold2/class_3/f1-score,fold1/class_3/precision,fold2/class_7/f1-score,fold1/class_0/precision,fold2/class_9/precision,fold0/class_0/precision
,,,,,,"{'nrows': 11, 'artifact_path': 'wandb-client-artifact://lf0rlw32aimn33f6a7qr30l3yf5bpf8oszyar2j0v6nxt2pwl0y2a8ss2jo1d2hs1dgqpza3dlf9unlcxlsqupmxyk7tk1r76nxesi9uazz0i8oxcnqn4pwr7h9qa3le/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://c1pdxoubddk15n46p8sv3axrc8swpnza7rbhpe4p9h311cd7ok17httuzaz8omcplxemn2rmhz2jyxpzbhvbjyhoe1sut1whvjhpd5w17yq7lljnh30ebvkzcckmq2rt:latest/fold0/confusion_matrix.table.json', 'size': 558, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 12, 'path': 'media/table/fold0/confusion_matrix_0_ea0cb04c93fe172bac74.table.json', 'sha256': 'ea0cb04c93fe172bac742f6885c0f2fd8a3f4ab04e330d0b40c33756bd73cba9'}",,,,,,,715.93783074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1770793493.3966126,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,715.939454256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.999963066922736,,,,,,,,,,,1,,,,,,,,,1770793493.398557,,,,,,,,,,,,,,,,,,,0.9999261365734756
,,,,,,,,,,,,,715.939557632,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1770793493.3989727,,,,,,,,1,,,,,,,,,,,
,,,1,,,,,,,,,,715.939717801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,3,,,,,,,,,1770793493.3991365,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,715.939882238,,,,,,,,,,,,,0.9966555183946488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9933333333333333,,,,,,,,,,,,,,,,4,,1,,,,,,,1770793493.3992805,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,715.939992739,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,1770793493.3994186,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,715.94010397,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1770793493.3995545,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,1,,715.94029958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,,,,1770793493.3996878,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,715.940385431,,,,,,,,,0.9965156794425087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,0.9930555555555556,,,,,1770793493.399827,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,715.940521643,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,1770793493.3999593,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,715.940656642,,,,0.9965397923875432,,,,,,,,,,,,,0.993103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,1770793493.4000838,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,715.940750759,,,,,,,,,,,,,,,,,,,,0.9934354485776805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967069154774972,,,,1,,,,11,,,,,,,,,1770793493.4002037,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1036.770316411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,1770793814.2295702,"{'ncols': 12, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'nrows': 11, 'path': 'media/table/fold1/confusion_matrix_12_618f034bb6c9893862cc.table.json', 'sha256': '618f034bb6c9893862cca4b3bb28ce8339a16ea2ad1ccbb9941b5742e5636deb', '_latest_artifact_path': 'wandb-client-artifact://u6bhcetn1ho4ftsridk9w8ulb22bp6j4b6u0lpfugo7dspge9wrwxszxjqg2xe1a30v9afxflu5gmuflfbm9ide3nlmjys241f4niq2wh7ekq5jrpgizwivb2w64n0rt:latest/fold1/confusion_matrix.table.json', 'size': 558, 'artifact_path': 'wandb-client-artifact://cjqzmfpto7jm92023x1q2emknumlv9t7ssdwfjhmwj58645qkqvd0vc10aeqhji6l14i7yql6f317c4tujhlsl4uw1kzho8fjuz97whcvvj4cx25itxjdfz4mu0c06j6/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,
,,,,0.9999168936700679,,,,,,,,,1036.771978643,,,,,,,,0.999870729455217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,1770793814.231303,,,,,,,,,,,,,,,,,0.9999630621479361,,
,,,,,,,,,,,,,1036.772128823,,,,,,,,,,,,,,,,,,,,,,,,,0.9905956112852664,,,,,,,,,,,,,0.9875,0.9937106918238994,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,1770793814.2315433,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1036.772327719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9893238434163701,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,1770793814.2317069,,0.9788732394366197,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1036.772409282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935483870967742,,,,,,,,,,,,,,0.9935483870967742,16,,,,,,,,,1770793814.2318614,,,,,,,,,,,,,,,0.9935483870967742,,,,
,,,,,,,0.9925925925925926,,,,,,1036.772539872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9925925925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,1770793814.232002,,,,,,,0.9925925925925926,,,,,,,,,,,,
,,,,,,,,,,,,,1036.772678889,,,,,,,,,,,0.9935483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967637540453075,,,,,,,,,,,,,,,,,,,,18,1,,,,,,,,1770793814.2321393,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1036.772843747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935483870967742,,,,,,,,,,,,,,,,,19,,,,,,,,,1770793814.2322712,,,,0.9967637540453075,,1,,,,,,,,,,,,,
,,,,,,,,,,1,,,1036.772946061,,,,,,0.9965156794425087,,,,,,,,,,,,,,,,0.9930555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,1770793814.2324023,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1036.773036632,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9909365558912386,,,,,,,0.9820359281437125,,,,,,,21,,,,,,,,,1770793814.2325113,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1036.773144146,,,,,,,,,,0.993006993006993,,,,,,,,,,,,,0.993006993006993,,,,,,,,,,,,,,,,,,,0.993006993006993,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,1770793814.2326176,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1036.773284516,,,,,,,0.9967141292442497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956236323851203,,,,,,0.9978070175438597,,,23,,,,,,,,,1770793814.232724,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1643.301623302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 12, 'path': 'media/table/fold2/confusion_matrix_24_aa57383054b7f41335e3.table.json', 'nrows': 11, 'sha256': 'aa57383054b7f41335e3e8c4c61871764b34268def9ad7059ab29c66af40254d', '_latest_artifact_path': 'wandb-client-artifact://yu201cbhuvy2dw9jzdlumel9bgnnfzxghu06qocvg1s6u1cpmxi9kfug1boi2gtfxq0yztkcp9xxjqx3uzswflphko5gqpr1ssn3cmo73qzymahqtgbgjgzduftm5z29:latest/fold2/confusion_matrix.table.json', 'size': 558, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://ujem1wmfdeahqjm8l9n8ou4ktoy135o25oqwa2022agcvsd11icnwgpj433jgapvtplsc90axuesvvs7zj4iowzkcwlaxj3m1nh260uos9i0ssz3wkowds8v8sgnnl7l/fold2/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,1770794420.760838,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.9999260942667627,,,,1643.302861961,,,,,,,,,,,,,,,,,,,,,0.9999538076365215,,,,,,,,,,,,,,0.9999815225424982,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,1770794420.7621431,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1643.30303684,,,,,,,,,,,,,,,,,,,,,,,,,,0.9932432432432432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,1770794420.762393,,,,,,,,,,0.9966101694915255,,1,,,,,,,
,,,,,,,,,,,,,1643.303151027,,,,,,,,,,,,,,,0.9875776397515528,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,27,,,,,0.99375,,,,1770794420.7625642,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9942528735632183,,,,,1643.303309724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,1,,1770794420.7627077,,,,,,,,,,,,,,0.9971181556195965,,,,,
