fold2/confusion_matrix,fold0/class_2/recall,fold4/class_3/f1-score,fold2/class_0/precision,fold3/class_0/recall,fold2/class_1/precision,fold4/class_0/precision,fold2/class_3/recall,fold1/class_0/precision,fold4/class_1/precision,fold3/class_3/f1-score,cv5/fold_metrics,fold4/class_2/f1-score,fold3/class_1/recall,fold4/class_1/f1-score,fold0/class_3/recall,fold0/class_1/precision,fold0/confusion_matrix,fold0/class_2/f1-score,fold2/class_2/precision,fold1/confusion_matrix,fold3/class_2/precision,fold1/class_1/recall,fold3/class_2/f1-score,_step,fold3/class_3/precision,fold3/class_0/f1-score,fold0/class_0/recall,fold2/class_0/recall,fold1/class_0/f1-score,fold0/class_1/recall,fold1/class_3/f1-score,fold1/class_3/recall,fold2/class_2/f1-score,fold3/confusion_matrix,fold4/class_3/precision,fold0/class_1/f1-score,fold1/class_2/f1-score,fold4/confusion_matrix,fold1/class_2/precision,fold1/class_2/recall,fold2/class_1/recall,fold0/class_3/precision,fold0/class_2/precision,fold2/class_2/recall,fold3/class_0/precision,fold0/class_0/precision,_runtime,fold4/class_2/recall,fold1/class_3/precision,fold1/class_0/recall,fold2/class_0/f1-score,fold4/class_0/f1-score,fold2/class_3/precision,fold0/class_0/f1-score,fold2/class_1/f1-score,fold2/class_3/f1-score,fold3/class_2/recall,fold4/class_0/recall,fold3/class_1/f1-score,fold4/class_1/recall,fold1/class_1/precision,fold3/class_1/precision,fold4/class_2/precision,_timestamp,fold3/class_3/recall,fold4/class_3/recall,fold0/class_3/f1-score,fold1/class_1/f1-score
,,,,,,,,,,,,,,,,,"{'ncols': 5, 'nrows': 4, 'artifact_path': 'wandb-client-artifact://nwqsyyo4nku8evi16czwhntb9tui34saopyxb8h44tm9sxq50jwb95ul48czxaec683w8nta6bli64535or637qnvtrmtojggzsxasoh2e58tlyvx6nzcab82p2xi7i6/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://b55e6o6p2hy7rhp0ru7poe6ajvfih2r0e9n4ncfjx64af8elfjqz9qbgj0ikoc0pygnlq88rxpzmgulryztrjexewz5mde833jp2anmd01w67zotb37kn9nsd4r5latf:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_5b985355f6878fa45b63.table.json', 'size': 151, 'log_mode': 'IMMUTABLE', 'sha256': '5b985355f6878fa45b635731628cd0c4b4cc3750a1618b54b50ddefef28d2f3b', '_type': 'table-file'}",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,40.618771485,,,,,,,,,,,,,,,,,1770714456.6674716,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.9745670995670995,,,,,,,,,,,,,,,,,,,0.9852297592997812,40.620639412,,,,,,,0.9798694232861807,,,,,,,,,,1770714456.6696372,,,,
,,,,,,,,,,,,,,,,0.901565995525727,,,,,,,,2,,,,,,0.991389913899139,,,,,,0.9443468072642062,,,,,,,,,,,40.621164826,,,,,,,,,,,,,,,,,1770714456.6702673,,,,
,0.9598715890850722,,,,,,,,,,,,,,,,,0.9619302949061662,,,,,,3,,,,,,,,,,,,,,,,,,,0.9639978506179473,,,,40.621542704,,,,,,,,,,,,,,,,,1770714456.6707952,,,,
,,,,,,,,,,,,,,,0.911864406779661,,,,,,,,,4,,,,,,,,,,,,,,,,,,0.9699519230769231,,,,,40.621984883,,,,,,,,,,,,,,,,,1770714456.6711943,,,0.9400116482236459,
,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold1/confusion_matrix_5_b4c2bb63b83b143cfbec.table.json', 'artifact_path': 'wandb-client-artifact://gckc45e0t5ukf5cjjnm3cpmv59n81icco0kirc9d40gh8txqo4ohsxgodk4qhg6k165cvh280td2ka5ih4na26bupmrwuv6siu1p1fapm4zf4omc231i4d26xn1zyaro/fold1/confusion_matrix.table.json', 'sha256': 'b4c2bb63b83b143cfbecee0a3769b8bb3006ec1b92a0b9c2c68d6ad777417735', 'size': 147, 'ncols': 5, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://2gaj11qih81pq7igkfcb397umcza40yi3bijin48qwc2nsmh2efz0iy06raipjqr5jyh8c8zcdvvw6mmkk8azrqw4gml1z7nhdwrs0bluaxenpxf01q5dbxt09x1a3ev:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4}",,,,5,,,,,,,,,,,,,,,,,,,,,,,84.109606711,,,,,,,,,,,,,,,,,1770714500.158769,,,,
,,,,,,,,0.9794621026894865,,,,,,,,,,,,,,,,6,,,,,0.9857283464566929,,,,,,,,,,,,,,,,,,84.111158172,,,0.9920752847944527,,,,,,,,,,,,,,1770714500.1604238,,,,
,,,,,,,,,,,,,,,,,,,,,,0.9726190476190476,,7,,,,,,,,,,,,,,,,,,,,,,,84.111403579,,,,,,,,,,,,,,0.97610513739546,,,1770714500.1607342,,,,0.9743589743589743
,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,0.9873007295325588,,0.984375,0.9902439024390244,,,,,,,84.11167315,,,,,,,,,,,,,,,,,1770714500.1609876,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,0.9696092619392185,0.9463276836158192,,,,,,,,,,,,,,,84.111933351,,0.9940652818991098,,,,,,,,,,,,,,,1770714500.1612647,,,,
