fold4/class_1/recall,fold2/confusion_matrix,fold3/class_1/f1-score,fold0/class_1/f1-score,fold2/class_1/recall,fold0/class_1/precision,_timestamp,fold2/class_2/f1-score,fold2/class_3/precision,fold0/class_0/precision,fold4/class_0/recall,fold2/class_2/precision,fold3/class_2/recall,_runtime,fold1/class_3/precision,fold0/class_2/precision,fold4/class_3/f1-score,fold1/class_1/f1-score,fold3/class_2/precision,fold0/class_1/recall,fold0/class_3/recall,fold3/class_3/recall,fold3/class_0/recall,fold0/class_0/f1-score,fold3/class_1/precision,fold1/class_1/precision,fold4/class_1/f1-score,fold1/class_2/recall,fold1/class_0/precision,fold3/class_0/f1-score,fold4/class_0/precision,fold4/class_1/precision,fold1/class_3/f1-score,fold3/class_3/precision,fold1/class_3/recall,cv5/fold_metrics,fold0/class_2/recall,fold0/confusion_matrix,fold1/class_0/recall,fold1/class_0/f1-score,fold2/class_1/f1-score,fold2/class_0/precision,fold3/confusion_matrix,fold2/class_0/f1-score,fold4/class_0/f1-score,fold4/class_3/recall,fold4/class_2/f1-score,fold1/class_2/precision,fold0/class_3/f1-score,fold1/confusion_matrix,_step,fold0/class_3/precision,fold4/class_2/precision,fold1/class_1/recall,fold2/class_3/f1-score,fold3/class_0/precision,fold3/class_2/f1-score,fold2/class_1/precision,fold3/class_1/recall,fold4/class_2/recall,fold0/class_2/f1-score,fold2/class_3/recall,fold4/confusion_matrix,fold2/class_2/recall,fold2/class_0/recall,fold0/class_0/recall,fold1/class_2/f1-score,fold3/class_3/f1-score,fold4/class_3/precision
,,,,,,1770708316.242788,,,,,,,259.544746338,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://3vzdt4gn9ixbl0s62nhvp1kelo07j8inp5w2qf4dnlqjuoahwugfxpitdf7dzdekcs6xz8umbyud37ff9vacxobe2gh1143yrxm9mujze3h3isekc2d3uibxjf8yjql7:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_c5228cc14559780d2525.table.json', 'sha256': 'c5228cc14559780d2525a51a7010f33f35e4fad3476f0c85ef4c90fd636f040b', 'artifact_path': 'wandb-client-artifact://d49428yeakw0fc8v8bdsoueknj6uvgx4qn9csxct8z7d8u1tinmckfzla8bbb59t82fdv5ow4ika7cqd6piuu22ll8gsurtwxuo6j5r9h2f8r7fvfgf29lpgsdv9mwqr/fold0/confusion_matrix.table.json', 'nrows': 4, 'size': 151, 'ncols': 5}",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,1770708316.2443388,,,0.878265155248891,,,,259.54606582,,,,,,,,,,0.9192674748516895,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.9642857142857143,,,
,,,0.917799352750809,,0.9685792349726776,1770708316.2446966,,,,,,,259.546256772,,,,,,0.8720787207872078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,1770708316.2448666,,,,,,,259.546462845,,0.9785478547854786,,,,,,,,,,,,,,,,,,,,,0.9518459069020867,,,,,,,,,,,,,,3,,,,,,,,,,0.9650122050447518,,,,,,,,
,,,,,,1770708316.24509,,,,,,,259.546631332,,,,,,,0.8022598870056498,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8251016850668216,,4,0.8492822966507177,,,,,,,,,,,,,,,,,
,,,,,,1770708349.4227316,,,,,,,292.724575902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'sha256': 'a73d2e89c9d8ba5b52b6883e3757a6625bfd8de9d163d62499df5e5f58d5d9d3', 'ncols': 5, 'path': 'media/table/fold1/confusion_matrix_5_a73d2e89c9d8ba5b52b6.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://20bnvfghycldzd96jx4hu4wxmn2wrmb7y7mmrzq535wpthuwuzpi65um3nkgocfzq3ln8l5lj2psavuhyed739rqyr2oh948xbyvukfrgx6u6le667qy8t1w547ku45e/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://84zsp9obfixigm18j7oimde1404c6c254tcvkiijr5sab6wr4oogtllc8he3fcb59r3m5ohu2arzocfwheo33a84n6fi2gfliyfple6xwvtb1mxx9p7i1oljy6m16zqm:latest/fold1/confusion_matrix.table.json', 'nrows': 4, 'size': 151}",5,,,,,,,,,,,,,,,,,,
,,,,,,1770708349.423696,,,,,,,292.725506305,,,,,,,,,,,,,,,0.9133333333333333,,,,,,,,,,0.9499752352649826,0.9312940033988832,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
,,,,,,1770708349.424038,,,,,,,292.725637217,,,,0.9137724550898204,,,,,,,,0.9192771084337349,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0.9083333333333333,,,,,,,,,,,,,,,
,,,,,,1770708349.4242673,,,,,,,292.725821356,,,,,,,,,,,,,,0.9409214092140922,,,,,,,,,,,,,,,,,,,,0.9903023388476897,,,8,,,,,,,,,,,,,,,,0.9649805447470817,,
,,,,,,1770708349.4244444,,,,,,,292.725987298,0.8024691358024691,,,,,,,,,,,,,,,,,,0.81419624217119,,0.826271186440678,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
,"{'artifact_path': 'wandb-client-artifact://knbr0jbc9gaex59e7e1k57dw77507hvm5la9swwhok92ciwste05mq3isg135793b82l06cfuphxx6h8mckx4o5vkv3m93kl7lazwvynlfuvuj0uto20gprff5ysp4zg/fold2/confusion_matrix.table.json', 'nrows': 4, 'size': 150, 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://zhnmszlp3qk04s9in5bi22j8i6skuyxtprlr3oe77074o4gxruvyye7ssq0pcunjpd6pv6tnm1pij3hvsrmro7qjpemg4jlhiimya05cg37ukwl1rc3a78lh6f2nndwh:latest/fold2/confusion_matrix.table.json', 'sha256': '9444e5f50abfcdcf58046ff0cabbc7d287369e2d2d2f627f0bae4928a3a35e7b', 'path': 'media/table/fold2/confusion_matrix_10_9444e5f50abfcdcf5804.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE'}",,,,,1770708393.5103686,,,,,,,336.812200382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
,,,,,,1770708393.5114853,,,,,,,336.813289673,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8790560471976401,,0.9037149355572404,,,,,,,11,,,,,,,,,,,,,,0.9297971918876755,,,,
,,,,0.7269076305220884,,1770708393.511907,,,,,,,336.813530996,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7875271936185642,,,,,,,,,,12,,,,,,,0.8591772151898734,,,,,,,,,,,
,,,,,,1770708393.512143,0.9666845781837722,,,,0.9917309812568909,,336.813647119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,0.9428721174004193,,,,,
,,,,,,1770708393.5122724,,0.8336909871244635,,,,,336.813799985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,0.8799546998867497,,,,,,,0.9316546762589928,,,,,,,
,,,,,,1770708447.4142306,,,,,,,390.716017441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'size': 149, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://6vh0u0msh6lj674fl1qr5yfiihv1v7n1yq1nq8vx6nmlz4wrulu3j23k4ldxhfipzju6cw4hvmfhk09jiq43coeocb29fvn4sqbncuabqeeilfv6ud4eds3vfch8u8p0/fold3/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'sha256': '95d233d285a0e70031d8e239762d9e505ceca8febd7f419f7b7557456fe8b9da', 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_95d233d285a0e70031d8.table.json', '_latest_artifact_path': 'wandb-client-artifact://lsu6idh0cshcacacfirfk1w6jh83nb6oz45hwdyhkc50gv4g16dfzqk5bgplsw6501i9u5901uapcw3mpddqoceqgok70dd3uotiq4wv8qeddcq6ke5b5tsuyck0czi2:latest/fold3/confusion_matrix.table.json'}",,,,,,,,15,,,,,,,,,,,,,,,,,,
,,,,,,1770708447.4151967,,,,,,,390.716934056,,,,,,,,,0.9532908704883227,,,,,,,0.9527851458885942,,,,,,,,,,,,,,,,,,,,,16,,,,,0.9522799575821845,,,,,,,,,,,,,
,,0.94140625,,,,1770708447.4155424,,,,,,,390.717191802,,,,,,,,,,,0.9757085020242915,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,0.909433962264151,,,,,,,,,,
,,,,,,1770708447.4157786,,,,,,0.9710594315245478,390.717404679,,,,,0.9931289640591966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,0.9819702116540371,,,,,,,,,,,,
,,,,,,1770708447.416019,,,,,,,390.717619749,,,,,,,,0.9600499375780275,,,,,,,,,,,,0.8582589285714286,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,0.9063052445492045,
,,,,,,1770708536.3967166,,,,,,,479.698478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://ol7r3bhbuet11grp59j8ifaswwf3hs50f9yd2ta9jg2xzhvbypvh0kcnr1f5wdqsciuolhu1p83yl48vbo2v8y5035e968wujpcpab3nwyzn3hf2avn20n4vqdk0tm0u:latest/fold4/confusion_matrix.table.json', '_type': 'table-file', 'sha256': '9fcbacdd0622f633939597e84d00952ad2f7884c19d5923cf903d96caafb725b', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_9fcbacdd0622f6339395.table.json', 'size': 148, 'artifact_path': 'wandb-client-artifact://kaxbs861mifpym8ngpptrgn3llgllietfqv7iiwg67gj1jx962c9nc2uqg08meg0w146p7o3lp0afc5j08doxqceth104r5fry5tvf6cllcv8uy9xc9hxkhsr5uvn7hl/fold4/confusion_matrix.table.json'}",,,,,,
,,,,,,1770708536.3977344,,,,0.9684044233807267,,,479.699617001,,,,,,,,,,,,,,,,,0.9245852187028658,,,,,,,,,,,,,,0.9459876543209876,,,,,,21,,,,,,,,,,,,,,,,,,
0.8060836501901141,,,,,,1770708536.3981004,,,,,,,479.699694796,,,,,,,,,,,,,0.8694463431305537,,,,,0.9436201780415431,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
,,,,,,1770708536.3983412,,,,,,,479.699930919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991675338189386,,,,23,,1,,,,,,,0.9834881320949432,,,,,,,,,
,,,,,,1770708536.3985772,,,,,,,479.700150689,,,0.9613259668508287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9961832061068703,,,,,24,,,,,,,,,,,,,,,,,,0.9288256227758007
,,,,,,1770708536.6665645,,,,,,,479.96825296,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://t38tnlczpbn0ymfmi9mc6cwvic8hfu79s4hy60kr6iqentcqz75esvijfbmbcuka5l0u14313jtg4rlp72oyysa8laxy0pk48owclt7fqx7nqsa80wb5x3gij16wwcb5:latest/cv5/fold_metrics.table.json', 'ncols': 9, 'artifact_path': 'wandb-client-artifact://4jasvq99dy60sy57kco2t7fqyrptkar7fxc7al59ul2pgtyx63421vh2vq25fdbz2gqpbgfqjy5rck797jyjov0yrzurhvozzr0vrwank8bg62fzfm3o6qpswo9icuaw/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_c3947fc2dae14b1720dc.table.json', 'size': 771, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 5, 'sha256': 'c3947fc2dae14b1720dc2ffb4b1c8a9b08ccb4359374a8b626d51b29d3fd6500'}",,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
