fold2/confusion_matrix,fold3/class_3/recall,fold1/class_1/f1-score,fold4/class_3/recall,fold0/class_0/f1-score,fold3/class_1/f1-score,fold1/class_2/f1-score,fold0/class_3/f1-score,fold3/confusion_matrix,fold4/class_2/f1-score,fold2/class_0/f1-score,fold1/class_0/f1-score,fold0/class_3/precision,fold4/class_2/precision,fold0/class_0/precision,fold0/class_2/recall,fold4/class_0/f1-score,fold3/class_0/f1-score,fold1/class_3/recall,fold1/confusion_matrix,fold0/class_1/f1-score,fold4/class_0/precision,fold2/class_2/f1-score,fold2/class_2/precision,_runtime,fold4/confusion_matrix,fold1/class_0/precision,_step,fold1/class_1/recall,fold2/class_2/recall,fold1/class_2/precision,fold0/class_1/precision,fold3/class_2/precision,fold0/class_0/recall,fold0/class_1/recall,fold4/class_1/recall,fold2/class_3/recall,fold3/class_0/precision,fold1/class_2/recall,fold4/class_2/recall,fold2/class_1/f1-score,fold3/class_3/precision,fold0/class_2/f1-score,fold4/class_1/f1-score,fold1/class_3/precision,fold3/class_0/recall,fold3/class_1/precision,fold2/class_1/precision,fold4/class_0/recall,fold0/confusion_matrix,fold2/class_1/recall,_timestamp,fold3/class_2/recall,fold1/class_3/f1-score,fold1/class_1/precision,fold0/class_2/precision,fold2/class_3/precision,fold2/class_0/precision,fold3/class_2/f1-score,fold4/class_3/precision,fold3/class_3/f1-score,fold0/class_3/recall,fold4/class_1/precision,cv5/fold_metrics,fold2/class_3/f1-score,fold3/class_1/recall,fold2/class_0/recall,fold4/class_3/f1-score,fold1/class_0/recall
,,,,,,,,,,,,,,,,,,,,,,,,28.693410507,,,0,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://s2zd2p6xe4nrwm5dy5kdo4opqlbznpsk7ksepbq9fif9qko0epdiajeqckm1r6i2wepdxmx8ihwzed7cc3hrvqjhobu16c4gubvkfcgffpse3ox4f4c27w9x5ahb4h2s/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://fy2oemivmvhzkxr6lruuuko71hxq61roah1tvy9ltqtdi4l6gnpn89eoxcauvp962cmk0rx4qegmiitm5g0rd00rruyw5i7sn3y9ag0c3dcgmvwd718r3vp8vytlbis6:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'sha256': 'a3652c5a0c8b035a3c5980a6d4224d1fe31fedf4b255ed661d5411a9d7a3904a', 'size': 144, 'ncols': 5, 'log_mode': 'IMMUTABLE', 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_a3652c5a0c8b035a3c59.table.json'}",,1770716673.664478,,,,,,,,,,,,,,,,,
,,,,0.9731489015459723,,,,,,,,,,0.9755301794453507,,,,,,,,,,28.694843588,,,1,,,,,,0.9707792207792207,,,,,,,,,,,,,,,,,,1770716673.6663404,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.9445506692160612,,,,28.695358659,,,2,,,,0.9801587301587301,,,0.9114391143911439,,,,,,,,,,,,,,,,,1770716673.666865,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.985553772070626,,,,,,,,,28.695675942,,,3,,,,,,,,,,,,,,,0.9512006196746708,,,,,,,,,1770716673.6672974,,,,0.9191616766467066,,,,,,,,,,,,,
,,,,,,,0.9241622574955908,,,,,0.9632352941176471,,,,,,,,,,,,28.695974568,,,4,,,,,,,,,,,,,,,,,,,,,,,,1770716673.6676245,,,,,,,,,,0.888135593220339,,,,,,,
,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://i897tidkalqh8erd2fgtqnhgnj535ejshd2djyrfelq0y2llrs88mlh2dbusfd4y67h0jb58mk4ljee5r5pi65icdbfh0duhz5600hcxum8ofmwy5mm8g2qnauzk3nfv/fold1/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_2019f564e2bfbe935e67.table.json', 'size': 142, '_type': 'table-file', 'sha256': '2019f564e2bfbe935e6756040fed09a31b2291ae86bff9625c528388bd99e83a', '_latest_artifact_path': 'wandb-client-artifact://nfi4ty4aqzhsyema4mgdcmvnadb07tnp977a2d5mm4xlrm9ia1dt40m0ax1xl82se973qnotlhqsitckog8jc5k2rdsndbl85cfmt9lnni62huoekaqa6rgxmfq9q8bn:latest/fold1/confusion_matrix.table.json'}",,,,,49.527352056,,,5,,,,,,,,,,,,,,,,,,,,,,,,1770716694.4988406,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9792592592592593,,,,,,,,,,,,,49.528873499,,0.9763663220088626,6,,,,,,,,,,,,,,,,,,,,,,,,1770716694.5003848,,,,,,,,,,,,,,,,,0.9821693907875185
,,0.9711191335740073,,,,,,,,,,,,,,,,,,,,,,49.529284428,,,7,0.9607142857142857,,,,,,,,,,,,,,,,,,,,,,,1770716694.5008328,,,0.9817518248175182,,,,,,,,,,,,,,
,,,,,,0.9704236610711431,,,,,,,,,,,,,,,,,,49.529642039,,,8,,,0.9544025157232704,,,,,,,,0.9869918699186991,,,,,,,,,,,,,1770716694.5012333,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.8898305084745762,,,,,,49.530058052,,,9,,,,,,,,,,,,,,,,,0.967741935483871,,,,,,,1770716694.5016406,,0.9271523178807947,,,,,,,,,,,,,,,
"{'sha256': 'e342af8a9fca975384fb9641ec6fefd304d3b9e289df2843a1dd41af500055e9', 'size': 141, '_type': 'table-file', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold2/confusion_matrix_10_e342af8a9fca975384fb.table.json', 'artifact_path': 'wandb-client-artifact://norg6vsyl6ae17hxryzkzmljqez48ko6kkkllk7mh76i6n8binbigtk7c1j78h3e389fdwbgz2w1ynfj0osj8yu5vo9bzbu97pcwq5eg2152m2e1ow4i726o8pgad2ny/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://3ow3sacdt2htl12u7ihnkyzsuw6jbcx3dpfaxb9l8oetaq0ip4bhxs0o06ml7emi4n1n34wqvh1c4o6uviezn2yvj9skql4alhtlhog1uv37xejdaayodq1i5fwnx2ex:latest/fold2/confusion_matrix.table.json', 'nrows': 4}",,,,,,,,,,,,,,,,,,,,,,,,70.900313755,,,10,,,,,,,,,,,,,,,,,,,,,,,,1770716715.8718598,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9851909586905689,,,,,,,,,,,,,,70.90214724,,,11,,,,,,,,,,,,,,,,,,,,,,,,1770716715.8735814,,,,,,0.9844236760124611,,,,,,,,,0.9859594383775351,,
,,,,,,,,,,,,,,,,,,,,,,,,70.902515341,,,12,,,,,,,,,,,,,0.9535353535353536,,,,,,,0.959349593495935,,,0.9477911646586346,1770716715.8740752,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.9865824782951855,0.9904912836767037,70.90287063,,,13,,0.9827044025157232,,,,,,,,,,,,,,,,,,,,,,1770716715.8744798,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,70.903256377,,,14,,,,,,,,,0.9532374100719424,,,,,,,,,,,,,,,1770716715.8748474,,,,,0.9298245614035088,,,,,,,,0.9413854351687388,,,,
,,,,,,,,"{'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_157d1120a6ba7c02144d.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'sha256': '157d1120a6ba7c02144d0f468a460039899e096a4db747b85e34a573bbd2aa8b', 'size': 147, 'artifact_path': 'wandb-client-artifact://xp4u1pvv7r07tn4fzoa07r255efk66cgerixqzuzip6etmkukl118m0ts1156sci4oj5m8naahxnqzxw7jmskbwib6355f5178j4hynqk65daggxnbbd66prd05a4xm6/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://trjmqebyhvizejnpag73pt0gkag61m34x5eoahva0oz67t7wkdameu4ezujpmqhsdpcp2anpiv6q9mbpnznj6z1sdgnbf80dz3jjaejod32g8nbh9z4h6fbnlh66nmqf:latest/fold3/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,83.734359384,,,15,,,,,,,,,,,,,,,,,,,,,,,,1770716728.705732,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9390902081727063,,,,,,,83.735903907,,,16,,,,,,,,,,0.9103139013452914,,,,,,,,0.9697452229299363,,,,,,1770716728.7074463,,,,,,,,,,,,,,,,,
,,,,,0.9075975359342916,,,,,,,,,,,,,,,,,,,83.736382519,,,17,,,,,,,,,,,,,,,,,,,0.9954954954954955,,,,,1770716728.7079031,,,,,,,,,,,,,,0.8339622641509434,,,
,,,,,,,,,,,,,,,,,,,,,,,,83.736716954,,,18,,,,,0.9098966026587888,,,,,,,,,,,,,,,,,,,1770716728.7083147,0.9550387596899225,,,,,,0.9319213313161876,,,,,,,,,,
,0.8389513108614233,,,,,,,,,,,,,,,,,,,,,,,83.737039418,,,19,,,,,,,,,,,,,,0.9451476793248945,,,,,,,,,,1770716728.708632,,,,,,,,,0.8888888888888888,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,107.486564284,"{'artifact_path': 'wandb-client-artifact://6b0b9rbd0kr5ej49pm07pf9fsz9ww335i1d4e8mcenj90dl81buphuzzn1vax2nv3b7vppsr9z4t7bni7536wtl967s50rul17rhzmx3gjpsg1mngel4savmiflbvlj3/fold4/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_9558c092747a40d817a1.table.json', 'sha256': '9558c092747a40d817a143af2718bcec598fc678d5556d52c1a033997cb5745b', '_latest_artifact_path': 'wandb-client-artifact://onpyattkabr9enfwjqg4ac36j0zgpa24v5dn1weou03jjimlbvj8j9e7xux73ls6pkey7nwls1mkkoyf9rtl9c8gnywyjevsx9075tkb1vbccu4rmtevp01qlc5me1th:latest/fold4/confusion_matrix.table.json', 'size': 142}",,20,,,,,,,,,,,,,,,,,,,,,,,,1770716752.4579537,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.975,,,,,0.964451313755796,,,107.488277907,,,21,,,,,,,,,,,,,,,,,,,,,0.985781990521327,,,1770716752.4598618,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,107.488666401,,,22,,,,,,,,0.935361216730038,,,,,,,,0.9498069498069498,,,,,,,,1770716752.4602811,,,,,,,,,,,0.9647058823529412,,,,,,
,,,,,,,,,0.9774669774669774,,,,0.9812792511700468,,,,,,,,,,,107.489105822,,,23,,,,,,,,,,,,0.9736842105263158,,,,,,,,,,,,1770716752.460654,,,,,,,,,,,,,,,,,
,,,0.9541984732824428,,,,,,,,,,,,,,,,,,,,,107.489472852,,,24,,,,,,,,,,,,,,,,,,,,,,,,1770716752.46105,,,,,,,,0.9578544061302682,,,,,,,,0.9560229445506692,
,,,,,,,,,,,,,,,,,,,,,,,,107.73199355,,,25,,,,,,,,,,,,,,,,,,,,,,,,1770716752.7035367,,,,,,,,,,,,"{'nrows': 5, 'path': 'media/table/cv5/fold_metrics_25_2b008a5eb719bc61832e.table.json', '_latest_artifact_path': 'wandb-client-artifact://12h3cc1z5pzaoabritb6qbt3ib0j9u12oa8ts2h16al8i2s1pumwr39x4a5q7l4fnvffnks3do7ny91bimthcgm88ixgxy73lslrw5iyzlm5s80ysd9i3kdywxkbu456:latest/cv5/fold_metrics.table.json', 'size': 765, 'ncols': 9, '_type': 'table-file', 'sha256': '2b008a5eb719bc61832e0c2785601de34ac3d5cb5934680c1a77bdf3f39c8ed2', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://20it0jphmalmyii83y9a85zpefwt8qbyoed6x1igcixksvv8k99szav5ennztpkr6jb3zmzo2v20pb9yd14q25uyla5hv49hujd95ooqtqm3l43th8qwmwetutlu450s/cv5/fold_metrics.table.json'}",,,,,
