fold2/class_0/f1-score,fold0/class_0/f1-score,fold0/confusion_matrix,fold1/confusion_matrix,fold4/class_0/precision,fold4/class_1/f1-score,fold2/class_1/f1-score,fold3/class_0/recall,fold1/class_1/precision,fold1/class_0/recall,_step,fold2/class_1/recall,cv5/fold_metrics,_runtime,fold2/class_1/precision,fold4/class_1/precision,_timestamp,fold0/class_0/precision,fold2/class_0/precision,fold4/class_0/recall,fold4/class_0/f1-score,fold3/class_0/precision,fold0/class_0/recall,fold0/class_1/recall,fold3/class_1/precision,fold1/class_0/precision,fold0/class_1/precision,fold2/class_0/recall,fold1/class_1/recall,fold1/class_0/f1-score,fold2/confusion_matrix,fold3/class_1/f1-score,fold3/class_1/recall,fold3/class_0/f1-score,fold3/confusion_matrix,fold4/confusion_matrix,fold0/class_1/f1-score,fold1/class_1/f1-score,fold4/class_1/recall
,,"{'ncols': 3, 'path': 'media/table/fold0/confusion_matrix_0_9142b1f39a799a8c18b5.table.json', 'artifact_path': 'wandb-client-artifact://b5rvukgkff8xcsur0d5jbraxdije14i8eyxyxtxz6hzphgsgtt8upjei8rk949gs7bal48mh4ozk3591528uw3vhl69ordfkd9lxhxxw0b8nzt5rkb0o9zyexyc0zmzl/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://v25l7p4tgmqawd8wgp654gd5mcvw39o1o712liduwqzixsfi3pfdhryjpy3qhcih0hxtqn5u0k44qgt1necb936fa9vqejgtax6ev3al9owydi6u0o7qdiy8qhkdceec:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'sha256': '9142b1f39a799a8c18b5c12c78e1afc6149010f201a6ffb88f78342a7acf3ab3', 'log_mode': 'IMMUTABLE', 'size': 85, 'nrows': 2}",,,,,,,,0,,,1262.958331018,,,1770732088.7119398,,,,,,,,,,,,,,,,,,,,,,
,0.967029587254721,,,,,,,,,1,,,1262.959874383,,,1770732088.7138271,0.9663163070870981,,,,,0.9677439212065251,,,,,,,,,,,,,,,,
,,,,,,,,,,2,,,1262.960164143,,,1770732088.7142203,,,,,,,0.9810249307479224,,,0.9818408649847519,,,,,,,,,,0.9814327282804489,,
,,,"{'_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_bd7a96fcaafc521d9233.table.json', 'log_mode': 'IMMUTABLE', 'sha256': 'bd7a96fcaafc521d9233576f045e6cc9c34cc6a7429aa77d48367804c1139498', '_latest_artifact_path': 'wandb-client-artifact://r0lkc6cjpy0kdsc2a379m5zkn1k40n2poqm6o91l5f7zgruh5ui2xr3ovqvxiqalyhf4ma8kh2p6xcql1lyyuyd4ay9g4gkulzisfqtyv9phmo9vcaf804jq2lrbi6wh:latest/fold1/confusion_matrix.table.json', 'size': 85, 'artifact_path': 'wandb-client-artifact://oflg9j91q5m33yhlna4ztnc8yy3gtt7bykrftp4ijr6nlw9uiis7xfixfzx4voqmxwipzuvgmgat5vgekgqah8r40xgr1gjwt58cpi46za1qua4gu9brlwe6v490eavf/fold1/confusion_matrix.table.json', 'ncols': 3}",,,,,,,3,,,1519.313603427,,,1770732345.067454,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.9441674361341952,4,,,1519.314798687,,,1770732345.0687966,,,,,,,,,0.9523750388078237,,,,0.9482534775888717,,,,,,,,,
,,,,,,,,0.9687456926257754,,5,,,1519.314936051,,,1770732345.0690494,,,,,,,,,,,,0.9734418282548476,,,,,,,,,0.9710880829015544,
,,,,,,,,,,6,,,1690.274159167,,,1770732516.028144,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://wgwd9jicz8xbfpbqjka8rvainb9rbszy9z2la14gg67vxioza9cy1nwhi84l0sxqih18y25gso6w1o8twjplxfqnohguemg3ctg7kli7ah7b2pmyrvkeabdzzr9yeq2f:latest/fold2/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 3, 'nrows': 2, 'artifact_path': 'wandb-client-artifact://1q9uuz664lvypop012ffgxt2y32yniduxp7zjwgrbpu5e3w39kxllsjyi54n82wt8qrxp078hvagote5f64skkp60ucluzo78x6zgirbx5mc1i3lzr7w3vy7wqotuqaj/fold2/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_6_4824a2fc998d035e8794.table.json', 'sha256': '4824a2fc998d035e87941d010e756e2062abf222064879d28521af054db33a5b', 'size': 86}",,,,,,,,
0.9448891061281848,,,,,,,,,,7,,,1690.275417693,,,1770732516.0293438,,0.9373863498605891,,,,,,,,,0.9525129342202513,,,,,,,,,,,
,,,,,,0.9686075244492396,,,,8,0.9642114745011087,,1690.275592302,0.9730438430878959,,1770732516.029683,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,9,,,1837.897558482,,,1770732663.6515517,,,,,,,,,,,,,,,,,,"{'size': 86, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://u06ak2ob36by8crk09i0zephs2ezh2i9jo619ayf8v3yu2q2bhjhradiglzgqckw3ge69qzkcbilv4nf4joystacwx25flttyg4sx1i5mpf1vnf4jur95z491nrdbjx0/fold3/confusion_matrix.table.json', 'ncols': 3, '_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_88585f44086743e0431d.table.json', 'sha256': '88585f44086743e0431d13b8f09fe27b4d9e8c5b4c8d649e8e6cc493f3a338f5', '_latest_artifact_path': 'wandb-client-artifact://jnrz4afic09vtszc5fohifvua9lfxdtsg0s1tzngv2hquc04eh8hgsz0nyibdqy8zdcsjg89ltuaahiy0ch6usxvu207mev2zu3fdh6cod0muxpg4dv51i92ax77gugu:latest/fold3/confusion_matrix.table.json'}",,,,
,,,,,,,0.9599655087459965,,,10,,,1837.898743842,,,1770732663.6528234,,,,,0.9334051982273326,,,,,,,,,,,,0.9464990587235076,,,,,
,,,,,,,,,,11,,,1837.89886268,,,1770732663.6530316,,,,,,,,0.9771142877262164,,,,,,,0.9692313065344184,0.9614745011086474,,,,,,
,,,,,,,,,,12,,,2056.634087349,,,1770732882.3879085,,,,,,,,,,,,,,,,,,,"{'size': 85, 'ncols': 3, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold4/confusion_matrix_12_abf0bab435877c7cc7df.table.json', 'artifact_path': 'wandb-client-artifact://4mo934gy9oyupdmy06gqgaf2lhbo75zmbdwm5d2m4816p157fr5cg7pzf9deowkde4o5hpdulgn9cxq4ryvs9nwu9u6220065y36hsbomone01c2gmrjociqfs1s9i8z/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://1f0vm7ubovprq7qfeqk4cnsc7qkvat2pga8jp5mf1v62pan2w04qbc1c9mp9859buvumlhqkmtxtq7fa2wi1oe1eedyeczve2lridl3nuf41rm61t63uf2dovwjyfl6g:latest/fold4/confusion_matrix.table.json', 'nrows': 2, 'sha256': 'abf0bab435877c7cc7dfb81f340e567b0fdb6cf8b975c6219db1b3b4f44c1d12', '_type': 'table-file'}",,,
,,,,0.9535487768045907,,,,,,13,,,2056.635343721,,,1770732882.3892424,,,0.9722838137472284,0.962825165441737,,,,,,,,,,,,,,,,,,
