fold2/class_8/precision,fold3/class_5/f1-score,fold4/confusion_matrix,fold2/class_2/precision,fold4/class_6/f1-score,fold2/class_10/f1-score,fold0/class_9/recall,fold2/class_0/f1-score,fold3/class_5/recall,fold1/class_1/recall,fold0/class_9/precision,fold0/class_3/precision,fold2/class_3/recall,fold1/confusion_matrix,fold4/class_10/f1-score,fold0/class_1/precision,fold2/class_2/f1-score,fold3/class_6/recall,fold1/class_4/precision,fold0/class_4/recall,fold3/class_4/precision,fold4/class_10/recall,fold2/class_1/recall,fold1/class_8/precision,fold3/class_8/precision,fold2/class_7/f1-score,fold2/class_4/recall,fold0/class_5/f1-score,fold1/class_5/f1-score,_step,fold1/class_8/f1-score,fold1/class_9/precision,fold0/class_4/f1-score,fold1/class_4/recall,fold1/class_6/precision,fold3/class_3/recall,fold4/class_7/f1-score,fold0/class_3/recall,fold4/class_8/recall,fold0/class_7/f1-score,fold3/class_3/precision,fold4/class_1/recall,fold4/class_2/recall,fold2/class_6/recall,_timestamp,fold0/class_5/precision,fold4/class_4/recall,fold2/class_10/precision,fold3/class_7/precision,fold2/class_3/f1-score,fold0/class_6/f1-score,fold1/class_0/precision,fold1/class_6/recall,fold3/class_2/recall,fold3/class_9/f1-score,fold2/class_4/precision,fold1/class_5/precision,fold2/class_1/precision,fold2/class_2/recall,fold0/class_10/f1-score,fold3/class_4/f1-score,fold0/class_10/recall,fold3/class_3/f1-score,fold2/class_4/f1-score,fold4/class_5/recall,fold4/class_2/precision,fold4/class_1/precision,fold4/class_1/f1-score,fold2/class_3/precision,fold3/class_1/precision,fold0/class_7/recall,fold4/class_3/f1-score,fold4/class_9/precision,fold2/class_0/precision,fold1/class_9/recall,fold4/class_4/precision,fold0/class_2/precision,fold2/class_8/f1-score,fold3/class_10/recall,fold3/class_6/precision,fold1/class_0/recall,fold4/class_2/f1-score,fold4/class_4/f1-score,fold2/class_9/precision,fold3/class_7/f1-score,fold3/class_9/recall,fold1/class_7/f1-score,fold2/class_10/recall,fold2/class_5/recall,fold0/class_0/precision,fold2/class_6/precision,fold1/class_0/f1-score,fold3/class_1/f1-score,fold3/class_0/precision,fold0/class_0/recall,fold1/class_6/f1-score,fold1/class_9/f1-score,fold1/class_3/recall,cv5/fold_metrics,fold0/class_7/precision,fold4/class_9/recall,fold3/class_0/f1-score,fold3/class_8/f1-score,fold1/class_10/precision,fold3/confusion_matrix,fold1/class_3/precision,fold0/class_3/f1-score,fold4/class_5/precision,fold1/class_2/precision,fold0/class_4/precision,fold0/class_1/f1-score,fold1/class_10/f1-score,fold1/class_7/precision,fold2/class_7/recall,fold0/class_2/f1-score,fold3/class_10/f1-score,fold4/class_3/recall,fold2/class_6/f1-score,fold2/class_5/precision,fold1/class_1/precision,_runtime,fold4/class_0/f1-score,fold4/class_7/precision,fold2/class_1/f1-score,fold0/class_6/recall,fold4/class_7/recall,fold4/class_10/precision,fold0/class_8/recall,fold0/class_0/f1-score,fold4/class_6/recall,fold3/class_10/precision,fold0/class_8/f1-score,fold1/class_5/recall,fold1/class_7/recall,fold4/class_9/f1-score,fold3/class_9/precision,fold2/class_5/f1-score,fold1/class_1/f1-score,fold1/class_3/f1-score,fold2/class_8/recall,fold1/class_4/f1-score,fold4/class_8/f1-score,fold3/class_4/recall,fold4/class_0/precision,fold3/class_5/precision,fold4/class_3/precision,fold4/class_6/precision,fold2/confusion_matrix,fold0/class_5/recall,fold2/class_0/recall,fold0/class_1/recall,fold0/class_2/recall,fold0/class_6/precision,fold4/class_8/precision,fold3/class_1/recall,fold3/class_8/recall,fold4/class_5/f1-score,fold0/class_10/precision,fold2/class_9/recall,fold1/class_2/recall,fold0/class_9/f1-score,fold0/class_8/precision,fold4/class_0/recall,fold0/confusion_matrix,fold2/class_7/precision,fold3/class_6/f1-score,fold3/class_2/precision,fold1/class_10/recall,fold2/class_9/f1-score,fold3/class_7/recall,fold1/class_2/f1-score,fold3/class_2/f1-score,fold3/class_0/recall,fold1/class_8/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1770736940.2118564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10628.68347634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ks4oepb627a60xva11ome5j0umg456vparphpmpcg5bzz2fn66tpwfp5tvocpmf3k664gc9ly5baj115h1mjzuyo1ac98f9llzkpicz9lrtybjrcuhicsdngkj2xnc23/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://n0pyr07lpfvtnm051qngwcu5wqvj00lqcbm0u018zfa2msg1b90i50ot31knkito0la2o4gk7kc36p5xv3z0yiq7x1n6oam3molblpq7r1c1bejqvh16ur8x93rllndj:latest/fold0/confusion_matrix.table.json', 'size': 572, 'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_6547a2037c79ba097e1d.table.json', 'sha256': '6547a2037c79ba097e1db720ff71a0da02c8ef66dc33084da38fb1611d205fa9', '_type': 'table-file', 'ncols': 12}",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1770736940.2143204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9946697812699087,,,,,0.9980609418282549,,,,,,,,,,,,,,,,,,,,,,,,,,10628.685265709,,,,,,,,0.9963624760689215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9705215419501134,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1770736940.2149622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9416941694169417,,,,,,,,,,10628.685749193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145299145299145,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1770736940.2154868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997229916897507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9326424870466321,,,,,,10628.686211312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8759124087591241,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9789473684210527,,,,,,,,,,,,,,,,,,4,,,,,,,,0.8611111111111112,,,,,,,1770736940.2158911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.916256157635468,,,,,,,,,,,,,,10628.686579669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9544364508393285,,,,,,,,,,5,,,0.9567307692307693,,,,,,,,,,,,1770736940.216356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9590361445783132,,,,,,,,,,,10628.687116161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9576547231270358,,6,,,,,,,,,,,,,,,1770736940.216795,0.9671052631578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10628.68759426,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9483870967741935,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,1770736940.217417,,,,,,0.9655891553701773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10628.68815694,,,,0.9468302658486708,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9851063829787234,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.9800703399765534,,,,,1770736940.2178855,,,,,,,,,,,,,,,,,,,,,,,,,,0.9743589743589743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9858490566037735,,,,,,,,,,,,,,,,,,,,,10628.688655382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,1770736940.2183414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10628.68912871,,,,,,,0.9932885906040269,,,,0.9812154696132597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9694323144104804,,,,,,,,,,,,
