fold2/class_2/precision,fold0/class_0/precision,fold0/class_3/precision,fold0/class_1/recall,fold2/confusion_matrix,fold1/class_3/precision,fold4/class_1/precision,fold2/class_2/recall,fold3/class_1/f1-score,fold4/confusion_matrix,fold1/class_1/precision,fold1/class_0/precision,fold4/class_2/precision,cv5/fold_metrics,fold2/class_1/precision,_timestamp,fold0/class_2/f1-score,fold3/class_0/precision,fold0/confusion_matrix,fold2/class_3/f1-score,fold4/class_3/recall,fold4/class_2/recall,fold0/class_1/precision,fold0/class_2/recall,fold3/class_0/f1-score,fold1/class_2/f1-score,_runtime,fold1/class_2/precision,fold0/class_3/recall,fold2/class_0/precision,fold1/class_2/recall,fold2/class_0/f1-score,fold3/class_1/precision,fold0/class_0/recall,fold4/class_1/f1-score,fold0/class_3/f1-score,fold1/confusion_matrix,fold2/class_1/recall,fold1/class_3/f1-score,fold2/class_3/precision,fold3/class_3/recall,fold3/class_0/recall,fold4/class_0/f1-score,fold1/class_3/recall,fold4/class_3/precision,fold4/class_3/f1-score,fold4/class_2/f1-score,fold2/class_1/f1-score,fold1/class_1/recall,fold2/class_3/recall,fold0/class_0/f1-score,fold3/class_2/recall,fold3/class_2/precision,_step,fold3/confusion_matrix,fold3/class_3/f1-score,fold0/class_1/f1-score,fold4/class_0/precision,fold3/class_1/recall,fold3/class_2/f1-score,fold1/class_1/f1-score,fold0/class_2/precision,fold1/class_0/f1-score,fold4/class_0/recall,fold2/class_2/f1-score,fold2/class_0/recall,fold4/class_1/recall,fold3/class_3/precision,fold1/class_0/recall
,,,,,,,,,,,,,,,1770721108.296789,,,"{'artifact_path': 'wandb-client-artifact://p8618y5wmp8s9lawcaap0319gtc3zbp7pyqkgdzcw5yz11t1t3t633v2tahbphpipcmubrrfz1pgkwunhklwlkwapzdfav8i4wj6fme97h3q4ff3xu7ct6lhjaeit0tv/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_d33b6ecdab9f03cec252.table.json', 'sha256': 'd33b6ecdab9f03cec25229fa9252890456af4c492917d901b8fdc32de2728155', 'size': 150, 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://cacohiu3ck917r83uyizn3jp7xsm976c6kxfg09kfmm1rn93oemfo7ii2rz7e0a8p7x7lr1a37u7fbe2elmdlwj17sjaciqoqh8yeoak1uq1t9q39om9j1uuyrfsu90i:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'log_mode': 'IMMUTABLE'}",,,,,,,,68.431637458,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,0.9602628285356696,,,,,,,,,,,,,,1770721108.298988,,,,,,,,,,,68.433576707,,,,,,,0.9964285714285714,,,,,,,,,,,,,,,,,0.9780114722753346,,,1,,,,,,,,,,,,,,,
,,,0.959409594095941,,,,,,,,,,,,1770721108.299655,,,,,,,0.9954058192955589,,,,68.43413262,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.977076287110109,,,,,,,,,,,,
,,,,,,,,,,,,,,,1770721108.300045,0.9825693996126533,,,,,,,0.977207062600321,,,68.434430239,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,0.987990912041545,,,,,,,
,,0.9875173370319001,,,,,,,,,,,,,1770721108.3004127,,,,,,,,,,,68.434889404,,0.9654237288135593,,,,,,,0.9763455605073705,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1770721174.8211627,,,,,,,,,,,134.95572334,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://rr0asmj4z6bza0wqj0w6fdlxghb2oyzvsp9qi31vjn0rewllebqco1fe7tg5tvsigyvoo5mpyp7orpsrgydij2sbgfk1ejqxckmyvy0poi4epb87jbxvcozwori2mtx8:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'sha256': 'f29b2e682fcf39146271ce6e3a90fcd0b4ca273f5b1ca0f403b1b403716a4f10', 'size': 151, 'path': 'media/table/fold1/confusion_matrix_5_f29b2e682fcf39146271.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'artifact_path': 'wandb-client-artifact://zbma5e86pl1rx4kdgr7xuscib9z1hc02vl57cktdiptccf8o3s0j1er908lc42i45owhrs8tniaxe92xjmz84mv8taill425zu6nhwps6gcqh9wrw8w4go30g8b7qmdw/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9615050651230101,,,,1770721174.822534,,,,,,,,,,,134.957081583,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,0.9741935483870968,,,,,,0.987221396731055
,,,,,,,,,,0.9926416482707874,,,,,1770721174.822894,,,,,,,,,,,134.957359824,,,,,,,,,,,,,,,,,,,,,,0.9635714285714285,,,,,7,,,,,,,0.977890540050743,,,,,,,,
,,,,,,,,,,,,,,,1770721174.8233278,,,,,,,,,,0.9764724971604738,134.957836556,0.9744170984455959,,,0.9785365853658536,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
,,,,,0.9883720930232558,,,,,,,,,,1770721174.823751,,,,,,,,,,,134.958195711,,,,,,,,,,,,0.9617058311575283,,,,,0.9364406779661016,,,,,,,,,,9,,,,,,,,,,,,,,,
,,,,"{'artifact_path': 'wandb-client-artifact://ohm4kucb16oycxp6t089yi5yr01sxadqflrxozdwokxhlrsn067aq7g28jmza0d9q1qy6qsrna95pxnzscl9e7iv7g3ypj50tfa28ucpf7rt91drbw5idy3g1p2gaati/fold2/confusion_matrix.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://olhjopz7uicce9hrufstjyn3j7m8oku3amc81i1yokczf0o7nh57zrw8kh3wbo4cwczu9f8g7pwl5siyyipxqmy6eyf0nhpozggpcb1v2ppnef8yaqds5x2mj4mx0hhy:latest/fold2/confusion_matrix.table.json', 'nrows': 4, 'path': 'media/table/fold2/confusion_matrix_10_1062ba789021c4328495.table.json', 'sha256': '1062ba789021c43284954077f73dfb390067e7e99b93ebf9474cb6a85bff27fa', 'log_mode': 'IMMUTABLE', 'size': 152, 'ncols': 5}",,,,,,,,,,,1770721273.1441898,,,,,,,,,,,233.278739352,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1770721273.1459503,,,,,,,,,,,233.280416213,,,0.9772307692307692,,0.9840433772269559,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,0.9909516380655227,,,
,,,,,,,,,,,,,,0.9949579831932773,1770721273.1463192,,,,,,,,,,,233.280720703,,,,,,,,,,,0.951004016064257,,,,,,,,,,0.9724845995893224,,,,,,12,,,,,,,,,,,,,,,
0.9801449732114718,,,,,,,0.9779874213836478,,,,,,,,1770721273.1466732,,,,,,,,,,,233.28109443,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,0.9790650086573273,,,,
,,,,,,,,,,,,,,,1770721273.147055,,,,0.9610296746514122,,,,,,,233.281496751,,,,,,,,,,,,,0.9552238805970149,,,,,,,,,,0.9669064748201439,,,,14,,,,,,,,,,,,,,,
