fold4/class_1/precision,fold0/class_10/recall,fold2/class_3/precision,fold1/class_3/recall,fold0/class_4/precision,fold3/class_6/f1-score,fold4/class_9/f1-score,fold4/class_8/precision,fold2/class_2/recall,fold1/class_4/recall,fold3/class_2/precision,fold4/class_3/precision,fold0/class_2/recall,fold3/class_4/recall,fold1/class_4/f1-score,fold0/class_2/precision,fold2/class_0/f1-score,fold4/class_0/precision,fold4/class_1/f1-score,_timestamp,_runtime,fold2/class_1/precision,fold2/class_4/f1-score,fold3/class_6/recall,fold4/class_9/precision,fold2/class_1/f1-score,fold1/class_9/f1-score,fold0/class_9/f1-score,fold0/class_8/precision,fold3/class_1/recall,fold3/class_5/recall,fold2/class_9/precision,fold1/class_1/recall,fold2/class_6/precision,fold1/class_3/f1-score,fold2/confusion_matrix,fold3/class_8/precision,fold4/class_10/f1-score,fold4/class_10/precision,fold0/class_7/precision,fold3/confusion_matrix,fold2/class_9/recall,fold1/class_7/recall,fold2/class_0/precision,fold2/class_6/recall,fold3/class_7/precision,fold1/class_5/precision,fold1/class_0/recall,fold4/class_8/f1-score,fold1/class_6/recall,fold4/class_5/recall,fold4/class_7/recall,fold2/class_3/recall,fold0/class_1/f1-score,fold0/class_4/f1-score,fold3/class_7/recall,fold0/class_6/recall,fold4/class_2/precision,fold4/class_4/f1-score,fold2/class_4/precision,fold4/class_2/recall,fold4/class_4/precision,fold1/class_6/f1-score,fold3/class_10/precision,fold4/class_8/recall,fold3/class_6/precision,fold2/class_9/f1-score,fold3/class_7/f1-score,fold0/class_8/f1-score,fold0/class_3/f1-score,fold1/class_8/recall,fold1/class_10/f1-score,fold0/class_6/f1-score,fold3/class_1/f1-score,fold4/class_7/f1-score,fold3/class_4/f1-score,fold0/class_4/recall,fold1/class_1/f1-score,fold4/confusion_matrix,fold0/class_10/precision,fold4/class_5/precision,fold3/class_2/f1-score,fold0/class_3/recall,fold4/class_3/f1-score,fold1/class_8/precision,fold1/class_5/recall,fold2/class_3/f1-score,fold4/class_2/f1-score,fold0/class_7/f1-score,fold2/class_7/recall,fold3/class_3/f1-score,fold0/class_0/precision,fold3/class_3/recall,fold3/class_1/precision,fold2/class_4/recall,fold2/class_5/recall,fold3/class_10/f1-score,fold1/class_2/f1-score,fold4/class_6/recall,fold2/class_8/recall,fold4/class_9/recall,fold3/class_0/f1-score,fold0/class_5/recall,fold0/class_3/precision,fold4/class_7/precision,fold1/class_6/precision,fold2/class_6/f1-score,fold4/class_6/precision,fold1/class_1/precision,fold1/class_9/recall,fold2/class_7/precision,fold1/class_4/precision,fold0/class_8/recall,fold3/class_5/precision,fold2/class_1/recall,fold3/class_9/f1-score,fold3/class_5/f1-score,fold1/class_7/f1-score,fold0/class_6/precision,fold2/class_10/precision,fold3/class_2/recall,fold2/class_2/f1-score,fold3/class_0/recall,fold2/class_10/f1-score,fold3/class_4/precision,fold0/confusion_matrix,fold2/class_5/f1-score,fold2/class_7/f1-score,fold0/class_0/recall,fold4/class_5/f1-score,fold3/class_9/recall,fold0/class_9/recall,fold1/class_3/precision,fold0/class_0/f1-score,fold1/class_10/precision,cv5/fold_metrics,fold2/class_10/recall,fold0/class_5/f1-score,fold4/class_10/recall,fold2/class_8/precision,fold2/class_2/precision,fold1/class_2/recall,fold2/class_8/f1-score,fold1/class_8/f1-score,fold0/class_1/recall,fold2/class_0/recall,fold1/class_2/precision,fold4/class_0/recall,fold4/class_6/f1-score,fold3/class_8/recall,fold4/class_3/recall,fold1/class_9/precision,fold3/class_10/recall,fold1/class_0/precision,fold2/class_5/precision,fold0/class_7/recall,fold4/class_4/recall,fold0/class_9/precision,fold3/class_3/precision,fold0/class_1/precision,fold3/class_9/precision,fold0/class_2/f1-score,fold4/class_1/recall,_step,fold1/confusion_matrix,fold1/class_7/precision,fold3/class_0/precision,fold4/class_0/f1-score,fold0/class_5/precision,fold1/class_0/f1-score,fold1/class_10/recall,fold0/class_10/f1-score,fold3/class_8/f1-score,fold1/class_5/f1-score
,,,,,,,,,,,,,,,,,,,1770925142.1318607,6751.990314202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_e7eb1ec3e4094f0aab8b.table.json', 'sha256': 'e7eb1ec3e4094f0aab8b4b74c1bf2eb65f95952f906fa4d918302205d5c3c80a', 'ncols': 12, 'artifact_path': 'wandb-client-artifact://frifm5jmxw9v1z8j567s61cf6nudrlc41vk6wal7a18paa7dujeh0jhe5nmc9ddg3d2ttc4kvttvtlh3ra63tiwtfmvucu3t1dn2pvvaj89d4zgjlvelx3pj07jkibkn/fold0/confusion_matrix.table.json', 'size': 569, 'nrows': 11, '_latest_artifact_path': 'wandb-client-artifact://frzr41tzxmqlnflmtbzl3iz13f9wc1hlmmlxu4korn4kp81j6ijommjiyf6kbyby2sicafqik23nvf28rucc7linvvbh1qk5z1n794uz00ewuura1mx7xx664ld3xus4:latest/fold0/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1770925142.1335914,6751.991521208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992090172038758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998021369212505,,,,,0.9995054890713084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1770925142.1340818,6751.991905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985865724381625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.9971771347918137,,,,2,,,,,,,,,,
,,,,,,,,,,,,0.9985569985569985,,,1,,,,1770925142.1344812,6751.99222271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992779783393502,,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1770925142.1347432,6751.992392928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,1770925142.1349616,6751.992626041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1770925142.1351774,6751.992767612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,1770925142.1353216,6751.992898822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1770925142.135464,6751.993045032,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1770925142.1356072,6751.993172225,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1770925142.1357408,6751.993310028,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,,
,0.9956236323851203,,,,,,,,,,,,,,,,,,1770925142.1358733,6751.993444285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,0.997685467170179,,
