fold1/class_6/f1-score,fold4/class_2/f1-score,fold2/class_8/recall,fold2/class_1/f1-score,fold2/class_6/f1-score,fold4/class_10/precision,fold0/class_6/f1-score,fold3/class_5/precision,fold0/class_0/precision,fold1/class_6/precision,fold2/class_9/f1-score,fold0/class_10/f1-score,fold1/class_3/precision,fold3/confusion_matrix,fold3/class_5/f1-score,fold4/class_2/recall,fold4/class_7/f1-score,fold0/class_2/f1-score,fold0/class_4/f1-score,fold4/class_8/precision,fold1/class_8/f1-score,fold0/class_10/precision,fold1/class_0/recall,fold2/class_10/precision,_runtime,fold3/class_6/f1-score,fold2/class_8/precision,fold1/class_1/precision,fold2/class_2/recall,fold2/class_9/recall,fold3/class_2/f1-score,fold4/class_3/recall,fold4/class_1/precision,fold2/class_2/f1-score,fold4/class_9/precision,fold0/class_10/recall,fold3/class_10/recall,fold1/class_9/f1-score,fold1/class_7/f1-score,fold1/class_10/precision,cv5/fold_metrics,fold2/class_0/f1-score,fold1/class_7/precision,fold2/class_1/precision,fold3/class_10/f1-score,fold1/class_3/f1-score,fold2/class_0/precision,fold1/class_2/precision,fold3/class_9/precision,fold1/confusion_matrix,fold4/class_6/precision,fold0/class_1/recall,fold0/class_7/recall,fold0/class_7/precision,fold3/class_3/recall,fold1/class_3/recall,fold4/class_4/f1-score,fold1/class_6/recall,fold3/class_9/f1-score,fold0/class_2/precision,fold2/class_4/recall,fold3/class_1/precision,fold2/class_7/recall,fold0/class_3/recall,fold1/class_4/f1-score,fold2/class_5/f1-score,fold2/class_3/precision,fold0/class_3/precision,fold3/class_10/precision,fold2/class_7/f1-score,fold2/class_5/precision,fold1/class_5/f1-score,fold1/class_9/recall,fold4/class_10/recall,fold2/class_4/f1-score,fold0/class_3/f1-score,fold3/class_6/recall,fold3/class_1/recall,fold0/class_5/f1-score,fold4/class_7/recall,fold4/class_10/f1-score,fold0/class_6/recall,fold4/class_9/recall,fold1/class_8/precision,fold3/class_2/precision,fold2/class_1/recall,fold0/class_9/f1-score,fold2/class_7/precision,fold2/class_10/recall,fold0/class_0/recall,fold2/class_3/f1-score,fold3/class_2/recall,_timestamp,fold3/class_0/f1-score,fold1/class_1/f1-score,fold0/class_0/f1-score,fold0/class_7/f1-score,fold3/class_8/precision,fold2/class_0/recall,fold4/class_7/precision,fold3/class_4/recall,fold1/class_7/recall,fold0/class_1/precision,fold0/class_1/f1-score,fold4/class_2/precision,fold3/class_0/recall,fold4/class_4/precision,fold2/class_2/precision,fold3/class_1/f1-score,fold2/class_9/precision,fold0/class_4/precision,fold4/class_9/f1-score,fold3/class_8/f1-score,fold3/class_3/precision,fold1/class_4/recall,fold4/class_0/f1-score,fold2/class_10/f1-score,fold1/class_5/precision,fold1/class_9/precision,fold1/class_5/recall,fold1/class_10/recall,fold4/class_5/f1-score,fold3/class_7/precision,fold4/class_6/f1-score,fold1/class_0/f1-score,fold0/class_9/precision,fold1/class_4/precision,fold4/class_1/recall,fold3/class_9/recall,fold1/class_10/f1-score,fold3/class_4/f1-score,fold4/class_0/precision,fold4/confusion_matrix,fold2/class_5/recall,fold0/class_5/precision,fold0/class_2/recall,fold4/class_3/precision,fold4/class_1/f1-score,fold3/class_0/precision,fold0/class_8/recall,fold0/class_5/recall,fold2/class_3/recall,fold2/class_6/precision,fold3/class_6/precision,fold0/class_8/precision,fold4/class_8/f1-score,_step,fold1/class_0/precision,fold3/class_3/f1-score,fold1/class_2/recall,fold3/class_5/recall,fold4/class_6/recall,fold2/confusion_matrix,fold1/class_8/recall,fold4/class_0/recall,fold3/class_8/recall,fold1/class_1/recall,fold0/class_8/f1-score,fold0/class_4/recall,fold2/class_4/precision,fold2/class_8/f1-score,fold3/class_7/f1-score,fold0/class_9/recall,fold3/class_7/recall,fold4/class_5/recall,fold0/class_6/precision,fold4/class_8/recall,fold3/class_4/precision,fold4/class_3/f1-score,fold4/class_5/precision,fold1/class_2/f1-score,fold4/class_4/recall,fold2/class_6/recall,fold0/confusion_matrix
,,,,,,,,,,,,,,,,,,,,,,,,5466.079277826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770939848.9919653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_d9b8d58434550f5cac18.table.json', 'sha256': 'd9b8d58434550f5cac186d45d514bee8d9b1833ca7804d710f5ab2fa76e4f492', 'artifact_path': 'wandb-client-artifact://0yo9xjxueqqh3oprpuvt38nq2f4c25l8pasnbqoyccprcvaqacm4vtu24iv20uzqhnkcqcn5lv0a6aen0k2h58mhpd9gxtu268w3p6yzn12mbs1t0bsq0r2tnd2tpvkf/fold0/confusion_matrix.table.json', 'ncols': 12, 'log_mode': 'IMMUTABLE', 'nrows': 11, '_latest_artifact_path': 'wandb-client-artifact://sl0e9768s04j4b7d8ow9vznqdkk7bom30apgen3j9woc6akpuc2v4ufegosfj2sr23lexj91erqkpz30ioolpn0266ysec5g8mhkhlbjpldik7hp4ky6tudamqbdej4g:latest/fold0/confusion_matrix.table.json', 'size': 568}"
,,,,,,,,0.9992615839025291,,,,,,,,,,,,,,,,5466.080596674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996306555863342,,,1770939848.9934378,,,0.9994460856720827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5466.080733175,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990900818926297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770939848.9936855,,,,,,,,,,0.991869918699187,0.9954669084315503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9967637540453075,,,,,,,5466.080868634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770939848.9938548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5466.081003271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9980824544582934,,,,0.994269340974212,,,,,,,,0.9961722488038277,,,,,,,,,,,,,,,,,1770939848.9940066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.9994711792702274,,,,,,5466.081167667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770939848.9941444,,,,,,,,,,,,,,,,,,0.9989429175475687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5466.081256704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9974293059125964,,,,,,,,,,,,,,1770939848.994275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991416309012876,,,,,,0.9957228400342173,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.9965397923875432,,,,,,,,,,,,,,,,,,5466.081373846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993103448275862,,,,,,,,,,,1770939848.9944062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5466.081529515,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990079365079365,0.997029702970297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770939848.9945343,,,,0.998017839444995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5466.081648571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770939848.9946697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9924812030075187,,,,,0.9943502824858758,,9,,,,,,,,,,,0.993414863593603,,,,,,,,,,,,,,,,
