fold1/class_1/f1-score,fold4/class_1/precision,fold1/class_1/recall,fold2/class_0/recall,fold0/class_1/f1-score,_runtime,fold0/class_1/precision,fold4/class_0/precision,fold2/confusion_matrix,fold0/class_0/recall,fold3/class_0/f1-score,fold3/class_1/recall,fold4/confusion_matrix,fold3/class_1/precision,cv5/fold_metrics,fold1/class_0/f1-score,fold2/class_1/precision,fold1/confusion_matrix,fold0/class_1/recall,fold3/class_0/precision,fold3/class_1/f1-score,_timestamp,fold3/class_0/recall,fold3/confusion_matrix,fold0/confusion_matrix,fold2/class_1/f1-score,fold1/class_1/precision,fold1/class_0/recall,fold4/class_1/recall,fold2/class_0/f1-score,fold2/class_0/precision,fold0/class_0/f1-score,fold4/class_1/f1-score,fold4/class_0/f1-score,_step,fold4/class_0/recall,fold2/class_1/recall,fold0/class_0/precision,fold1/class_0/precision
,,,,,4634.192483813,,,,,,,,,,,,,,,,1770747703.1029346,,,"{'size': 83, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://nkfrxzhwcfq8onchtc854g7npusvwa0jr9wi8g1etnrhawfk1kxaewpsv7osjwozjjowdxwfyf6e3eb9lq30z0h7f94z2eka6e206ma12pxgh6pbx7z8588n89xp1kr5/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://3fzdkrwaeaqbf58cwzz08snbim2nxk579q646cwbdnz18gddkcdyxzsus4i24swjh4dvl83z4hr32ygypxp01pbrvkfwast08ff4836mdtyq9oui5x6krym4ele1uuzm:latest/fold0/confusion_matrix.table.json', 'nrows': 2, 'ncols': 3, '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_c9b8e77b7d37053d2bfa.table.json', 'sha256': 'c9b8e77b7d37053d2bfa433792a461489bb6672ae8efbcbfc75b63830d73c649'}",,,,,,,,,,0,,,,
,,,,,4634.194318752,,,,0.9998768851954447,,,,,,,,,,,,1770747703.1049297,,,,,,,,,,0.9960753050837063,,,1,,,0.9923025230618853,
,,,,0.9977791657991533,4634.194723697,0.9999304492975379,,,,,,,,,,,,0.9956371191135734,,,1770747703.1053956,,,,,,,,,,,,,2,,,,
,,,,,5321.830839703,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://4ny38rp6jo996op5sx2b7y8pl2e4dqyvkzrdqt4ski04zqahn4qru0zlqt0tgnjap6spzv6jh5t7ukk9xr89vx715w0ncxv2anenxmbqguuhxhmvlkf37qdq8ih4aach/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://khtjj16m610hsbfbwehujjgh7ose426ocp8kpglxo05rug69dksjwwijbfcf171sdc1rmbqhpos0i8urm2cg8i3x8290workq3kjijoxfsjb03zwbwcjjaqc7n1igi71:latest/fold1/confusion_matrix.table.json', 'ncols': 3, 'sha256': '8a438aca5a9dd08172a0d708774034f25ff237f99d96288ebe3a41a9226fdec2', 'size': 83, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold1/confusion_matrix_3_8a438aca5a9dd08172a0.table.json', 'nrows': 2, '_type': 'table-file'}",,,,1770748390.741354,,,,,,,,,,,,,3,,,,
,,,,,5321.832172092,,,,,,,,,,0.996348685219846,,,,,,1770748390.7429004,,,,,,0.9994459833795014,,,,,,,4,,,,0.9932705248990579
0.9979361417991988,,0.996191135734072,,,5321.832320257,,,,,,,,,,,,,,,,1770748390.7431695,,,,,0.9996872719691442,,,,,,,,5,,,,
,,,,,5493.49685742,,,"{'artifact_path': 'wandb-client-artifact://x4wcekdzjvtasiwclylyhibh0ydmr145vtf9jfb2xc0s63v52w0s57u8p1bgoyh7xf9jbwcdocm42sy25syctybto934iyxjqfql1ggildtz9cw94d92hxazpac614yx/fold2/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://lhtwfl3n3dvmu8z1bjj1rim2focq1kxdz3z44cifhri0yzl6wb98ui2n4tnl5wlnrios5mlftg9ibtim3nuda9p7uoe5ak9zxq1tphdmrn03btuu3y5nxdox3c1nlv7b:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_b054a5b0f2c9611bb3c5.table.json', 'ncols': 3, 'size': 84, 'sha256': 'b054a5b0f2c9611bb3c5a7eecc3ef7374d3efde6027b283a39bef86531b7f9e4', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,1770748562.4074,,,,,,,,,,,,,6,,,,
,,,0.9953190440995319,,5493.49831081,,,,,,,,,,,,,,,,1770748562.4088783,,,,,,,,0.9880468343982146,0.9808801213960546,,,,7,,,,
,,,,,5493.498584303,,,,,,,,,,,0.9973449781659388,,,,,1770748562.4093094,,,,0.9931986988815251,,,,,,,,,8,,0.9890867516629712,,
,,,,,5868.531448196,,,,,,,,,,,,,,,,1770748937.4419599,,"{'sha256': 'adbe358710483e53f866d6dd2cccc07596471323e13f991b4b4fbeed2122d922', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://spmupdzj1wsldwuluqnhbhmghtbuunhnop65nuhvqvriqky86aaajmksou2ad0k35zhcj7b3xgiy93h6w5na4epvifnnrix4ha1nuw2sgh7i8d6d1ftsbbgcmvnzr0m8/fold3/confusion_matrix.table.json', 'size': 83, '_type': 'table-file', 'ncols': 3, 'path': 'media/table/fold3/confusion_matrix_9_adbe358710483e53f866.table.json', '_latest_artifact_path': 'wandb-client-artifact://srmbvdn0yjml02fogefa6uob40b7py0p0mo6eu7vpwsp73fr6r0xde1ybw3axed004ef6ksl7c9aqa4p8vg8k0sxws6rf786suj7amnq5w6ca8bntal1l7l4cdgbbk4q:latest/fold3/confusion_matrix.table.json'}",,,,,,,,,,,9,,,,
,,,,,5868.532774883,,,,,0.995829244357213,,,,,,,,,0.991693134620083,,1770748937.4433756,1,,,,,,,,,,,,10,,,,
,,,,,5868.533236191,,,,,,0.9952882483370288,,1,,,,,,,0.9976385609112377,1770748937.443818,,,,,,,,,,,,,11,,,,
