fold0/class_0/recall,fold1/class_0/recall,fold2/class_1/precision,fold0/class_1/recall,cv5/fold_metrics,fold4/class_0/f1-score,fold3/class_1/recall,fold3/class_0/f1-score,fold4/class_0/precision,_timestamp,fold4/class_1/precision,fold1/class_1/precision,fold1/class_1/recall,fold1/class_0/precision,fold2/class_0/recall,fold1/class_1/f1-score,fold2/class_0/f1-score,fold3/class_1/f1-score,fold2/class_1/recall,fold3/class_1/precision,_step,fold4/class_1/f1-score,fold0/class_0/f1-score,_runtime,fold4/class_0/recall,fold3/confusion_matrix,fold0/class_0/precision,fold3/class_0/precision,fold3/class_0/recall,fold1/class_0/f1-score,fold1/confusion_matrix,fold0/class_1/f1-score,fold2/confusion_matrix,fold2/class_0/precision,fold4/class_1/recall,fold0/class_1/precision,fold0/confusion_matrix,fold4/confusion_matrix,fold2/class_1/f1-score
,,,,,,,,,1770732564.0196657,,,,,,,,,,,0,,,3494.144731991,,,,,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_70fb3b17b56a95cbc0db.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://xem373ox2fabghc7ww3px21dxdzghb49o74xs031mmhg1kkgz9owryj0tgrv1k0vtwd50zn34lmieulhp4ymwyxc8zr5g4i006nl7ljdfk0mj1ltf8wxnwoq3rqpnxrf/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://3pbv9knlq287rubznwkduttidc2td7pqyhayq8866dc6nue9x4txgog0s5rdrwmini9jquqko85ouur4ph5we82tyx76i041wcy6b0egi7aujddf7ln9mc1szkyzj72x:latest/fold0/confusion_matrix.table.json', 'ncols': 3, 'size': 82, 'nrows': 2, 'sha256': '70fb3b17b56a95cbc0dbc98f098bb5c7194ff3977ff358f949bd1dbcc807f272'}",,
1,,,,,,,,,1770732564.0210028,,,,,,,,,,,1,,0.9982618313976456,3494.145869797,,,0.9965296947708809,,,,,,,,,,,,
,,,0.9984764542936289,,,,,,1770732564.0212562,,,,,,,,,,,2,,,3494.14610141,,,,,,,,0.9992376464065423,,,,1,,,
,,,,,,,,,1770732918.1142368,,,,,,,,,,,3,,,3848.239177649,,,,,,,"{'sha256': 'db2cc2ca2314ac1a2376f359b04407acd1f0854f798ca4e8047e719a88d3baa7', 'size': 83, 'log_mode': 'IMMUTABLE', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://c1enrn22nnj5jondp2d2xofl0wfevmzk9l9sg8qaej9aoay2dqib5yw107y14bkbc4i8i8fmlg9bjxx2s65pwajfdwi8cafk7javjd0l07h9f0wiq2fzwdxeo2byk6g0:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_3_db2cc2ca2314ac1a2376.table.json', 'artifact_path': 'wandb-client-artifact://7wbdkz8matst5iezicusv9sj9mu0oppvkdovc5aay0j03ncvcc7lm9dyxrpldfyybetr6by2artat0cvyhaamritl2j2vkg4lf8el7pf6yywci9g7470rh1g0rfpy46d/fold1/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2}",,,,,,,,
,1,,,,,,,,1770732918.1150637,,,,0.9921476246564586,,,,,,,4,,,3848.239934663,,,,,,0.9960583366180528,,,,,,,,,
,,,,,,,,,1770732918.1152582,,1,0.9965373961218836,,,0.9982656954561221,,,,,5,,,3848.240124001,,,,,,,,,,,,,,,
,,,,,,,,,1770733284.2862024,,,,,,,,,,,6,,,4214.411160079,,,,,,,,,"{'path': 'media/table/fold2/confusion_matrix_6_e914b1583b7dfeb07fc2.table.json', 'size': 83, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://qwmx62yawp60czjsvhwdwd1hr2djkyz11izoaw2ivn69uunyvsrx65ly4nu6r8dhjdovzj695tz1939hbx9cokibzys8n2a64dl6xcix73ginoz6w8ykadj9052w5c6o/fold2/confusion_matrix.table.json', 'ncols': 3, '_type': 'table-file', 'sha256': 'e914b1583b7dfeb07fc29761b7d86371e9c91cabf0a4c8721a20ecaaf1c353a0', '_latest_artifact_path': 'wandb-client-artifact://tuf84f64xrbdb1rttim2cw33ckyua6qw3wju4oj11zo2nzqwh1lbget4u0aonuz3mjf2j5cpluw1kf3sm7uiimvngllwrmxndu9c4rpm18tk4bnq4x0w5f8qkrgeleot:latest/fold2/confusion_matrix.table.json', 'nrows': 2}",,,,,,
,,,,,,,,,1770733284.2872164,,,,,1,,0.9957812561605488,,,,7,,,4214.412141151,,,,,,,,,,0.9915979583824107,,,,,
,,1,,,,,,,1770733284.2874658,,,,,,,,,0.9962929600886918,,8,,,4214.412326472,,,,,,,,,,,,,,,0.9981430381284601
,,,,,,,,,1770733580.9966676,,,,,,,,,,,9,,,4511.121772436,,"{'_latest_artifact_path': 'wandb-client-artifact://2c1ob3350cpqg8x9hylomue583geqx9trecwr5mk96tlsrteo7gqaq4su2jwzcrw1hbdkhqgdbb4u6yl9fxrxeax08j0uare6skbnneftcrky1onz7ie2bkjanfhjvmh:latest/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_9_44c092980fbcdde8a9bf.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://xb8okmjazylzc3zqtd3z6hkwl7prcrzye9co9xw4b5m11mfjmloiyrmy9do0hthpek663vr7o21xjlnysj0y2iurs7bren6cy8ji17lkej7jk7qnvgl510boxy0hdsrw/fold3/confusion_matrix.table.json', 'sha256': '44c092980fbcdde8a9bf437585aa21b3b662a0ee8ca73b2ec0b61e74c5d10f8d', 'size': 82, 'nrows': 2, 'ncols': 3}",,,,,,,,,,,,,
