fold0/class_2/f1-score,fold0/class_0/recall,fold2/class_3/recall,fold1/class_3/precision,_runtime,fold0/class_1/recall,fold1/class_3/recall,fold1/class_1/recall,fold0/class_3/f1-score,fold1/confusion_matrix,fold4/class_1/precision,fold1/class_0/precision,fold4/class_1/f1-score,fold3/class_1/precision,fold3/class_3/precision,_timestamp,fold2/class_2/recall,fold3/class_0/recall,fold3/class_2/f1-score,fold0/class_0/precision,fold3/class_2/precision,fold2/class_3/precision,fold0/class_2/recall,fold4/class_3/precision,fold3/confusion_matrix,fold1/class_0/f1-score,fold4/class_2/recall,fold1/class_1/precision,fold4/class_2/f1-score,fold4/class_1/recall,fold2/class_1/precision,fold0/class_2/precision,fold2/class_0/precision,fold0/class_0/f1-score,fold2/confusion_matrix,_step,fold4/confusion_matrix,fold1/class_3/f1-score,fold0/class_3/recall,fold1/class_2/f1-score,fold3/class_3/recall,fold4/class_3/recall,fold4/class_0/precision,fold3/class_1/recall,cv5/fold_metrics,fold2/class_1/recall,fold3/class_0/precision,fold3/class_0/f1-score,fold4/class_0/recall,fold0/class_1/precision,fold1/class_2/recall,fold1/class_0/recall,fold1/class_2/precision,fold2/class_2/precision,fold3/class_2/recall,fold4/class_3/f1-score,fold2/class_1/f1-score,fold0/confusion_matrix,fold1/class_1/f1-score,fold2/class_0/recall,fold4/class_0/f1-score,fold3/class_1/f1-score,fold3/class_3/f1-score,fold0/class_3/precision,fold4/class_2/precision,fold2/class_2/f1-score,fold2/class_0/f1-score,fold2/class_3/f1-score,fold0/class_1/f1-score
,,,,991.222698368,,,,,,,,,,,1770722944.8523118,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_5ef106079a567c57b5fb.table.json', '_latest_artifact_path': 'wandb-client-artifact://sfr9nvu5m9d4xt6d81lslejhef9xsf5nm8x7jwqsukqxmggscaxzh16zujldmz99dayfdnt7p4nzuw2nu9x5rq98vhhvslnns1ksotn8m3cmq1ra7dfqetonulnixwgr:latest/fold0/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://3ji7yyarg2socjfhi0ctmuvj2hthhpg2ui594qrulby94chx2n0ok6rh79mudtnaw4icslgjy8dsviiaxqijk9lcwrgjxc5bcl4nnrpcuemxq3r0qbr6x3qhq8xyffiz/fold0/confusion_matrix.table.json', 'sha256': '5ef106079a567c57b5fbe905847f85fcef2eee74e1bfb307802a0fb89f914618', '_type': 'table-file', 'ncols': 5, 'size': 156}",,,,,,,,,,,
,0.9626623376623377,,,991.224337866,,,,,,,,,,,1770722944.8545847,,,,0.8541152263374485,,,,,,,,,,,,,,0.9051460968163977,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,991.224694412,0.7590933052187665,,,,,,,,,,1770722944.8550212,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0.9479921000658328,,,,,,,,,,,,,,,,,,,0.8430913348946136
0.9658479532163743,,,,991.225085527,,,,,,,,,,,1770722944.8554344,,,,,,,0.9468011923870672,,,,,,,,,0.9856767724994032,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,991.225488464,,,,0.8552758954501453,,,,,,,1770722944.8558497,,,,,,,,,,,,,,,,,,,,4,,,0.8556900726392251,,,,,,,,,,,,,,,,,,,,,,,,,0.8548621190130624,,,,,
,,,,1323.178584724,,,,,"{'ncols': 5, 'size': 155, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://0ogpjfx9bcvntxqiminzbwq5raui70mv6k1qmpqz9blys3qlb1x6nhz548qcnlnun62kkbnsr62guudemt15f59xrdi1pgr36bp7k2eu6wbjpq7u1cfbxe7ci0miv35m/fold1/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'sha256': '4282c251827defebe019880f18f2f1fc650714f0bb7a96acecb6a1f691bfd38c', '_latest_artifact_path': 'wandb-client-artifact://t3ho49h69b2cu003ym2r945wyj711nmsagkclkrdxdok44aq4kxf5srj4mdyxqmv7v9mxautf8phrblm7rbp8yzuo7lsdl186ta30lvry5g7ty2wym8u3bnenw53gofw:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_4282c251827defebe019.table.json'}",,,,,,1770723276.8087537,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1323.18015733,,,,,,,0.9550195567144719,,,,1770723276.8103645,,,,,,,,,,0.9438419413722753,,,,,,,,,,6,,,,,,,,,,,,,,,,0.9329229462959032,,,,,,,,,,,,,,,,,
,,,,1323.180285109,,,0.8877551020408163,,,,,,,,1770723276.810719,,,,,,,,,,,,0.9709821428571429,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,0.9275053304904051,,,,,,,,,,
,,,,1323.180711369,,,,,,,,,,,1770723276.8110507,,,,,,,,,,,,,,,,,,,,8,,,,0.9734136830911024,,,,,,,,,,,0.956794425087108,,0.9906204906204906,,,,,,,,,,,,,,,,
,,,0.773121387283237,1323.181090296,,0.9715496368038741,,,,,,,,,1770723276.8114817,,,,,,,,,,,,,,,,,,,,9,,0.8610515021459227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1459.654889157,,,,,,,,,,,1770723413.2850032,,,,,,,,,,,,,,,,,,,"{'size': 155, 'artifact_path': 'wandb-client-artifact://tr59ixkskydz8vjxv3e9r9j6a8wr9pfna4ywzkxpom3n333w43swx56y65x9kc8u8wh9t1b6oatiw6p1ocwt0m8sksqwjkh16e55k20ffpf6hzbl2nup4bn5yt8bpyik/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://k8k3wtc9en5wa9hdfi2t012vca41xuwnnn37i60bbxxd60fmw514iupue4cn6di8stb8qvtjat0qn6zpis11fvav838txoylnkc0qd58yghk0s5p6yhlc4whda5eelxj:latest/fold2/confusion_matrix.table.json', 'sha256': '585e18e177dc68a083059b421a25f8d75ec47a42ad9a217ab7ce1b99f909c499', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold2/confusion_matrix_10_585e18e177dc68a08305.table.json'}",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1459.656310215,,,,,,,,,,,1770723413.286674,,,,,,,,,,,,,,,,,0.8225450533284295,,,11,,,,,,,,,,,,,,,,,,,,,,,,0.9968798751950078,,,,,,,0.901360201511335,,
,,,,1459.656577314,,,,,,,,,,,1770723413.2869983,,,,,,,,,,,,,,,0.6059496567505721,,,,,12,,,,,,,,,,0.759609868043603,,,,,,,,,,,0.6741344195519349,,,,,,,,,,,,
,,,,1459.656912163,,,,,,,,,,,1770723413.2873182,0.8973495058400719,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,0.9967564870259481,,,,,,,,,,,,0.9444444444444444,,,
,,0.355601233299075,,1459.657185019,,,,,,,,,,,1770723413.287609,,,,,,0.6940822467402207,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47026843357118586,
