fold4/class_0/recall,fold3/confusion_matrix,fold1/class_1/precision,_step,fold4/class_1/precision,fold2/class_0/recall,fold1/class_1/f1-score,fold4/confusion_matrix,fold3/class_0/precision,_runtime,fold4/class_0/precision,fold3/class_0/f1-score,fold3/class_1/precision,_timestamp,fold0/class_0/precision,fold0/confusion_matrix,fold2/class_0/precision,fold0/class_1/precision,fold2/class_1/recall,fold0/class_1/f1-score,fold0/class_0/f1-score,fold1/class_0/precision,fold3/class_1/recall,fold1/confusion_matrix,fold4/class_0/f1-score,fold0/class_1/recall,fold4/class_1/f1-score,fold2/confusion_matrix,fold1/class_0/recall,cv5/fold_metrics,fold4/class_1/recall,fold1/class_1/recall,fold1/class_0/f1-score,fold3/class_0/recall,fold0/class_0/recall,fold3/class_1/f1-score,fold2/class_1/f1-score,fold2/class_0/f1-score,fold2/class_1/precision
,,,0,,,,,,3733.532973081,,,,1770750726.9382224,,"{'sha256': '984a57153c50d40b9f6331ce79e804136e11a907700f8d082f5da130f9720989', 'artifact_path': 'wandb-client-artifact://eojtsduw1av421rg0ynqyf3zfey2ft01nkuhqcadrymggn7k9gtiyhv5w0cjuj1weyex7wflkv4lllwh2dmmyj10hwxgw37kqecnx3k6f9cy6415zoiygl8tiikvi2s8/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_984a57153c50d40b9f63.table.json', 'ncols': 3, 'nrows': 2, '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://y4lfxybujkv0zd3izpbz9bo8euvm28bwh4w2zkgz2sf8sv40n6tyi9cg4g69vzrlf6wplvifk1rhk818kk39s2mn0hua7wqcpu6hprvtakf50ulfsjfn85b6xwds2gir:latest/fold0/confusion_matrix.table.json', 'size': 84}",,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,3733.534218475,,,,1770750726.9399567,0.9861269951767689,,,,,,0.9924435770404844,,,,,,,,,,,,,,0.9988416016116847,,,,
,,,2,,,,,,3733.534355188,,,,1770750726.940153,,,,0.9991964784795976,,0.9947481914301614,,,,,,0.9903393351800553,,,,,,,,,,,,,
,,,3,,,,,,3932.481942931,,,,1770750925.8874128,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://h3oto9xfm1xa74svk9xea402lw0kdfddogyn8d9xr707crtbjoqclesszd1l9bqluzbld77k6kr6womzbdot4zalynvbpv5a8qqwhu002mslzk35uvfmd73pzd61x12r:latest/fold1/confusion_matrix.table.json', 'sha256': 'be9648568387ca4d38dbd0f61fd26aa0edb8470a14d6d78d734e8a0c9f0644ca', 'size': 83, '_type': 'table-file', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_be9648568387ca4d38db.table.json', 'artifact_path': 'wandb-client-artifact://ien1pxjldpuo6mplg0d0dajz87kbgf7fbi0pfknv853dxldh3f4akerr481b19na45mmcht4kao05ny2tdhva7w2pcmnemay41a33pciboi3eg88hqzgks5q4p09cwv7/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,
,,,4,,,,,,3932.483425529,,,,1770750925.8889189,,,,,,,,0.984968746899494,,,,,,,1,,,,0.9924274610751506,,,,,,
,,1,5,,,0.9947264911150948,,,3932.483567523,,,,1770750925.8893635,,,,,,,,,,,,,,,,,,0.9895083102493075,,,,,,,
,,,6,,,,,,4687.376745311,,,,1770751680.782338,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://ypv83203zhebfiy260iaw7njro36lds3huoxbjwkliceuktwtkef2kanctqk9sf8onepmu89j39ao77uwnvqepir39zvnp9paq2j57u60a0hucmck0jw8b0dslxlnbtr/fold2/confusion_matrix.table.json', 'size': 83, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://tu51vu8n5x084ci43ts4sk2t8elr2vb4pzfaid1vrloypo80rrg82xye73quw9h9bxt1usv4vls28j9lhihc3w7v6npkvubh6m8y4puai6mdnz1wpqmbgng8hqcyoljn:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_853b41eb855d572d799a.table.json', 'sha256': '853b41eb855d572d799a157a9a0bf6ed84f5f618951a21bd10137f62e100a553', '_type': 'table-file', 'nrows': 2, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,
,,,7,,1,,,,4687.378023871,,,,1770751680.783613,,,0.9937402974610646,,,,,,,,,,,,,,,,,,,,,0.9968603220053751,
,,,8,,,,,,4687.378259403,,,,1770751680.7840018,,,,,0.9956693458980045,,,,,,,,,,,,,,,,,,0.9978299741332917,,1
,"{'nrows': 2, 'sha256': '66ba1c4cbab053a56da537dfe08102f0dd68348988f23a3cbb18687ed990ca92', 'size': 82, 'ncols': 3, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://8ep7bmkde0mp3fe61l46wnu1gaop58gm7bi30zz5ijlaobmrtld1e23phbpvhk0qhm7yx8zl63idb9ezdjve7lptx9n117oow1kvr7qovfojt51cv4rhjqvqices8c60/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://u9mq5zybq18tsojgq1wxg026qf9pvb1neb8yy8a32x2p9dl0iddur8dxxribs6sbi2u0s20gu2perh7mg0rg4dyz7i24cn2gdkdir00gtmg7cqxpum909kchrjd1uxk0:latest/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_9_66ba1c4cbab053a56da5.table.json'}",,9,,,,,,5254.776661519,,,,1770752248.1822484,,,,,,,,,,,,,,,,,,,,,,,,,
