fold3/class_1/recall,fold1/class_1/precision,fold2/class_1/recall,fold3/confusion_matrix,fold2/class_0/recall,_step,fold1/class_1/recall,fold2/confusion_matrix,fold4/class_0/f1-score,fold3/class_1/f1-score,fold1/class_1/f1-score,fold2/class_1/f1-score,fold4/class_1/precision,fold4/class_0/recall,fold1/confusion_matrix,fold4/confusion_matrix,fold4/class_1/recall,fold0/class_0/recall,fold2/class_0/precision,fold1/class_0/f1-score,fold0/class_0/f1-score,fold3/class_0/recall,fold0/class_1/f1-score,fold0/confusion_matrix,fold1/class_0/precision,cv5/fold_metrics,fold2/class_0/f1-score,fold0/class_0/precision,fold3/class_0/f1-score,_runtime,fold4/class_0/precision,fold3/class_1/precision,fold0/class_1/precision,fold2/class_1/precision,_timestamp,fold1/class_0/recall,fold4/class_1/f1-score,fold3/class_0/precision,fold0/class_1/recall
,,,,,0,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://oh75n3tpie47xfqoltplyy6lbz2damewesw6t1newqlphyvfgur04nnvlnqom5807t5dgw38y6wwry9szv90r3f343p27ij2odqhdo9btwrmtufk6zfnl7jo5331wvbo/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://3f8eah3l2h8rdvqyeuazhcytd20oyrwwh9g6mrim2f5894iaxi45983ozohu4vj2nnpefvojn4wy2n8xyud1md16vtme58jp9fji8aj0awkx8jqif91l9dzbxb04nodk:latest/fold0/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'nrows': 2, 'sha256': 'bf0837ac65f4eed4d8d69f696634d030030b2828feb4c1e5f27067728d4a9de4', 'size': 82, '_type': 'table-file', 'ncols': 3, 'path': 'media/table/fold0/confusion_matrix_0_bf0837ac65f4eed4d8d6.table.json'}",,,,,,278.569138206,,,,,1770725986.2148628,,,,
,,,,,1,,,,,,,,,,,,1,,,0.998656338918748,,,,,,,0.9973162838424501,,278.570873981,,,,,1770725986.2168417,,,,
,,,,,2,,,,,,,,,,,,,,,,,0.999411010636455,,,,,,,278.571131321,,,1,,1770725986.2171633,,,,0.9988227146814405
,,,,,3,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://bgey4q1ra8kdl4k7fw4tgd7dvobu5p4r02gpjbfzewgsekyfy2vib1d8mdosmjfnvzxdswuzlydbcjts27ogl1rgzxn8wtiild6vgu6yg6y5p0y242okwz8bjvx8e2w2:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_813fd0a6040cdabf2d4b.table.json', 'sha256': '813fd0a6040cdabf2d4b7799c9ccd5d8e51cd511778c92b2ccd845ce9aefdc2a', 'artifact_path': 'wandb-client-artifact://xnxak99qqe4wogjkmpm40e1bxivw8uj7j8q0hxg62hxui167y7gqcl2qf3x4kkvak77neqzruxmw62esztbviwfftopw6hm5jj0hdo6q8gd529wske6zovyxjtfte9oc/fold1/confusion_matrix.table.json', 'size': 82, 'ncols': 3}",,,,,,,,,,,,,,,658.212440558,,,,,1770726365.8583353,,,,
,,,,,4,,,,,,,,,,,,,,0.9984984984984985,,,,,0.9970014992503748,,,,,658.21395343,,,,,1770726365.8599575,1,,,
,1,,,,5,0.9986842105263158,,,,0.9993416721527321,,,,,,,,,,,,,,,,,,,658.214168647,,,,,1770726365.860294,,,,
,,,,,6,,"{'_latest_artifact_path': 'wandb-client-artifact://iwv5otmnq5nlx1xycaq6tj8fu4zdhx52yirkz7kp9ykojcghao7w30tduyplkqxpxz07e7mwtobmisu0vrnbgkyi1cx1hpx8qy8dhmezq34ropmwb45gtwht2jfr2x4g:latest/fold2/confusion_matrix.table.json', 'nrows': 2, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 3, 'path': 'media/table/fold2/confusion_matrix_6_bbee0e94807ff0039ee0.table.json', 'artifact_path': 'wandb-client-artifact://kga1sjigq1d2fsoo3ky7uppk872kzu4c0w06q5prbv3i9ky96too0s2s308ekqiq2ltitaf8orwkjtni6h97yt9tcjhqrg4u06wehn6zkiaowc0h1ygprjsg0o3fxmd1/fold2/confusion_matrix.table.json', 'sha256': 'bbee0e94807ff0039ee0dbc4e54d9e74703f26cb5b990b860224e1f3f49e8d04', 'size': 82}",,,,,,,,,,,,,,,,,,,,,,940.014237571,,,,,1770726647.6603081,,,,
,,,,1,7,,,,,,,,,,,,,0.9937047529115518,,,,,,,,0.9968424376381434,,,940.015167366,,,,,1770726647.661213,,,,
,,0.9972283813747228,,,8,,,,,,0.9986122675548155,,,,,,,,,,,,,,,,,,940.015274088,,,,1,1770726647.661411,,,,
,,,"{'sha256': 'dafcb5616bb31b67b143bb8e40d1df651f70b21534818d8ada85342f08d1f557', 'size': 82, 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://wxfyqkt0sx9a6n82t2rqxso3by2cyrzckt362k44781kwkmsxy8913yoz3smkrxzg8yy21x3vxzqpjmtdfgsim4uzdppk6ru1s7mgmml404tmpr5qwoo4rmrxdwwskk9:latest/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_9_dafcb5616bb31b67b143.table.json', '_type': 'table-file', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://gturg7e5ternyriln2kpbw4897yr06efeffaogdrz1sn6jspj8zzfd6kpjiwyle6bm79isocqj01r13ayd5y2v0n8us3uro0rsabudho47ujmk6dv7gybt44rte70kqf/fold3/confusion_matrix.table.json'}",,9,,,,,,,,,,,,,,,,,,,,,,,,1240.161529655,,,,,1770726947.8073297,,,,
