fold2/class_4/f1-score,fold1/class_7/f1-score,fold3/class_0/recall,fold3/class_8/f1-score,fold0/class_10/recall,fold1/class_6/f1-score,fold0/class_6/precision,fold3/class_10/precision,fold4/class_0/recall,fold4/class_2/precision,fold2/class_10/precision,fold1/class_8/recall,fold0/class_4/f1-score,fold3/confusion_matrix,fold3/class_9/precision,fold0/class_8/f1-score,fold2/class_1/recall,fold0/class_8/recall,fold2/class_4/recall,fold2/class_3/precision,fold1/class_3/precision,fold4/class_8/recall,fold0/class_2/f1-score,fold4/class_4/f1-score,fold4/class_3/f1-score,fold1/class_10/f1-score,_timestamp,_runtime,fold0/class_7/f1-score,fold4/class_4/recall,fold1/class_1/f1-score,fold0/class_1/f1-score,fold2/class_2/precision,fold4/class_3/precision,fold4/class_3/recall,fold3/class_5/precision,fold1/class_7/precision,fold3/class_3/precision,fold1/class_1/precision,fold1/class_2/recall,fold2/class_7/precision,fold2/class_9/precision,fold2/class_4/precision,fold2/class_0/f1-score,fold0/class_5/recall,fold4/class_5/f1-score,fold4/class_5/recall,fold3/class_6/f1-score,fold4/class_6/recall,fold3/class_4/recall,fold2/class_3/recall,fold1/class_3/recall,fold3/class_4/f1-score,fold3/class_8/precision,fold0/class_9/precision,fold4/class_9/recall,fold2/class_10/recall,fold4/class_10/precision,fold1/class_10/precision,fold0/class_4/recall,fold2/class_7/recall,fold1/class_9/precision,fold1/confusion_matrix,fold4/class_2/recall,fold3/class_7/recall,fold0/class_3/f1-score,fold2/class_1/f1-score,fold4/class_7/f1-score,fold1/class_0/recall,fold1/class_6/recall,fold0/class_10/precision,fold3/class_6/precision,fold1/class_3/f1-score,fold2/class_8/recall,fold4/class_6/precision,fold2/class_8/precision,fold4/class_1/precision,fold3/class_0/precision,fold3/class_10/recall,fold2/class_6/f1-score,fold3/class_9/recall,fold4/class_6/f1-score,fold0/class_6/f1-score,fold4/class_10/f1-score,fold4/class_2/f1-score,fold1/class_5/precision,fold2/class_2/f1-score,fold4/class_1/recall,fold0/class_3/precision,fold0/class_2/recall,fold3/class_9/f1-score,fold3/class_0/f1-score,fold2/class_9/f1-score,fold4/class_10/recall,fold4/class_5/precision,fold1/class_10/recall,fold4/class_7/precision,fold1/class_6/precision,fold0/class_4/precision,fold4/class_8/f1-score,fold2/class_5/recall,fold2/class_6/precision,fold3/class_1/precision,fold2/class_5/f1-score,fold3/class_3/recall,fold4/class_0/precision,fold0/class_2/precision,fold1/class_9/recall,fold1/class_4/recall,fold0/class_0/precision,fold3/class_5/recall,fold1/class_8/precision,fold3/class_5/f1-score,fold3/class_4/precision,fold1/class_4/f1-score,fold0/confusion_matrix,fold1/class_9/f1-score,cv5/fold_metrics,fold0/class_7/recall,fold0/class_7/precision,fold3/class_3/f1-score,fold2/class_9/recall,fold0/class_10/f1-score,fold0/class_8/precision,_step,fold2/class_5/precision,fold3/class_2/f1-score,fold1/class_0/precision,fold0/class_9/recall,fold2/class_8/f1-score,fold3/class_2/recall,fold4/class_8/precision,fold4/class_9/precision,fold0/class_3/recall,fold2/class_6/recall,fold0/class_0/recall,fold2/class_2/recall,fold3/class_1/recall,fold0/class_5/precision,fold1/class_7/recall,fold0/class_6/recall,fold4/class_9/f1-score,fold4/confusion_matrix,fold3/class_7/f1-score,fold4/class_4/precision,fold3/class_6/recall,fold4/class_1/f1-score,fold4/class_0/f1-score,fold4/class_7/recall,fold2/confusion_matrix,fold2/class_10/f1-score,fold3/class_10/f1-score,fold3/class_1/f1-score,fold2/class_1/precision,fold0/class_9/f1-score,fold0/class_5/f1-score,fold1/class_5/recall,fold2/class_7/f1-score,fold0/class_1/recall,fold3/class_7/precision,fold0/class_0/f1-score,fold1/class_5/f1-score,fold1/class_4/precision,fold0/class_1/precision,fold3/class_2/precision,fold2/class_3/f1-score,fold1/class_0/f1-score,fold2/class_0/precision,fold3/class_8/recall,fold1/class_2/f1-score,fold1/class_8/f1-score,fold2/class_0/recall,fold1/class_2/precision,fold1/class_1/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,1770916826.3043432,4770.538642377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_af67d54a2bd015175856.table.json', 'sha256': 'af67d54a2bd015175856f7886a12734f96af9bc6bfb9eee398ac69576feabd0c', '_type': 'table-file', 'nrows': 11, 'ncols': 12, 'artifact_path': 'wandb-client-artifact://e3q9ocx1x621mqdynx54atfop97l9zbp93d86dojsu8xju5je4q3dg81oxzwv28c5u6yhiyk4wztpiljsefgzkyb65f1qv55h5ebdrru72s0bz1mltvu9gx1t9uwi4ps/fold0/confusion_matrix.table.json', 'size': 593, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://p5t6a9zwa0cdgtawodgst0sd423txgp1za4sxiyg61dtn6451ggtztqr1kb8fgyhajyhycwa6up1wlj1rmozrw5ghymlnyco70moow29x91ajmgllg8r159hzfhe3emh:latest/fold0/confusion_matrix.table.json'}",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770916826.306449,4770.540479996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9350724081710943,,,,,,,,,,,,,,,1,,,,,,,,,,,0.9821203727020902,,,,,,,,,,,,,,,,,,,,,,,,,0.9580191112530398,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770916826.306877,4770.540763289,,,,0.7981580966999232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7375886524822695,,,,,0.8695652173913043,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.7857142857142857,,,,1770916826.3071616,4770.541016642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7604938271604939,,,,,,,,,,,,,,,,,0.8126649076517151,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770916826.3074179,4770.541313171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8240343347639485,,,,,,,,,,,,,,,,,,,,,,,0.8442211055276382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,0.8047904191616766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.5005714285714286,,,,,,,,,,,,,,1770916826.307682,4770.541585261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3476190476190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8938775510204081,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770916826.307904,4770.541738656,,,,,,,,,,,,,,,,,0.32151898734177214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,0.8850174216027874,,,,,,,,,,,,,,,,,0.47168059424326836,,,,,,,,,,,,,,,,,,
,,,,,,0.9142857142857143,,,,,,,,,,,,,,,,,,,,1770916826.3081203,4770.541925427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49468599033816424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,0.3390728476821192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770916826.3082812,4770.542061397,0.8110300081103001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7246376811594203,0.9208103130755064,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.7969543147208121,,0.7082706766917293,,,,,,,,,1770916826.3084362,4770.542229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9110251450676983,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
