fold2/confusion_matrix,fold4/class_0/f1-score,fold0/class_3/precision,fold2/class_1/precision,fold4/class_3/precision,fold0/class_3/f1-score,cv5/fold_metrics,fold4/class_2/f1-score,fold0/class_0/precision,fold2/class_0/f1-score,fold2/class_1/f1-score,fold4/class_1/f1-score,fold4/confusion_matrix,fold3/class_2/f1-score,fold4/class_1/precision,fold1/class_0/precision,fold4/class_3/f1-score,fold3/class_3/precision,fold3/class_3/recall,fold0/class_0/f1-score,fold4/class_0/precision,fold2/class_2/precision,fold0/class_3/recall,fold1/class_2/f1-score,fold0/class_0/recall,fold1/class_1/f1-score,fold3/confusion_matrix,fold1/confusion_matrix,fold0/class_1/recall,fold2/class_1/recall,fold2/class_3/f1-score,fold2/class_3/recall,fold3/class_0/recall,fold1/class_3/precision,fold1/class_1/recall,fold3/class_3/f1-score,fold0/class_1/f1-score,fold2/class_2/recall,fold0/class_1/precision,_step,fold3/class_1/f1-score,fold3/class_2/recall,fold1/class_0/f1-score,fold4/class_0/recall,fold1/class_1/precision,fold4/class_2/precision,fold4/class_2/recall,fold3/class_0/f1-score,fold3/class_1/recall,fold3/class_0/precision,fold1/class_0/recall,fold1/class_3/f1-score,fold3/class_1/precision,fold4/class_1/recall,fold0/confusion_matrix,fold1/class_2/precision,_runtime,fold0/class_2/recall,fold2/class_0/precision,fold0/class_2/f1-score,_timestamp,fold2/class_3/precision,fold1/class_2/recall,fold4/class_3/recall,fold1/class_3/recall,fold2/class_0/recall,fold2/class_2/f1-score,fold0/class_2/precision,fold3/class_2/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"{'nrows': 4, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://lpj24nt7aoccdcp5sxkq2xx9iegcazf01i9r2p6v9l96flqh9bj3m07o06gdm6w6qtsb16xigeq40vy2k5xfux4wua1is4s9dlcny1ngz18pz9pid1kyb3096xldcet5:latest/fold0/confusion_matrix.table.json', 'sha256': '751fb651099f42ac5b534a0c762e66e168097b5af372f26eca7e204e3e3b0a7c', 'size': 144, '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_751fb651099f42ac5b53.table.json', 'artifact_path': 'wandb-client-artifact://s3z73noer0ulnoy6zikd99seao9ycsydlp1yn9x8dnggxcp1uple232ecnhqj8tqjyeadp1aze6gtquzky0tmf19lro3gtg0n6aedjuotzw9rjb2o2gvkdu55on0hvvh/fold0/confusion_matrix.table.json', 'ncols': 5}",,51.655057047,,,,1770707829.5050678,,,,,,,,
,,,,,,,,0.9902964959568733,,,,,,,,,,,0.9921685120172833,,,,,0.9940476190476191,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,51.656265536,,,,1770707829.5065188,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986469864698647,,,,,,,,0.986469864698647,,0.986469864698647,2,,,,,,,,,,,,,,,,,51.656575346,,,,1770707829.506886,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,51.656758683,0.9828785446762975,,0.9889636608344549,1770707829.5071607,,,,,,,0.995124593716143,
,,0.9733629300776915,,,0.9820828667413214,,,,,,,,,,,,,,,,,0.9909604519774011,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,51.657010788,,,,1770707829.5073922,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 4, 'size': 146, '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_5_f37d17e16cca9c5318e1.table.json', 'sha256': 'f37d17e16cca9c5318e127c90ee874552d0c7481d8c43ebfea4e1a2c618b0539', 'artifact_path': 'wandb-client-artifact://2r7a712ke15mn0w9kql2bgvz9125h1jib8cr6ewib8rhyruoe9rb7w6u2hz5p5004qbdztigs2uxfdhb211hyp0hgt7k9x18vux5vkk6t0wjji67dkdg6edrvc8mpc4a/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://jkpcqh621epwwbvvnyc8w0enafuelu3viuwo93cy2zmwdl24wccl65x5gjk6uw2ly3ws3hcyq16l21v3j5w0q6ts2m93id9dmzvkdjx2xd2pr58f2vlq367slxrsul1n:latest/fold1/confusion_matrix.table.json', 'ncols': 5, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,5,,,,,,,,,,,,,,,,,95.909002299,,,,1770707873.7591658,,,,,,,,
,,,,,,,,,,,,,,,0.9964806435394671,,,,,,,,,,,,,,,,,,,,,,,,6,,,0.9890219560878244,,,,,,,,0.9816740960871718,,,,,,95.9105162,,,,1770707873.7607014,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.9875370919881306,,,,,,,,,0.9904761904761905,,,,,7,,,,,0.9846153846153847,,,,,,,,,,,,95.910876982,,,,1770707873.76119,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.9916329284750337,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0.9876344086021506,95.911056371,,,,1770707873.761454,,0.9956639566395664,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9610027855153204,,,,,,9,,,,,,,,,,,,0.967741935483871,,,,,95.911260821,,,,1770707873.7616649,,,,0.9745762711864406,,,,
