fold0/class_4/f1-score,fold2/class_9/precision,fold2/class_5/precision,fold0/class_9/precision,fold3/class_1/f1-score,fold2/class_1/precision,fold1/class_3/precision,fold0/class_7/recall,fold3/class_0/recall,fold4/class_0/f1-score,fold1/class_10/recall,fold0/class_2/precision,fold0/class_2/f1-score,fold4/class_10/recall,fold3/class_10/recall,fold3/class_6/precision,_timestamp,fold1/class_3/f1-score,fold1/class_4/recall,fold0/class_1/precision,fold3/class_2/f1-score,fold3/class_0/f1-score,fold1/class_5/f1-score,_step,fold1/class_6/recall,fold1/class_8/recall,fold3/class_7/f1-score,fold2/class_10/f1-score,fold4/class_1/recall,fold4/class_4/recall,fold1/class_3/recall,fold0/class_8/recall,fold2/class_3/f1-score,fold4/class_8/recall,fold2/class_5/recall,fold2/class_0/f1-score,fold2/class_9/f1-score,fold4/class_5/precision,fold4/confusion_matrix,fold0/class_3/f1-score,fold3/class_2/precision,fold2/class_0/recall,fold0/class_7/f1-score,fold0/class_4/precision,fold0/class_7/precision,fold2/class_5/f1-score,fold0/class_0/recall,fold0/class_4/recall,fold0/class_1/f1-score,fold4/class_8/precision,fold1/class_9/f1-score,fold2/class_2/precision,fold4/class_9/f1-score,fold1/class_7/recall,fold4/class_2/precision,fold3/class_2/recall,fold0/class_10/f1-score,fold3/class_1/precision,fold3/class_6/recall,fold4/class_0/precision,fold0/class_5/f1-score,fold2/class_1/f1-score,fold2/class_0/precision,fold3/class_7/precision,fold2/class_9/recall,fold0/class_8/f1-score,fold1/class_7/f1-score,fold4/class_7/f1-score,fold2/class_6/precision,fold4/class_2/f1-score,fold2/class_4/precision,fold1/class_1/precision,fold3/class_9/precision,fold4/class_5/recall,fold2/class_7/recall,fold3/class_4/f1-score,fold1/class_8/precision,fold1/class_0/recall,fold4/class_10/f1-score,fold4/class_7/recall,fold4/class_1/f1-score,fold4/class_2/recall,fold0/class_8/precision,fold1/class_1/f1-score,fold2/class_6/recall,fold0/class_10/recall,fold1/class_4/precision,fold3/class_10/precision,fold1/class_0/precision,fold1/class_5/recall,fold0/class_3/precision,fold2/class_6/f1-score,fold0/class_6/recall,fold3/class_4/precision,fold3/class_5/precision,fold0/class_0/f1-score,fold1/class_2/precision,fold3/class_7/recall,fold4/class_5/f1-score,fold3/class_9/f1-score,fold0/class_10/precision,fold4/class_9/recall,fold3/class_3/precision,fold0/class_9/recall,fold1/class_6/precision,fold1/class_1/recall,fold0/confusion_matrix,fold4/class_4/f1-score,fold0/class_9/f1-score,fold3/class_3/recall,fold3/class_9/recall,fold1/class_10/precision,fold0/class_5/recall,fold2/class_8/recall,fold3/class_0/precision,fold0/class_3/recall,fold3/class_3/f1-score,fold2/class_7/f1-score,fold1/class_5/precision,fold0/class_1/recall,fold1/class_9/recall,fold0/class_0/precision,fold1/class_9/precision,fold1/class_2/f1-score,fold2/class_8/precision,fold0/class_6/f1-score,fold0/class_6/precision,fold4/class_6/precision,fold1/class_0/f1-score,fold4/class_1/precision,_runtime,fold2/class_2/recall,fold4/class_3/recall,fold3/class_6/f1-score,fold1/class_2/recall,fold4/class_7/precision,fold2/confusion_matrix,fold4/class_6/recall,fold0/class_2/recall,fold2/class_2/f1-score,fold3/class_5/f1-score,fold2/class_10/recall,fold2/class_7/precision,fold2/class_8/f1-score,fold4/class_8/f1-score,fold3/confusion_matrix,fold4/class_0/recall,fold4/class_6/f1-score,fold1/class_6/f1-score,fold1/confusion_matrix,fold4/class_3/precision,fold1/class_8/f1-score,fold3/class_8/f1-score,fold2/class_10/precision,fold1/class_4/f1-score,fold4/class_4/precision,fold4/class_3/f1-score,fold2/class_4/recall,fold2/class_3/recall,fold1/class_7/precision,fold3/class_1/recall,fold3/class_8/precision,fold0/class_5/precision,fold1/class_10/f1-score,cv5/fold_metrics,fold4/class_9/precision,fold2/class_3/precision,fold3/class_10/f1-score,fold4/class_10/precision,fold3/class_5/recall,fold3/class_4/recall,fold2/class_4/f1-score,fold3/class_8/recall,fold2/class_1/recall
,,,,,,,,,,,,,,,,1770731466.208035,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://lo6i8yqcfw4pyftp7lj7n6ilbh5r4btutmufh3knftowcel6hcnu5d6bbgg4ua66erc7kzdgrunsvk0pawlnjn207hbk7rhndipae16myudyj1tv4a4t9g8ds3rwxjg4/fold0/confusion_matrix.table.json', 'sha256': '8dbbbb44c9a61e47ccde930849f1aa9a6791e6667e70def313368d0deaabbe49', 'size': 559, 'path': 'media/table/fold0/confusion_matrix_0_8dbbbb44c9a61e47ccde.table.json', '_type': 'table-file', 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://u8cu6d105196tkps8uawehzld8p2m1a2kjx7m5iobxjd0ca3slv3u5xhv05exj47pdnr4v8309m611y6ps5vjtcxtg34qtojahrfgsebf1cq205f8qdzx2mrvccgtt7x:latest/fold0/confusion_matrix.table.json', 'nrows': 11}",,,,,,,,,,,,,,,,,,,,,,,,8250.333882335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770731466.2100577,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.9992982456140351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993167002160704,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993351554997415,,,,,,,,,8250.335455309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770731466.2105973,,,0.9629629629629629,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.9780564263322884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9936305732484076,,,,,,,,,,,8250.335872779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9517241379310345,0.9230769230769231,,,,1770731466.210951,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8250.33618982,,,,,,,,0.8961038961038961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770731466.211229,,,,,,,4,,,,,,,,,,,,,,,,0.9694915254237289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9794520547945206,,,,,,,,,,,,,,,,,,,,,,,,,0.959731543624161,,,,,,,,,,,,,,,8250.336459118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.981549815498155,,,,,,,,,,,,,,,,1770731466.2115335,,,,,,,5,,,,,,,,,,,,,,,,,,,,0.9779411764705882,,,,0.9851851851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8250.336818343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770731466.2118964,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9647058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9820359281437125,,,,,,,,,,,,,,,,,,8250.3371443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9479768786127167,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770731466.2122414,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9724137931034482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9527027027027027,0.9337748344370861,,,,8250.33753207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.9652777777777778,,,,,,,,,1770731466.212569,,,,,,,8,,,,,,,,,,,,,,,,,,,0.9788732394366197,,0.9928571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8250.337815722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770731466.2129123,,,,,,,9,,,,,,,,0.993421052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9869281045751634,,,,,,,,,,,,,,,,,0.9805194805194806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8250.338175421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
