fold4/confusion_matrix,fold3/class_0/precision,fold4/class_1/precision,fold2/confusion_matrix,fold4/class_0/recall,fold2/class_1/precision,fold2/class_0/precision,fold1/class_0/precision,fold3/class_1/f1-score,_step,fold4/class_0/f1-score,cv5/fold_metrics,fold0/class_0/recall,fold0/class_1/recall,fold3/class_1/recall,fold1/class_1/recall,fold3/class_0/f1-score,fold1/class_1/precision,fold4/class_0/precision,fold4/class_1/recall,fold0/class_0/f1-score,fold1/class_0/f1-score,fold3/confusion_matrix,_runtime,fold3/class_0/recall,fold2/class_1/recall,fold1/confusion_matrix,fold0/class_0/precision,fold2/class_0/recall,fold1/class_0/recall,fold0/confusion_matrix,fold2/class_0/f1-score,_timestamp,fold2/class_1/f1-score,fold4/class_1/f1-score,fold0/class_1/precision,fold0/class_1/f1-score,fold1/class_1/f1-score,fold3/class_1/precision
,,,,,,,,,0,,,,,,,,,,,,,,3239.217544977,,,,,,,"{'ncols': 3, 'path': 'media/table/fold0/confusion_matrix_0_4cd8037b14d503361f8e.table.json', 'artifact_path': 'wandb-client-artifact://4ye816pwfdtk40o3tljknuhioy3u8dy4stxo45hl1pv67njyh9r6sq5c9koha7b3zlx4lg26puvna4xcnz4ce0ivs5l2heavemiir714wev9r7bbjo704fr0kkrjcbo2/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://m7jwf3b6fx5wgs97shcru4g1uhbgckqz81alytv15b1s6n6zma3wv07ubaj2ie2l329emxjt9za2krtsn4va6aj80dwhp9ghwtv9elaw6iyku03j1zcm0c4pemwn166w:latest/fold0/confusion_matrix.table.json', 'size': 84, '_type': 'table-file', 'sha256': '4cd8037b14d503361f8eb50d0c16cf9f9cc31540f8561d4dbf655d72f8fb04f9', 'log_mode': 'IMMUTABLE', 'nrows': 2}",,1770737446.738035,,,,,,
,,,,,,,,,1,,,0.9976134668655444,,,,,,,,0.9901237178809348,,,3239.218710733,,,,0.9827455919395466,,,,,1770737446.7394764,,,,,,
,,,,,,,,,2,,,,0.9857686980609418,,,,,,,,,,3239.218997613,,,,,,,,,1770737446.7398567,,,0.9980368098159509,0.9918648201376187,,
,,,,,,,,,3,,,,,,,,,,,,,,3565.761500168,,,"{'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://3ke1i9t5ngqhgzku7uci5rixw7nusbamprnw7fwl077wuvpu7kehuzj2p4x1i2nuce834nzepdime968ips27bro2su9fquxnzl9tfv4w9difa3vhx36ibsk0cccydaz:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_3_98f915ec3564d32529fb.table.json', 'log_mode': 'IMMUTABLE', 'size': 83, '_type': 'table-file', 'nrows': 2, 'artifact_path': 'wandb-client-artifact://a2li66j88t8hvhox72ot2hcr4zh2nql3lyu8rlmjm0g28b6517ef42xippnj74f2uaadbdrux9rl18iysdcy0imoyd4xcicuo49ffb91gz5twqrwm7d4py9yyvdzdw6e/fold1/confusion_matrix.table.json', 'sha256': '98f915ec3564d32529fb6fab481f30d531fc180f06acb55a1a5278790cb6b08a'}",,,,,,1770737773.2821736,,,,,,
,,,,,,,0.991129883843717,,4,,,,,,,,,,,,0.9955451845566398,,3565.76260285,,,,,,1,,,1770737773.2832918,,,,,,
,,,,,,,,,5,,,,,,0.9927285318559557,,1,,,,,,3565.762920211,,,,,,,,,1770737773.2836628,,,,,0.9963509991311903,
,,,"{'artifact_path': 'wandb-client-artifact://31gha2wwe660qobg2j79ap4mbs8qzbtif0enq6on4sfuq7rcu3k6n4qi0r8xj46h2soxg0a7wa7juo9dkvgarflfm2qsuarmdw6rsibxzbttgi385vlfm5bllk3c2p4v/fold2/confusion_matrix.table.json', 'ncols': 3, 'nrows': 2, 'sha256': 'a3a3247b6ab91a266cbb8c151b0ac4ce01234cd69bb48f532b80add41ecaa0b0', 'size': 83, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://boco54dd0o2jnopmjv0k9yhl70z9bjul5lm735qw3py28wa1xxu8tnalw6wzd8x0ojel0l83ox2t67gkqahh87892frzgi1400j53qxw3624hzkdob4s3p8d4nu65gr1:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_a3a3247b6ab91a266cbb.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,6,,,,,,,,,,,,,,3945.602293914,,,,,,,,,1770738153.1231005,,,,,,
,,,,,,0.9799398194583752,,,7,,,,,,,,,,,,,,3945.603388558,,,,,0.9998294388538291,,,0.98978471929084,1770738153.1242194,,,,,,
,,,,,0.9998590953924194,,,,8,,,,,,,,,,,,,,3945.603550721,,0.983370288248337,,,,,,,1770738153.1244497,0.9915461468594984,,,,,
,,,,,,,,,9,,,,,,,,,,,,,"{'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_19c54ccfe8fae6204002.table.json', 'sha256': '19c54ccfe8fae62040023d59394b20ff911ff371b8d7ad6e3ea007fcc1e1c4e0', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://0ec68aoflq0mb7djvbj7ieg33lbm3hoe1q5agld9h9o7dqu48dkta4hl9rng6tpmbz32qhpieocuyqos4kidk4vzlhvale03xlus4g7ubpq5bgl06l0d8sm7a6d4blce:latest/fold3/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://bwzd0ql1m0y8y1305t7d3rqmv7nvj9niys57zz83lhvaslnecfemgz3qj4c91wejy53miiry1wblsf15ziqg7yovp0p1jwtusknj8uckawpj4ns7pem9rk656ene5tzr/fold3/confusion_matrix.table.json', '_type': 'table-file', 'size': 84, 'ncols': 3}",4315.82870579,,,,,,,,,1770738523.3494854,,,,,,
