fold2/class_1/f1-score,fold1/class_0/precision,_step,fold0/class_0/recall,fold3/class_1/f1-score,fold2/confusion_matrix,fold0/class_1/f1-score,fold2/class_0/f1-score,fold1/class_1/recall,fold3/class_1/precision,fold1/confusion_matrix,cv5/fold_metrics,fold2/class_1/precision,fold4/class_1/precision,_runtime,fold4/confusion_matrix,fold1/class_0/recall,fold3/class_0/recall,fold3/confusion_matrix,fold0/class_0/f1-score,fold4/class_1/f1-score,fold2/class_0/recall,fold0/class_1/recall,fold4/class_0/recall,fold4/class_0/f1-score,fold4/class_0/precision,fold1/class_1/precision,fold1/class_1/f1-score,fold1/class_0/f1-score,fold0/class_1/precision,fold0/confusion_matrix,fold2/class_0/precision,fold0/class_0/precision,fold2/class_1/recall,_timestamp,fold4/class_1/recall,fold3/class_0/f1-score,fold3/class_1/recall,fold3/class_0/precision
,,0,,,,,,,,,,,,2430.337679605,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_b9b7910c0c339e1d7f1d.table.json', 'size': 83, 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://7jia798370ynygyiv11ymlwrau4qwr1ughb5tna1f3dj0hbh1y929x8b0phql1b9esuojnlacy8o8r87cmeqhtjvr3j8610q4wp4w8pekyvnmzdesb40o2wkbqsr3e87:latest/fold0/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://qh2oy8ms86a7nafnurbousy4ota7ye5pdyrbv8anovceh4ze3hb7jmzcxc52rquwsxm34qks8fhlt7og2bzn3jifulap8gwhhzgkdqfbnq5okozg1krr285r193safwv/fold0/confusion_matrix.table.json', 'sha256': 'b9b7910c0c339e1d7f1d3905f85d8bcfa9a2c82225bab943cabfbe24ea0627e9'}",,,,1770738409.2391803,,,,
,,1,1,,,,,,,,,,,2430.339538874,,,,,0.9955125473188097,,,,,,,,,,,,,0.9910651891783967,,1770738409.2411373,,,,
,,2,,,,0.9968913356836456,,,,,,,,2430.340042531,,,,,,,,0.9938019390581717,,,,,,,1,,,,,1770738409.2416131,,,,
,,3,,,,,,,,"{'size': 83, '_latest_artifact_path': 'wandb-client-artifact://oq6vqnlpg8wrtmz4dbeaffuixcx22e68knpmpem1wpsa88fkwat32gurixcne0fn094i5swydfd5ps4g732eprm5u8pg8f300cdrv6khllygllbek5x346rwo3hc3dti:latest/fold1/confusion_matrix.table.json', 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_378e50562c4abaed88a5.table.json', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://qn0hpk2fa8yt8clk72bq3dbccfs0cowt5637ihet253gr3we3ir9wg2pvb6muczmtel6bmdid2ntemg6q5m2jb0y4tv9dbjkak3bl2gp2kncdu63q36svo2r596h20dt/fold1/confusion_matrix.table.json', '_type': 'table-file', 'sha256': '378e50562c4abaed88a58e413e687afbda8423a883678de07e119291c16d5e37'}",,,,2799.512318955,,,,,,,,,,,,,,,,,,,,1770738778.413886,,,,
,0.9893860873031692,4,,,,,,,,,,,,2799.513431661,,1,,,,,,,,,,,,0.9946647296044886,,,,,,1770738778.415107,,,,
,,5,,,,,,0.9926246537396122,,,,,,2799.513614547,,,,,,,,,,,,1,0.9962986776026552,,,,,,,1770738778.4154375,,,,
,,6,,,"{'log_mode': 'IMMUTABLE', 'size': 83, 'ncols': 3, 'artifact_path': 'wandb-client-artifact://4k25i8w5yc93jubmaazi0s5ikt77adyzcddy578qb6xkwnhafcq14juzucqlnfko93iciprvhno1si8b1ezl2gm14apuwkscro3qgrodel7jo3cl1no3e8cadheypdw1/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_93edb6f48e88ee1735bb.table.json', 'sha256': '93edb6f48e88ee1735bb4ccaeca4f62cf573b16036ce01fafd8c6abee0596e5d', '_type': 'table-file', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://iv4ki53pi0e8dui3yryp1sls4btt65j9k1cr815suiky43utlkmie4zhqp2ijbevqz5vojcaidrjc2qhhw357xug96bf50p48zyccjr7ovueprdheoarbgeu2pfxyons:latest/fold2/confusion_matrix.table.json'}",,,,,,,,,3256.159944255,,,,,,,,,,,,,,,,,,,,1770739235.0615344,,,,
,,7,,,,,0.9935910274384138,,,,,,,3256.161128623,,,,,,,1,,,,,,,,,,0.9872636815920398,,,1770739235.062818,,,,
0.9955456570155902,,8,,,,,,,,,,1,,3256.16132217,,,,,,,,,,,,,,,,,,,0.991130820399113,1770739235.063186,,,,
,,9,,,,,,,,,,,,3561.62897162,,,,"{'sha256': '5190c485de8a774215a55cd4dc55e9018355792c3759d739994375ea1a5e0908', 'size': 83, 'nrows': 2, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://1kiraxv6qvcc1ld5nbeumbpxdpgieizb87ogfxb23qf5t70tdhc0hzo85arcp73f2ifgqd4drlrlj40yrb2pyis7beofa50cz1d54hanwcsho842r3xrl0so9dwclym6/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://hfyrgh37j6d0i5uscczzc56d6ccbrln2d8ol6zuu8d2gggylihwnzafygun2t6fn42l5tpoe6uw1wyne96n4ag6ykiltz5zs0i1jwnh2asulwucyof1fe5j2gv9vuci2:latest/fold3/confusion_matrix.table.json', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_9_5190c485de8a774215a5.table.json'}",,,,,,,,,,,,,,,,1770739540.5304909,,,,
