fold3/class_7/precision,fold0/class_4/precision,fold3/confusion_matrix,fold0/class_7/recall,fold1/class_9/precision,fold3/class_7/f1-score,fold3/class_1/precision,fold0/class_4/f1-score,fold0/class_10/f1-score,fold2/class_1/f1-score,_timestamp,fold1/class_1/f1-score,fold0/class_1/recall,fold3/class_6/recall,fold0/class_6/precision,fold0/class_1/f1-score,fold4/class_7/f1-score,fold4/class_3/precision,fold1/class_10/f1-score,fold0/class_5/recall,fold3/class_0/f1-score,fold3/class_4/f1-score,fold0/class_0/recall,fold1/class_5/f1-score,fold1/class_7/f1-score,fold3/class_9/f1-score,fold4/class_7/precision,fold3/class_1/recall,fold4/class_0/recall,fold2/class_9/precision,fold0/class_7/f1-score,fold4/class_5/precision,fold4/class_9/f1-score,fold3/class_2/precision,fold1/class_7/precision,fold2/class_10/f1-score,fold2/class_3/f1-score,fold2/class_0/precision,fold3/class_6/precision,fold3/class_5/precision,fold0/class_5/precision,fold3/class_4/recall,fold4/class_9/recall,fold1/class_6/precision,fold2/class_7/recall,fold2/class_7/f1-score,fold2/class_4/precision,fold1/class_1/precision,fold3/class_10/f1-score,fold4/class_8/precision,fold1/class_4/precision,fold3/class_2/recall,fold2/class_6/recall,fold3/class_10/recall,fold2/confusion_matrix,fold2/class_2/precision,fold4/class_6/recall,fold4/class_9/precision,fold2/class_8/precision,fold4/class_2/precision,fold4/class_4/recall,fold0/class_6/f1-score,cv5/fold_metrics,fold2/class_1/precision,fold4/class_10/precision,fold2/class_8/f1-score,fold3/class_3/precision,fold1/class_8/recall,fold0/class_8/f1-score,fold2/class_0/f1-score,fold0/class_8/precision,fold0/class_10/precision,fold0/class_6/recall,fold3/class_9/precision,fold4/class_2/f1-score,fold2/class_4/recall,fold1/class_8/f1-score,fold0/class_7/precision,fold3/class_6/f1-score,fold0/confusion_matrix,fold3/class_8/recall,fold0/class_8/recall,fold2/class_4/f1-score,fold3/class_5/recall,fold1/class_7/recall,fold4/class_1/recall,fold0/class_9/recall,fold3/class_3/recall,fold1/class_6/f1-score,fold1/class_1/recall,fold2/class_2/recall,fold3/class_2/f1-score,fold0/class_3/recall,fold4/class_10/f1-score,fold2/class_10/precision,fold3/class_7/recall,fold4/class_6/f1-score,fold0/class_1/precision,fold3/class_8/precision,fold2/class_0/recall,fold2/class_5/precision,fold2/class_9/f1-score,fold1/confusion_matrix,fold4/class_8/f1-score,fold0/class_0/precision,fold1/class_4/recall,fold2/class_6/precision,fold3/class_1/f1-score,fold4/class_6/precision,fold2/class_3/recall,fold4/class_4/f1-score,fold2/class_5/recall,fold4/class_8/recall,fold1/class_3/recall,fold0/class_3/f1-score,fold1/class_10/precision,fold4/class_10/recall,fold3/class_0/precision,fold0/class_5/f1-score,fold1/class_0/f1-score,fold3/class_9/recall,fold2/class_7/precision,fold2/class_6/f1-score,fold1/class_5/precision,fold1/class_3/f1-score,fold0/class_9/f1-score,fold4/class_2/recall,fold2/class_9/recall,fold0/class_2/f1-score,fold4/class_1/f1-score,fold2/class_1/recall,fold4/class_5/f1-score,fold2/class_8/recall,fold3/class_10/precision,fold2/class_10/recall,_runtime,fold0/class_9/precision,fold3/class_5/f1-score,fold4/class_1/precision,fold0/class_10/recall,fold4/confusion_matrix,fold4/class_0/precision,fold0/class_2/recall,fold1/class_5/recall,fold1/class_8/precision,fold1/class_0/recall,fold1/class_6/recall,fold1/class_2/precision,fold1/class_9/f1-score,fold4/class_3/recall,fold1/class_2/f1-score,fold4/class_3/f1-score,fold1/class_3/precision,fold1/class_4/f1-score,fold1/class_0/precision,fold4/class_0/f1-score,_step,fold4/class_5/recall,fold3/class_0/recall,fold3/class_3/f1-score,fold1/class_10/recall,fold2/class_2/f1-score,fold1/class_2/recall,fold0/class_3/precision,fold4/class_7/recall,fold2/class_5/f1-score,fold3/class_4/precision,fold2/class_3/precision,fold1/class_9/recall,fold0/class_4/recall,fold3/class_8/f1-score,fold0/class_2/precision,fold4/class_4/precision,fold0/class_0/f1-score
,,,,,,,,,,1770735042.48189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://gtc37vtw7iesg55gihb24r19h9v8xuo9aby0jfl80vzmog2shn9dso6kqqyo9mv2ik6rrcjd1whd005vd3lvqctp0yqboy5byp19yvaohrk7mqthdff9mdt9zssj5039/fold0/confusion_matrix.table.json', 'nrows': 11, 'sha256': '681777aab7b336591ee561fd21baed7f215ed3f21b48b6006b3938ef590ce3f3', 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://30r3n7lstzhowdg5359ojptkg38pkf50gwl97hrqdb2m1s6gmltw4y771anhk5lecd605eiaibz2bcaj4659yv39sgokadadlwaa4ft4xwzr378fthqv8uctehl6t8zn:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_681777aab7b336591ee5.table.json', 'size': 558, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973.988470197,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770735042.4845135,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973.990339931,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.9836065573770492
,,,,,,,,,,1770735042.4850638,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973.990798615,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770735042.485545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2973.991167165,,,,,,,0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,
,,,,,,,,,,1770735042.485838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2973.991442957,,,,,,,,,,,,,,,,,,,,,4,,,,,,,0,,,,,,,,,,
,0,,,,,,0,,,1770735042.4861102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973.991721151,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,0,,,,
,,,,,,,,,,1770735042.4863873,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2973.991986836,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770735042.4866636,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973.992270793,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
,,,0,,,,,,,1770735042.4869392,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973.992555402,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770735042.487234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973.992850198,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
