fold4/class_10/f1-score,fold2/class_1/f1-score,fold2/confusion_matrix,fold2/class_3/f1-score,fold3/class_2/precision,fold2/class_4/recall,fold2/class_8/recall,fold3/class_3/precision,fold1/class_1/recall,fold1/class_6/precision,fold0/class_6/recall,fold4/class_10/recall,fold1/class_8/f1-score,fold2/class_0/precision,fold0/class_0/recall,fold0/class_9/recall,fold4/class_8/f1-score,fold0/class_10/recall,fold4/class_3/f1-score,fold1/class_10/precision,fold1/confusion_matrix,fold3/class_10/recall,fold4/class_6/f1-score,fold0/class_5/recall,fold3/class_4/precision,fold3/class_7/precision,_timestamp,fold4/class_8/recall,fold3/class_8/recall,fold3/class_4/recall,fold3/class_1/f1-score,fold4/class_10/precision,fold4/class_7/f1-score,fold1/class_6/recall,fold1/class_8/precision,fold2/class_6/recall,fold3/confusion_matrix,fold3/class_3/recall,fold3/class_2/f1-score,fold4/class_1/recall,fold1/class_7/recall,fold3/class_7/recall,fold0/class_4/f1-score,fold1/class_1/f1-score,fold4/class_2/f1-score,fold2/class_3/precision,fold3/class_0/precision,fold4/class_5/f1-score,fold4/class_0/f1-score,fold3/class_9/recall,fold2/class_6/precision,_step,fold3/class_6/recall,fold3/class_5/recall,fold4/class_6/precision,fold3/class_9/precision,fold2/class_1/precision,fold1/class_0/f1-score,fold4/class_1/f1-score,fold4/class_4/precision,fold0/class_6/f1-score,fold4/class_9/precision,fold2/class_3/recall,fold2/class_10/precision,fold1/class_2/f1-score,fold4/class_2/recall,fold4/class_1/precision,fold2/class_2/f1-score,fold1/class_5/recall,fold0/class_10/f1-score,fold1/class_3/precision,fold2/class_10/f1-score,fold0/class_2/precision,fold1/class_5/f1-score,fold0/class_3/precision,fold1/class_4/f1-score,fold0/class_1/precision,fold0/class_7/precision,fold1/class_6/f1-score,fold1/class_7/f1-score,fold2/class_2/precision,fold1/class_7/precision,fold1/class_9/precision,fold0/class_3/f1-score,fold2/class_0/recall,fold2/class_4/f1-score,fold0/class_6/precision,fold1/class_9/recall,fold0/class_2/f1-score,fold0/class_3/recall,fold1/class_5/precision,fold4/confusion_matrix,fold1/class_10/f1-score,fold0/class_0/precision,fold2/class_9/f1-score,fold2/class_2/recall,fold4/class_4/recall,fold2/class_7/precision,fold2/class_9/recall,fold3/class_4/f1-score,fold3/class_7/f1-score,fold4/class_2/precision,fold3/class_5/precision,fold4/class_5/recall,fold2/class_6/f1-score,fold3/class_1/precision,fold1/class_0/precision,fold2/class_10/recall,fold1/class_9/f1-score,fold0/confusion_matrix,fold2/class_0/f1-score,fold3/class_8/precision,fold4/class_0/recall,fold3/class_6/f1-score,fold2/class_4/precision,fold4/class_6/recall,fold0/class_8/recall,fold0/class_8/precision,fold3/class_10/f1-score,fold2/class_9/precision,fold3/class_10/precision,fold2/class_5/f1-score,fold1/class_2/recall,fold3/class_0/recall,fold3/class_8/f1-score,fold4/class_4/f1-score,fold4/class_0/precision,fold1/class_4/precision,fold2/class_8/f1-score,fold4/class_9/recall,fold1/class_3/recall,fold0/class_9/precision,fold3/class_5/f1-score,fold2/class_7/f1-score,fold1/class_2/precision,fold4/class_5/precision,fold0/class_0/f1-score,fold0/class_5/f1-score,fold1/class_1/precision,fold1/class_0/recall,fold0/class_4/precision,cv5/fold_metrics,fold4/class_9/f1-score,fold2/class_5/recall,fold1/class_8/recall,fold2/class_1/recall,fold1/class_10/recall,fold3/class_3/f1-score,fold0/class_4/recall,fold2/class_8/precision,fold3/class_9/f1-score,_runtime,fold4/class_3/precision,fold0/class_10/precision,fold1/class_3/f1-score,fold4/class_7/recall,fold3/class_6/precision,fold2/class_7/recall,fold0/class_2/recall,fold3/class_1/recall,fold0/class_5/precision,fold0/class_7/f1-score,fold0/class_1/f1-score,fold0/class_8/f1-score,fold3/class_0/f1-score,fold4/class_7/precision,fold0/class_7/recall,fold4/class_3/recall,fold4/class_8/precision,fold0/class_9/f1-score,fold2/class_5/precision,fold1/class_4/recall,fold3/class_2/recall,fold0/class_1/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,1770743517.6563072,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://8buu9uaopgqavcy0zmbmy6f98xw85b6q99480fitk2utaqb7euhdfz0p92f49xcknfuoerb1p1xujhoun79xt3ydhbe1fw2jvlwa6spl577n56ffbsux99mnfkoswqz3/fold0/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_5ba5318256a52818940b.table.json', 'sha256': '5ba5318256a52818940bda86784f099e07d42bcc3f0ded46ea17c297a26db639', 'size': 595, '_latest_artifact_path': 'wandb-client-artifact://e95tm5nkul5nrgj2wgilbg1q4coperz4ffvrpowy4gm17vqrxjypefzeyb9w63qtfu4u11kr5nqn2t9czym3fya1vuf6ef8puif4ofumfj68sxlhfi8dbsxuvkp03wvq:latest/fold0/confusion_matrix.table.json', 'nrows': 11, 'ncols': 12, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.317670774,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.9896441508629874,,,,,,,,,,,,1770743517.658628,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9622508598185058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9757552838354553,,,,,,,,,,,,,,,2678.319382327,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770743517.6591647,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.6932989690721649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.319714194,,,,,,,,,,,0.6285046728971962,,,,,,,,,,,0.5747863247863247
,,,,,,,,,,,,,,,,,,,,,,,,,,1770743517.6594205,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0.7848101265822784,,,,,,,,,,,,,,,,0.6822558459422283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.319905136,,,,,,,0.6034063260340633,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770743517.6597385,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,0.743801652892562,,,,,,,,,0.5341246290801187,,,,,,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.320282148,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770743517.6600852,,,,,,,,,,,,,,,,0.5061511423550088,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9473684210526315,,,,,,,,0.34532374100719426,,,2678.320606988,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.5440860215053763,,,1770743517.6604078,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6512226512226512,,,,,,,,,,,,,,2678.320962851,,,,,,,,,0.8108974358974359,,,,,,,,,,,,,
,,,,,,,,,,0.08588957055214724,,,,,,,,,,,,,,,,1770743517.6607862,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,0.15162454873646208,,,,,,,,,,,,,,,,,,,,,,,,,,0.6461538461538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.321330949,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770743517.66114,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6865284974093264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.321684858,,,,,,,,,,0.6503067484662577,,,,,0.6177156177156177,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1770743517.6615107,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7919463087248322,0.8137931034482758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.322116846,,,,,,,,,,,,0.8027210884353742,,,,,,,,,,
