fold1/class_0/f1-score,fold3/class_2/f1-score,fold1/class_2/f1-score,fold1/class_0/recall,fold2/class_0/precision,fold3/class_1/precision,fold0/class_1/precision,fold4/class_0/precision,fold0/confusion_matrix,fold3/class_3/f1-score,_runtime,fold2/class_1/recall,fold4/class_2/recall,fold4/class_1/precision,fold4/class_3/f1-score,fold1/class_3/precision,fold2/class_2/recall,fold1/class_1/recall,fold2/confusion_matrix,fold4/class_0/recall,fold4/class_3/precision,fold1/class_2/recall,fold2/class_0/recall,fold4/class_3/recall,cv5/fold_metrics,fold4/class_2/f1-score,fold0/class_0/precision,fold4/class_1/recall,fold1/class_3/f1-score,fold0/class_3/f1-score,fold3/class_0/f1-score,fold0/class_1/recall,fold2/class_1/f1-score,fold1/class_2/precision,fold3/class_3/recall,fold3/class_2/recall,fold2/class_0/f1-score,fold0/class_2/f1-score,fold2/class_3/precision,fold4/class_0/f1-score,fold0/class_1/f1-score,fold1/class_3/recall,fold2/class_2/precision,fold3/class_0/precision,fold0/class_3/recall,fold3/class_1/recall,fold4/class_2/precision,fold1/class_1/f1-score,fold3/class_2/precision,fold0/class_2/precision,fold3/class_0/recall,fold0/class_3/precision,fold0/class_0/recall,fold3/class_3/precision,fold4/class_1/f1-score,fold0/class_2/recall,fold1/class_1/precision,fold2/class_3/f1-score,fold3/confusion_matrix,fold1/class_0/precision,_step,fold0/class_0/f1-score,fold3/class_1/f1-score,fold2/class_1/precision,fold2/class_3/recall,fold1/confusion_matrix,fold4/confusion_matrix,fold2/class_2/f1-score,_timestamp
,,,,,,,,"{'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'sha256': '3d87a5ac492cca3a2e8cf1f300182612afb4b9486a80023f048a7cef73f03581', 'artifact_path': 'wandb-client-artifact://1ppn2iv7f2fvgmc7g1mys7xwwigrmvh8kdt61vz9tronvqnm5047333xinmbl0x8rc1asddj743wcaovduabogvklqeatjvhx3323aodpw9yyp2d36xpt1anxx08qzma/fold0/confusion_matrix.table.json', 'size': 155, '_latest_artifact_path': 'wandb-client-artifact://cwyskzpqzjhgwxq025f8714mjrb2bxqa3b910jx0f0rz6us7d820hn70kpbgcngqv62ivvv4xg1kikx7ardb58mn88xg1o0dq08ydg3is84a6v7drrgv6q85n3fx7ju3:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_3d87a5ac492cca3a2e8c.table.json', '_type': 'table-file'}",,52.173895487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1770720265.5623715
,,,,,,,,,,52.200781147,,,,,,,,,,,,,,,,0.9581335890060723,,,,,,,,,,,,,,,,,,,,,,,,,,0.9733766233766233,,,,,,,,1,0.9656949589305847,,,,,,,1770720265.5896783
,,,,,,0.9447272727272727,,,,52.201326464,,,,,,,,,,,,,,,,,,,,,0.9586715867158672,,,,,,,,,0.9516483516483516,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1770720265.5904086
,,,,,,,,,,52.202044017,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9736756581085473,,,,,,,,,,,,0.9858506087528792,,,,,,0.9617977528089887,,,,,3,,,,,,,,1770720265.5909994
,,,,,,,,,,52.202634381,,,,,,,,,,,,,,,,,,,0.9191748393642205,,,,,,,,,,,,,,,0.9213559322033898,,,,,,,0.917004048582996,,,,,,,,,4,,,,,,,,1770720265.5916345
,,,,,,,,,,102.26032126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,"{'path': 'media/table/fold1/confusion_matrix_5_cbb213c92eb48301b4b6.table.json', 'size': 153, 'artifact_path': 'wandb-client-artifact://qyeemw4q20gapzqibobyury2du55zebz9cfukigk7vqv4btr7aahzut4g04a0yu13bun2epg5lqdf790gh2ed6a7najd7z300torjsnm2cre1hef3jos6dc1yez7gie0/fold1/confusion_matrix.table.json', 'sha256': 'cbb213c92eb48301b4b65c3d4b13c1d0a34173a146ae0483b6c7142cf789f762', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://ojgo6hia6j924znh43xcsh6rwfpvozf4vz2b7vmz110cwc655uj4v1smlg3xwutix64ya04emr67iuztg6j93hrkg6kwp88qz0x8jbmotiaumbrm50oc95pukdu48x9b:latest/fold1/confusion_matrix.table.json', 'nrows': 4}",,,1770720315.6493187
0.9841034021690684,,,0.9842496285289747,,,,,,,102.262080505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983957219251337,6,,,,,,,,1770720315.6511037
,,,,,,,,,,102.26258039,,,,,,,0.9478571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9647400945110869,,,,,,,,,0.9822353811991118,,,,7,,,,,,,,1770720315.6516507
,,0.9764432647644327,,,,,,,,102.262982253,,,,,,,,,,,0.9570731707317073,,,,,,,,,,,,0.9966136132746359,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,1770720315.6521077
,,,,,,,,,,102.263329521,,,,,0.8540740740740741,,,,,,,,,,,,,0.9114624505928853,,,,,,,,,,,,,0.9771186440677966,,,,,,,,,,,,,,,,,,,9,,,,,,,,1770720315.6524847
,,,,,,,,,,179.66964037,,,,,,,,"{'_type': 'table-file', 'ncols': 5, 'path': 'media/table/fold2/confusion_matrix_10_cfefaf5ecf1f9fb9eb03.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://wtl3gouowg4dar9b8874nosq69culncob2pm70a7dj7vcjxw25ypwjtj8j06o09m0zfziwkhwag3qz5qvn0bxc12v9al6pcsoia5zf84zlef6awo7362nj9n5w10rleo/fold2/confusion_matrix.table.json', 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://vrzu3apzbbt614j8nh9lhotmpa0sxb01zv9uuy5obmpxeoc9y8r1yw5y4t3wcsz4x4lowcnwq5zd4v6g25rjb0ehk2gob62krnjsz1v15bi1s3wpeff2kbi0dpz0s0ip:latest/fold2/confusion_matrix.table.json', 'size': 151, 'sha256': 'cfefaf5ecf1f9fb9eb03f3bd193db540b3f902e8f275dcbb61fd73e49ecffb59'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1770720393.0586348
,,,,0.9761394921994494,,,,,,179.672267293,,,,,,,,,,,,0.995631825273011,,,,,,,,,,,,,,0.9857893110905159,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,1770720393.0613859
,,,,,,,,,,179.672674013,0.9694779116465864,,,,,,,,,,,,,,,,,,,,,0.9841011006930289,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,0.9991721854304636,,,,,1770720393.061796
,,,,,,,,,,179.673059592,,,,,,0.9915094339622641,,,,,,,,,,,,,,,,,,,,,,,,,,0.9831618334892422,,,,,,,,,,,,,,,,,,13,,,,,,,0.9873179896665101,1770720393.0622196
,,,,,,,,,,179.673418203,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985029940119761,,,,,,,,,,,,,,,,,,,0.9787234042553191,,,14,,,,0.9597122302158273,,,,1770720393.062611
,,,,,,,,,,235.633132539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': 'aad3f67bb54e7b32ed897c30278f9f4731decdd20d8a90a1b686a47f054f9d2d', 'size': 153, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://ebzry8fn8drslan4r3jcf2tcj8penst0ged09mtgem3r72qf1kthipbx7y795xcbn0s35m3szssoguvuazd8snccey2c0du0jvbx3ftsavvin7qbfuwz8xuev65fitkm:latest/fold3/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_aad3f67bb54e7b32ed89.table.json', 'artifact_path': 'wandb-client-artifact://nkwic20zw4z9ribr3n17qiq07zrsmbsj5f2jye5v81zwqjzmh9msoteac2zpmsvu8x6fdmk5cjrwuzkm7ttr2fem9q4z7rk3oqgankrsv4toqqnpu7uw8dhvtybqzhv8/fold3/confusion_matrix.table.json'}",,15,,,,,,,,1770720449.022118
,,,,,,,,,,235.634894233,,,,,,,,,,,,,,,,,,,,0.9814173228346457,,,,,,,,,,,,,0.9707165109034268,,,,,,,0.9923566878980892,,,,,,,,,,16,,,,,,,,1770720449.0239203
,,,,,0.9277620396600567,,,,,235.635066658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9886792452830189,,,,,,,,,,,,,,,17,,0.9572524662038728,,,,,,1770720449.0242808
,0.9729389553178099,,,,,,,,,235.635446898,,,,,,,,,,,,,,,,,,,,,,,,,0.9587596899224806,,,,,,,,,,,,,0.9875439156818908,,,,,,,,,,,,18,,,,,,,,1770720449.0245762
,,,,,,,,,0.9597238204833142,235.635717046,,,,,,,,,,,,,,,,,,,,,,,,0.9370786516853933,,,,,,,,,,,,,,,,,,,0.9834905660377359,,,,,,,19,,,,,,,,1770720449.024937
,,,,,,,,,,284.090500396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,"{'sha256': '829e95f4ee049a8010ee26d0d82c1389c406f7e865a8c0dc93cddf0c0bcb53f3', 'artifact_path': 'wandb-client-artifact://iusxlghfifbxbp2mgvbk1zhy0cyrwdba18ymb77tjj7ly4m4gnedj4il5zw1ye86tkjeeerl14b9ty5oagjahcgiitfkwa8cdl9qoereaddibdsioh9fm696livw8gi4/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://cmeo1dufrgwm3pwe88fmrphos5bcj0irj3lbxcun1rc8o0mtyz8xzqcptx314ks1ehjby7lbzfu55rn27zbeoydukrib5gef9zop4x8ad7j7vhh1hmuvvf81cxtapdsx:latest/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_829e95f4ee049a8010ee.table.json', 'ncols': 5, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 4, 'size': 154}",,1770720497.4794006
,,,,,,,0.9904519414385742,,,284.092018319,,,,,,,,,0.9832543443917852,,,,,,,,,,,,,,,,,,,,0.9868400190264786,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,1770720497.4811356
,,,,,,,,,,284.09239439,,,0.9680851063829787,,,,,,,,,,,,,,0.9688212927756654,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9684530596731281,,,,,,22,,,,,,,,1770720497.4815426
,,,,,,,,,,284.092746404,,0.9910216718266254,,,,,,,,,,,,,0.9849230769230769,,,,,,,,,,,,,,,,,,,,,0.9788990825688073,,,,,,,,,,,,,,23,,,,,,,,1770720497.481958
,,,,,,,,,,284.093096529,,,,0.9654112221368178,,,,,,0.9721362229102167,,,0.9587786259541985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,1770720497.4822855
,,,,,,,,,,284.395176712,,,,,,,,,,,,,,"{'sha256': '6e4ccb86e4c9f288678c03062588ad8550288a20674a0f26d74b002ca0de6d66', 'size': 770, 'log_mode': 'IMMUTABLE', 'nrows': 5, 'ncols': 9, 'artifact_path': 'wandb-client-artifact://dzobgdwh4xu9n7bw2pqywbzp1qnnb7yubz1j4n4c53wowzjjusuxt9ku0bsz51vetuy34s82w9elm1bvluckwh2pqxrdvg6k2qqcov0rok0n9cfb432lk69q750njxjx/cv5/fold_metrics.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://y3scqzhrghl2jup5zqof5nuc72p1evfwmrtlx1x8rrqve3w3invbbzl9n5z7g3znd1qbbq8poi8zw6iojxw7qs0nl25auuiwgvg0o5byabrx20cgr24n9tuew276vya2:latest/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_6e4ccb86e4c9f288678c.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,1770720497.7842865
