fold0/confusion_matrix,fold2/class_2/f1-score,fold3/class_3/precision,fold0/class_3/precision,fold0/class_0/recall,fold3/class_1/f1-score,fold1/class_1/recall,fold3/class_0/f1-score,fold1/confusion_matrix,_step,fold2/class_0/precision,fold4/class_2/f1-score,fold4/class_1/f1-score,fold2/class_1/recall,fold1/class_0/recall,fold4/confusion_matrix,fold0/class_1/f1-score,fold3/class_0/recall,fold3/confusion_matrix,fold2/class_3/f1-score,fold2/class_0/recall,fold1/class_1/precision,fold2/class_3/precision,fold4/class_0/f1-score,fold1/class_0/f1-score,fold1/class_3/f1-score,fold3/class_2/recall,fold1/class_2/precision,fold2/class_2/precision,fold3/class_2/f1-score,fold0/class_0/f1-score,fold0/class_3/recall,fold2/class_2/recall,fold4/class_2/recall,fold3/class_0/precision,fold0/class_2/recall,fold2/confusion_matrix,fold4/class_3/precision,fold2/class_3/recall,fold3/class_3/f1-score,fold2/class_0/f1-score,fold4/class_3/f1-score,fold4/class_3/recall,fold1/class_1/f1-score,fold0/class_1/precision,fold4/class_2/precision,_timestamp,fold4/class_1/precision,_runtime,cv5/fold_metrics,fold4/class_0/recall,fold2/class_1/precision,fold0/class_0/precision,fold3/class_3/recall,fold0/class_2/f1-score,fold1/class_0/precision,fold0/class_3/f1-score,fold2/class_1/f1-score,fold3/class_1/recall,fold1/class_2/f1-score,fold1/class_3/precision,fold3/class_1/precision,fold4/class_0/precision,fold1/class_2/recall,fold0/class_2/precision,fold3/class_2/precision,fold0/class_1/recall,fold1/class_3/recall,fold4/class_1/recall
"{'size': 157, 'sha256': 'abc565fb51883236b4cb8e6d890a53cc8bb719575baa270dc10fe63120df857a', '_type': 'table-file', 'nrows': 4, 'artifact_path': 'wandb-client-artifact://wrekusfqg4swb87r408qqi9xefjqw5ydzbaph6xwr5r7ihhhjoq1a17prfave32n390w1ug7ewyc6ulsnd9y2hddxo42w91klhejjnfos7vnp495ie03c0haexzen39w/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://f8tf9mq7fsfsi6loqaijevdcvm0dw7ngu03ep3t3u67pe63kxkicvieac5nm2u8hzeu11fn2bagxsh62i61kglznwpnse3ts1fq7r8h8qmmweo1z262sqz52xlfmjrvk:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold0/confusion_matrix_0_abc565fb51883236b4cb.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770929168.9899209,,1943.043351,,,,,,,,,,,,,,,,,,,,
,,,,0.9953102453102453,,,,,1,,,,,,,,,,,,,,,,,,,,,0.9564915929970532,,,,,,,,,,,,,,,,1770929168.9919395,,1943.045185738,,,,0.9205872539205873,,,,,,,,,,,,,,,,
,,,,,,,,,2,,,,,,,0.9641133263378804,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9875322441960447,,1770929168.992446,,1943.045482288,,,,,,,,,,,,,,,,,,0.941779417794178,,
,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.9580881041555199,,,,,,,,,,,1770929168.992766,,1943.045934437,,,,,,0.9738058551617874,,,,,,,,,,0.9900479174345743,,,,
,,,0.988795518207283,,,,,,4,,,,,,,,,,,,,,,,,,,,,,0.9306967984934087,,,,,,,,,,,,,,,1770929168.9931738,,1943.046221939,,,,,,,,0.9588668994955375,,,,,,,,,,,,
,,,,,,,,"{'_type': 'table-file', 'sha256': 'c49b58995680ec61106f1d7c009674a7d82d8f7d31986fef753521cb88ceaee2', 'size': 154, 'log_mode': 'IMMUTABLE', 'nrows': 4, 'artifact_path': 'wandb-client-artifact://tlvq5vpmw95va0os4m08bmekwuw3owunaudt0p007uh0z7netd6zdyv7vic7eeamwjfhf988v7btxk0twh45ours5499f05pco75yxodtnph1kktk73f0l70jt8eqn5r/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://b327aayec44oqweh4bgazl3nxwyu6uufoad7tkmtnovouaoirikx786whmt7ahzmkp3pqswa7fejxfcv2jilz89nt6doblwn0xme37urzlombfknm0hytv66k688ykvr:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_c49b58995680ec61106f.table.json', 'ncols': 5}",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770929382.8530333,,2156.906233048,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6,,,,,0.9772164437840515,,,,,,,,,,0.9652641878669276,,,,,,,,,,,,,,,,,,,,,,1770929382.8541493,,2156.907147055,,,,,,,0.9536007733204447,,,,,,,,,,,,,
,,,,,,0.9333333333333333,,,7,,,,,,,,,,,,0.98989898989899,,,,,,,,,,,,,,,,,,,,,,0.9607843137254902,,,1770929382.8543344,,2156.907307434,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,8,,,,,,,,,,,,,,,,,,0.9578088991313597,,,,,,,,,,,,,,,,,,,1770929382.854498,,2156.907439446,,,,,,,,,,,0.9668933428775949,,,,0.9761517615176152,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,0.9564796905222437,,,,,,,,,,,,,,,,,,,,,1770929382.854641,,2156.907558403,,,,,,,,,,,,0.9831013916500994,,,,,,,0.931261770244821,
,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold2/confusion_matrix_10_b52700f069841415805d.table.json', 'artifact_path': 'wandb-client-artifact://goz7e6jxjqicjm7ovtc2xjxiyxrmf92btqbx9hjggprh9b8ew38jjqoioxywh4j46fqc5tiu9ow30gozsx43pvaq50e72r9ey27hwpgz3jhhynvmq79b5nkcqy1dn9tt/fold2/confusion_matrix.table.json', 'sha256': 'b52700f069841415805dc7ed64af78386d9d10e4780f69f41ac95a62c76f8479', 'size': 154, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://4evpcmtz3ezicap5sspcx82csm5cvytvr23kd2tm3maf2mcv1fxa2gel0vev8nu2e0ho50yr4r0ener26m49dtw9z6ke58uzd4ihz1a9mm7tcayozsmw8q6ohjrf9s4u:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'nrows': 4}",,,,,,,,,,1770929565.503648,,2339.556859242,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11,0.9400891236177588,,,,,,,,,,0.9873461605130872,,,,,,,,,,,,,,,,,,,,0.9631383158606696,,,,,,1770929565.5046082,,2339.557656207,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12,,,,0.9437751004016064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770929565.504835,,2339.557796315,,,0.9850954820680019,,,,,,0.963992707383774,,,,,,,,,,,
,0.9699102586661974,,,,,,,,13,,,,,,,,,,,,,,,,,,,0.9769585253456221,,,,0.9629629629629629,,,,,,,,,,,,,,1770929565.504998,,2339.557944159,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,14,,,,,,,,,,0.9685071574642127,,,0.9916247906197655,,,,,,,,,,,,,,,,0.9464428457234213,,,,,,,,1770929565.5051455,,2339.558094118,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,"{'_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://klax6hm318xatkubms9tbur2vnnrxvar53b9w4uq0gtr1j17quuc6yrdbjhq62p2929sdjp6kx25p5i4mq8w92gl8ob5nzobv36bxrf7ct24q6lia5tvufs69a039ql1:latest/fold3/confusion_matrix.table.json', 'nrows': 4, 'size': 155, 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_994c101b516b7c625b1c.table.json', 'artifact_path': 'wandb-client-artifact://szb3ac8bynzap4q46mkzoiizcpmhfi25hz1o55gi2rmjrutdk9px3plidcruqszo94hnpd01n5llvqu3vn92qhqeloxce512srnylcuq62srg7ifakn3arxmcgbr4lyt/fold3/confusion_matrix.table.json', 'sha256': '994c101b516b7c625b1c62187bcf2b8d41a8fe9481b5f42d6ba7d9b27919bdde'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,1770929723.6416988,,2497.694912967,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.96147201105736,,16,,,,,,,,0.9846072186836518,,,,,,,,,,,,,,,,,0.9393990546927752,,,,,,,,,,,,1770929723.6435032,,2497.696484402,,,,,,,,,,,,,,,,,,,,
,,,,,0.9642625081221572,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770929723.6436977,,2497.69661949,,,,,,,,,,0.9333333333333333,,,0.9973118279569892,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,0.9681309216192937,,,0.9701363714828241,,,,,,,,,,,,,,,,,1770929723.643851,,2497.69675987,,,,,,,,,,,,,,,,,0.9721501470333852,,,
,,0.9835355285961872,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9637019741031628,,,,,,,1770929723.6439905,,2497.696879177,,,,,0.9446525176862256,,,,,,,,,,,,,,,
