fold2/class_0/precision,fold4/class_1/recall,fold4/class_3/recall,fold4/class_2/f1-score,fold3/class_0/precision,fold0/class_3/recall,fold3/class_1/recall,fold3/class_3/f1-score,fold1/class_2/f1-score,_step,fold0/class_2/f1-score,fold1/class_1/recall,fold0/class_0/f1-score,cv5/fold_metrics,fold4/class_2/recall,fold2/class_0/recall,fold1/class_0/precision,fold0/class_2/precision,fold1/class_0/f1-score,_timestamp,fold3/class_3/recall,fold3/confusion_matrix,fold0/confusion_matrix,fold2/class_0/f1-score,fold2/confusion_matrix,fold1/class_3/f1-score,fold2/class_3/precision,fold3/class_1/f1-score,fold2/class_1/recall,fold0/class_1/precision,fold4/class_2/precision,fold4/class_3/f1-score,fold4/confusion_matrix,fold2/class_1/precision,fold3/class_2/recall,fold0/class_1/f1-score,fold2/class_1/f1-score,fold3/class_2/precision,fold1/class_3/precision,fold3/class_1/precision,fold2/class_2/recall,fold4/class_1/f1-score,fold0/class_0/precision,fold0/class_3/precision,fold2/class_3/recall,fold0/class_1/recall,fold3/class_0/f1-score,fold3/class_3/precision,fold0/class_0/recall,fold1/class_2/recall,fold3/class_2/f1-score,fold1/class_3/recall,fold4/class_1/precision,fold4/class_0/recall,fold2/class_2/f1-score,fold0/class_2/recall,_runtime,fold4/class_0/f1-score,fold1/class_1/f1-score,fold4/class_3/precision,fold1/class_0/recall,fold2/class_3/f1-score,fold2/class_2/precision,fold4/class_0/precision,fold1/confusion_matrix,fold1/class_1/precision,fold1/class_2/precision,fold0/class_3/f1-score,fold3/class_0/recall
,,,,,,,,,0,,,,,,,,,,1770934568.2521832,,,"{'_latest_artifact_path': 'wandb-client-artifact://efgdcqnmsfn5jf5lh2n1kq1yx1nqe0zw5iqly97alpd5rrxefu3ax9gu50exncwgs3aybcyvwyg1putm9tpsuc7klfte0u9lynlp77wjh3shd123hwzhqoc5tbwofbtw:latest/fold0/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://2tm2s9cqiw1axl3mzylae4r0w6k4m586vi6h9pvqh6vv92qu835p2q4w1m4ilv9xz7unm0o1isviz6zjzpklgnneh2yjntvez53edzyy3b14y48n4ytgxto3ddwjvzgr/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'sha256': 'c95509c415638c0159ba7acbcf6b89f6c1c0f89b4a4edff28b1b345b6deb9f82', 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_c95509c415638c0159ba.table.json', 'size': 146, 'nrows': 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4615.552232201,,,,,,,,,,,,
,,,,,,,,,1,,,0.9981981981981982,,,,,,,1770934568.2543008,,,,,,,,,,,,,,,,,,,,,,,0.9971202303815695,,,,,,0.9992784992784993,,,,,,,,4615.554130325,,,,,,,,,,,,
,,,,,,,,,2,,,,,,,,,,1770934568.254758,,,,,,,,,,0.9987649238369699,,,,,,0.9967132292522597,,,,,,,,,,0.994669946699467,,,,,,,,,,,4615.554422506,,,,,,,,,,,,
,,,,,,,,,3,0.998750669284312,,,,,,,0.9994641900339346,,1770934568.2550068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9980381665774924,4615.554588295,,,,,,,,,,,,
,,,,,0.9981167608286252,,,,4,,,,,,,,,,1770934568.2551663,,,,,,,,,,,,,,,,,,,,,,,,0.9958662157083803,,,,,,,,,,,,,4615.554724917,,,,,,,,,,,0.9969902182091799,
,,,,,,,,,5,,,,,,,,,,1770934976.5378113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5023.837940465,,,,,,,,"{'size': 151, '_latest_artifact_path': 'wandb-client-artifact://0gbr3b5d9r8isoewgjijp27h56qh8c035e5ed4y65mf2e2hfee2kqi6iqek3g8dehpi1b2wwiakv7023inrscll0c92dbotjb5rhxnswk6sc38h1wr56rf8dtqgo24cc:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'sha256': 'c8e15cd7ff67118a5ba3e805926c7198a792b34ca6ae09ff5e7884607715eaba', 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_c8e15cd7ff67118a5ba3.table.json', 'artifact_path': 'wandb-client-artifact://tickjgcraov453adckfrt84qis9am2e5lcjb694ggillw14uaa7fjlaials9ztqy63wjaev3qd86wyoeuea5p7x4hpqa6y25yggkdd8qc70obtpgpclook2evssxthod/fold1/confusion_matrix.table.json'}",,,,
,,,,,,,,,6,,,,,,,0.9961933134723602,,0.9949582610133069,1770934976.5393314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5023.839138728,,,,0.9937262671289417,,,,,,,,
,,,,,,,,,7,,0.9900793650793651,,,,,,,,1770934976.539701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5023.839332603,,0.9938259310894244,,,,,,,0.9976009596161536,,,
,,,,,,,,0.9947549285585097,8,,,,,,,,,,1770934976.5398996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993676603432701,,,,,,,5023.839470397,,,,,,,,,,0.9958355965960529,,
,,,,,,,,,9,,,,,,,,,,1770934976.5400507,,,,,,0.9869585468095017,,,,,,,,,,,,,0.9764976958525345,,,,,,,,,,,,,0.9976459510357816,,,,,5023.839608872,,,,,,,,,,,,
