fold1/class_3/f1-score,fold0/class_0/f1-score,fold3/class_2/recall,fold2/confusion_matrix,fold1/class_3/recall,fold0/class_1/recall,fold4/class_1/recall,fold2/class_2/f1-score,fold1/class_3/precision,fold4/confusion_matrix,fold2/class_2/precision,fold3/class_0/precision,fold0/class_2/recall,fold1/class_2/precision,fold4/class_2/precision,fold2/class_2/recall,fold4/class_1/f1-score,fold1/class_2/recall,fold4/class_3/precision,fold3/class_2/precision,fold3/class_3/precision,fold4/class_1/precision,fold4/class_3/f1-score,fold4/class_2/recall,fold1/class_2/f1-score,fold4/class_3/recall,fold2/class_0/f1-score,fold0/class_3/precision,fold0/class_0/recall,fold4/class_2/f1-score,fold0/class_1/precision,fold3/confusion_matrix,fold2/class_3/f1-score,fold3/class_1/precision,fold2/class_1/f1-score,fold2/class_1/precision,_timestamp,fold1/class_1/precision,fold0/class_1/f1-score,fold0/class_0/precision,fold0/class_2/f1-score,fold1/confusion_matrix,fold4/class_0/precision,fold4/class_0/recall,fold3/class_1/f1-score,fold1/class_1/recall,fold2/class_3/recall,fold1/class_1/f1-score,fold1/class_0/precision,fold2/class_1/recall,fold0/class_3/f1-score,fold4/class_0/f1-score,fold3/class_3/recall,fold3/class_0/recall,fold2/class_0/precision,fold2/class_3/precision,fold3/class_0/f1-score,fold2/class_0/recall,_runtime,fold1/class_0/recall,fold0/confusion_matrix,_step,fold3/class_2/f1-score,fold0/class_2/precision,fold3/class_1/recall,fold3/class_3/f1-score,cv5/fold_metrics,fold0/class_3/recall,fold1/class_0/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770928343.3161616,,,,,,,,,,,,,,,,,,,,,,2292.044552353,,"{'log_mode': 'IMMUTABLE', 'size': 149, 'artifact_path': 'wandb-client-artifact://9mpr8w9qen70qbe39zqzbjcjwtacubrnqx38y2nnj0t427dh8o2dypgslkt4gdg63ou0dinmq7tc16ah2e4i4oemx8u6oj4cukwueithixyn0tbn6oa2tdqq5cldbr9x/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://gvsvofm1fb2nv3x2isb8dtgkagvqwmf6eca6yw6bo7zyrojsdoi59d175v67t421l9qfwvu2wraz88w4vqd9jtopdqviijtwu93shniei9ansru71zwl5guerzxg5xhs:latest/fold0/confusion_matrix.table.json', 'sha256': 'f3cc93bd0f0ec3fc115615bd394a3f9dcc25ba44c9eed1730d3351e192495452', '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_f3cc93bd0f0ec3fc1156.table.json'}",0,,,,,,,
,0.9968425800631484,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9965728715728716,,,,,,,,1770928343.3177526,,,0.9971124345785959,,,,,,,,,,,,,,,,,,,2292.046075014,,,1,,,,,,,
,,,,,0.986059860598606,,,,,,,,,,,,,,,,,,,,,,,,,0.993801652892562,,,,,,1770928343.318063,,0.9899156204980448,,,,,,,,,,,,,,,,,,,,2292.04625409,,,2,,,,,,,
,,,,,,,,,,,,0.9962546816479401,,,,,,,,,,,,,,,,,,,,,,,,1770928343.3182552,,,,0.9980346614257638,,,,,,,,,,,,,,,,,,2292.046427243,,,3,,0.9998210130660462,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9833147942157954,,,,,,,,,1770928343.3184261,,,,,,,,,,,,,,0.9910313901345291,,,,,,,,2292.046609084,,,4,,,,,,0.9988700564971752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770928665.5550778,,,,,"{'sha256': 'e26710e0c6b9570ec966b72b0cd9f76bbf790283f18ffffddd9c2212890269dc', 'size': 147, '_latest_artifact_path': 'wandb-client-artifact://eeso00guxee97gdj8yl7fluzzldqrlf0kojq5cw581fqjdjiy9gghpxrkd1dhxrqmgwogwh07gvwn5054wr2xcjw8my1h41fn6ftzwvfwm3yqb27y5bkpnhij8saw53x:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_e26710e0c6b9570ec966.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://qmt4u4uokzmx35qndzs01vrv04rg5ndnz28tx5cegyzpl54s6qdqwmft93l7hbvejdfyrumvgb6dlxpbp8yqyn4d53iaz8q3xi4atlpeke5bofrlgm76maunprwm8ois/fold1/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'nrows': 4}",,,,,,,,,,,,,,,,,2614.283462835,,,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770928665.5566065,,,,,,,,,,,,0.9995027349577325,,,,,,,,,,2614.284857142,0.9955423476968797,,6,,,,,,,0.9975186104218362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770928665.5568712,0.9897879025923016,,,,,,,,1,,0.9948677457560205,,,,,,,,,,,2614.285081487,,,7,,,,,,,
,,,,,,,,,,,,,0.9972958355868037,,,,0.9994579945799458,,,,,,,0.9983757444504602,,,,,,,,,,,,1770928665.5570872,,,,,,,,,,,,,,,,,,,,,,2614.285235833,,,8,,,,,,,
0.9962210675484175,,,,0.9929378531073446,,,,0.999526066350711,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770928665.5572557,,,,,,,,,,,,,,,,,,,,,,2614.285439848,,,9,,,,,,,
