fold0/class_1/recall,fold4/class_0/f1-score,fold3/class_0/recall,fold4/class_0/recall,fold0/class_0/f1-score,fold3/class_1/recall,fold1/class_0/f1-score,fold2/class_1/recall,fold1/class_0/precision,cv5/fold_metrics,fold1/class_1/precision,fold2/class_1/precision,fold0/class_0/recall,fold4/class_1/recall,fold3/class_0/f1-score,fold3/confusion_matrix,fold2/class_0/precision,fold1/confusion_matrix,fold1/class_0/recall,fold2/class_0/f1-score,fold0/class_0/precision,fold2/class_0/recall,fold4/class_0/precision,fold0/class_1/f1-score,fold4/confusion_matrix,fold0/confusion_matrix,fold2/confusion_matrix,fold1/class_1/f1-score,fold2/class_1/f1-score,fold3/class_1/f1-score,fold1/class_1/recall,_timestamp,fold4/class_1/f1-score,fold3/class_0/precision,fold4/class_1/precision,fold0/class_1/precision,_runtime,fold3/class_1/precision,_step
,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://6afpqkg7j7jjthwkgqjk9j5yn6tfbafbimuayybr8uinb840yexrrdl2kxcy8eq2g727wy2x7ezm56mdqk9nwpzk00s1nu0ctfpkp8eoa1tvqq3v669khaq17ucspwkn/fold0/confusion_matrix.table.json', 'sha256': 'd6fc55c542ed08d168a044bbc0b4a1f8256d0175c825cfef6dd28b5b725cf0d0', 'size': 83, 'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_d6fc55c542ed08d168a0.table.json', '_latest_artifact_path': 'wandb-client-artifact://5f1jefm9yamsjbzzm6aa6omfro3o7m3054dmgc8yewkxrsocad9w81m6aponf3yhi6lcp50vjwkmni0dgty7dfhapkpr5agt9jbi7rm143k6vmvyizlj7ckl7lejikfy:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 3}",,,,,,1770748182.252961,,,,,2609.216609484,,0
,,,,0.9921943711521548,,,,,,,,1,,,,,,,,0.984509654194393,,,,,,,,,,,1770748182.2547643,,,,,2609.21804831,,1
0.9852493074792243,,,,,,,,,,,,,,,,,,,,,,,0.9925698538389088,,,,,,,,1770748182.2550364,,,,1,2609.218172749,,2
,,,,,,,,,,,,,,,,,"{'size': 83, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://uuvsaft6f9jw8jz48ugsdv6287nackc4w7xjvveeikomrxvhwhjvy3f41co60yylad6rr35vhdachlm48xvqmnq3qeq4aqgienrvbc74p10ubxd2vbfhdxpi1ydwyrfp/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://2d84rgyn0uojl814r6j813a1v9bv2iwu30tjqix262a15n1kqdt5okc1elbto52m1f5oe51tizshs88okgikc5si2h7p1bg6wsd23btmfp2yedrsh9ha92utwors09i7:latest/fold1/confusion_matrix.table.json', 'nrows': 2, 'sha256': 'a4fed984ec1406386f92b0e0c49fb78a421a6476d4404d777b3a22edd6bc5da6', 'log_mode': 'IMMUTABLE', 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_a4fed984ec1406386f92.table.json'}",,,,,,,,,,,,,,1770748435.1744492,,,,,2862.137716561,,3
,,,,,,0.9908327386507109,,0.9818320278503047,,,,,,,,,,1,,,,,,,,,,,,,1770748435.1760683,,,,,2862.139248073,,4
,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.9912502837981803,,,0.9826523545706372,1770748435.1762602,,,,,2862.139402792,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 2, 'log_mode': 'IMMUTABLE', 'ncols': 3, 'path': 'media/table/fold2/confusion_matrix_6_aba515dde71a2f8fa5f0.table.json', 'size': 83, '_type': 'table-file', 'sha256': 'aba515dde71a2f8fa5f0043a6cb0a23ec82544fbc386f3d6485eb8215f1406cf', 'artifact_path': 'wandb-client-artifact://nyt6fuu8w7iibhj2h6wankm0sbfwpws21gt47rwrw7igoy4p7tl6j565bj0m0hwic7mbou89flgr8lcl9nyrz3abhxr4mu6vrlyne1cbbian0esj6m60ol6xn35uwir2/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://s8bo2xea3kqhufdhfesp3zfvpu5ejhex8rw16692tct4tybaixdplabmffm9i0zy54f4rainqdv807liyx3yt66f6urvlpmt9z1er9bstvg86kjnzkc6ailrz76l97az:latest/fold2/confusion_matrix.table.json'}",,,,,1770748572.6797345,,,,,2999.643043526,,6
,,,,,,,,,,,,,,,,0.9781312127236581,,,0.9889447236180905,,1,,,,,,,,,,1770748572.6814132,,,,,2999.644644657,,7
,,,,,,,0.9790396341463414,,,,1,,,,,,,,,,,,,,,,,0.9894088195647988,,,1770748572.6816602,,,,,2999.644875909,,8
,,,,,,,,,,,,,,,"{'path': 'media/table/fold3/confusion_matrix_9_21664ae56c0d502574c0.table.json', 'ncols': 3, 'nrows': 2, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://yuvkhha085f26l4xxdt8ra5fpwrc525dxbn389yn9w4avtsdsk8yio9qvgbxbhqbpkcbr6atx1spaozh0x4loxp7h68vecj2a44ab2uvocdoi03mf24gd3vdatu82b6i/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://9udesynb2dqhkfyhsq086373qdyqjvek99qfwvdhhm3rw2sxrnj4fq7hq8v3l7fvrz2rhs696b0ulkreiiysmk271co0eyfb10o3ytj0z1i8my65hu40z1rhug5081zh:latest/fold3/confusion_matrix.table.json', 'sha256': '21664ae56c0d502574c07c0a39165e96af181d081dd4582e1aabc7baa54106c7', 'size': 83}",,,,,,,,,,,,,,,,1770748812.4536839,,,,,3239.41696412,,9
,,0.9998521803399852,,,,,,,,,,,,0.9914072662648175,,,,,,,,,,,,,,,,,1770748812.4543078,,0.9831038116347517,,,3239.417518559,,10
,,,,,0.9838899667405765,,,,,,,,,,,,,,,,,,,,,,,,0.9918102921403251,,1770748812.4545004,,,,,3239.4176744,0.9998591698060064,11
,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': '57fe93dd5a3b6ed6eb6df5079129f8c48bda866a94fbbeec3f3cab50d1f2ae1d', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://edpz0prjcv964o219c00il385t9yjrkyc6ywo29r19fyituvlc54z16c54paw8qhc0i413q1z2f176mfv0y2yjoiwoan2ky8t2ny6xg1fw7aues53d84pz8a65vo0smt/fold4/confusion_matrix.table.json', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://hp3hkc3f2ivrgpu4xn6ctky6bf43xn2mr6wib43zw8jw7i4wfmq6m6jo08e5kr5sh8whj8aehqzzt90gdoerc3n1svhz4kza1cw28w9za4cyqxhwy1ecejuzqz96i6j7:latest/fold4/confusion_matrix.table.json', 'size': 83, 'nrows': 2, 'path': 'media/table/fold4/confusion_matrix_12_57fe93dd5a3b6ed6eb6d.table.json', '_type': 'table-file'}",,,,,,,1770748929.5779405,,,,,3356.54136715,,12
,0.9916991919080864,,1,,,,,,,,,,,,,,,,,,,0.983535056155272,,,,,,,,,1770748929.5791516,,,,,3356.542328171,,13
,,,,,,,,,,,,,0.984305709534368,,,,,,,,,,,,,,,,,,1770748929.5793383,0.9920907900480139,,1,,3356.54247754,,14
,,,,,,,,,"{'sha256': '2878f4797d1bff3aaf3910ae44fb17a2c69865ba233817641331d27221fadb3f', '_type': 'table-file', 'nrows': 5, 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_15_2878f4797d1bff3aaf39.table.json', 'log_mode': 'IMMUTABLE', 'size': 773, 'artifact_path': 'wandb-client-artifact://exjkmvr45g5ad4lppospntji43zmn6lkz5w9rwnhxg129q560gfetyjl09kln47t82idqp9azpujzuvboxd3ocxt7fqqppc08czkpg4qpffibtqr8n92o8g2chm5x5t0/cv5/fold_metrics.table.json', '_latest_artifact_path': 'wandb-client-artifact://atf3qvpg72897l9epjh0hvac1f86i2ulymnas157m8qg828ik4vh2fjz7glp1yo1jfrevh4v0fc2ek7chccn8e4q2dp4wl6yzgpyt5uawweuewcd6quekfqvxl058i5b:latest/cv5/fold_metrics.table.json'}",,,,,,,,,,,,,,,,,,,,,,1770748929.8551152,,,,,3356.818484228,,15
