fold2/class_3/precision,fold3/class_2/recall,fold4/class_1/recall,fold2/class_1/precision,fold4/class_3/recall,fold3/confusion_matrix,fold1/class_0/recall,fold3/class_0/recall,fold0/class_0/precision,fold2/class_2/precision,fold1/class_2/recall,fold1/class_1/recall,fold2/class_3/recall,fold3/class_3/f1-score,fold0/class_0/recall,fold0/class_1/f1-score,fold2/class_3/f1-score,fold2/class_0/precision,fold2/class_2/f1-score,fold4/class_0/precision,fold4/class_3/precision,fold0/class_3/recall,fold4/confusion_matrix,fold0/class_3/precision,fold4/class_2/recall,_step,fold3/class_1/f1-score,fold1/class_2/precision,fold3/class_3/precision,fold4/class_2/f1-score,fold2/class_1/recall,fold3/class_1/precision,fold0/class_1/precision,fold0/class_0/f1-score,fold1/class_3/f1-score,fold3/class_2/precision,fold1/confusion_matrix,fold0/confusion_matrix,fold3/class_0/f1-score,fold4/class_3/f1-score,fold3/class_2/f1-score,fold0/class_3/f1-score,fold1/class_1/f1-score,fold1/class_3/recall,fold1/class_2/f1-score,fold4/class_0/f1-score,fold0/class_2/f1-score,_timestamp,fold4/class_1/f1-score,fold4/class_2/precision,fold1/class_0/precision,fold0/class_1/recall,_runtime,fold2/class_1/f1-score,fold4/class_0/recall,fold1/class_3/precision,fold2/class_0/recall,cv5/fold_metrics,fold2/confusion_matrix,fold3/class_3/recall,fold0/class_2/precision,fold2/class_0/f1-score,fold0/class_2/recall,fold3/class_0/precision,fold4/class_1/precision,fold3/class_1/recall,fold2/class_2/recall,fold1/class_0/f1-score,fold1/class_1/precision
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ud9v7rx87ofkcp3meuhshrwn4elwlcgti2psahnu2gc7zgihdz3l11pf46dgeu64raijvcbi0gshhqcfr70n3117chv6mgfg89qzau978m4hze2p7mppgxt1wem4t6mh/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://vryxfoxswr8r1zxto3nn0sy7omzqzlyig4cqdb5yh1omy591otq73644uusd0oqp40zmaf1vlib3urwfrt06hxziqsmfikx7b09uykxb1ann4aarkbq6ejfd1mx1cxv1:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'sha256': '76961399955c194cbf0f16cce1130397791bd37129ad16e7786fac98a8dc6c23', 'size': 146, '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_76961399955c194cbf0f.table.json', 'nrows': 4}",,,,,,,,,,1770720197.0314846,,,,,1798.94488739,,,,,,,,,,,,,,,,
,,,,,,,,0.9996749024707412,,,,,,0.9983766233766234,,,,,,,,,,,1,,,,,,,,0.9990253411306043,,,,,,,,,,,,,,1770720197.0339744,,,,,1798.946659046,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9963045084996305,,,,,,,,,,2,,,,,,,0.997779422649889,,,,,,,,,,,,,,,1770720197.0344458,,,,0.9948339483394834,1798.947119838,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0.9971088981689689,1770720197.034937,,,,,1798.947555717,,,,,,,,0.9977499196399872,,0.9964686998394864,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.9959322033898305,,0.9878950907868191,,4,,,,,,,,,,,,,,,,0.9918973666441594,,,,,,1770720197.0352807,,,,,1798.947882834,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,"{'nrows': 4, 'log_mode': 'IMMUTABLE', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://yl2z7solp2gi89e0qxptnvihxbf9jjvguzbiswxlru58w9we6520jmztizvczm5glvy6117u87cp9k95b0u3ka4i60hc13fpksgo6i0ptp1w3c0r10ew07u8le79ow36:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_5f7b23262a68dc8237cd.table.json', 'size': 146, 'sha256': '5f7b23262a68dc8237cd1a625efbadaf04d0f200936c7d2fad35f44f5b67b434', 'artifact_path': 'wandb-client-artifact://zp9j2qsp2vkz35v0ezw105mceq53sihol8x0x7r4tdmonk4se05jr9f4edlv5koklbj9qes4j2551nml3zubkmmo1tmdvsakxmvnoru77btx5uungn7j6g7022xmt1g1/fold1/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,1770720420.5082839,,,,,2022.42106476,,,,,,,,,,,,,,,,
,,,,,,0.9940564635958395,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1770720420.5097249,,,0.9997011356843993,,2022.422450413,,,,,,,,,,,,,,,0.9968708091193563,
,,,,,,,,,,,0.9985714285714286,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,0.9971469329529244,,,,,1770720420.5101106,,,,,2022.422762015,,,,,,,,,,,,,,,,0.9957264957264957
,,,,,,,,,,0.9983739837398374,,,,,,,,,,,,,,,8,,0.9993489583333334,,,,,,,,,,,,,,,,,0.998861233121848,,,1770720420.5104706,,,,,2022.423072297,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,0.9890664423885618,,,,,,,,,0.9966101694915255,,,,1770720420.5107915,,,,,2022.423353679,,,0.9816360601001669,,,,,,,,,,,,,
