fold2/class_2/precision,fold4/class_10/precision,fold2/class_9/precision,fold1/class_2/f1-score,fold0/class_7/recall,fold3/class_8/recall,fold2/class_4/recall,fold1/class_9/f1-score,fold0/class_2/f1-score,fold3/class_3/precision,fold3/class_4/precision,fold4/class_8/f1-score,fold1/class_6/precision,fold4/class_1/precision,fold2/class_1/recall,fold4/class_10/recall,fold3/class_5/recall,fold1/class_5/recall,fold4/class_3/recall,fold3/class_8/precision,fold4/class_4/recall,fold0/class_4/recall,fold4/class_0/f1-score,fold3/class_8/f1-score,fold4/class_9/f1-score,fold3/class_10/precision,fold1/class_6/f1-score,fold1/class_2/precision,fold3/class_7/f1-score,fold1/class_1/precision,fold3/class_4/recall,fold3/class_5/f1-score,fold4/class_7/f1-score,fold4/confusion_matrix,fold4/class_7/precision,fold0/class_10/f1-score,fold0/class_1/precision,fold0/class_2/precision,fold4/class_0/recall,fold3/class_7/precision,fold4/class_5/recall,fold2/class_7/f1-score,fold1/class_6/recall,fold4/class_9/recall,fold2/class_10/precision,fold1/class_0/precision,fold2/class_10/f1-score,fold2/class_3/precision,fold0/class_2/recall,fold1/class_0/f1-score,fold1/class_7/precision,fold2/class_8/recall,fold1/class_10/f1-score,fold0/class_1/f1-score,fold1/class_3/f1-score,fold0/class_3/recall,fold2/class_5/recall,fold4/class_3/precision,fold3/class_10/f1-score,fold2/class_6/precision,fold1/class_7/recall,fold1/class_9/recall,fold0/class_8/precision,fold3/class_0/recall,fold4/class_4/precision,fold1/class_3/recall,fold0/class_0/f1-score,fold2/class_4/precision,fold4/class_3/f1-score,fold2/class_2/f1-score,fold4/class_2/f1-score,fold2/class_7/recall,fold3/class_2/f1-score,fold3/class_10/recall,fold3/class_4/f1-score,fold4/class_7/recall,fold2/class_10/recall,fold2/class_6/f1-score,fold0/class_3/f1-score,fold2/class_3/recall,fold4/class_8/precision,_timestamp,fold4/class_6/precision,fold1/class_5/precision,fold1/class_4/recall,fold1/class_7/f1-score,fold1/class_10/recall,fold3/class_3/f1-score,fold1/class_0/recall,fold2/class_6/recall,fold1/class_8/recall,_step,fold3/class_3/recall,fold2/class_9/f1-score,fold0/class_8/f1-score,fold0/class_1/recall,fold1/class_5/f1-score,fold3/class_6/precision,fold3/class_7/recall,fold2/class_3/f1-score,fold3/class_0/f1-score,fold1/class_3/precision,fold1/class_9/precision,fold0/class_6/f1-score,fold0/class_6/recall,fold1/class_1/f1-score,fold2/class_7/precision,fold0/class_9/recall,fold2/confusion_matrix,fold3/class_9/precision,fold0/class_8/recall,fold0/class_7/f1-score,fold0/class_10/precision,fold4/class_10/f1-score,fold2/class_8/f1-score,fold0/confusion_matrix,fold0/class_4/precision,fold4/class_1/recall,fold1/class_8/precision,fold3/class_5/precision,fold4/class_5/precision,fold4/class_6/recall,fold3/confusion_matrix,fold3/class_1/recall,fold3/class_1/f1-score,fold2/class_0/recall,fold4/class_0/precision,fold1/class_2/recall,fold4/class_8/recall,fold0/class_9/f1-score,fold4/class_5/f1-score,fold3/class_6/recall,fold0/class_7/precision,fold2/class_4/f1-score,fold2/class_0/f1-score,cv5/fold_metrics,fold3/class_9/recall,fold3/class_6/f1-score,fold2/class_9/recall,fold0/class_4/f1-score,fold0/class_9/precision,fold4/class_2/recall,fold2/class_8/precision,fold2/class_1/f1-score,fold4/class_4/f1-score,fold3/class_0/precision,fold1/class_4/precision,fold1/confusion_matrix,fold1/class_1/recall,fold4/class_1/f1-score,fold0/class_5/precision,fold2/class_1/precision,fold3/class_2/precision,fold0/class_5/f1-score,fold3/class_1/precision,fold0/class_6/precision,fold2/class_5/precision,fold3/class_2/recall,fold0/class_10/recall,fold0/class_0/precision,fold4/class_2/precision,fold4/class_6/f1-score,fold2/class_0/precision,fold0/class_0/recall,fold0/class_5/recall,fold2/class_5/f1-score,fold2/class_2/recall,fold1/class_4/f1-score,fold0/class_3/precision,_runtime,fold3/class_9/f1-score,fold4/class_9/precision,fold1/class_10/precision,fold1/class_8/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770738897.1961777,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 12, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_248f70b10dab867d0a1a.table.json', 'size': 559, 'nrows': 11, 'artifact_path': 'wandb-client-artifact://xgzg1kozi7pauxshkeaws5nwlukep46qq4174bxzx4kyrb94zou6jmd3qpemrkt8guzsgjzba1g0iprvb75ue933x3gt8bxpyronndvx36pcox003naurt2xswlr16z2/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://mqq3vk8j1ufo5ut6w04uodhctlkl41hpafhu0qa2nfp65jafhnl9101hd7v9q0iu7x9i6qxt8b4ysba8m1jy3nmlsc3ou194busc9b93wag0mhnkk4lc8q7vltrhj7pj:latest/fold0/confusion_matrix.table.json', 'sha256': '248f70b10dab867d0a1a7ac47d4c98023e16f1c4a685f6628879a7016fdae80e'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181.720985193,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999786921224777,,,,,,,,,,,,,,,1770738897.1988428,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999573851529873,,,,1,,,,,,6181.723309264,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770738897.1994636,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181.723700309,,,,
,,,,,,,,0.9987849331713244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9975728155339806,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770738897.1999004,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181.724070466,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1770738897.2002997,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6181.724430404,,,,
,,,,,,,,,,,,,,,,,,,,,0.9976019184652278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770738897.2007082,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.9987995198079231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181.724890736,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770738897.2010865,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.9989235737351991,,,,,,,,,,,0.9978494623655914,,,,,6181.725301667,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770738897.2015822,,,,,,,,,,7,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6181.725720995,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770738897.2019355,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181.726048155,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9933333333333333,,,,,,,,,,,,,,,,,,,1770738897.2022305,,,,,,,,,,9,,,0.9966555183946488,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181.726331522,,,,
