fold0/class_3/precision,fold3/confusion_matrix,fold1/class_0/f1-score,fold3/class_2/precision,fold0/class_1/recall,fold1/class_1/recall,fold1/class_3/f1-score,fold3/class_0/precision,fold1/class_0/recall,fold2/class_3/precision,fold2/class_1/f1-score,fold4/confusion_matrix,fold0/class_2/f1-score,fold4/class_1/f1-score,fold3/class_2/f1-score,fold2/class_0/recall,fold1/class_0/precision,fold4/class_2/precision,fold0/class_1/precision,fold2/class_0/f1-score,fold0/class_2/recall,fold2/class_1/recall,fold1/class_3/precision,fold0/class_0/recall,fold1/class_2/f1-score,fold4/class_0/f1-score,fold4/class_1/recall,fold1/class_1/f1-score,fold4/class_3/precision,fold0/class_3/f1-score,fold4/class_3/f1-score,_timestamp,fold3/class_3/recall,fold1/confusion_matrix,fold4/class_0/precision,_runtime,fold1/class_3/recall,fold2/class_3/recall,fold3/class_0/recall,fold0/class_0/precision,fold2/class_3/f1-score,fold3/class_1/f1-score,cv5/fold_metrics,fold3/class_1/precision,fold4/class_2/recall,fold0/class_3/recall,fold3/class_3/f1-score,fold4/class_0/recall,fold4/class_3/recall,fold0/class_1/f1-score,fold3/class_2/recall,fold1/class_2/recall,fold0/class_0/f1-score,fold1/class_2/precision,fold2/class_0/precision,fold2/class_2/recall,fold0/confusion_matrix,fold3/class_0/f1-score,fold2/confusion_matrix,fold1/class_1/precision,fold3/class_3/precision,_step,fold2/class_2/f1-score,fold4/class_2/f1-score,fold2/class_1/precision,fold2/class_2/precision,fold3/class_1/recall,fold0/class_2/precision,fold4/class_1/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930287.6247149,,,,800.565773109,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://ipg4dj0q911w5y9h1nf2jd9vpyy7daiew61t5j1g6kz50fqz14twfw2xlfrb3d2ql42y1z7ell7vj4az3cfj3ch7bsskw98dq9tyytefuw7e7n64af6wv5msbomdu0zy:latest/fold0/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://qj3e45sdtpsu4lxvp55ym8yjq8c71ojtfg7u2bjnnspydeys5eukr5g98esu9frqtnr10g3j3nfwxphp821jzsghfccdad0raegdtxg1lybiecm6z1txwphdig1q9knl/fold0/confusion_matrix.table.json', 'sha256': 'f1b1126a1d15a8f44a6e993f0b20a9520ffc97f63ab25e801a0858eae10c40b1', 'nrows': 4, 'ncols': 5, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_f1b1126a1d15a8f44a6e.table.json', 'size': 157, '_type': 'table-file'}",,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.9381313131313131,,,,,,,,1770930287.626349,,,,800.567140273,,,,0.8541632451962555,,,,,,,,,,,,,0.8941803490071348,,,,,,,,,1,,,,,,,
,,,,0.7453874538745388,,,,,,,,,,,,,,0.879110251450677,,,,,,,,,,,,,1770930287.6266267,,,,800.567319909,,,,,,,,,,,,,,0.8067450632349679,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,,,,0.9774313423366264,,,,,,,,0.9616550740146246,,,,,,,,,,,1770930287.6268198,,,,800.567524856,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0.9937338739402876,
0.8873027798647634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8884709422606734,,1770930287.6269894,,,,800.567670174,,,,,,,,,,0.8896421845574388,,,,,,,,,,,,,,,,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930425.8361914,,"{'size': 157, 'sha256': 'd407365893b180556ee144b22e3418ae2bd33ddfdfbe5ee8d4206d2608b87456', 'artifact_path': 'wandb-client-artifact://0dl0lyn3d0w39lzh04dhq0kcqdlgifen9c237a3nfcjycfjl4st7ftz5c3i2fzdtxade87go93ks129tv7ccbewpcn8iugqjmllsvkmo2wtvjou7slvx0cwef1cbvr6a/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://mpcoqpk1bi3og9x4uftpcszrswxqdvqzhmmyg9gr39mehph87ts3qslxtr4v75hfl28geh8m8xrr9da8c6kt5r0squrhw2e68oadt8zr5d6nhaxt6g12nahzmaeabji5:latest/fold1/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_d407365893b180556ee1.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE'}",,938.776990882,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
,,0.8198440822111978,,,,,,0.9549281822684498,,,,,,,,0.718241649074879,,,,,,,,,,,,,,,1770930425.8371465,,,,938.777966899,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
,,,,,0.12658730158730158,,,,,,,,,,,,,,,,,,,,,,0.21590524534686972,,,,1770930425.8374004,,,,938.778216134,,,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.9675499767549977,,,,,,,1770930425.8376486,,,,938.778317134,,,,,,,,,,,,,,,,0.9400180668473351,,0.996743295019157,,,,,,,,8,,,,,,,
,,,,,,0.8680137575236457,,,,,,,,,,,,,,,,0.7986550632911392,,,,,,,,,1770930425.8378062,,,,938.778494887,0.9505649717514124,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930594.5300477,,,,1107.471031137,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'nrows': 4, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://unfwonpf4bx7nltmmaj1l8avyga1wfkahyctm5y6r4sojxtz3b6gcvfsl0h6z2cz244ouz0zqbq307c44obwy9ggxse77pz6j6cyx20us2hqi9mmtwiq4a2o4addvkgb/fold2/confusion_matrix.table.json', 'size': 156, 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://pm09ubjhezb8zrualgxmwios5oy80wac3jk3ytpki3o88zktfmwgnh4zehxnjkex4tfbpwaspd4nrapepwgcf4r4xxaqwea2icjthlu8u50w0wziw07qvk6r2mdsniuu:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_10_55db45b7a6c58107310b.table.json', 'sha256': '55db45b7a6c58107310b64c36c1329734afbda44ec07443ad30c3f626b3332e6'}",,,10,,,,,,,
,,,,,,,,,,,,,,,0.9089963598543942,,,,0.8756783835685064,,,,,,,,,,,,1770930594.5315263,,,,1107.472447216,,,,,,,,,,,,,,,,,,,0.8447164948453608,,,,,,,11,,,,,,,
,,,,,,,,,,0.6792452830188679,,,,,,,,,,,0.5863453815261044,,,,,,,,,,1770930594.531925,,,,1107.472687593,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,0.8071253071253072,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930594.5321875,,,,1107.472949994,,,,,,,,,,,,,,,,,,,,0.933088749126485,,,,,,13,0.9653863533664708,,,1,,,
,,,,,,,,,0.7927427263811703,,,,,,,,,,,,,,,,,,,,,,1770930594.532484,,,,1107.47324035,,0.969224620303757,,,0.8721452976083438,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
,"{'_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://rjzddxkddotxjwg03dva3628wtwgqh8h7jumu9plvkzhozbybo0jwlfgwsbbcj180wsamed909pa4jsx040vz3yqc4fx5kc2wn58hlotqb4oojdwtnrnb3mvx54wqws9:latest/fold3/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_c3a2201cfccd0aadf9d7.table.json', 'artifact_path': 'wandb-client-artifact://gbct51hy2t9oymtb0mqk6cotv6vl7yeg9xledp54w31o2lachd6i8qti7j4pq572otdi669soeanwzhkpwbg8rr0uddphmljgmq2ctgpy6apt3ywlxv5bxvobnj5wae6/fold3/confusion_matrix.table.json', 'sha256': 'c3a2201cfccd0aadf9d7fbe049e7ea0096d32bc46f87a55e73a780492b34bb7e', 'size': 157}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930694.701625,,,,1207.642630621,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
,,,,,,,0.8227082363890181,,,,,,,,,,,,,,,,,,,,,,,,1770930694.703323,,,,1207.644281617,,,0.9384288747346072,,,,,,,,,,,,,,,,,,,0.8767666749318126,,,,16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930694.7037632,,,,1207.644576632,,,,,,0.7255676209279368,,0.8818236352729454,,,,,,,,,,,,,,,,,,17,,,,,0.6163522012578616,,
,,,0.9992614475627769,,,,,,,,,,,0.9646199090990107,,,,,,,,,,,,,,,,,1770930694.7040668,,,,1207.644996245,,,,,,,,,,,,,,,0.9322997416020672,,,,,,,,,,,18,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930694.7044563,0.9113607990012484,,,1207.645315469,,,,,,,,,,,0.8558030480656507,,,,,,,,,,,,,,0.8066298342541437,19,,,,,,,
