fold2/class_2/f1-score,fold4/class_0/precision,fold2/class_9/f1-score,fold0/class_10/f1-score,fold2/class_1/f1-score,fold0/class_1/f1-score,fold1/class_8/precision,fold4/class_8/f1-score,fold2/confusion_matrix,fold2/class_3/precision,fold2/class_2/recall,fold1/class_8/f1-score,fold4/class_8/precision,fold0/class_6/f1-score,fold0/class_7/recall,fold1/class_1/precision,_runtime,fold1/class_0/f1-score,fold0/class_10/recall,fold0/class_4/f1-score,fold1/class_6/precision,fold1/class_10/precision,fold1/class_10/recall,fold3/class_10/f1-score,fold1/confusion_matrix,fold1/class_5/recall,fold3/class_7/f1-score,fold0/class_3/recall,fold2/class_6/f1-score,fold3/class_9/f1-score,fold4/class_1/recall,fold1/class_8/recall,fold0/confusion_matrix,fold0/class_0/recall,fold3/class_10/precision,fold3/class_0/recall,fold4/class_4/recall,fold3/class_5/recall,fold2/class_2/precision,fold2/class_0/f1-score,fold3/class_2/f1-score,fold0/class_7/f1-score,fold1/class_1/f1-score,fold4/class_4/precision,fold4/class_10/precision,fold4/class_6/precision,fold1/class_9/precision,fold1/class_0/precision,fold0/class_3/precision,fold2/class_5/precision,fold0/class_0/f1-score,fold0/class_5/recall,fold3/class_1/precision,fold2/class_6/recall,fold4/class_10/recall,fold3/class_8/precision,fold3/class_9/recall,fold4/class_7/precision,fold4/class_0/f1-score,_timestamp,fold3/confusion_matrix,fold3/class_5/f1-score,fold3/class_3/recall,fold1/class_0/recall,fold1/class_3/f1-score,fold2/class_4/precision,fold2/class_1/recall,fold0/class_1/recall,fold1/class_9/f1-score,fold2/class_8/f1-score,fold2/class_7/f1-score,fold4/class_6/f1-score,fold0/class_2/precision,fold4/class_7/recall,fold2/class_3/f1-score,fold0/class_8/f1-score,fold4/confusion_matrix,fold0/class_7/precision,fold2/class_7/recall,fold2/class_7/precision,fold2/class_9/recall,fold2/class_10/f1-score,fold0/class_9/precision,fold3/class_6/precision,fold1/class_2/precision,fold1/class_7/recall,fold0/class_2/f1-score,fold4/class_10/f1-score,fold4/class_4/f1-score,fold1/class_6/recall,fold3/class_4/recall,fold3/class_6/recall,fold0/class_1/precision,fold2/class_8/recall,fold1/class_4/precision,fold4/class_5/precision,fold2/class_9/precision,fold3/class_0/f1-score,fold2/class_10/precision,fold0/class_6/precision,fold2/class_3/recall,fold4/class_2/f1-score,fold1/class_4/f1-score,fold0/class_5/f1-score,fold3/class_6/f1-score,fold3/class_10/recall,fold4/class_1/f1-score,fold1/class_9/recall,fold4/class_2/recall,fold1/class_6/f1-score,fold4/class_5/recall,fold0/class_5/precision,fold2/class_4/f1-score,fold1/class_3/precision,fold2/class_8/precision,fold3/class_0/precision,fold2/class_4/recall,fold4/class_9/precision,fold3/class_7/recall,fold0/class_10/precision,fold1/class_7/precision,fold1/class_4/recall,fold3/class_4/precision,fold2/class_0/precision,fold3/class_1/f1-score,fold0/class_6/recall,fold4/class_5/f1-score,fold2/class_1/precision,fold0/class_9/recall,fold2/class_5/f1-score,fold3/class_7/precision,fold3/class_4/f1-score,fold3/class_5/precision,fold0/class_8/recall,fold2/class_10/recall,fold4/class_3/f1-score,fold1/class_2/recall,fold0/class_4/precision,fold4/class_3/recall,fold3/class_2/recall,fold3/class_1/recall,fold4/class_2/precision,fold4/class_8/recall,fold3/class_3/f1-score,fold3/class_8/recall,fold1/class_1/recall,fold0/class_2/recall,fold1/class_5/precision,fold0/class_0/precision,fold3/class_2/precision,fold1/class_10/f1-score,fold1/class_7/f1-score,fold0/class_9/f1-score,fold4/class_9/f1-score,fold0/class_3/f1-score,fold2/class_6/precision,fold1/class_2/f1-score,fold4/class_3/precision,fold0/class_4/recall,fold0/class_8/precision,fold3/class_9/precision,fold3/class_3/precision,cv5/fold_metrics,fold2/class_5/recall,fold3/class_8/f1-score,fold1/class_5/f1-score,fold1/class_3/recall,fold4/class_1/precision,fold4/class_9/recall,fold4/class_0/recall,fold2/class_0/recall,fold4/class_7/f1-score,_step,fold4/class_6/recall
,,,,,,,,,,,,,,,,4323.488688826,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://yzqvpftykt2p0x69vi2z607vmfrwhc4ha0j5izimprse66ehby1u73blp5wienyjzcseauaqmvqp1sr1ssm1dohlihq0aqhfm48ftyg4lgq94rtu8lbw1y58jgsk4vcd/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://uhid1y37p3v80x53t4qmw4pq1ildkqpg7e1amhfuiz6y2inygf4stue2fld0mu9jgxpvaerveohxi1fsukws96ek2rbp0k9m01cuscsn4cshj5gknlu5fwvaovi2fwcu:latest/fold0/confusion_matrix.table.json', 'nrows': 11, 'sha256': 'e0a93975b510e906462707916b4f5425934bd003e944cb53dfb2a5d5650d6ea7', 'size': 558, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_e0a93975b510e9064627.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,1770737814.6216176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,4323.490393632,,,,,,,,,,,,,,,,,0.9999815327793167,,,,,,,,,,,,,,,,,0.9999630662406973,,,,,,,,,1770737814.6239083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999944600384104,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,0.9968253968253968,,,,,,,,,,,4323.490913757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737814.624419,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.9936708860759493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,4323.491246082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737814.6248126,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,4323.491584015,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1770737814.6251333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,4323.491952767,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737814.625528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,4323.492337933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940119760479041,,,,,,,,1770737814.6258826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996996996996997,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,1,,,4323.492709135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737814.626256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,0.9930555555555556,,4323.492989915,,,,,,,,,,,,,,,,,,,,,,,,,0.9965156794425087,,,,,,,,,,,,,,,,,,1770737814.6266098,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,4323.49326128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737814.6268892,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,9,
