fold4/class_1/precision,fold0/class_0/recall,fold3/class_1/recall,fold0/class_1/precision,fold1/confusion_matrix,fold4/class_0/recall,fold4/confusion_matrix,fold3/class_0/precision,fold0/class_1/f1-score,fold2/confusion_matrix,fold4/class_1/recall,fold2/class_0/f1-score,fold2/class_1/f1-score,fold3/class_0/recall,_timestamp,fold1/class_1/precision,fold2/class_1/recall,fold1/class_1/recall,fold4/class_1/f1-score,fold2/class_1/precision,fold1/class_1/f1-score,_runtime,fold4/class_0/f1-score,fold1/class_0/recall,cv5/fold_metrics,fold0/class_0/f1-score,fold0/class_0/precision,fold3/class_0/f1-score,fold1/class_0/precision,fold4/class_0/precision,fold1/class_0/f1-score,fold2/class_0/precision,_step,fold0/confusion_matrix,fold3/class_1/precision,fold0/class_1/recall,fold2/class_0/recall,fold3/class_1/f1-score,fold3/confusion_matrix
,,,,,,,,,,,,,,1770750502.473525,,,,,,,1114.899917415,,,,,,,,,,,0,"{'_latest_artifact_path': 'wandb-client-artifact://39kp4cwzwk8dymgvxi84rufyf1bodzy2z3gjl1q0ehfejzs1kqz3i99xdrdxtpvwv855d6zm7vzljnl4y963bcw6scnfrpzgdrlxcm9d5fvu7u9odv93jw2oqoj825jd:latest/fold0/confusion_matrix.table.json', 'ncols': 3, 'size': 84, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_385bf077bb727d2268c8.table.json', 'sha256': '385bf077bb727d2268c8d97f340a357f5f85b36604894ad96f39ec8b71a13429', 'artifact_path': 'wandb-client-artifact://f34z4k8mil6wfni0fypqz3vdclhg98bgaql5ldqiec3n8xrbjk101ifvd8l5cxuf7b9yddfkkcmfsgpr3q8s2xxxvcfghd6k1ceu18wkj83x3nch6vemepcdumvftq0v/fold0/confusion_matrix.table.json'}",,,,,
,0.9975253924284395,,,,,,,,,,,,,1770750502.475321,,,,,,,1114.901564338,,,,0.9824663514005093,0.9678552230783014,,,,,,1,,,,,,
,,,0.9976114081996434,,,,,0.9830669242929914,,,,,,1770750502.4758298,,,,,,,1114.901978356,,,,,,,,,,,2,,,0.9689404432132964,,,
,,,,"{'_type': 'table-file', 'size': 87, 'nrows': 2, 'log_mode': 'IMMUTABLE', 'sha256': '80314807d51bb8cdad45a465ae668f133eeaebb819aa9c2155a54c93cb1d6eaa', 'artifact_path': 'wandb-client-artifact://0huokbr9tg885qlr5si0dufwhe2j1sz3n8bl5kokzgsswmnbuj9neoavygz0sph1tx06hy3patyyzfafqyey10raciauddn3y8y46m75m0lgu32nhd9sv4tsdeedkpyl/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_3_80314807d51bb8cdad45.table.json', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://nx5ylug2fnlgq4eso5ubsswhmjsqxk3gnb87iexohn9xn1t7met2zbdsw3jv4g75kqqcns9p18t5n6w7r7w0rx1ti1rzn0uasfq8cs81u3eem5cp33tulrqd64mh8ym3:latest/fold1/confusion_matrix.table.json'}",,,,,,,,,,1770750583.5501738,,,,,,,1195.976336119,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,1770750583.55129,,,,,,,1195.977403824,,0.9517636195752539,,,,,0.905478056150954,,0.9280440811034681,,4,,,,,,
,,,,,,,,,,,,,,1770750583.5516462,0.9525021821355834,,0.9068559556786704,,,0.9291187739463601,1195.977670156,,,,,,,,,,,5,,,,,,
,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'ncols': 3, 'path': 'media/table/fold2/confusion_matrix_6_b09cecfd51e05bad87e2.table.json', 'sha256': 'b09cecfd51e05bad87e2346183bd28d6bf8d16124c1d5df9b7592ba14680af76', 'artifact_path': 'wandb-client-artifact://26yl4z892td72jhia0uh2x3plt1v8xeq2wivz977guaglkuqpzrz33n3e8afrwxxhe22chmfr4lvgib4vjmss216qqozfzwh7c3gzinjucc846k8mu5szittmls8o6u2/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://b7jfvpsc0hsu6gvoai87ctcl99cml0vr8f0vktj7ehnjgrt9nhuld5vv0y95ml1md3roi4s95joo87wcusazzkiqa6rzesn1zpcasbgpo0sjtcf387rmixbm4d3ze4n6:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'size': 86, 'nrows': 2}",,,,,1770750635.9280138,,,,,,,1248.354006941,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,0.9330566934439893,,,1770750635.9288387,,,,,,,1248.354755769,,,,,,,,,,0.8969349834645938,7,,,,0.972209903917221,,
,,,,,,,,,,,,0.9319292424761527,,1770750635.9290109,,0.8952674611973392,,,0.9717218816981913,,1248.354897392,,,,,,,,,,,8,,,,,,
,,,,,,,,,,,,,,1770751002.375764,,,,,,,1614.801793793,,,,,,,,,,,9,,,,,,"{'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://7hzbhsb4baxovc7o0xcjvmxupqjnnhigulyx2chyt1ukwov2ya9g3ydeu0wgsk9s66s3a2h9mbx87r1j693x2xli527e7wrecszvqq6nywvv6zlo4mplisq70hbxn39t:latest/fold3/confusion_matrix.table.json', 'size': 83, '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_9_6b7444fae27c64956f75.table.json', 'sha256': '6b7444fae27c64956f7596e4191b27a2176ab5fc2d7032aca2181df173d0226a', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ljwt3mrto1fy07znrvljc0mqt7k2jeu6gpo994tl7cu8l7gjw8cjthly4wmcy8exwbm4l0vosvzyv50lkvh7umwdmpxc8d89bqkildvtpf2udvms5gewo3gj3g7ekxi3/fold3/confusion_matrix.table.json', 'nrows': 2}"
,,,,,,,0.9786972404065246,,,,,,1,1770751002.3771193,,,,,,,1614.803232129,,,,,,0.989233946882597,,,,,10,,,,,,
,,0.9795939578713969,,,,,,,,,,,,1770751002.377374,,,,,,,1614.803321398,,,,,,,,,,,11,,1,,,0.9896918041967833,
,,,,,,"{'artifact_path': 'wandb-client-artifact://3vucmtdt2osw4mjt76pexoz7ezvgwns89ckkx1erlezmcuz2a4kn2tjv629e1sn94dcaf7wk9o8dxsndkpqjnfkfstgi6w930fbanfp6jxh9xw6cutdz746u7pevah8g/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://ykjxnx0ih4khq257rx0gg1qovlu52ccpcxru5izjh9shhbc5anxizqhtz3iykhda5kdqp83tf50zdhfsjs5p30bkn16wplj62ncu0ap7x92xyjgpf7fsvqzg3c5msmnn:latest/fold4/confusion_matrix.table.json', 'sha256': '9ffcb2c03ae94cf74b9b48ee5ee2a31b0146286702a7009229d9c539bdd8f8ec', '_type': 'table-file', 'nrows': 2, 'ncols': 3, 'size': 84, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold4/confusion_matrix_12_9ffcb2c03ae94cf74b9b.table.json'}",,,,,,,,1770751260.9183497,,,,,,,1873.344341886,,,,,,,,,,,12,,,,,,
,,,,,0.9995934959349594,,,,,,,,,1770751260.9194374,,,,,,,1873.345415142,0.9872798613012136,,,,,,,0.975265909500631,,,13,,,,,,
0.9996097768633154,,,,,,,,,,0.9762333702882483,,,,1770751260.9196362,,,,0.9877832892223021,,,1873.345537417,,,,,,,,,,,14,,,,,,
,,,,,,,,,,,,,,1770751261.1902995,,,,,,,1873.616468071,,,"{'ncols': 9, 'size': 770, 'log_mode': 'IMMUTABLE', 'nrows': 5, 'path': 'media/table/cv5/fold_metrics_15_6c5d4364f3c9d6023c5e.table.json', 'sha256': '6c5d4364f3c9d6023c5e102c2889f9dfbfb1d270db268f1533ce2ee96db6ae88', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://nnn51rvxqbo9noy3lvlvmljaocmnxvhjibvrxovov0hpjgpes4vdo9xpblgy43hrtdxi3pco2ovbe6xibgw0sfas1yexx7otz3ym58rtca4hugpewzgfh4h9zn1besfg/cv5/fold_metrics.table.json', '_latest_artifact_path': 'wandb-client-artifact://is7t4m2caf6xzrglpubx0bfxo3n9ztpqos57bvhyqh6vzbno7ggfidxxapdvjcrq8fb6518i4af1291rjqvibtm2qxpdqaktvtte0yqcyzf9ghfama7kqui608i73x56:latest/cv5/fold_metrics.table.json'}",,,,,,,,15,,,,,,
