fold4/class_2/precision,_timestamp,fold3/class_3/precision,fold2/class_0/f1-score,fold0/class_2/f1-score,fold2/class_3/f1-score,_step,fold0/class_3/recall,fold0/class_1/precision,fold1/class_1/precision,fold2/class_1/precision,fold2/confusion_matrix,fold0/class_0/precision,fold3/class_3/recall,fold0/confusion_matrix,fold0/class_3/f1-score,fold4/class_0/recall,fold3/class_1/recall,fold2/class_0/recall,fold3/class_2/f1-score,fold0/class_3/precision,fold1/class_2/f1-score,fold0/class_0/f1-score,fold4/class_1/precision,fold1/class_3/f1-score,fold1/class_3/recall,fold2/class_1/f1-score,fold1/class_0/precision,fold3/class_3/f1-score,fold1/class_0/recall,fold1/class_2/precision,fold1/confusion_matrix,fold4/class_1/recall,fold4/class_0/precision,fold3/class_1/f1-score,fold1/class_1/recall,fold3/class_0/precision,fold2/class_1/recall,fold3/confusion_matrix,_runtime,fold4/class_2/recall,fold3/class_0/recall,fold4/class_3/precision,fold0/class_2/recall,fold1/class_1/f1-score,fold2/class_3/precision,fold3/class_2/precision,fold1/class_3/precision,fold0/class_2/precision,fold3/class_0/f1-score,fold4/class_3/f1-score,fold2/class_2/precision,fold0/class_0/recall,fold2/class_2/recall,fold4/class_3/recall,fold3/class_1/precision,fold4/class_0/f1-score,fold3/class_2/recall,fold0/class_1/f1-score,fold4/confusion_matrix,fold4/class_1/f1-score,fold2/class_0/precision,fold2/class_3/recall,fold2/class_2/f1-score,cv5/fold_metrics,fold4/class_2/f1-score,fold0/class_1/recall,fold1/class_0/f1-score,fold1/class_2/recall
,1770714728.4768202,,,,,0,,,,,,,,"{'_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://jgoeymi19govqfw3wib4d77rf4jrnsrjyuf6xr21uinj7ndpfukd9qf1n034f4r7vni3u0bba9g65s3f9c49y51dhocir8b8050cysim37a5d8hx8mo8xw25tu4ko416:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://f3oir6fwhmavxete9ti9knapya24ss8sbloxew1r81c6mzlhzrt68vt5bvrsxtmmru21mio4xgjcxx7air9iyw7qno9rviqym6w1qqywirkyaqvaslkfplshhqe8fkfh/fold0/confusion_matrix.table.json', 'nrows': 4, 'size': 147, 'sha256': '052ab3dab1a22bc2318b5ba3fc1d93ef1ce39707ec8eb828e42bfe4690c7f80c', 'path': 'media/table/fold0/confusion_matrix_0_052ab3dab1a22bc2318b.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,64.652707729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770714728.4872656,,,,,1,,,,,,0.9875876956287102,,,,,,,,,,0.9889219129964875,,,,,,,,,,,,,,,,,64.662855396,,,,,,,,,,,,,0.9902597402597403,,,,,,,,,,,,,,,,
,1770714728.487914,,,,,2,,0.9709794437726723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.663365845,,,,,,,,,,,,,,,,,,,0.9792682926829268,,,,,,,,0.9876998769987699,,
,1770714728.4883826,,,0.9851871801777539,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.663838428,,,,0.9785981808453719,,,,,0.9918655097613883,,,,,,,,,,,,,,,,,,,,
,1770714728.488835,,,,,4,0.9728813559322034,,,,,,,,0.9695945945945946,,,,,0.9663299663299664,,,,,,,,,,,,,,,,,,,64.66428004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770714817.8215556,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://onl6ebxps7lfwma8klt73y0dsdn45bf4a9la6dppyx8eai2d71l4531txe1emhiclppnbobywemanoinzqpk5ttbm630iuo88l333qi7tz6y2juji24bseqxvcjvtuav/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://i58ts6mztydujhm6js2r17lsmja8v3rhiec8d71fnydksmforwyy0d7xuz7kxo6ns20had0d1d13sibib96x1ae4nzp69m0e7z48jh2t4ik3jtp256qo8ci5vibn6sz7:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_310be4e0b915d9b6b4f7.table.json', 'size': 147, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'sha256': '310be4e0b915d9b6b4f7dbb201eaa7e9519e8ee78ebe61d8d10e190a03b733f6'}",,,,,,,,153.997174056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770714817.826924,,,,,6,,,,,,,,,,,,,,,,,,,,,0.9989878542510121,,0.9777117384843982,,,,,,,,,,154.002500783,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9882352941176471,
,1770714817.8274467,,,,,7,,,0.9845971563981043,,,,,,,,,,,,,,,,,,,,,,,,,,0.9892857142857143,,,,154.002946365,,,,,0.9869358669833729,,,,,,,,,,,,,,,,,,,,,,,,
,1770714817.8280022,,,,,8,,,,,,,,,,,,,,,0.9908058409951325,,,,,,,,,0.9886670264436049,,,,,,,,,154.003462632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9929539295392954
,1770714817.8284292,,,,,9,,,,,,,,,,,,,,,,,,0.9633724948168625,0.9844632768361582,,,,,,,,,,,,,,154.003846362,,,,,,,,0.9431664411366711,,,,,,,,,,,,,,,,,,,,,
,1770714879.7730615,,,,,10,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://of75bqnjf6ojdj8cqfhylf41c94u01zpqistsctax655zkx9andtlkkyieg9kvwb0fe6d9i27m30n5besvwbqhs0a4u1rhvetummgcd8vnps3689wgq1yv14bsc4g552:latest/fold2/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold2/confusion_matrix_10_bddaf0f7b903dfe5c596.table.json', 'artifact_path': 'wandb-client-artifact://v2hmfw3rphwghno5dyugf6xl34t6eei4ng4me0arqe4op5ankduiq6c85l46ifah1dnodladb58krxovukkrm5b4gjvmaelb8a7n8ia3hu1dsvjb8fcxoywic9u21ftf/fold2/confusion_matrix.table.json', 'sha256': 'bddaf0f7b903dfe5c596f562ad6f23d67cdb3446d33c4fbafe3a8c8c6e35b1fb', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'nrows': 4, 'size': 145}",,,,,,,,,,,,,,,,,,,,,,,,,,,,215.948587147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770714879.7795384,,0.9948105864037364,,,11,,,,,,,,,,,,0.9968798751950078,,,,,,,,,,,,,,,,,,,,,215.955039693,,,,,,,,,,,,,,,,,,,,,,0.9927498705334024,,,,,,,
,1770714879.780028,,,,,12,,,,0.99860529986053,,,,,,,,,,,,,,,,0.9781420765027322,,,,,,,,,,,0.9585006693440429,,215.95542499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770714879.7804048,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.955745747,,,,,,,,,,,,0.990625,,0.9968553459119497,,,,,,,,,,0.9937304075235109,,,,,
,1770714879.7807314,,,,0.9773539928486293,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.956083681,,,,,,0.9715639810426541,,,,,,,,,,,,,,,,,0.9832134292565947,,,,,,
,1770714951.2955484,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://4u1o3yd15y7c63z5yimipz342agmhup50e48xqjwwz0x5d9czglonp3zvtkdp3u5ay3rb7wzcjn2h3087z3r3i8s4gmcgh7j08jlcf6whcu643umsx6uq73oewibuznu:latest/fold3/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_a176780b71e194541569.table.json', 'size': 146, 'artifact_path': 'wandb-client-artifact://spjnw2mt7qwswywophtznlpevqf2867jahe1pp56tjd4r8ubjsfrvbx4rm99q2vre577q0qdmwss75ut735pyrh3ehmz2gqzk7hivk7sluk70csgkepklik5d5fznl71/fold3/confusion_matrix.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'sha256': 'a176780b71e194541569ba5d72a374240a4fefaddf005a19cac140e712e31e34'}",287.471090637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770714951.2975516,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9925729442970822,,,287.473028754,,0.9930997876857749,,,,,,,,0.9928362960997612,,,,,,,,,,,,,,,,,,,
,1770714951.2979972,,,,,17,,,,,,,,,,,0.9647798742138365,,,,,,,,,,,,,,,,,0.978940650925335,,,,,287.473539339,,,,,,,,,,,,,,,,0.9935233160621761,,,,,,,,,,,,,
,1770714951.2985141,,,,,18,,,,,,,,,,,,,0.9912280701754386,,,,,,,,,,,,,,,,,,,,287.473927749,,,,,,,0.9896960329726945,,,,,,,,,,,0.992764857881137,,,,,,,,,,,
,1770714951.2989535,0.9510403916768666,,,,19,,,,,,,0.9700374531835206,,,,,,,,,,,,,,,0.9604449938195303,,,,,,,,,,,287.474350731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770714994.757919,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.933548096,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://tqcyuwla82rrfpa0kqinzrfq7p74wwqwwimfx8zky06vdi0wm8dlphur01zkzql4j9rlnocybtdmb2bb7uulqsaekntiyiwasjlwxzf3rz71xlkyeu6sgmy6ez6b7ko5:latest/fold4/confusion_matrix.table.json', 'sha256': '595f834e5b9610b551ab178bb3c674737d9ba9294ce2e2a2415762a6c530f541', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://ri5kaaqa5z1v2n0arae2og22tfmswi4z9yrgvsykfr3i1lqpgph1tx9jvdm2clipae75kbqkezqybctyxjxkf2hn0buhquf17vixu18c6tdt9jlndacf0kyf4jn8cqrr/fold4/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_595f834e5b9610b551ab.table.json', 'log_mode': 'IMMUTABLE', 'size': 147}",,,,,,,,,
,1770714994.7628708,,,,,21,,,,,,,,,,0.9931542917324908,,,,,,,,,,,,,,,,,0.9853709508881923,,,,,,330.938300738,,,,,,,,,,,,,,,,,0.989247311827957,,,,,,,,,,,,
,1770714994.7633862,,,,,22,,,,,,,,,,,,,,,,,0.990979381443299,,,,,,,,,0.9746514575411914,,,,,,,330.938816825,,,,,,,,,,,,,,,,,,,,,0.9827476038338658,,,,,,,,
0.9856336582863007,1770714994.7638884,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.939190543,0.9912280701754386,,,,,,,,,,,,,,,,,,,,,,,,,0.988422948289169,,,
,1770714994.7642238,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.939558885,,,0.9650711513583441,,,,,,,,0.9570237331622835,,,,0.9491094147582697,,,,,,,,,,,,,,
