fold4/class_0/precision,fold2/class_1/recall,fold2/class_3/f1-score,fold3/class_2/precision,fold3/class_2/recall,fold0/class_2/precision,fold3/class_2/f1-score,fold3/class_3/f1-score,fold1/class_1/recall,fold2/class_0/recall,fold4/confusion_matrix,fold1/class_0/f1-score,fold2/class_1/f1-score,fold4/class_1/f1-score,fold2/class_3/precision,fold1/class_2/recall,fold1/class_1/precision,fold3/class_0/precision,_runtime,fold0/class_1/f1-score,fold0/class_1/precision,cv5/fold_metrics,fold0/class_3/recall,fold4/class_0/recall,fold4/class_2/recall,fold4/class_1/recall,fold1/class_3/precision,fold2/class_2/precision,fold3/class_3/precision,fold0/class_2/f1-score,fold2/class_2/f1-score,fold2/confusion_matrix,fold1/class_0/recall,fold0/class_2/recall,fold4/class_3/recall,fold0/class_1/recall,fold4/class_2/precision,fold4/class_0/f1-score,fold1/class_1/f1-score,fold2/class_0/f1-score,fold1/class_0/precision,fold0/class_0/precision,fold1/class_3/f1-score,fold3/class_1/f1-score,fold3/class_1/precision,fold0/class_3/f1-score,fold0/class_0/f1-score,fold1/confusion_matrix,fold3/class_1/recall,fold2/class_0/precision,fold3/confusion_matrix,fold3/class_0/f1-score,fold0/class_3/precision,fold4/class_3/precision,fold2/class_3/recall,fold3/class_0/recall,fold4/class_2/f1-score,fold0/class_0/recall,fold3/class_3/recall,fold0/confusion_matrix,_step,_timestamp,fold1/class_2/precision,fold2/class_2/recall,fold2/class_1/precision,fold1/class_3/recall,fold1/class_2/f1-score,fold4/class_3/f1-score,fold4/class_1/precision
,,,,,,,,,,,,,,,,,,144.32016252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://90pswrx02tcagqmlk40z12eseo54uhnx53ylychhvyryavbzi7pgnyj9tq8rz7xw9ipkdfop7neme0ag3sakoh61ed7ezbbqjeft8ylfo5quavoap8376ar7merpdrrb/fold0/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_6c10f4ba1a659bd2835c.table.json', 'size': 145, '_latest_artifact_path': 'wandb-client-artifact://muqg9zq1yitgf2b10owkv4ewynul6k1totcwx7lvbnxmyxs0kkzbpf6i9al8wqljns0u6yu525dwodvg6wdelrop3pimwasb88tcf9pgpbdo9yowd59g2byj67dhqyzp:latest/fold0/confusion_matrix.table.json', 'nrows': 4, 'sha256': '6c10f4ba1a659bd2835cac972099b1dad6b0ee4c710ae808842c98d47377c7f8', 'log_mode': 'IMMUTABLE', 'ncols': 5}",0,1770720657.5475178,,,,,,,
,,,,,,,,,,,,,,,,,,144.322060505,,,,,,,,,,,,,,,,,,,,,,,0.9996752192270217,,,,,0.9995129079396006,,,,,,,,,,,0.9993506493506493,,,1,1770720657.5497158,,,,,,,
,,,,,,,,,,,,,,,,,,144.322474537,0.9966801918111398,0.9963126843657817,,,,,,,,,,,,,,,0.9970479704797048,,,,,,,,,,,,,,,,,,,,,,,,,2,1770720657.5503747,,,,,,,
,,,,,0.9993564993564994,,,,,,,,,,,,,144.322776277,,,,,,,,,,,0.9982323638116664,,,,0.9971107544141252,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1770720657.5507252,,,,,,,
,,,,,,,,,,,,,,,,,,144.323167432,,,,0.9979661016949153,,,,,,,,,,,,,,,,,,,,,,,0.9956036523503551,,,,,,,0.9932523616734144,,,,,,,,4,1770720657.551089,,,,,,,
,,,,,,,,,,,,,,,,,,268.657954886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 4, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://kbs5djy4r748lurzhjjgy6kczqjy7ckd8d4emfc3gpv13a49hzja4vs6keulsp2tbi69en4z9qc2jbukcwv6i34c1hu9lzp6cbpl4211tejlz270ia4huy7izsg8vz0z/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://xl2xnsczrtpl2avxzx0oufj9kwjpxsi7bp7tjhqkqt6ytplt7z05zn6unteqnjl1wjwobpzc9d3jhwrnoi1jhrrlz3zqbbqoyb9lbdv5foe41rlrci9jtw6il965cq1b:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_3d0e6e3b0c0b6aec4a59.table.json', 'size': 145, 'ncols': 5, 'sha256': '3d0e6e3b0c0b6aec4a5922b56030093bd8993fea6d93b7f734d1899f76ad8a6b'}",,,,,,,,,,,,,5,1770720781.8855991,,,,,,,
,,,,,,,,,,,0.9976176295413937,,,,,,,268.659934966,,,,,,,,,,,,,,0.9955423476968797,,,,,,,,0.9997015816174276,,,,,,,,,,,,,,,,,,,,6,1770720781.887649,,,,,,,
,,,,,,,,0.9985714285714286,,,,,,,,0.9971469329529244,,268.660414212,,,,,,,,,,,,,,,,,,,,0.9978586723768736,,,,,,,,,,,,,,,,,,,,,,7,1770720781.888275,,,,,,,
,,,,,,,,,,,,,,,0.9986991869918699,,,268.660720181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1770720781.888652,0.9974017538161741,,,,0.9980500487487812,,
,,,,,,,,,,,,,,,,,,268.661211639,,,,,,,,0.9907407407407407,,,,,,,,,,,,,,,,0.9940878378378378,,,,,,,,,,,,,,,,,,9,1770720781.8890254,,,,0.997457627118644,,,
