fold2/class_1/f1-score,fold1/class_3/precision,fold4/class_2/recall,fold3/class_1/f1-score,fold4/class_2/precision,fold2/class_3/recall,fold3/class_2/precision,fold0/class_2/f1-score,fold4/class_3/precision,fold2/class_0/recall,cv5/fold_metrics,fold0/class_2/precision,fold1/class_0/precision,fold2/class_2/precision,fold0/confusion_matrix,fold3/class_0/precision,fold2/class_0/precision,fold3/class_3/f1-score,fold4/class_0/precision,fold4/class_3/f1-score,fold3/class_3/recall,fold4/class_0/f1-score,fold3/class_0/f1-score,fold4/class_1/precision,fold4/class_0/recall,fold1/class_2/recall,fold0/class_1/f1-score,fold2/class_0/f1-score,fold1/confusion_matrix,fold1/class_2/precision,fold4/class_1/f1-score,fold3/class_2/f1-score,fold3/class_2/recall,fold2/class_1/recall,fold1/class_0/f1-score,fold0/class_2/recall,fold1/class_1/precision,fold2/class_3/precision,fold2/class_3/f1-score,fold3/class_1/recall,fold3/class_1/precision,fold0/class_0/f1-score,fold0/class_0/precision,fold2/class_2/f1-score,fold0/class_0/recall,_step,fold3/class_3/precision,fold0/class_3/f1-score,fold2/confusion_matrix,fold1/class_0/recall,fold2/class_1/precision,fold4/confusion_matrix,_timestamp,fold0/class_3/precision,fold1/class_1/recall,fold0/class_1/recall,fold1/class_3/f1-score,fold3/class_0/recall,fold1/class_3/recall,fold1/class_2/f1-score,fold4/class_2/f1-score,_runtime,fold2/class_2/recall,fold0/class_1/precision,fold3/confusion_matrix,fold4/class_1/recall,fold4/class_3/recall,fold0/class_3/recall,fold1/class_1/f1-score
,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://f76uo7xphgb81rcmeap7h1v6prnjold4e3zxs38o2pfqtaspt93279rei2ived1pxupu4pn3anvul1uzdiosr97x65lhakf2xfj7yuoqjjehbg8mi99mzd9te3jgvajj:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'sha256': '9be76fa79ae99b3b7a4a981022e05578db77bb07c996821147df299a5301b5bf', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://5858yywuhk6d1xl8vca2y9qmrz4scwrq5nuhl3vhysvh1r5sftjuwv4wreyvm378bokhawwa7dgafdqlczm8932xprb3f09socpn72855nmuxjmtdjsy66mjsqmir9f7/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_9be76fa79ae99b3b7a4a.table.json', 'size': 146, 'nrows': 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1770731185.0554962,,,,,,,,,6516.593679465,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985387238188017,0.9987008769080871,,0.9983766233766234,1,,,,,,,1770731185.0577636,,,,,,,,,6516.595660978,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940740740740741,,,,,,,,,,,,,,,,,,,2,,,,,,,1770731185.0582466,,,0.9904059040590406,,,,,,6516.595945938,,0.9977695167286246,,,,,
,,,,,,,0.9972664415500885,,,,0.9990335051546392,,,,,,,,,,,,,,,,,,,,,,,,0.9955056179775281,,,,,,,,,,3,,,,,,,1770731185.058696,,,,,,,,,6516.596301641,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0.990578734858681,,,,,1770731185.0589566,0.9832999331997327,,,,,,,,6516.596533498,,,,,,0.9979661016949153,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://nvlbilvg7a2tfwrilac9sidh2ncukko226kr2oecc08z8xhcilkgjlhmv83scn6y98ang73ekc2wtk994czmhgkyhpght1yibrmkvk0fg1uyqd5iu63dxyba1etybbab/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://dd1u7qgaozizlu0ajfyk6amhh6qpcrj5rjndl8yx5jbilfe3ipabsk1rlbm2skoobfetwq6p5k1jd2q21fo4bh7zxfb29fn00gaap20bk1bujf0ngkwy2b61h1gcw7yk:latest/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_fc964277a9a243ca5631.table.json', 'size': 145, '_type': 'table-file', 'sha256': 'fc964277a9a243ca5631ac214205d6d132520887d62a6d54b4af6370178829cd'}",,,,,,,,,,,,,,,,,5,,,,,,,1770731949.8027234,,,,,,,,,7281.340524373,,,,,,,
,,,,,,,,,,,,0.9970291146761735,,,,,,,,,,,,,,,,,,,,,,0.9971772396374982,,,,,,,,,,,6,,,,0.9973254086181278,,,1770731949.8044665,,,,,,,,,7281.342158615,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,,1770731949.8048038,,0.9942857142857143,,,,,,,7281.342452738,,,,,,,0.997134670487106
,,,,,,,,,,,,,,,,,,,,,,,,,0.9986991869918699,,,,0.9993491701919948,,,,,,,,,,,,,,,,8,,,,,,,1770731949.8051076,,,,,,,0.9990240728692258,,7281.342732487,,,,,,,
,0.9882253994953742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1770731949.805383,,,,0.9919797382861967,,0.9957627118644068,,,7281.343011612,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,"{'ncols': 5, 'sha256': '556977f477c0abb935113b56bda2c46a18c35bbff95a8a9e609e2d44ee71dcf4', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://4je555pg203esbxhff1750qf4n8zo4aoy555gu6t1u8mq32hqi298c7o4ydslbsfgru7afz4hd0vzbo77xc3bkj5rrdwmgkle6v01ybnkm7ixq4md6ol44tsxuqli2cx:latest/fold2/confusion_matrix.table.json', 'nrows': 4, 'path': 'media/table/fold2/confusion_matrix_10_556977f477c0abb93511.table.json', 'size': 145, 'artifact_path': 'wandb-client-artifact://pao5p8542k1irb3pt6opkyedrktx8mfbwofb5bbqq1ehym0vhwkc9l4e1b2o1fw1hw083oiz3aiezrbmq38fg2pzacbo94wyvwz8m5g0xc7342zdafl6c47khtzy2vxi/fold2/confusion_matrix.table.json'}",,,,1770732828.801991,,,,,,,,,8160.339829891,,,,,,,
,,,,,,,,,0.9996879875195008,,,,,,,0.9987531172069826,,,,,,,,,,,0.9992203336971776,,,,,,,,,,,,,,,,,,11,,,,,,,1770732828.8038754,,,,,,,,,8160.341542327,,,,,,,
0.9935639581657281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9919678714859438,,,,,,,,,,,,12,,,,,0.9951651893634166,,1770732828.8042982,,,,,,,,,8160.34194164,,,,,,,
