fold4/class_0/recall,_runtime,fold0/class_1/precision,fold0/class_1/recall,fold4/class_1/f1-score,fold1/class_0/precision,fold2/class_1/precision,fold3/class_1/precision,fold2/class_1/f1-score,fold1/class_1/precision,fold0/confusion_matrix,fold4/class_1/recall,fold3/class_0/f1-score,fold1/class_1/recall,fold0/class_0/precision,fold4/class_0/f1-score,fold0/class_0/f1-score,fold1/class_0/recall,fold0/class_1/f1-score,fold1/class_1/f1-score,fold3/class_1/recall,fold3/class_0/precision,_timestamp,_step,fold2/class_0/f1-score,fold4/confusion_matrix,fold0/class_0/recall,fold2/class_0/recall,cv5/fold_metrics,fold3/confusion_matrix,fold2/class_0/precision,fold2/confusion_matrix,fold3/class_1/f1-score,fold1/confusion_matrix,fold3/class_0/recall,fold4/class_1/precision,fold2/class_1/recall,fold4/class_0/precision,fold1/class_0/f1-score
,9640.826946305,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_9ba1d63d6d400873942e.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 3, 'nrows': 2, '_type': 'table-file', 'sha256': '9ba1d63d6d400873942ecfc47459600ff4a64b27e9adfc6c466c20da48f7e109', 'size': 83, 'artifact_path': 'wandb-client-artifact://ysjhaekwm5ukiodmj93n638rr3fr0rwepmy07ptxvp35of2eb82xldt8b4tmnylznzgh2mv9fxz3mupkv7qlyy3rcnpzwhf5h1l8kkyjq0uoabdtv9xgxzy9znnfgrhp/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://5m7l50tgtjd5b8qkuzzlkfzmbvjeyjydtqiieq4sn0ptny4tcv3e8zw4q1rrusbbbjfx8gov8bku4u372gv3yt3ktoakp89qgty29dfi83ui58hxyyhnjjg5geeqkbqj:latest/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,1770749500.7735295,0,,,,,,,,,,,,,,,
,9640.828498569,,,,,,,,,,,,,0.9934454117882517,,0.9967119299214378,,,,,,1770749500.77524,1,,,1,,,,,,,,,,,,
,9640.828647757,1,0.9954639889196676,,,,,,,,,,,,,,,0.9977268389179059,,,,1770749500.775486,2,,,,,,,,,,,,,,,
,11098.389242129,,,,,,,,,,,,,,,,,,,,,1770750958.3359678,3,,,,,,,,,,"{'_type': 'table-file', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://qyikr5ji82sk4nvsgg7uld9w4jddgdkw4huei1mzgswaz19fszltf7ol4hgenms5oonlnw53ir0dlyzw8dh1zi8bu2o5hpf3kufccug87ra87cfn1lvdm2hbhaddh7vq/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://4v1b8ro4o4vb4gy6ch1perbbazmx6w772i29nuijaibdt86orhvlg4oryl6944h3hhb68fqf4y8fla0a1d3ufe5w1orw49r6e259rtkbrhcbgjbjslzrdb123j3hmsn7:latest/fold1/confusion_matrix.table.json', 'size': 83, 'log_mode': 'IMMUTABLE', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_43048198689a51770bae.table.json', 'sha256': '43048198689a51770baefb9ae788ac75951619404d79e6e7c2181c735f725345'}",,,,,
,11098.390118039,,,,0.993892976923462,,,,,,,,,,,,1,,,,,1770750958.3369036,4,,,,,,,,,,,,,,,0.9969371359710786
,11098.390212859,,,,,,,,1,,,,0.9957756232686981,,,,,,0.9978833408515215,,,1770750958.3370888,5,,,,,,,,,,,,,,,
,13314.017875792,,,,,,,,,,,,,,,,,,,,,1770753173.9644656,6,,,,,,,,"{'path': 'media/table/fold2/confusion_matrix_6_73de442c909d86dc2d9e.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://ndckjh5cecpdkh4xtdi525nl3unjuslmyoop0ibbhg6dvoszaqy4bk5iqkaaz7culozti7xbgvex0ck6f1qnvh98hxl4jdfsqdp9e0sl349qz3t8gr9mxiaay4qlp55h/fold2/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://5y2kd8vrvhd4xmguctwgegmz9naanx8cgsvzdv5pr61t82j3wd5cw5p8azktp7g4aiar03mv6zc9zi2is6d4x0v3fjy666bxzdk9ch4motoypzjdim9hyqh7gpopu1n1:latest/fold2/confusion_matrix.table.json', 'sha256': '73de442c909d86dc2d9e3127473ac768585f29e5c98bfdc56de9ecb885ba2bea', 'size': 83, 'nrows': 2, 'ncols': 3}",,,,,,,
,13314.019434428,,,,,,,,,,,,,,,,,,,,,1770753173.9662635,7,0.9968600065311864,,,0.9998992138681717,,,0.993839218632607,,,,,,,,
,13314.019585018,,,,,0.9999304178408656,,0.9978301248112209,,,,,,,,,,,,,,1770753173.9664848,8,,,,,,,,,,,,,0.9957386363636364,,
,14735.009881235,,,,,,,,,,,,,,,,,,,,,1770754594.9566152,9,,,,,,"{'path': 'media/table/fold3/confusion_matrix_9_8a18141d89ba87efc3c6.table.json', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://8gdp07685xc1a43rybtmly6y4bd6t8ydb8tthglt8z95h6igbhvyq9izgiaqzkwjb63ifv5c65s691etfte365che4d6j672xzoo4d9b3lmwnmnpys0t35wi8x2samci/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://aasjva324m4fxwmwanx7pc3ymwnk2vs0zgeajxbhljs46j8knjw6xt2s658pr8ylhh2s792lvm8vks95ql443teyr0100saaq2rpff0w3qkwokg8b220m6x2pkeh08of:latest/fold3/confusion_matrix.table.json', 'nrows': 2, 'sha256': '8a18141d89ba87efc3c6f37078d00ea83af81ef3f0076120ceaeddc2f0da2728', 'size': 82, '_type': 'table-file'}",,,,,,,,,
,14735.011216714,,,,,,,,,,,0.9975618951866281,,,,,,,,,0.9951356501679955,1770754594.9578536,10,,,,,,,,,,,1,,,,
,14735.011626353,,,,,,1,,,,,,,,,,,,,0.9966394124168514,,1770754594.958266,11,,,,,,,,,0.9983168780690947,,,,,,
,16124.005947903,,,,,,,,,,,,,,,,,,,,,1770755983.9527783,12,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://4z4bp4hp58hjo6i9w0uioc0t33jm78mdy03hmkx0jl5kpph10cvhd8r7pocrsyc08y3dvth3x2jyqaxn2qoe7jgnc422fs04krh81mr6buzlqnnx60l7uu65pg600b2r/fold4/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, 'size': 82, '_latest_artifact_path': 'wandb-client-artifact://gtihkil3s71klirqg8m4cy1naby56252s4p616a4wlk30pw4xo63re9woexmu772waw81r8enbw5vf5vtpk6pxvxydsdg6iqt4hwf8oe9whvdgqkqchrnu43us2rm0on:latest/fold4/confusion_matrix.table.json', 'ncols': 3, 'path': 'media/table/fold4/confusion_matrix_12_4a793361d7330bdc5211.table.json', 'sha256': '4a793361d7330bdc521198dc2225cd7d86602fcb1d09bd0d7b31462e760eab8b'}",,,,,,,,,,,,,
0.9998488208022576,16124.006998974,,,,,,,,,,,,,,0.9977621885293304,,,,,,,1770755983.9537814,13,,,,,,,,,,,,,,0.9956842475033874,
,16124.007057431,,,0.9984560673085263,,,,,,,0.9970205099778271,,,,,,,,,,,1770755983.9539516,14,,,,,,,,,,,,0.9998957645669018,,,
