fold4/class_0/recall,fold2/class_3/f1-score,fold3/class_1/recall,fold3/confusion_matrix,fold2/confusion_matrix,fold2/class_2/recall,fold0/class_2/f1-score,fold0/class_2/precision,fold1/class_1/f1-score,fold2/class_0/f1-score,fold3/class_1/precision,fold0/class_3/recall,fold4/class_2/recall,fold0/confusion_matrix,fold2/class_2/f1-score,fold0/class_0/f1-score,fold3/class_2/precision,fold2/class_3/precision,cv5/fold_metrics,fold1/class_1/recall,fold1/class_3/f1-score,fold0/class_3/precision,fold1/class_2/precision,fold3/class_3/precision,fold0/class_0/precision,fold4/class_3/precision,_step,fold4/class_0/precision,fold4/class_0/f1-score,fold0/class_1/precision,fold3/class_3/recall,fold1/class_3/precision,fold3/class_0/f1-score,fold3/class_2/f1-score,fold1/class_1/precision,fold4/class_1/precision,fold1/class_0/recall,fold4/class_1/f1-score,fold0/class_3/f1-score,fold3/class_3/f1-score,fold4/class_2/precision,fold1/class_2/recall,fold2/class_1/recall,fold4/class_3/f1-score,fold4/class_1/recall,fold1/class_0/precision,fold0/class_0/recall,fold0/class_1/recall,fold3/class_0/precision,fold1/class_2/f1-score,fold2/class_1/precision,fold2/class_3/recall,fold2/class_2/precision,_runtime,fold3/class_2/recall,fold4/confusion_matrix,fold0/class_2/recall,fold4/class_3/recall,fold1/class_0/f1-score,fold2/class_1/f1-score,fold2/class_0/recall,_timestamp,fold1/confusion_matrix,fold2/class_0/precision,fold1/class_3/recall,fold0/class_1/f1-score,fold3/class_1/f1-score,fold3/class_0/recall,fold4/class_2/f1-score
,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'size': 148, '_type': 'table-file', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://9vpym94c5st9339gd19gtg2qugitnchjteezv61cn4st7ohyy5u10qse3yrlg1m653ho7o8inj60l2h36x268hm98j7gdtuybjpzgeoke5w4cxgqtmztzo1ktarmt9ly:latest/fold0/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://tv52foju7cxk20i81sq6tfbui8txcarz21vbrrdpnpcyhl28yj4zgb6sfhn2phm0y1n8ezx7btxu2y8rncv77o4kdpip0imkrb0clp7by4axdwtzyuei9qgg9y0pxod7/fold0/confusion_matrix.table.json', 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_d68b6e075318f37dcb4e.table.json', 'sha256': 'd68b6e075318f37dcb4eeaf3be163dcbf8b9f362089998b1799a581d5c556a2d'}",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,93.335425023,,,,,,,,1770722742.9695146,,,,,,,
,,,,,,,,,,,,,,,0.9972326224971513,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,0.9944805194805195,,,,,,,93.337367099,,,,,,,,1770722742.971881,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.9762247838616714,,,,,,,,,,,,,,,,,,1,,,,,,93.337793102,,,,,,,,1770722742.9725413,,,,0.987969376594969,,,
,,,,,,0.9966221650313656,0.9987105093488072,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,93.338323187,,,0.9945425361155699,,,,,1770722742.9728932,,,,,,,
,,,,,,,,,,,0.9898305084745763,,,,,,,,,,0.9918478260869565,,,,,4,,,,,,,,,,,,0.9908381404818459,,,,,,,,,,,,,,,93.338709361,,,,,,,,1770722742.9733708,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,211.990502543,,,,,,,,1770722861.6250346,"{'artifact_path': 'wandb-client-artifact://v5fp56njkxe21r9h6rkrfu4p7fkc2fdtcq8sqndtpi6i7tw7lv6z660gqtji2ykdqbmb406i2r7r3uot7dv4pu7gg06lc19ky1mc034q4rnewqr4t0d1j19djaga71n7/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_094731a1c9f695bb2c2e.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://a5doq5iqp1ihjzno68t7omopiz5wk438ogg2mt9oo2zxbgw44zxhvgt33f076gy73ohg8g4t3ur226m1bi5mdq70ox4o5e667p3g2pzs09ynb4myocr6zqqkhokmecdw:latest/fold1/confusion_matrix.table.json', 'nrows': 4, 'sha256': '094731a1c9f695bb2c2e293d62e99258a25a4fc669f593dd5fd64a76b1f646a8', 'size': 145, 'ncols': 5}",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0.9967310549777118,,,,,,,,,0.9997019374068554,,,,,,,,211.991941759,,,,,0.9982142857142857,,,1770722861.6265562,,,,,,,
,,,,,,,,0.9967845659163987,,,,,,,,,,,0.9964285714285714,,,,,,,7,,,,,,,,0.9971408148677627,,,,,,,,,,,,,,,,,,,211.992413759,,,,,,,,1770722861.6270883,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.9996746909564086,,,,8,,,,,,,,,,,,,,,0.999349593495935,,,,,,,,0.9995121157911856,,,,211.992933324,,,,,,,,1770722861.6275563,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.9940978077571669,,,,,,9,,,,,0.9890939597315436,,,,,,,,,,,,,,,,,,,,,,211.993308455,,,,,,,,1770722861.6279771,,,0.9991525423728813,,,,
