fold0/class_0/recall,fold1/class_0/recall,fold0/class_1/recall,fold3/class_1/recall,fold3/class_0/f1-score,fold3/confusion_matrix,fold2/class_0/precision,fold2/class_1/f1-score,fold2/class_1/precision,fold4/class_1/precision,fold2/class_0/recall,fold3/class_0/recall,fold2/class_1/recall,fold0/class_0/f1-score,fold2/confusion_matrix,fold0/class_0/precision,fold1/class_0/precision,fold3/class_1/f1-score,fold1/class_0/f1-score,fold3/class_0/precision,fold1/class_1/recall,fold0/confusion_matrix,fold4/class_0/precision,fold4/class_0/f1-score,cv5/fold_metrics,_timestamp,fold0/class_1/precision,_step,fold1/confusion_matrix,fold1/class_1/precision,fold2/class_0/f1-score,fold4/class_0/recall,fold4/class_1/f1-score,fold1/class_1/f1-score,fold3/class_1/precision,_runtime,fold4/confusion_matrix,fold4/class_1/recall,fold0/class_1/f1-score
,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://apb7xumzqeudamy1qx1y6s9t0f8hvzuif7rxxezwxvf4j8z43v97wvqzmz6it6fpd2v5npor56k04af3vfuczk9o4tdop3wtzwg9kz8336f1q4qhrvch0kv5h2wiobln/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://1sqtv5ln8pp1st64crpvwbgesrmwe15hr6uojuftl7kgaxx96pp26209qylociv1vpok8d7pb3rtgll5vp3u9crfzt0j5377ycdofso8gpvabuesyuzcu74ky1s3b872:latest/fold0/confusion_matrix.table.json', 'sha256': '131201f8204158850fdb1c8874467aed60100586ab3fb58c692aa32e480fea79', 'path': 'media/table/fold0/confusion_matrix_0_131201f8204158850fdb.table.json', '_type': 'table-file', 'nrows': 2, 'size': 83, 'ncols': 3}",,,,1770724783.0006661,,0,,,,,,,,3811.442116129,,,
0.9969924812030075,,,,,,,,,,,,,0.9969530291638637,,0.9969135802469136,,,,,,,,,,1770724783.0018837,,1,,,,,,,,3811.443146701,,,
,,0.9986495844875346,,,,,,,,,,,,,,,,,,,,,,,1770724783.0021358,0.9986841649641608,2,,,,,,,,3811.443316851,,,0.9986668744264963
,,,,,,,,,,,,,,,,,,,,,,,,,1770725257.8311818,,3,"{'artifact_path': 'wandb-client-artifact://zeqrvykhstnmh388hlpfp13pvnny3x4ah2wiasr28v5wwl289i63ucsep6bstjdv8oqx34s80nehjjaxfe1od59pujxnivxaj6d191zhenkhcryzfzx7cb65m785ldwt/fold1/confusion_matrix.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://otbcez44acr40fkyxlqwb4vcd5baigeywmjidj81rtivhj4edd7bqj54zw73irpy1ld6kicx7k80cc5f2tdiidks3cj3guaz4jyjwrwhyqy8oxgv8hl1c36l8tgjf78j:latest/fold1/confusion_matrix.table.json', 'sha256': '01a2182b967f2873d4b2ce39f3ede09a0e7b26f1bb7191c5de882b62cfcf6fca', 'ncols': 3, 'nrows': 2, 'size': 82, 'path': 'media/table/fold1/confusion_matrix_3_01a2182b967f2873d4b2.table.json'}",,,,,,,4286.272620036,,,
,0.9996834190740008,,,,,,,,,,,,,,,0.9966858675925195,,0.998182392919235,,,,,,,1770725257.8327127,,4,,,,,,,,4286.273997199,,,
,,,,,,,,,,,,,,,,,,,,0.9985457063711911,,,,,1770725257.8329887,,5,,0.9998613133624575,,,,0.9992030768164651,,4286.274165085,,,
,,,,,,,,,,,,,,"{'_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold2/confusion_matrix_6_72352bcc58bdccba6851.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ixas2cxj80p5ngp2u9rags4jhegf2vp0hwyyfxwz2ojavnpbm6c3qrumv2uxkt9bzu2fmet5dqnrmqpd8l7v118z5iyz7byk5rrbrnnpurb231pasazzrr1gslyjsii4/fold2/confusion_matrix.table.json', 'size': 82, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://mrrydh6ufwslax3zjy3qh2rykyhzqkf0uu6iawt2afkpdpjsgldiwy3f5oxsmbglq3qugglx0y93ck1c799jk33w1jv0lvou8vhq0bweqrbcqwx06u11e3f9nuk7acmi:latest/fold2/confusion_matrix.table.json', 'sha256': '72352bcc58bdccba68516843452849f77486221a894bece14b6b8ef06bc470df'}",,,,,,,,,,,1770725796.7485735,,6,,,,,,,,4825.190064315,,,
,,,,,,0.9955065037445802,,,,1,,,,,,,,,,,,,,,1770725796.749787,,7,,,0.9977481926282937,,,,,4825.191138985,,,
,,,,,,,0.9990116349638466,1,,,,0.99802522172949,,,,,,,,,,,,,1770725796.7501483,,8,,,,,,,,4825.191389676,,,
,,,,,"{'nrows': 2, 'size': 82, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://hi6l3wqqmt4bj1e2xrmt7gm2r5l5wssuam659mycmfnva9iqh98p5ykllgzre1viafxx0msme1368eeymhmimb3r4cptr62wzdbdbax6nojus23gv0r0dxwg4ebemkyp/fold3/confusion_matrix.table.json', 'sha256': '9fd4e8cbb863bc796d22fa133b4d70735b87a26a60c42c95eb232c0827de150f', 'ncols': 3, 'path': 'media/table/fold3/confusion_matrix_9_9fd4e8cbb863bc796d22.table.json', '_latest_artifact_path': 'wandb-client-artifact://a21lm77q5tra8qo10vodiagefd2krqewathdl2sdy014zktxs02inr7biar95s0adv8sr3eroo52z2diuxln452nw6ph7ga2iffj3f8ix9g2i8zmmngm53c6w9v27lwv:latest/fold3/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,1770726527.3651378,,9,,,,,,,,5555.806496118,,,
