fold1/class_1/f1-score,fold2/class_3/f1-score,fold2/class_3/recall,fold3/class_3/f1-score,cv5/fold_metrics,fold2/confusion_matrix,fold4/confusion_matrix,fold0/class_2/recall,_step,fold4/class_1/recall,fold3/class_2/precision,fold2/class_2/f1-score,fold0/class_2/precision,fold3/class_0/precision,fold3/class_0/recall,fold4/class_0/recall,fold1/class_2/precision,fold3/class_3/recall,fold3/class_2/f1-score,fold2/class_1/precision,fold1/confusion_matrix,fold4/class_2/precision,fold2/class_2/recall,fold1/class_2/f1-score,_timestamp,fold2/class_1/f1-score,fold1/class_3/f1-score,fold3/class_1/recall,fold2/class_0/f1-score,fold4/class_2/recall,fold0/class_0/precision,fold3/class_0/f1-score,fold1/class_3/precision,fold2/class_3/precision,fold1/class_0/f1-score,fold3/class_1/f1-score,fold0/class_0/recall,fold4/class_0/precision,fold4/class_3/precision,fold1/class_3/recall,_runtime,fold0/class_0/f1-score,fold2/class_2/precision,fold2/class_1/recall,fold3/class_1/precision,fold0/class_2/f1-score,fold1/class_2/recall,fold2/class_0/recall,fold4/class_3/f1-score,fold4/class_1/precision,fold0/class_3/precision,fold4/class_1/f1-score,fold0/class_3/recall,fold0/class_3/f1-score,fold1/class_1/recall,fold1/class_1/precision,fold1/class_0/precision,fold0/confusion_matrix,fold0/class_1/recall,fold0/class_1/precision,fold1/class_0/recall,fold2/class_0/precision,fold3/class_2/recall,fold3/confusion_matrix,fold4/class_2/f1-score,fold3/class_3/precision,fold0/class_1/f1-score,fold4/class_3/recall,fold4/class_0/f1-score
,,,,,,,,0,,,,,,,,,,,,,,,,1770720020.6554315,,,,,,,,,,,,,,,,1902.96537236,,,,,,,,,,,,,,,,,"{'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_2bac12b5cbc8b2875c6b.table.json', '_latest_artifact_path': 'wandb-client-artifact://f5jfzu3ae8c4rx2fugvmb5dkoplx4j1ehm2br0txqfycil321b8qa8snl05ol8lrhpton6pf5vngmhv8hwaye8z5kleq8uhtsc4o4f204qoggh5nifnmrcubgvln17a7:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'size': 144, 'log_mode': 'IMMUTABLE', 'sha256': '2bac12b5cbc8b2875c6bb8e919a2df6074bebc8a6c3f0b5ce6d77fa90dd09215', 'artifact_path': 'wandb-client-artifact://u828xxc4qj746vxxml6gtgpy9i34f0lffej52y3psf9k69shd5na9zwauspotshly265obnzms9pi61mbwnv48uhuw1czxii06hw45a9wshh8a4wsstcprrw8d952mei/fold0/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,1770720020.6606805,,,,,,0.9962059620596206,,,,,,0.9945887445887446,,,,1902.970520771,0.9953966964527484,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,1770720020.6613069,,,,,,,,,,,,,,,,1902.971052119,,,,,,,,,,,,,,,,,,0.984009840098401,0.9815950920245399,,,,,,,0.9828009828009828,,
,,,,,,,0.9957196361690743,3,,,,0.9930629669156884,,,,,,,,,,,,1770720020.661817,,,,,,,,,,,,,,,,1902.971528007,,,,,0.9943895271172856,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,,,,,,,,,,,,,,,,1770720020.662323,,,,,,,,,,,,,,,,1902.972044772,,,,,,,,,,0.985244040862656,,0.9807909604519774,0.9830124575311439,,,,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,,,,,"{'ncols': 5, 'nrows': 4, 'artifact_path': 'wandb-client-artifact://7hihynobhhj8cr8oyo1zmws5o8rb9rnt5k7wek7ltse3rncrqkf3crffkpx7mlpm6kpcrog3kvlb6qnuukdzmnxxoki5dvahtl2cl3zcid3gnou29ki480xvribofqbg/fold1/confusion_matrix.table.json', '_type': 'table-file', 'size': 145, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://zn7yrxddny5v0ykzjwrxjvwlkxbji6kof3wtrkrlmp639783k8c8wc841k5pd6b148a27fewu7um9my0cydr38vizqez2qvndygh1zlb4qjtrwruth1n2lld0aubljsx:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_8185e00a81f11d4cab38.table.json', 'sha256': '8185e00a81f11d4cab383dfd8902a52b5729597e6f9495e4d4170a71d65b368f'}",,,,1770720171.696033,,,,,,,,,,,,,,,,2054.005785472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,,,,,,,,,,,,,,,,1770720171.6976433,,,,,,,,,,0.993554784333168,,,,,,2054.007317203,,,,,,,,,,,,,,,,0.9945409429280397,,,,0.9925705794947994,,,,,,,,
0.9858823529411764,,,,,,,,7,,,,,,,,,,,,,,,,1770720171.6980274,,,,,,,,,,,,,,,,2054.007667344,,,,,,,,,,,,,,0.9976190476190476,0.9744186046511628,,,,,,,,,,,,,
,,,,,,,,8,,,,,,,,0.9962059620596206,,,,,,,0.9962059620596206,1770720171.6983533,,,,,,,,,,,,,,,,2054.007984685,,,,,,0.9962059620596206,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,1770720171.6986737,,0.9771428571428571,,,,,,0.9884393063583815,,,,,,,0.9661016949152542,2054.00826265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://brzmd7aqwspnvraeclhpccurpwnea5diu7m2ozc33lxahkvq9vmr3dykdqud92uno5271ut6imq10nxybz3kxdg97hq7ftusui8c3eohzp8j3ga6wzc7nmcrecpb4ock:latest/fold2/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://s29opmcbcqfyticib9n9fitjexczn3zgw643dhxja4zjwnoa8mtwnx7iqfczqprhk3018wy62xy92cfgbdt1u5g6dfs3jhs0jkez2hwxie1le0euyvx76dbr0lq4u350/fold2/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'path': 'media/table/fold2/confusion_matrix_10_4029a81a8aeae32f7c57.table.json', 'size': 143, 'ncols': 5, 'sha256': '4029a81a8aeae32f7c578e01a8ab222ab5de8c4aef554a54d42fbf8bf9e0ef50'}",,,10,,,,,,,,,,,,,,,,1770720427.7888536,,,,,,,,,,,,,,,,2310.098579282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,,,,,,,,,,,,,,,,1770720427.7905226,,,,0.9968766267568975,,,,,,,,,,,,2310.100394735,,,,,,,0.9958398335933437,,,,,,,,,,,,,,0.9979155810317873,,,,,,,
,,,,,,,,12,,,,,,,,,,,0.9919028340080972,,,,,1770720427.791099,0.9879032258064516,,,,,,,,,,,,,,,2310.100769008,,,0.9839357429718876,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,,,0.9965959675307672,,,,,,,,,,,0.9973794549266247,,1770720427.7915237,,,,,,,,,,,,,,,,2310.101151019,,0.9958137100994244,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9838805970149254,0.988009592326139,,,,,,14,,,,,,,,,,,,,,,,1770720427.7919195,,,,,,,,,0.9797859690844233,,,,,,,2310.101625496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,,,,,,,,,,,,,,,,1770720630.3953793,,,,,,,,,,,,,,,,2512.705189021,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://rf2v2wgiph823g2xo1omwdrmk3iarboisz2uehzdcgr509rfqitlcbgy5h1qcp6vhnbm45by8qi4fxrzkzdzm2e8u9vobuno5zx8hkh5ygudrnlbs3t2wxopmzeasn4s:latest/fold3/confusion_matrix.table.json', 'sha256': 'db2cb461e554bc6d2d33f33f51af0869d7f0ff5ee76be041900f692a98678335', 'size': 147, 'ncols': 5, 'nrows': 4, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://0yl3dwxvpuegwi1jd3831sx2u070np5zf3yx372uam1wdzwxajy97ycodmjhhxqoc3s12mw3ab1th2b147heuntx0x3mgr9vvzpems6qak7pjscqnnujllsu4nmm3n5y/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_15_db2cb461e554bc6d2d33.table.json'}",,,,,
,,,,,,,,16,,,,,0.9925729442970822,0.9930997876857749,,,,,,,,,,1770720630.397575,,,,,,,0.9928362960997612,,,,,,,,,2512.707195515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,17,,,,,,,,,,,,,,,,1770720630.3979092,,,0.9660377358490566,,,,,,,,0.974001268230818,,,,,2512.707547547,,,,0.9820971867007673,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,,0.9994786235662148,,,,,,,,0.9950687775759148,,,,,,1770720630.3982503,,,,,,,,,,,,,,,,2512.707865567,,,,,,,,,,,,,,,,,,,,,,0.9906976744186047,,,,,,
,,,0.9785407725321889,,,,,19,,,,,,,,,0.9962546816479401,,,,,,,1770720630.3985653,,,,,,,,,,,,,,,,2512.708170905,,,,,,,,,,,,,,,,,,,,,,,,,0.9614457831325302,,,
,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://lzbu4iihhgdwhh8t7bljtbbw9s5u32z9dn8ngunyg4q8myrmz9vex5n6tob938vdmwkxlqtc6i7jb7nxihszr4zy71cx1nd0tl9p39dvtarogntu7q53fzhv8wyw6sk0:latest/fold4/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'sha256': '83162cebe6c77945fd7454d81169178be3a134a311e4c032063cf2fd702940f8', 'path': 'media/table/fold4/confusion_matrix_20_83162cebe6c77945fd74.table.json', 'size': 143, 'artifact_path': 'wandb-client-artifact://xqfworle7zcd7mtixailrbblpxncc27te8viqtecpz84em5d7uwfggnhg2mhjw7p71fe30vibe5mrct9enorff6a4u3miesds47yuxs4obocedo7bbobxx7kkdq4qk5a/fold4/confusion_matrix.table.json', 'ncols': 5}",,20,,,,,,,,,,,,,,,,1770720811.8121152,,,,,,,,,,,,,,,,2694.121967542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,,,,,,,0.9957872564507636,,,,,,,,,1770720811.8139799,,,,,,,,,,,,,0.9973628691983122,,,2694.123755015,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9965744400527009
,,,,,,,,22,0.991128010139417,,,,,,,,,,,,,,,1770720811.8144748,,,,,,,,,,,,,,,,2694.124202756,,,,,,,,,0.9923857868020305,,0.9917564996829423,,,,,,,,,,,,,,,,,
,,,,,,,,23,,,,,,,,,,,,,0.9989664082687338,,,1770720811.8148959,,,,,0.9974200206398349,,,,,,,,,,,2694.124642001,,,,,,,,,,,,,,,,,,,,,,,,0.9981926155435064,,,,
,,,,,,,,24,,,,,,,,,,,,,,,,1770720811.8153336,,,,,,,,,,,,,,0.9848675914249685,,2694.125008774,,,,,,,,0.9892336922102597,,,,,,,,,,,,,,,,,,,0.9936386768447837,
,,,,"{'_latest_artifact_path': 'wandb-client-artifact://d0u26mg79arcafgqlp4k9f30tlmblcyggemop8jj5ay968j9lyt9y83ywhv1d9tuq8141pe5j45hcoaiiyn6e0vek8819un9sw1xs1bma9n1j89qfwjo0hl7oah8bj1v:latest/cv5/fold_metrics.table.json', 'size': 772, 'artifact_path': 'wandb-client-artifact://sndlydw6g9bt8s4bs22lcw95smzjrcg7sibg3svw3skrghuh8jgc6zvjac00audwv49rszsb4z8aowtzyfd87rigfex1pasufd5749ciiqcilwkgym4bvvq0hda1yspp/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_f3de2c7c4d7024fe837e.table.json', 'ncols': 9, 'nrows': 5, 'sha256': 'f3de2c7c4d7024fe837eaef82a8fb36639ef049d2629a44905394f6ea54295b1', 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,25,,,,,,,,,,,,,,,,1770720812.181916,,,,,,,,,,,,,,,,2694.491645521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
