fold3/class_0/recall,fold0/class_0/recall,fold1/class_0/f1-score,fold1/class_1/recall,fold3/class_1/precision,fold0/class_1/precision,fold2/class_0/recall,fold2/class_1/f1-score,fold4/class_0/f1-score,fold0/class_1/f1-score,fold4/confusion_matrix,fold1/class_0/recall,fold2/confusion_matrix,_timestamp,fold0/class_0/f1-score,_step,fold0/class_0/precision,fold3/class_1/f1-score,fold4/class_0/recall,fold1/class_1/f1-score,fold3/confusion_matrix,fold3/class_0/precision,fold2/class_1/recall,fold3/class_1/recall,fold1/confusion_matrix,_runtime,fold3/class_0/f1-score,fold4/class_1/precision,fold4/class_1/recall,fold0/class_1/recall,fold1/class_0/precision,fold2/class_0/precision,fold4/class_1/f1-score,fold0/confusion_matrix,fold2/class_1/precision,fold1/class_1/precision,fold4/class_0/precision,fold2/class_0/f1-score,cv5/fold_metrics
,,,,,,,,,,,,,1770739201.2916765,,0,,,,,,,,,,6759.817303652,,,,,,,,"{'nrows': 2, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_84ce84a62090f46645fb.table.json', 'sha256': '84ce84a62090f46645fb80bd30151418a5216a2e5ef98f30df9358b91cb62f32', 'artifact_path': 'wandb-client-artifact://x1ono25twpbn9vfcxof3j6vdwx02bg1ld4qprzm1pp1i5nm6woz6m4ss73xhcqc4p5mwx54fo63y5k91fab7z0fgpopg7j3xpxqw9supu18l3frc6ck60hln6504zhar/fold0/confusion_matrix.table.json', 'ncols': 3, 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://qfp39x3tpt18o3eusr7de6mjwrijty1wgg4kydd6lwv165lb5p65y3yj19jm0m8xbecvplp72p413ogppgh11kal8yeml1ehb4mhd415h08wl1ulr7nzhe528pxoini2:latest/fold0/confusion_matrix.table.json', '_type': 'table-file'}",,,,,
,1,,,,,,,,,,,,1770739201.293397,0.9968398122296198,1,0.9936995351113286,,,,,,,,,6759.818809768,,,,,,,,,,,,,
,,,,,1,,,,0.9982135733735713,,,,1770739201.2939215,,2,,,,,,,,,,6759.819389048,,,,0.9964335180055401,,,,,,,,,
,,,,,,,,,,,,,1770740367.7568388,,3,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_72e787772d32e8538ffa.table.json', 'artifact_path': 'wandb-client-artifact://wvppft03nc32xhvgzc2hkc4st06aw1lk8b5pju8kzmm9xw291bbbnygpfenwvsof0zpyrkxhmtny1cupd6jdgvr6mhx8l3iqpjidfu9do81vdnh9yk3hjl7jqavex8gq/fold1/confusion_matrix.table.json', 'sha256': '72e787772d32e8538ffafec0b53fde8b7a72107dc6da18d90401d5ce6cb31154', 'size': 82, '_latest_artifact_path': 'wandb-client-artifact://tomv6biak8lp2vi92lbkt62ktb0ljqlv7yqpsj64szmx69q3iqjdgg4s2ssw1f4mb120yxb6bngoeu5puo4b5n5uo5cbyxewi0xv91jmh2y5mkbjd6z9mj5bor2bkafh:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 3}",7926.282115964,,,,,,,,,,,,,
,,0.9977581918127937,,,,,,,,,1,,1770740367.7605796,,4,,,,,,,,,,7926.285803668,,,,,0.9955264125505576,,,,,,,,
,,,0.9974722991689751,,,,,,,,,,1770740367.7608137,,5,,,,0.9987345502452892,,,,,,7926.286000542,,,,,,,,,,1,,,
,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://upcpnmg31ie128o118i7x9hjdjgu0o51e8vx8frrvtizqn6p2bokb9vtsoj305hryzoqqe7vtzpdjf2lfjpbfx1i97lw2ysfy390s21yj8tz0o22zt9lgc7m24t0xyex:latest/fold2/confusion_matrix.table.json', 'ncols': 3, 'path': 'media/table/fold2/confusion_matrix_6_ddbc15485a388a48001d.table.json', 'size': 83, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://e5a1l0yn88qjgdp08mhzee1q4k8o47p1pl4llogfreye7ixaxxqo3ohozk64lp6f4aabd0wkio11mdfwfbw9ihudr6jb7ar6gjavetujjps02ou7f5zud3h0syvuahnn/fold2/confusion_matrix.table.json', 'sha256': 'ddbc15485a388a48001d418310ec8a80de83c6467787fbb7c002c87ee855c9f7', 'log_mode': 'IMMUTABLE', 'nrows': 2}",1770740871.541382,,6,,,,,,,,,,8430.066876904,,,,,,,,,,,,,
,,,,,,1,,,,,,,1770740871.543093,,7,,,,,,,,,,8430.0683384,,,,,,0.9927239376337511,,,,,,0.996348685219846,
,,,,,,,0.9979343505355066,,,,,,1770740871.5433288,,8,,,,,,,0.9958772172949002,,,8430.068498852,,,,,,,,,1,,,,
,,,,,,,,,,,,,1770741887.9137306,,9,,,,,"{'nrows': 2, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_9_f39128eb2ae90c74ed25.table.json', 'artifact_path': 'wandb-client-artifact://dcri6x7tpnpdp8kgs2x35q22ft4dq1i10vf8ayyf6h9qcp5x6v1fmi8xf2xnrhhgmf2hixtrkxfs0old9shwqkqqytaykf6dtbh3x6iqc6zqw0jsu4j75cjdthafv6kv/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://3nl48nqdn2q6g24xrpklcfkrlngt2jwhb2ypzadbkrh6qlwauk8215thvdkkv35xn8cnvfnfcw8vae3ikih63vosd0i3irufjqhhz9ubdbqesjkjtrhywsu3vaahc5p4:latest/fold3/confusion_matrix.table.json', 'sha256': 'f39128eb2ae90c74ed2552b71150d5fdda7f5d7c6ca1a7c4ae0556907251df0c', 'size': 82, 'ncols': 3, '_type': 'table-file'}",,,,,9446.439114587,,,,,,,,,,,,,
