fold4/class_2/f1-score,fold2/class_1/f1-score,fold4/confusion_matrix,fold0/class_0/f1-score,fold3/class_2/f1-score,fold4/class_0/precision,fold2/class_1/recall,fold3/class_0/f1-score,fold4/class_1/precision,fold2/class_2/recall,fold4/class_3/f1-score,fold1/class_3/precision,fold2/confusion_matrix,fold0/class_2/f1-score,fold1/class_1/f1-score,fold2/class_0/recall,fold3/class_1/precision,fold0/class_3/recall,fold4/class_2/precision,fold3/class_0/precision,fold1/class_1/precision,fold1/class_2/f1-score,fold1/confusion_matrix,fold0/class_0/recall,fold4/class_2/recall,fold1/class_0/recall,fold2/class_3/recall,fold0/class_2/recall,fold1/class_3/f1-score,_runtime,fold3/class_0/recall,fold0/class_2/precision,fold3/class_3/f1-score,fold4/class_3/precision,fold0/class_1/precision,fold2/class_2/f1-score,fold4/class_1/recall,fold2/class_3/precision,fold3/class_3/precision,fold3/confusion_matrix,fold1/class_1/recall,fold0/class_3/precision,fold1/class_2/recall,fold0/class_0/precision,fold2/class_1/precision,fold1/class_0/f1-score,fold4/class_3/recall,fold3/class_1/recall,_step,fold2/class_0/f1-score,fold1/class_0/precision,fold3/class_1/f1-score,_timestamp,fold0/class_1/f1-score,fold3/class_2/recall,fold2/class_0/precision,fold4/class_0/f1-score,fold0/class_3/f1-score,fold1/class_2/precision,cv5/fold_metrics,fold1/class_3/recall,fold3/class_3/recall,fold0/confusion_matrix,fold2/class_2/precision,fold2/class_3/f1-score,fold3/class_2/precision,fold4/class_0/recall,fold4/class_1/f1-score,fold0/class_1/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.020847247,,,,,,,,,,,,,,,,,,,0,,,,1770792472.0394073,,,,,,,,,,"{'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_19907ab5e02db5a11d07.table.json', 'artifact_path': 'wandb-client-artifact://6ilpj4mwe853cmzgll2fnhb2l1ltvkgu6pd1iizuuvg78awd0x91zx9208c4n0eyuhcpuev8blvzd4jmuazofq814orh1jeae7vdyeoruflr6373k6wn3xxv25htly9m/fold0/confusion_matrix.table.json', 'size': 142, 'sha256': '19907ab5e02db5a11d071ac57359c912f8757e1abb098df2b0bbaf3db0bd0415', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://t9jp2kphvg3mlf91y70wdhp7wabvyrnlug7c94h9ddjw6a2n96v15nl3uwtu0g8j1ibhh0xhsq6jy0rcnqr13jampn6u42s7uoo1fyfk04wr1gqb4b8qa0c64cdqneqj:latest/fold0/confusion_matrix.table.json', 'ncols': 5, '_type': 'table-file'}",,,,,,
,,,0.9902439024390244,,,,,,,,,,,,,,,,,,,,0.9886363636363636,,,,,,23.023340241,,,,,,,,,,,,,,0.99185667752443,,,,,1,,,,1770792472.0421417,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.023509919,,,,,1,,,,,,,,,,,,,,2,,,,1770792472.042468,0.9906890130353817,,,,,,,,,,,,,,,0.981549815498155
,,,,,,,,,,,,,0.9886914378029079,,,,,,,,,,,,,,0.9823434991974318,,23.023685088,,0.9951219512195122,,,,,,,,,,,,,,,,,3,,,,1770792472.0426416,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9898305084745763,,,,,,,,,,,,23.023843203,,,,,,,,,,,,0.9419354838709677,,,,,,,4,,,,1770792472.0428247,,,,,0.9652892561983472,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_d1e854f846f27e588821.table.json', 'sha256': 'd1e854f846f27e5888219f5a2c8dda542cfbc25fe7213c9ca0643a948692fb1e', 'size': 144, '_type': 'table-file', 'ncols': 5, 'artifact_path': 'wandb-client-artifact://0ms8w69ckbtxvrrbm4mjmivcbp78m7z9lcaklun8gy9spuluckspxdsu0ugz5h9dsaq9gq5lcghwpxq3twnfap3cww1z6u2oe90jxcvz47up6fgxwm2jvn97hu3nt21c/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://24dd5nw3fd394a4oe8ylkck1pzi5vpth0ru71s3eth71j2bcqg6cogrc1sio1z8ao16balxludm3t17lrjrn3k8km97epmnzom1s4qdu8mz61hjpncw06dyggb97hmiv:latest/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,34.802236746,,,,,,,,,,,,,,,,,,,5,,,,1770792483.8210323,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.9732540861812778,,,,34.803806141,,,,,,,,,,,,,,,,0.9783420463032113,,,6,,0.9834834834834835,,1770792483.8226128,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.978494623655914,,,,,,0.9820143884892086,,,,,,,,,34.803940298,,,,,,,,,,,0.975,,,,,,,,7,,,,1770792483.8228722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.9712879409351928,,,,,,,,34.804152731,,,,,,,,,,,,,0.9626016260162602,,,,,,8,,,,1770792483.8230395,,,,,,0.9801324503311258,,,,,,,,,,
,,,,,,,,,,,0.8515625,,,,,,,,,,,,,,,,,0.8861788617886179,34.804236628,,,,,,,,,,,,,,,,,,,9,,,,1770792483.8231866,,,,,,,,0.923728813559322,,,,,,,,
