fold3/class_2/recall,fold2/class_2/precision,fold1/class_2/f1-score,fold4/class_2/recall,fold0/class_3/precision,fold4/confusion_matrix,fold2/class_0/recall,fold3/class_1/f1-score,fold1/class_1/precision,fold2/class_2/recall,fold3/class_0/recall,fold3/class_0/precision,fold4/class_0/precision,fold3/class_0/f1-score,fold2/class_0/f1-score,fold1/class_0/precision,fold1/class_2/precision,fold2/class_1/recall,fold1/class_3/precision,fold3/class_1/recall,fold0/class_2/recall,fold1/class_1/recall,fold2/confusion_matrix,fold4/class_2/precision,fold1/class_3/recall,fold0/class_2/f1-score,fold2/class_1/precision,fold3/confusion_matrix,fold3/class_3/f1-score,fold0/class_1/f1-score,fold1/class_0/f1-score,fold2/class_2/f1-score,fold2/class_3/recall,fold3/class_2/precision,fold0/class_1/recall,fold2/class_3/precision,fold4/class_0/recall,fold4/class_3/f1-score,fold0/class_0/f1-score,_timestamp,_runtime,fold4/class_3/precision,fold0/confusion_matrix,fold0/class_1/precision,fold2/class_3/f1-score,fold3/class_3/precision,fold1/class_0/recall,fold0/class_3/f1-score,fold1/class_3/f1-score,_step,fold0/class_0/recall,cv5/fold_metrics,fold0/class_2/precision,fold0/class_3/recall,fold3/class_2/f1-score,fold1/class_2/recall,fold3/class_1/precision,fold4/class_2/f1-score,fold4/class_1/f1-score,fold3/class_3/recall,fold4/class_3/recall,fold1/confusion_matrix,fold0/class_0/precision,fold2/class_0/precision,fold2/class_1/f1-score,fold4/class_0/f1-score,fold4/class_1/recall,fold4/class_1/precision,fold1/class_1/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715277.9267552,39.759300349,,"{'path': 'media/table/fold0/confusion_matrix_0_c36e18db59656cd4b563.table.json', 'sha256': 'c36e18db59656cd4b563e5aed1347ab970e291ade4a9e51f883b09cbccd69ad5', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://z2k39zr5bexmnrhsqcqoa4ecfbyo762417de60tu271i3vqpx0x264c475a93jo3x0tuq9js4et132vmk26d16jeq37z9zel4e6t1crmt0z5mour3rr4l8rpkfmbxqnt/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://9xwdua6hk47ua6j1br2dth5a3dm3ne6ise77vu6tqvvu887ry7ep30vm56rsncdwnqy0i3wdk0mvy9ueru0j9w53zgjyiiu7lx4cz5ehy93n032mn0m9xja3d5wiybal:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'size': 143, '_type': 'table-file', 'nrows': 4}",,,,,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981045220687788,1770715277.931264,39.763329769,,,,,,,,,1,0.9972943722943723,,,,,,,,,,,,0.9989159891598915,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9919802590993214,,,,,0.988929889298893,,,,,1770715277.9317994,39.76377158,,,0.995049504950495,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.9941144997324772,,,,,0.9957127545551983,,,,,,,,,,,,,,1770715277.9321856,39.764156209,,,,,,,,,3,,,0.9973161567364466,,,,,,,,,,,,,,,,
,,,,0.978865406006674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715277.9326563,39.76464248,,,,,,,0.9865470852017937,,4,,,,0.9943502824858758,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715300.4618752,62.293920301,,,,,,,,,5,,,,,,,,,,,,"{'nrows': 4, 'size': 146, '_type': 'table-file', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://571x319be8h2jnaal2k793xxpbjjk8va8xngnllx6txm6o82dp0z6ffrxnc03m91q66o307ptld4k0xeoos4pzl5iwjyc0c4i2y17rpm8qp4st77dkkk5tn5fsv03o7v/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://s0xrtv2yqtpzaggl5wyxsfx9pv3qwkyu7qsx3ieqoa057a1tr9wknlr8y3q81yyi9uqv8ypmievbwhtkv4gf6fwuscj9cn1kq8mhawp5h11p6dxtbbtq08oxh59lsp3x:latest/fold1/confusion_matrix.table.json', 'sha256': '775643e1b2eef38cfcb62e71b16550ec94d473f2e547c7b5b6f64b69925ee55e', 'path': 'media/table/fold1/confusion_matrix_5_775643e1b2eef38cfcb6.table.json'}",,,,,,,
,,,,,,,,,,,,,,,0.9853372434017595,,,,,,,,,,,,,,,0.9918819188191882,,,,,,,,,1770715300.4663167,62.298241328,,,,,,0.9985141158989599,,,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9963636363636363,,,,,,,,,,,,,0.9785714285714285,,,,,,,,,,,,,,,,,,1770715300.4667137,62.298684504,,,,,,,,,7,,,,,,,,,,,,,,,,,,,0.9873873873873874
,,0.9912568306010929,,,,,,,,,,,,,,0.9994490358126722,,,,,,,,,,,,,,,,,,,,,,,1770715300.4671946,62.299221302,,,,,,,,,8,,,,,,0.9831978319783198,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.9641873278236914,,,,,,0.9887005649717514,,,,,,,,,,,,,,,1770715300.4677227,62.299675783,,,,,,,,0.9762900976290098,9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://lnirw1eqiamvnt4jt2xq8opkoh38rj7i98btqoi7tco8iugtxk8fjzbuo587tm2gpzjduv4e3hk9g4hvytqvguc4f6vzipjwa69ugkywhhtez9w8xsra66lnrx6zmrpt/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://kkzqwz9m89oqosy4grraiao2zzphi4g91v4xgbaed77dcytmzzoef7cy8zkb2tzmvrjmhsa2th4n3960k1kgmfqcp1p7za6dmfkw1pz9g2g1g9tlqkfw9lwk29qsvqt3:latest/fold2/confusion_matrix.table.json', 'size': 146, 'nrows': 4, '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_10_4d6253d24615e1e45fe4.table.json', 'sha256': '4d6253d24615e1e45fe4b2d9d6552b14d135ce0f793fdc3a74b1d9102fd724b2', 'ncols': 5, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,1770715321.1671,82.999414595,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
,,,,,,0.998959958398336,,,,,,,,0.9940491591203104,,,,,,,,,,,,,,,,,,,,,,,,,1770715321.1720583,83.004019442,,,,,,,,,11,,,,,,,,,,,,,,0.9891864057672503,,,,,
,,,,,,,,,,,,,,,,,0.9625167336010709,,,,,,,,,0.9944674965421854,,,,,,,,,,,,,1770715321.172457,83.004400853,,,,,,,,,12,,,,,,,,,,,,,,,0.9782312925170068,,,,
,0.993704092339979,,,,,,,,0.9926624737945493,,,,,,,,,,,,,,,,,,,,,,0.9931830099632931,,,,,,,,1770715321.1728067,83.004717791,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9832134292565947,,,0.9750297265160524,,,,1770715321.173144,83.005105055,,,,0.9791044776119403,,,,,14,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://gfui1pcwn741dz7au54i2bu67tyt7bpuemgbbhb7wq4zdoui131m7mgmj6tidx3oyibvrqfi7qn7rz3ao8154jf8oqga18nzxqkq90hroc7foafiaxcsdds06x49flui/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://dd4w1rrrpivpkf5vdt1hjry7r59k8ce4j92ochvuy3sir0mz2om0zvmzzs8c2zgeohdzpqkyqk62drnzoxj9121x04otwd9ym7sgf9wwe8qsfcti4oqe434xftiv8vnj:latest/fold3/confusion_matrix.table.json', 'size': 145, 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_12dc4b25ae11a18e5c9e.table.json', 'nrows': 4, 'log_mode': 'IMMUTABLE', 'sha256': '12dc4b25ae11a18e5c9e97e303ab0ec3d3e2c780b9a821c44eb7451a995a671b', '_type': 'table-file'}",,,,,,,,,,,,1770715352.9826806,114.814763493,,,,,,,,,15,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9915074309978769,0.9957356076759062,,0.9936170212765958,,,,,,,,,,,,,,,,,,,,,,,,,,1770715352.9879758,114.820108675,,,,,,,,,16,,,,,,,,,,,,,,,,,,,
