fold3/class_2/f1-score,fold1/class_2/precision,fold1/class_1/f1-score,fold1/confusion_matrix,fold2/class_0/f1-score,fold3/class_3/recall,fold1/class_0/precision,fold4/class_1/precision,fold0/class_0/f1-score,fold3/class_2/precision,fold3/class_0/f1-score,_runtime,fold2/class_3/recall,fold2/class_1/recall,fold4/class_0/f1-score,fold4/class_1/recall,fold2/confusion_matrix,fold4/class_2/precision,fold4/class_2/recall,cv5/fold_metrics,fold3/class_2/recall,fold0/class_2/recall,fold2/class_1/f1-score,fold2/class_0/precision,fold4/class_3/f1-score,fold1/class_3/recall,fold3/confusion_matrix,_timestamp,fold2/class_3/f1-score,fold1/class_3/f1-score,fold1/class_3/precision,fold4/class_3/precision,fold2/class_1/precision,fold0/class_3/f1-score,fold0/confusion_matrix,fold0/class_1/f1-score,fold2/class_2/recall,fold1/class_0/recall,fold3/class_1/f1-score,fold3/class_1/recall,fold4/class_3/recall,fold2/class_2/precision,fold0/class_2/f1-score,fold4/class_1/f1-score,fold3/class_0/recall,fold4/class_0/recall,fold0/class_2/precision,fold0/class_1/precision,fold1/class_1/recall,fold1/class_0/f1-score,fold4/confusion_matrix,fold1/class_2/recall,fold0/class_3/recall,fold0/class_3/precision,fold2/class_2/f1-score,fold3/class_1/precision,fold2/class_0/recall,fold3/class_3/f1-score,fold1/class_2/f1-score,fold3/class_0/precision,fold1/class_1/precision,fold3/class_3/precision,fold0/class_0/precision,fold4/class_2/f1-score,_step,fold4/class_0/precision,fold0/class_0/recall,fold2/class_3/precision,fold0/class_1/recall
,,,,,,,,,,,34.544761233,,,,,,,,,,,,,,,,1770792494.565394,,,,,,,"{'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_903d2ca2fc295bf2d77d.table.json', 'size': 145, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://wh0ecm7yubcl43ip8g7v8gfn247729fzov12fvislspjq0dqt2t4o5cik42vlyjj7wdyyxaeyar48vdimwrgs0lfqyoth3znmkneyykxhs5o6yzwnc2jnfnx28c3m001:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'sha256': '903d2ca2fc295bf2d77d82df396ff0e5333d4af135bcc281a4d1c542373fadcb', 'artifact_path': 'wandb-client-artifact://iuk9uawzi6g0b1j4jl5fkaalqpq0hoacz59v46pq20dahq6lo62amsqxptwb9r4fvyi42ckrmvpvznzp2c0duma9gmr7rxjbkaxfsmyyeboj0kobv0qy52eg82x25bdz/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,0.9689737470167065,,,34.547309146,,,,,,,,,,,,,,,,1770792494.56814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9500780031201248,,1,,0.9886363636363636,,
,,,,,,,,,,,34.547516408,,,,,,,,,,,,,,,,1770792494.5684972,,,,,,,,0.9032258064516129,,,,,,,,,,,,0.9296875,,,,,,,,,,,,,,,,,2,,,,0.8782287822878229
,,,,,,,,,,,34.547684983,,,,,,,,,,0.9678972712680578,,,,,,1770792494.5687182,,,,,,,,,,,,,,,0.9725806451612903,,,,0.9773095623987034,,,,,,,,,,,,,,,,,,3,,,,
,,,,,,,,,,,34.547946603,,,,,,,,,,,,,,,,1770792494.5689166,,,,,,0.9146757679180887,,,,,,,,,,,,,,,,,,,0.9084745762711864,0.9209621993127147,,,,,,,,,,,4,,,,
,,,"{'sha256': '986ae536f7bf8556d34e63a433afae9318e79b217b022243a615485e18764833', 'size': 146, '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'artifact_path': 'wandb-client-artifact://tbwbwwzouqhysgqa3lumfpy4jyor7ruv2plrxdk8mb9dov32lzri460muhmphorh9vp70mi77fk0zquo9yskmdom1ao2mtmgpx9mzicxt92wxugnym4abqgiudmaetue/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://o5wb3hr2bky95gbo5de722sf3plvkhbzjfg43atydwwqxbvd5sz9kldiggbz1g6e518cw3uozhh8k9b42rc1i9gug8d7dzug0o3ffkdgybb73xc2n2qgyuw29m8t2of4:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_986ae536f7bf8556d34e.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,59.925124068,,,,,,,,,,,,,,,,1770792519.9458604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
,,,,,,0.9717261904761905,,,,,59.927525952,,,,,,,,,,,,,,,,1770792519.9484146,,,,,,,,,,0.9702823179791976,,,,,,,,,,,,0.971003717472119,,,,,,,,,,,,,,,6,,,,
,,0.8888888888888888,,,,,,,,,59.927791289,,,,,,,,,,,,,,,,1770792519.9487758,,,,,,,,,,,,,,,,,,,,,0.9142857142857143,,,,,,,,,,,,0.8648648648648649,,,,7,,,,
,0.970873786407767,,,,,,,,,,59.927970876,,,,,,,,,,,,,,,,1770792519.9490294,,,,,,,,,,,,,,,,,,,,,,,,0.975609756097561,,,,,,,0.9732360097323601,,,,,,8,,,,
,,,,,,,,,,,59.928281143,,,,,,,,,,,,,,0.8389830508474576,,1770792519.9492292,,0.8722466960352423,0.908256880733945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
,,,,,,,,,,,94.50214928,,,,,"{'sha256': '1421c8d647008052d4adb7297ed080e5bbff98f77334b8b9764cbf7728bad602', 'path': 'media/table/fold2/confusion_matrix_10_1421c8d647008052d4ad.table.json', 'ncols': 5, 'nrows': 4, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://f4fn8g3t7cb669nrrxa0hlmng7r8l1i7yev0y0mi206upx228rq7o7bb321jqc5a6y1oik1vkka0sk365vh4s3onyflnfxq8lmh5r3h2kyemx8ct580wynibt39qb2w4/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://6z96l0zekne0jnnatp6252ey7sjvyf3msa0vm9g6ojncsm3x9rn24usvwxbfu3secggfl06w4v9f3z4vyl5n91gwmrxn1tgdgp93okv7a02h5b2flns45bcjj2o2506p:latest/fold2/confusion_matrix.table.json', 'size': 145, '_type': 'table-file'}",,,,,,,,,,,1770792554.5229576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
,,,,0.9751937984496124,,,,,,,94.503445817,,,,,,,,,,,,0.9691833590138675,,,,1770792554.52444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9812792511700468,,,,,,,,11,,,,
,,,,,,,,,,,94.503597549,,0.8835341365461847,,,,,,,,,0.9034907597535934,,,,,1770792554.524661,,,,,0.9243697478991597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
,,,,,,,,,,,94.503763018,,,,,,,,,,,,,,,,1770792554.5248184,,,,,,,,,0.9811320754716981,,,,,0.9555895865237366,,,,,,,,,,,,,0.9681923972071373,,,,,,,,,,13,,,,
,,,,,,,,,,,94.503883397,0.8561151079136691,,,,,,,,,,,,,,,1770792554.524967,0.8782287822878229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,0.9015151515151515,
,,,,,,,,,,,127.527597453,,,,,,,,,,,,,,,"{'size': 147, '_type': 'table-file', 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_a11f56ff4c8b7007ae09.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://wz5f2qsx8z18j7lh4qx0sgok4zckezrppq7q1nqka7tq20nqjhuqykqrwdhvwvsqyv9b3y0s8scuhn506zzjy6tz5gdhz42o7ejemmsyyuqxe7hkl4ay81djnzg889c9/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://qot17awizddwwtompi73ftt0z7gsphy8r03nfppzl73cvu7bf5x1pxj86u2v1k27yg0hm8zi544t18prf769x0ji8yg3zt7y7ezi5wfndhaw1xte1quebsk9p7covcv9:latest/fold3/confusion_matrix.table.json', 'ncols': 5, 'sha256': 'a11f56ff4c8b7007ae097c2472300db23956de8dee6e8789a761c882b6938da1'}",1770792587.548347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,
,,,,,,,,,,0.9603803486529319,127.529108015,,,,,,,,,,,,,,,,1770792587.5499792,,,,,,,,,,,,,,,,,0.964968152866242,,,,,,,,,,,,,,,0.9558359621451105,,,,,16,,,,
,,,,,,,,,,,127.529311409,,,,,,,,,,,,,,,,1770792587.5503561,,,,,,,,,,,0.8443579766536965,0.8188679245283019,,,,,,,,,,,,,,,,0.8714859437751004,,,,,,,,,17,,,,
0.9635376260667183,,,,,,,,,0.9642857142857143,,127.529458141,,,,,,,,,0.9627906976744186,,,,,,,1770792587.5505278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,
,,,,,0.8651685393258427,,,,,,127.529622848,,,,,,,,,,,,,,,,1770792587.5506837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8477064220183487,,,,0.8309352517985612,,,19,,,,
,,,,,,,,,,,154.017655578,,,,,,,,,,,,,,,,1770792614.0384266,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': 'b2472ce64fe200f7347374dabbdbc787636c4ce759ee53b17a44f90492752672', '_type': 'table-file', 'nrows': 4, 'artifact_path': 'wandb-client-artifact://vl3vqvhnqxp09uq3u3lxrlba65nmz01sdffyq4kd6hxywz39uqjsm4snuzy4lq9q30hctojrgdnoz7rca9eef3vinujsoy36nhcvc46z98zx6vlosyv3kp670wcaj6qa/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://zclbnpof1eirnvxpgp4m6gu6kpi2a3xgd9spqrb9a51t05soevsiemkllllejzzcsahvfmypdxhbiy9fzmhrxz8hge1hmnmcxsixg7fomz7vfb75qesfwzp1bxjqws4x:latest/fold4/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'size': 145, 'ncols': 5, 'path': 'media/table/fold4/confusion_matrix_20_b2472ce64fe200f73473.table.json'}",,,,,,,,,,,,,,20,,,,
,,,,,,,,,,,154.019169416,,,0.9802058590657166,,,,,,,,,,,,,1770792614.0401752,,,,,,,,,,,,,,,,,,0.9778830963665087,,,,,,,,,,,,,,,,,,,21,0.9825396825396825,,,
,,,,,,,0.926923076923077,,,,154.019298753,,,,0.9163498098859315,,,,,,,,,,,,1770792614.040386,,,,,,,,,,,,,,,,0.9216061185468452,,,,,,,,,,,,,,,,,,,,,22,,,,
,,,,,,,,,,,154.019445595,,,,,,0.9765625,0.9674922600619195,,,,,,,,,1770792614.0405273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9720062208398134,23,,,,
,,,,,,,,,,,154.019691434,,,,,,,,,,,,,0.8805970149253731,,,1770792614.0407138,,,,0.8613138686131386,,,,,,,,,0.9007633587786259,,,,,,,,,,,,,,,,,,,,,,,,24,,,,
