fold1/class_0/recall,fold3/class_1/recall,fold1/class_1/precision,fold4/confusion_matrix,fold4/class_0/precision,fold2/class_1/precision,fold4/class_0/f1-score,fold3/confusion_matrix,fold0/class_0/recall,fold3/class_0/recall,fold3/class_0/precision,_timestamp,fold3/class_1/f1-score,fold2/class_1/recall,fold1/class_1/f1-score,fold0/class_0/f1-score,fold1/class_0/f1-score,fold2/class_0/f1-score,fold2/class_0/precision,fold2/confusion_matrix,fold2/class_1/f1-score,_runtime,fold0/class_1/f1-score,fold4/class_1/precision,fold4/class_1/f1-score,fold3/class_1/precision,fold4/class_1/recall,fold0/class_1/recall,fold0/confusion_matrix,fold1/class_0/precision,fold0/class_0/precision,cv5/fold_metrics,fold3/class_0/f1-score,_step,fold1/confusion_matrix,fold0/class_1/precision,fold2/class_0/recall,fold4/class_0/recall,fold1/class_1/recall
,,,,,,,,,,,1770723894.5351276,,,,,,,,,,472.899804931,,,,,,,"{'_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://5q7w5pamsp8hp5inqtmti50y6m2te17hmr4s0yd4hxsp01hhg36k7dthgi47xrosolkzxodlfyqu4hey1fp3w0mdjew2n8w2drr8k5vgamsz3anechwcmojnbh2rn90b:latest/fold0/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_ad43c526454e4dae8470.table.json', 'size': 83, 'ncols': 3, 'sha256': 'ad43c526454e4dae84709235a7122c7c33c6aa85516c0057ce5e0260097bee91', 'artifact_path': 'wandb-client-artifact://nqcy419kxw2tmdrer5c8ouzhmv0sym398tcxa5ya6nuf5nta24cnn265gi0dpmgve4x2ka5ucv3q2z2vvqhv7wxdoqk76hdmy1qyyisy5k7r9lp56236u1hqhktv8a1v/fold0/confusion_matrix.table.json', 'nrows': 2}",,,,,0,,,,,
,,,,,,,,0.9979422239810052,,,1770723894.5370317,,,,0.9977448071216617,,,,,,472.901494574,,,,,,,,,0.9975474683544304,,,1,,,,,
,,,,,,,,,,,1770723894.5374784,,,,,,,,,,472.901918406,0.9990130724612588,,,,,0.998926592797784,,,,,,2,,0.9990995670995672,,,
,,,,,,,,,,,1770724325.0061111,,,,,,,,,,903.370653899,,,,,,,,,,,,3,"{'_type': 'table-file', 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_78fdae32a17c73e07968.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://7zbjb039jkan9n65wa13k4v7lrkusfncw9sj0gs8jaa9tzpx4t8vgki68aozg4w9jo7iprxk00o0u1v85q6z46l5a75ijoju5v7ryy1tizqnmsh1g1m3vmt86mi8vtxe/fold1/confusion_matrix.table.json', 'sha256': '78fdae32a17c73e07968c98f110e3513e6b289b86d92424056d182c3252b9e3e', 'size': 82, 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://2pk3euap3xiuonqwq1eh7g41yajatrk6ru5d9rtelrx2hcq2yrihtv3t1mu806sjn8shxx73g3sm6iq85f43zla930p6wme8nz1kw24jv4l36owk9iu63c9iok0iv9ow:latest/fold1/confusion_matrix.table.json'}",,,,
0.9999208547685002,,,,,,,,,,,1770724325.0076354,,,,,0.9976310802274163,,,,,903.372059739,,,,,,,,0.9953517686914047,,,,4,,,,,
,,0.9999653042814517,,,,,,,,,1770724325.0080104,,,0.998960174690652,,,,,,,903.372335576,,,,,,,,,,,,5,,,,,0.9979570637119114
,,,,,,,,,,,1770724847.4593647,,,,,,,,"{'path': 'media/table/fold2/confusion_matrix_6_a60a6a43de649f83806c.table.json', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://wl0aadlkuyvtwm5v4z4zpr4xollbjs7a54igjruouki25c9bmvt6g02jwzbsie9tm0z7a2rugjysh5c048mlysgr8mn9y0tcph7u4ok4ha3vcdwwvzn7lhoo5jb1y6zg/fold2/confusion_matrix.table.json', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://97apps9v9a16evhuxu8600fh38u3h7k5y9vrjcvtusex5t50wcu8go7ypll6na6puy8wy0533mux4dnvnx15ab433g3gskchro6wm2povgpetufo5phfv584vrceg3hq:latest/fold2/confusion_matrix.table.json', 'sha256': 'a60a6a43de649f83806c650993c6975a339309a789b5cad507e62c0666ec94f9', 'size': 82, '_type': 'table-file', 'log_mode': 'IMMUTABLE'}",,1425.823896772,,,,,,,,,,,,6,,,,,
,,,,,,,,,,,1770724847.4607236,,,,,,0.9976286459568413,0.9958182105097049,,,1425.82498889,,,,,,,,,,,,7,,,0.9994456762749445,,
,,,,,0.9997570962592824,,,,,,1770724847.4609385,,0.9981638026607539,,,,,,,0.9989598141534621,1425.825125471,,,,,,,,,,,,8,,,,,
,,,,,,,"{'sha256': '39904e5a315ba978434b162ca25919ee725e0286a9586f62f484ff78532d73fb', 'ncols': 3, 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://69bycqvogn4p9mlw91oev1wctvyjr2vfugxxuuyxh3ddom25nszfj71rmv4hkpnvjflladqiuwxxx68ialwe15ehyovhuow99gwqr1d5wvoda0mleqe4jj1abuo51esp:latest/fold3/confusion_matrix.table.json', 'size': 82, '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_9_39904e5a315ba978434b.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://nyzzasa03hf3ssl0sgzn3w75o42wjxb5ubjurk40bw8t7r8dsbl8twovdoqu7bxgyhuidcxokbf1arupf9ygmcnx1h2gh8qlsqec9auf9p65tyasxwhut9ro145uy58s/fold3/confusion_matrix.table.json'}",,,,1770725249.4526126,,,,,,,,,,1827.81704839,,,,,,,,,,,,9,,,,,
,,,,,,,,,0.9996040544821032,0.9977867362263853,1770725249.4539056,,,,,,,,,,1827.818312088,,,,,,,,,,,0.9986945686142648,10,,,,,
,0.999029933481153,,,,,,,,,,1770725249.4542437,0.9994281258123213,,,,,,,,,1827.818487626,,,,0.9998266356922437,,,,,,,,11,,,,,
,,,"{'log_mode': 'IMMUTABLE', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://e1b8z18k38gko7cnzxz4no7mjwca3nap2f05ea8121gf5oadcn7gs7b2szxlfluy3up3kxvyrs93tefauicz2v9rn5732gkawr3zmyixnd07l1ts06xdmh6112ujtb6l/fold4/confusion_matrix.table.json', 'size': 82, 'path': 'media/table/fold4/confusion_matrix_12_e9094794d9d47a4b7151.table.json', '_type': 'table-file', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://euxlayw701r90osxynkvqyh62ux52xgjdqnwv3bmtx4ly3w0tirlexwnfdnfo7pkptpb9xa0ki7w5fq268yo3fslg9kf7hva8sebyktbimluza0tvrxpnxfqrs1u3szq:latest/fold4/confusion_matrix.table.json', 'sha256': 'e9094794d9d47a4b7151487220fb3f56bd3e423e1ede8143fd4af2d2192b875e'}",,,,,,,,1770725696.3767972,,,,,,,,,,2274.741225837,,,,,,,,,,,,12,,,,,
,,,,0.9964466203411244,,0.9978649375296537,,,,,1770725696.378189,,,,,,,,,,2274.742584423,,,,,,,,,,,,13,,,,0.9992872980677858,
,,,,,,,,,,,1770725696.3785264,,,,,,,,,,2274.742800211,,0.9996878035243513,0.9990639950079734,,0.9984409645232816,,,,,,,14,,,,,
