fold1/class_1/recall,fold1/class_1/f1-score,fold4/confusion_matrix,fold3/class_1/precision,_runtime,fold2/class_1/recall,fold3/confusion_matrix,fold1/class_0/precision,fold2/class_1/precision,fold2/class_1/f1-score,fold1/class_1/precision,fold1/class_0/f1-score,fold2/class_0/recall,fold4/class_1/f1-score,fold0/class_0/f1-score,_step,fold4/class_0/precision,fold4/class_1/recall,fold3/class_0/f1-score,fold0/class_1/recall,fold2/class_0/precision,_timestamp,fold4/class_0/f1-score,fold2/confusion_matrix,fold1/confusion_matrix,fold0/class_0/recall,fold3/class_1/f1-score,fold3/class_0/precision,fold1/class_0/recall,fold0/class_1/f1-score,fold0/class_1/precision,fold4/class_0/recall,fold0/class_0/precision,fold3/class_0/recall,fold3/class_1/recall,cv5/fold_metrics,fold0/confusion_matrix,fold4/class_1/precision,fold2/class_0/f1-score
,,,,4959.300075571,,,,,,,,,,,0,,,,,,1770751824.3097959,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://xl77ks1lxjoaw86351t6ouqpw63472d5d4gbbr5wphqv4p0rue068ckng2rtm8ev8saqfakz7edkfirtd3pxj0tryz39tbubzekhm945k0qj2aq27gr2uojuvg32t8nv/fold0/confusion_matrix.table.json', 'size': 83, 'sha256': '1112a7dd55f1c43d5007b305849ef685561f924604287de89253bb549793a2e3', '_latest_artifact_path': 'wandb-client-artifact://2ailym0j7vfmbzenccu2lyyft4j199wtn2csu8hr1tiba705jb03y03ju9nt8avi81f0g36n7ddxwgtk3fxy6mh2qf8rlnp2tna53gu29e6xeczzgflc01nnk4dp8rn4:latest/fold0/confusion_matrix.table.json', 'ncols': 3, 'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_1112a7dd55f1c43d5007.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,
,,,,4959.301492133,,,,,,,,,,0.9967419515158209,1,,,,,,1770751824.311429,,,,1,,,,,,,0.9935050638485249,,,,,,
,,,,4959.301655058,,,,,,,,,,,2,,,,0.9938711911357341,,1770751824.3116739,,,,,,,,0.9969261761283712,1,,,,,,,,
,,,,5635.433022914,,,,,,,,,,,3,,,,,,1770752500.4429617,,,"{'nrows': 2, 'sha256': '16a337dba852cfc4522c009400d1c697fa3e8a5ab16f4517419ec681700ec43e', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://koluztu6lzxfl6j7allw3wqgyagd3b82tbneh87f1mru176hw1wmgvy5kit1835ilscn2sczun0cpp8cppllw4yq5qf8x1zv7aka3s5cvvbqnkozduhn00uki3s1a4wl/fold1/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_3_16a337dba852cfc4522c.table.json', 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://e1vaabgxwmrag6w1s6jocvgugkhoijcnbxba59fld69gzk6nvys6rlj570v8g7wbspdo32vkjignf0ykmmrysagisj9sbeikslvfs0wl8ruwem9y9swr79tuv1js2v8u:latest/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,
,,,,5635.434412934,,,0.992521720004399,,,,0.9962468263605254,,,,4,,,,,,1770752500.4443233,,,,,,,1,,,,,,,,,,
0.9929362880886426,0.9964556258252832,,,5635.434676028,,,,,,1,,,,,5,,,,,,1770752500.4446642,,,,,,,,,,,,,,,,,
,,,,6323.770239878,,,,,,,,,,,6,,,,,,1770753188.7800028,,"{'sha256': '3be5e252ef9588bc476cb7651fb4db2a715e6611cbac7a326e098f92dffa156c', 'size': 83, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://je6hcs5y20i64ucic6hwsfmb4ovinregb4xoke1sqb881tifjn13m797stellz42owrclvzd4huvtcnea27zvmcz7mc8llf3e6yb9tuwy015u6y0jw55i8y57oepuybr/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://7kvb1djudkytlcfz17lcz26t1mcw4077idxbysop0dqfyvmimx2vg2ky32quxgfqsf4b98jcuy62p2dgwaz8ks470rf6cgrobmmyu9uqjril4t9xbslbake9jiyrjdrs:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_3be5e252ef9588bc476c.table.json', '_type': 'table-file', 'ncols': 3, 'nrows': 2}",,,,,,,,,,,,,,,
,,,,6323.771258347,,,,,,,,1,,,7,,,,,0.9903381642512077,1770753188.7811706,,,,,,,,,,,,,,,,,0.9951456310679612
,,,,6323.77144532,0.9908536585365854,,,1,0.9954058192955589,,,,,,8,,,,,,1770753188.7814643,,,,,,,,,,,,,,,,,
,,,,6841.772788692,,"{'path': 'media/table/fold3/confusion_matrix_9_f41c39f59605593ef5bf.table.json', 'artifact_path': 'wandb-client-artifact://n1peafziln3jtt3doex6nk4r4myc8trkrc7b7394sfqa1yqxx83pbej326slzol2ucmc3xqn7lyanzo6gsv97qo4i9shaz7lubswl5bxy910lm5njw17ho7ua647mwbj/fold3/confusion_matrix.table.json', 'sha256': 'f41c39f59605593ef5bf95c432bbbb4a151c50d561702ead12798e355c7f4ea8', 'size': 83, '_type': 'table-file', 'ncols': 3, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://pj77mwxl0xcca3d33wzwyokaueo2kgh89o0ljqvtbnlena47etk6c2rlhvmjtixrg0xte0aitpy7zsazmhjn9xu5o0105kdzrpz50wzup97xpbyj43fcmf0msatvjov5:latest/fold3/confusion_matrix.table.json', 'nrows': 2}",,,,,,,,,9,,,,,,1770753706.7826009,,,,,,,,,,,,,,,,,
