fold2/class_3/precision,fold1/class_1/f1-score,fold1/class_10/precision,fold2/class_8/precision,fold2/class_7/f1-score,fold4/class_9/f1-score,fold4/class_1/precision,fold4/class_0/recall,fold1/class_9/precision,fold4/class_4/recall,fold1/class_1/recall,fold0/class_4/recall,fold0/class_9/f1-score,fold0/class_4/precision,fold1/class_3/f1-score,fold4/class_1/f1-score,fold3/class_3/precision,fold2/class_10/f1-score,fold0/class_4/f1-score,fold2/class_0/recall,fold2/class_5/recall,fold2/class_4/f1-score,fold3/class_0/recall,fold3/class_3/recall,fold1/class_4/recall,fold3/class_9/precision,fold3/class_10/f1-score,cv5/fold_metrics,_step,fold4/class_7/f1-score,fold3/class_8/f1-score,fold2/class_1/f1-score,fold4/class_6/f1-score,fold3/class_8/precision,fold3/class_8/recall,fold0/class_9/precision,fold2/class_9/recall,fold2/class_1/precision,fold4/class_10/recall,fold3/class_2/f1-score,fold0/class_1/f1-score,fold3/class_5/precision,_timestamp,fold4/class_3/precision,fold2/class_9/f1-score,fold1/class_5/precision,fold3/class_6/precision,fold0/class_6/precision,fold0/class_3/precision,fold1/class_5/f1-score,fold2/class_7/recall,fold4/class_3/f1-score,fold0/class_7/recall,fold1/confusion_matrix,fold1/class_7/f1-score,fold4/class_9/precision,fold1/class_10/recall,fold3/class_4/f1-score,fold1/class_4/precision,fold0/class_5/f1-score,fold4/class_1/recall,fold3/class_9/recall,fold4/class_4/f1-score,fold0/class_3/f1-score,fold4/class_2/recall,fold2/class_6/recall,fold1/class_7/recall,fold0/class_10/recall,fold1/class_2/recall,fold1/class_0/precision,fold4/class_10/f1-score,fold3/class_2/recall,fold2/class_5/precision,fold0/class_2/precision,fold2/class_4/recall,fold0/class_6/f1-score,fold1/class_3/recall,fold3/class_10/precision,fold0/class_10/f1-score,fold1/class_10/f1-score,fold2/class_2/recall,fold2/class_3/recall,fold1/class_2/precision,fold4/class_5/f1-score,fold2/class_6/f1-score,fold3/class_1/precision,fold1/class_8/precision,fold1/class_4/f1-score,fold0/class_8/precision,fold4/class_9/recall,fold0/class_7/f1-score,fold1/class_9/f1-score,fold1/class_8/f1-score,fold0/class_0/recall,fold4/class_4/precision,fold4/class_7/recall,fold4/class_3/recall,fold4/class_6/precision,fold0/class_1/precision,fold0/class_8/recall,fold0/class_10/precision,fold4/confusion_matrix,fold2/class_8/recall,fold3/class_6/recall,fold3/class_9/f1-score,fold1/class_8/recall,fold0/class_0/f1-score,fold2/class_3/f1-score,fold2/confusion_matrix,fold2/class_2/f1-score,fold4/class_10/precision,fold3/class_7/f1-score,fold1/class_7/precision,fold3/class_4/recall,fold3/class_10/recall,fold0/class_5/precision,fold1/class_6/recall,fold1/class_6/precision,fold1/class_2/f1-score,fold2/class_8/f1-score,fold4/class_2/f1-score,fold2/class_10/precision,fold0/class_2/f1-score,fold4/class_8/precision,fold1/class_9/recall,fold4/class_2/precision,fold3/class_4/precision,fold0/class_9/recall,fold3/class_1/f1-score,fold2/class_6/precision,fold1/class_0/f1-score,fold2/class_4/precision,fold4/class_5/precision,fold3/class_7/recall,fold4/class_6/recall,fold1/class_6/f1-score,fold4/class_5/recall,fold4/class_0/precision,fold1/class_5/recall,fold0/confusion_matrix,fold4/class_7/precision,fold3/class_5/f1-score,_runtime,fold2/class_10/recall,fold4/class_8/f1-score,fold2/class_9/precision,fold4/class_8/recall,fold3/class_6/f1-score,fold0/class_0/precision,fold2/class_5/f1-score,fold0/class_6/recall,fold0/class_2/recall,fold3/class_7/precision,fold2/class_2/precision,fold0/class_7/precision,fold0/class_3/recall,fold1/class_0/recall,fold0/class_1/recall,fold2/class_1/recall,fold4/class_0/f1-score,fold2/class_7/precision,fold3/class_0/f1-score,fold0/class_5/recall,fold3/class_5/recall,fold3/class_2/precision,fold3/class_1/recall,fold3/class_3/f1-score,fold3/confusion_matrix,fold0/class_8/f1-score,fold1/class_1/precision,fold1/class_3/precision,fold2/class_0/precision,fold3/class_0/precision,fold2/class_0/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1770936735.2196949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://2cz69akl17x2pjba2bp4ddhumjsab456yua6smyovlvqxfakk7e00h6xgi1chflyh3idi80pfgcj4wxytqv4vbx8483jafwdtxavt7quyouvaeqfvrt03jsa5dekd82a:latest/fold0/confusion_matrix.table.json', 'size': 559, 'nrows': 11, 'artifact_path': 'wandb-client-artifact://nrbiknxic0oozvqcaxdd49cjvnylmdzrv1o0igwqfk5enhoyj52cjl5ckc655hfjd3idv3jit2lwbxc9kdyspbmxqfywx3jkvmn9b1oziokebl04rcwqujbyrj8a4z14/fold0/confusion_matrix.table.json', 'sha256': '34a136e03b40198456ff8f12ea42549015014ebe3975befb658f9629c720c0e6', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_34a136e03b40198456ff.table.json', 'ncols': 12}",,,4834.96255002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1770936735.2210438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998992697053639,,,,,,,,,,,,,0.9998111473428432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.963699292,,,,,,0.9997230405116198,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0.9985835694050992,,1770936735.2212975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9971711456859972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.963884468,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1770936735.2214708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9914320685434517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956976029502151,,,,,,,,,,,,,,,,,,,,4834.964008163,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1770936735.221619,,,,,,0.9988038277511961,,,,,,,,,,,,,,,0.9994015559545183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.964182407,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,1770936735.2217736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.964329789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1770936735.221917,,,,,,,,,,,,,,,,,0.9974651457541192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998730964467005,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.964438103,,,,,,,,,,,,,,,,,,,,0.9962025316455696,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1770936735.2220578,,,,,0.9986666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.96457317,,,,,,,,0.9920529801324504,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1770936735.2221837,,,,,,,,,,0.991304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956331877729258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.964711193,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,1770936735.222309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9925373134328358,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.964827282,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962546816479401,,,,,
,,,,,,,,,,,,0.9993706733794839,,,,,,,,,,,,,,,,10,,,,,,,1,,,,,,,1770936735.2224314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987421383647799,,,,,,,,,,,,,,,4834.964935656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
