fold4/class_0/f1-score,fold4/class_1/precision,_step,fold4/class_2/recall,fold1/class_1/precision,fold0/class_1/f1-score,fold0/class_0/recall,fold4/class_3/f1-score,fold1/class_0/precision,fold4/class_0/recall,fold0/class_1/precision,fold3/class_1/precision,fold3/class_1/recall,fold1/class_3/precision,fold3/class_3/precision,fold4/class_1/recall,fold0/class_1/recall,fold1/confusion_matrix,fold4/class_3/precision,cv5/fold_metrics,fold2/class_0/recall,fold1/class_2/recall,fold0/class_3/precision,_runtime,fold1/class_3/f1-score,fold1/class_1/f1-score,fold1/class_0/recall,fold3/class_2/f1-score,fold3/class_0/recall,fold2/class_1/f1-score,fold0/class_2/f1-score,fold2/class_3/f1-score,fold1/class_2/precision,fold1/class_2/f1-score,fold4/class_1/f1-score,fold2/class_0/precision,fold3/class_0/f1-score,fold0/class_0/precision,fold0/class_2/precision,fold0/class_3/recall,fold3/class_3/recall,fold2/class_3/precision,fold3/class_2/precision,fold0/class_3/f1-score,fold2/class_1/precision,fold4/class_2/f1-score,fold0/class_0/f1-score,fold3/confusion_matrix,fold2/class_2/precision,_timestamp,fold4/class_2/precision,fold2/class_2/recall,fold1/class_1/recall,fold2/class_3/recall,fold2/class_2/f1-score,fold4/class_0/precision,fold4/confusion_matrix,fold2/class_0/f1-score,fold4/class_3/recall,fold3/class_3/f1-score,fold3/class_1/f1-score,fold1/class_0/f1-score,fold2/confusion_matrix,fold0/class_2/recall,fold2/class_1/recall,fold3/class_0/precision,fold1/class_3/recall,fold0/confusion_matrix,fold3/class_2/recall
,,0,,,,,,,,,,,,,,,,,,,,,29.413895691,,,,,,,,,,,,,,,,,,,,,,,,,,1770716908.8732812,,,,,,,,,,,,,,,,,,"{'ncols': 5, 'path': 'media/table/fold0/confusion_matrix_0_b235e6ada392238c41b8.table.json', 'artifact_path': 'wandb-client-artifact://h50phrfypg5argigq9aye0s9kr3jvz4233195m8lha7xcdh5locl8c7o2u8nmx4ha82kja1gy40tpvkltvza9qqyvfxaz8fjviwteby7o6gjitg47j6w0hmkbmkqh73k/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://fwimdi335wpaqa0m4wdwygfuhssbgnr4qsd4oi1k0kvywron1rs6u3k7mp3uj5vacowt6yngjkfqkiaotizpfpixu3c61yjz7wanigobw3lhleqwvxtid8c97qcdzdbr:latest/fold0/confusion_matrix.table.json', 'size': 146, '_type': 'table-file', 'sha256': 'b235e6ada392238c41b8adb03f97a825a6e0a912b82a7e81cd1d91475d48703e', 'nrows': 4, 'log_mode': 'IMMUTABLE'}",
,,1,,,,0.9886363636363636,,,,,,,,,,,,,,,,,29.415816085,,,,,,,,,,,,,,0.9759615384615384,,,,,,,,,0.9822580645161291,,,1770716908.87551,,,,,,,,,,,,,,,,,,,
,,2,,,0.9068100358422939,,,,,0.8815331010452961,,,,,,0.933579335793358,,,,,,,29.416259087,,,,,,,,,,,,,,,,,,,,,,,,,,1770716908.8761473,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,29.416655433,,,,,,,0.9459459459459459,,,,,,,,0.937007874015748,,,,,,,,,,,1770716908.876593,,,,,,,,,,,,,,0.9550561797752809,,,,,
,,4,,,,,,,,,,,,,,,,,,,,0.9111969111969112,29.417073858,,,,,,,,,,,,,,,,0.8,,,,0.851985559566787,,,,,,1770716908.8770032,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_5_5137b85a4bd3509476b8.table.json', 'nrows': 4, 'size': 144, 'artifact_path': 'wandb-client-artifact://uo7dsc7fxyma2v465zyrowutr78taiplut6h6he1b4l32cf84yi002xo94a6qglx1wobdyolu0q1j2wq78un7u10f8l4vrdzgihmcsjztboe8smyz4282xc96dqx93wc/fold1/confusion_matrix.table.json', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://uy0w24yotbm2imrjh752qgcxn37arqak58o1yxk5tkuur16ntojw2edevwlgf0qj6l7ngya83ac3fayq2jbi3zdxkjlox38tbdnyu91l60cp6ixilpzycpmsltbf67f8:latest/fold1/confusion_matrix.table.json', 'sha256': '5137b85a4bd3509476b87b70dc14bde6f40b431f9a103fbd11ea786c1a978943'}",,,,,,55.371844728,,,,,,,,,,,,,,,,,,,,,,,,,,1770716934.8316014,,,,,,,,,,,,,,,,,,,
,,6,,,,,,0.9861111111111112,,,,,,,,,,,,,,,55.373514143,,,0.9494799405646359,,,,,,,,,,,,,,,,,,,,,,,1770716934.833494,,,,,,,,,,,,0.967448902346707,,,,,,,
,,7,,0.9305555555555556,,,,,,,,,,,,,,,,,,,55.373868904,,0.9436619718309859,,,,,,,,,,,,,,,,,,,,,,,,1770716934.8338892,,,0.9571428571428572,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,0.9869918699186991,,55.374258809,,,,,,,,,0.9544025157232704,0.9704236610711431,,,,,,,,,,,,,,,,1770716934.834258,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,0.896551724137931,,,,,,,,,,55.374623737,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,1770716934.8346047,,,,,,,,,,,,,,,,,0.8813559322033898,,
,,10,,,,,,,,,,,,,,,,,,,,,70.315736797,,,,,,,,,,,,,,,,,,,,,,,,,,1770716949.7754931,,,,,,,,,,,,,"{'sha256': 'cc7f73ac254f4ca99970aaf0cc7c6af6a40409ffe55a2f068f28b446bb756ad3', 'artifact_path': 'wandb-client-artifact://3gdysshmv8hypa93h8f9lqe90k4ejv3ktgus4wl3fkctmzo6ao8796829jvlay2obrjy5krainrdeqymtijqsnx585e2zerab65jpl8np5xamj4n73z9hmm1qbpbdtmb/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://821bp42bpagwi232radwj8mm2yaw4qn8i9o330xau8hjlmanfpck7qq2nb6cotyx2botw6xpk8dmyg8wgyhgudo0oufvwmaoq063gkjpcmqxr3m7ohvhwrsg6qebfcmt:latest/fold2/confusion_matrix.table.json', 'nrows': 4, 'log_mode': 'IMMUTABLE', 'size': 149, 'ncols': 5, '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_10_cc7f73ac254f4ca99970.table.json'}",,,,,,
,,11,,,,,,,,,,,,,,,,,,0.9781591263650546,,,70.317026928,,,,,,,,,,,,0.9261447562776958,,,,,,,,,,,,,,1770716949.776998,,,,,,,,0.9514415781487102,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,70.317383957,,,,,,0.8461538461538461,,,,,,,,,,,,,,,0.8530612244897959,,,,,1770716949.7773857,,,,,,,,,,,,,,,0.8393574297188755,,,,
,,13,,,,,,,,,,,,,,,,,,,,,70.317753905,,,,,,,,,,,,,,,,,,,,,,,,,0.9605911330049262,1770716949.7777505,,0.9198113207547169,,,0.9397590361445783,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,,70.318079829,,,,,,,,0.7985480943738656,,,,,,,,,,0.8058608058608059,,,,,,,,1770716949.778109,,,,0.7913669064748201,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,,96.056913841,,,,,,,,,,,,,,,,,,,,,,,,"{'size': 145, 'log_mode': 'IMMUTABLE', 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_0ff12186d2da21897453.table.json', '_type': 'table-file', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://4u1ei38fzb9avyp5pm3p3k8kg6gprhlgtjiezj3f2ungm9g3daggueh662ac1znul9wwhklqfqybjqd7a51cu9fa17o3m3mkd951vsxz62qedd3kx6suoqb01bq2ext5:latest/fold3/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://xkscueb3mtt0osbiw8jgp8mlucj3slty7q4nngcnojq7lp8wiuhmhg7rl54plrbmsghrukhq35j9x7p6ldergglwmki0q0qlnjatf08816a0ty62wb3wo2uvd7uo4nyz/fold3/confusion_matrix.table.json', 'sha256': '0ff12186d2da218974532d5ba1bb4afd2996d8d7ffa7985e1e418290e5169cab'}",,1770716975.516741,,,,,,,,,,,,,,,,,,,
