fold3/class_5/recall,fold4/class_4/precision,fold0/class_7/f1-score,fold4/class_3/recall,fold3/class_1/recall,fold0/class_9/recall,fold0/class_2/precision,fold3/class_0/recall,fold1/class_0/f1-score,fold2/class_5/recall,fold2/class_0/precision,fold2/class_4/recall,fold2/class_9/recall,fold2/class_10/recall,fold4/class_6/f1-score,fold3/class_6/precision,fold4/class_2/f1-score,fold0/class_2/recall,fold1/class_8/precision,fold4/class_1/precision,fold4/class_9/precision,fold4/class_8/recall,fold4/class_7/f1-score,fold2/class_10/f1-score,fold1/class_7/precision,fold4/class_6/recall,fold1/class_2/f1-score,fold4/class_7/precision,fold3/class_8/precision,fold3/class_1/precision,fold1/class_8/recall,fold2/class_6/precision,fold3/class_2/recall,fold1/class_10/precision,fold3/class_2/precision,fold0/class_4/precision,fold1/class_1/f1-score,fold1/class_9/recall,fold4/class_3/f1-score,fold2/class_2/f1-score,fold3/class_3/precision,fold3/class_10/precision,fold3/class_9/recall,fold4/class_6/precision,fold1/class_7/recall,fold2/class_0/recall,fold2/class_8/recall,fold1/class_6/f1-score,fold4/class_8/f1-score,fold4/class_7/recall,fold2/class_6/f1-score,fold1/class_9/f1-score,fold1/class_4/recall,fold0/class_6/f1-score,fold1/class_0/recall,fold0/class_1/precision,fold2/class_2/recall,fold2/class_10/precision,fold4/class_2/recall,fold2/class_2/precision,fold3/confusion_matrix,fold0/class_1/f1-score,fold2/class_9/f1-score,fold3/class_0/f1-score,fold4/class_10/recall,fold4/class_0/recall,fold0/class_10/f1-score,fold1/class_1/recall,fold2/class_3/f1-score,_step,fold4/class_0/f1-score,fold3/class_7/recall,_runtime,fold1/class_4/precision,fold3/class_2/f1-score,fold1/class_5/precision,fold4/class_2/precision,fold1/class_0/precision,fold4/class_9/recall,cv5/fold_metrics,fold1/class_5/f1-score,fold0/class_9/f1-score,fold0/class_3/precision,fold0/class_7/recall,fold2/class_9/precision,fold2/class_7/f1-score,fold0/class_8/f1-score,fold3/class_3/recall,fold3/class_5/precision,fold3/class_9/f1-score,fold1/class_8/f1-score,fold1/class_5/recall,fold0/class_2/f1-score,fold4/class_5/f1-score,fold4/class_0/precision,fold3/class_1/f1-score,fold4/class_10/f1-score,fold0/class_5/precision,fold2/class_1/precision,fold1/class_2/recall,fold1/class_6/recall,fold3/class_4/f1-score,fold1/class_2/precision,fold1/class_10/recall,fold3/class_10/recall,fold2/class_4/f1-score,fold4/class_3/precision,fold4/class_4/recall,fold2/class_3/recall,_timestamp,fold0/class_6/precision,fold2/class_1/f1-score,fold1/class_3/f1-score,fold3/class_6/f1-score,fold3/class_4/recall,fold2/class_5/precision,fold0/class_4/recall,fold2/class_8/f1-score,fold4/class_5/recall,fold2/class_7/precision,fold1/class_6/precision,fold2/confusion_matrix,fold3/class_9/precision,fold0/class_3/recall,fold1/class_3/recall,fold2/class_7/recall,fold0/class_4/f1-score,fold1/class_1/precision,fold2/class_3/precision,fold4/confusion_matrix,fold0/class_7/precision,fold0/class_0/f1-score,fold4/class_1/f1-score,fold0/class_6/recall,fold0/class_8/precision,fold0/class_10/recall,fold3/class_0/precision,fold4/class_4/f1-score,fold4/class_9/f1-score,fold1/class_9/precision,fold3/class_10/f1-score,fold3/class_8/recall,fold0/class_0/recall,fold4/class_10/precision,fold3/class_7/f1-score,fold4/class_5/precision,fold3/class_3/f1-score,fold0/class_9/precision,fold3/class_8/f1-score,fold1/class_3/precision,fold3/class_5/f1-score,fold3/class_4/precision,fold0/class_0/precision,fold2/class_0/f1-score,fold0/class_5/f1-score,fold2/class_4/precision,fold2/class_1/recall,fold4/class_1/recall,fold0/class_1/recall,fold1/confusion_matrix,fold0/class_5/recall,fold3/class_7/precision,fold1/class_7/f1-score,fold2/class_8/precision,fold4/class_8/precision,fold0/class_10/precision,fold0/confusion_matrix,fold2/class_6/recall,fold0/class_3/f1-score,fold0/class_8/recall,fold2/class_5/f1-score,fold1/class_10/f1-score,fold3/class_6/recall,fold1/class_4/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6385.391022885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770925107.6623573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://y4oopoaaiyowobai3qmddygj220cyczlj5o6jhv3vwy2rqyp1hlonq058occcolofc8dlnjlogqsr4x4fikitv0nwbn8nb6qqjtc1e574oe0gtzuj96ea42smai2vpzr:latest/fold0/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://3zgf973yhl3oubllockp8apom67wiga3xpwkej13dd5q4foe7nv87rrzmigwuhtj1kkh5mfrng0xqtgsc9ynhv5fvpz1bcv062k02siinazywrree55mviz6o3a8itpb/fold0/confusion_matrix.table.json', 'nrows': 11, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_99edc507fcd3d0fa4fda.table.json', 'sha256': '99edc507fcd3d0fa4fda183b65873821018b33fe3639f25c62cf101f5133e43a', 'size': 575}",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6385.39252088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770925107.6639233,,,,,,,,,,,,,,,,,,,,,,0.9966404489941109,,,,,,,,,,,0.9978630787495053,,,,,,,,,,0.9954208116216643,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9943302622253721,,,,,,0.9936260623229461,,,,,,,,2,,,6385.392631682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770925107.664179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9929228591648974,,,,,,,,,,,,,,,
,,,,,,0.9925925925925926,,,,,,,,,,,0.9668109668109668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,6385.392768948,,,,,,,,,,,,,,,,,,,,0.97953216374269,,,,,,,,,,,,,,,,,1770925107.664345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,6385.392932786,,,,,,,,,,0.9962006079027356,,,,,,,,,,,,,,,,,,,,,,,,,,,1770925107.6644902,,,,,,,,,,,,,,0.9776286353467561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9868272487768159,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966527196652719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,6385.393030362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770925107.6646335,,,,,,,0.980246913580247,,,,,,,,,,0.9883817427385893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6385.393170704,,,,,,,,,,,,,,,,,,,,,,,,,0.9848584595128373,,,,,,,,,,,,1770925107.6647623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9900727994705493,,,,,,0.9953426480372588,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9904616558565433,,,,,,,,,,,,,,,,7,,,6385.39332363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770925107.6648953,0.986322188449848,,,,,,,,,,,,,,,,,,,,,,,0.9946360153256705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.9946236559139785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,6385.393446617,,,,,,,,,,,0.9992283950617284,,,,,,,,,,,,,,,,,,,,,,,,,,1770925107.6650503,,,,,,,,,,,,,,,,,,,,,0.9900611620795107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,6385.393568973,,,,,,,,,,,,,,0.9981718464351006,,,,,,,,,,,,,,,,,,,,,,,1770925107.6651847,,,,,,,,,,,,,,,,,,,,,,,,,0.9985369422092173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978070175438597,,,,
,,,,,0.9961685823754789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,6385.393693943,,,,,,,,,0.9935040122277417,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770925107.6653066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9908536585365854,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953669836625213,,,11,,,6385.393804014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770925107.665426,,,,,,,,,,,,,,,,,,,,,,,,,,0.9924629224410406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9982880899975544,,,,,,,,
