_runtime,fold4/class_1/recall,_step,_timestamp,fold0/class_0/recall,fold3/class_1/f1-score,fold1/class_0/recall,fold3/class_1/precision,fold4/class_1/precision,fold0/class_1/recall,fold0/class_1/precision,fold1/confusion_matrix,fold4/class_0/recall,fold0/class_1/f1-score,fold3/class_1/recall,fold1/class_0/precision,fold4/class_0/f1-score,fold2/class_0/precision,fold1/class_1/precision,fold0/class_0/f1-score,cv5/fold_metrics,fold4/confusion_matrix,fold3/class_0/precision,fold0/confusion_matrix,fold2/class_0/f1-score,fold4/class_1/f1-score,fold2/class_1/precision,fold2/class_1/f1-score,fold1/class_0/f1-score,fold3/class_0/f1-score,fold2/class_0/recall,fold4/class_0/precision,fold0/class_0/precision,fold3/confusion_matrix,fold2/confusion_matrix,fold1/class_1/f1-score,fold1/class_1/recall,fold3/class_0/recall,fold2/class_1/recall
6781.774220928,,0,1770739210.4316702,,,,,,,,,,,,,,,,,,,,"{'sha256': '84ce84a62090f46645fb80bd30151418a5216a2e5ef98f30df9358b91cb62f32', '_latest_artifact_path': 'wandb-client-artifact://ujguzgpr1yol7ag6wlb6ydym1599q9ydt5glmso9xbhc8lf4vgvp1lht3dh7c3kwv36jyk7wvj14dpvwxkmvedr4il5tzfihzzhrc2v7fe30vw4ryvws3xuhycep1vql:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_84ce84a62090f46645fb.table.json', 'size': 83, 'log_mode': 'IMMUTABLE', 'ncols': 3, 'nrows': 2, 'artifact_path': 'wandb-client-artifact://42upurcb8yi6ck2pes9iwkhqqsdqzbzybxngm54sd4g2fov1lkb7yuhgo2m3sa991qlqdmrzmu5l6vvs6lfd7auxdnig6p31u7x21ampio8890mk9k6l701fkcdowjoc/fold0/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,
6781.775763355,,1,1770739210.4335556,1,,,,,,,,,,,,,,,0.9968398122296198,,,,,,,,,,,,,0.9936995351113286,,,,,,
6781.776034915,,2,1770739210.433906,,,,,,0.9964335180055401,1,,,0.9982135733735713,,,,,,,,,,,,,,,,,,,,,,,,,
7949.050645408,,3,1770740377.7084832,,,,,,,,"{'path': 'media/table/fold1/confusion_matrix_3_72e787772d32e8538ffa.table.json', 'ncols': 3, 'nrows': 2, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://d1gf72qe9p4ias2phke1fflvux61ueeqcis2dhzulit09hnow2t3nz6g7y9k504lyr0xnbr0w8azost4py6l0tuyg2dpy7jnp54rcq0qkdyjypbwrn3na0os3dvos4l1/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://o5barc90gg3y8jqfa1sufjows49ickxqt7n512b1vk6t6mxmlo2td2y769kzae0xpatg11d5iarhejvnenjut1z399m20vk2sfpg99w4puz0whstuuhmp7c98q9yio7k:latest/fold1/confusion_matrix.table.json', 'sha256': '72e787772d32e8538ffafec0b53fde8b7a72107dc6da18d90401d5ce6cb31154', 'size': 82}",,,,,,,,,,,,,,,,,,,,,,,,,,,
7949.051634615,,4,1770740377.709529,,,1,,,,,,,,,0.9955264125505576,,,,,,,,,,,,,0.9977581918127937,,,,,,,,,,
7949.051777339,,5,1770740377.7097218,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.9987345502452892,0.9974722991689751,,
8454.462784456,,6,1770740883.1204727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://q2b8blii4wjtisk3zuz910tz9c716j5mcbx3zrcnivx1x3sgz4p2cbkth9kn2hir4oz4suii0fx1c5umzb51iumz7ngffxrrc7a2a0uqfv5vda847mxi3ws385kejsz1/fold2/confusion_matrix.table.json', '_type': 'table-file', 'sha256': 'ddbc15485a388a48001d418310ec8a80de83c6467787fbb7c002c87ee855c9f7', 'size': 83, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://v3q4awvxopvn8ei24clzr9at797fy89z6umhunz0md25xcqt77irog8g0dgkb1gszbpj1e58cai0o2vzb5o9gp90c2lz0lrekr6uflxhx6ajpfaz4ljr7egr5mujr9kn:latest/fold2/confusion_matrix.table.json', 'ncols': 3, 'nrows': 2, 'path': 'media/table/fold2/confusion_matrix_6_ddbc15485a388a48001d.table.json'}",,,,
8454.463959713,,7,1770740883.1218083,,,,,,,,,,,,,,0.9927239376337511,,,,,,,0.996348685219846,,,,,,1,,,,,,,,
8454.464200462,,8,1770740883.1220741,,,,,,,,,,,,,,,,,,,,,,,1,0.9979343505355066,,,,,,,,,,,0.9958772172949002
9473.394793255,,9,1770741902.0525382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold3/confusion_matrix_9_f39128eb2ae90c74ed25.table.json', 'sha256': 'f39128eb2ae90c74ed2552b71150d5fdda7f5d7c6ca1a7c4ae0556907251df0c', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'nrows': 2, 'artifact_path': 'wandb-client-artifact://m12y78cuejf52f1oix03zxmpq8plcgr9ttv2hyfu4y2p5p500fdxrpht3rzj04596nkmp44dz8x0r8zz7erafbwdlsnhji3kw2cqimp57hfpz3hj0nengi52t7xjpp1n/fold3/confusion_matrix.table.json', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://swuy2czbm9sl7czhz9ptj149gumzo95reu1vl3uwuoiqlulkphdwpzlttd9vcylrwk1rz7f7rckatmqcvnzhgl25mrj1atoz7fglilmf2tz3zhnjvo71alva69i2wce4:latest/fold3/confusion_matrix.table.json', 'size': 82}",,,,,
