fold2/class_0/precision,fold3/confusion_matrix,fold0/confusion_matrix,fold2/class_1/recall,fold2/class_1/precision,fold1/confusion_matrix,fold3/class_0/precision,fold0/class_0/recall,fold3/class_0/recall,fold2/class_0/f1-score,fold1/class_1/recall,_timestamp,fold3/class_0/f1-score,fold3/class_1/precision,fold4/class_1/precision,fold2/class_1/f1-score,_step,fold1/class_1/f1-score,fold4/class_0/f1-score,fold4/class_0/precision,fold2/class_0/recall,fold3/class_1/recall,fold1/class_0/f1-score,fold2/confusion_matrix,fold3/class_1/f1-score,fold1/class_0/recall,fold4/confusion_matrix,fold1/class_0/precision,fold1/class_1/precision,fold0/class_1/recall,fold4/class_0/recall,fold0/class_0/precision,_runtime,cv5/fold_metrics,fold0/class_0/f1-score,fold0/class_1/f1-score,fold0/class_1/precision,fold4/class_1/recall,fold4/class_1/f1-score
,,"{'artifact_path': 'wandb-client-artifact://vfmfra6yq8uel3gswv0p53zcyzpgqoki8555ovhubvvzwdzyowkjz4ywdcd0sgfndf1975ktd16p4ms0po61s4o2rbmtzjptjq0kmz56szrztx5a4nghakqzlpkgipce/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://qs28o5v421k6wd2m3dgci5skr8qv9i61aajljkeh9f95ryws2us68fsylmh062uipyx9g8es1se4r3wdwjk07s6q8lcv18ycdd08xez4vmoroobgtl7ir4roxehai5zl:latest/fold0/confusion_matrix.table.json', 'sha256': '5445b6a754861aab39220a5988618aa7780c52d3ab5a3eeed202e9c9c95bef09', 'size': 82, 'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_5445b6a754861aab3922.table.json', 'ncols': 3, '_type': 'table-file', 'log_mode': 'IMMUTABLE'}",,,,,,,,,1770740711.147457,,,,,0,,,,,,,,,,,,,,,,12309.136296397,,,,,,
,,,,,,,1,,,,1770740711.1493042,,,,,1,,,,,,,,,,,,,,,0.9969315741024855,12309.137924784,,0.9984634296250768,,,,
,,,,,,,,,,,1770740711.1497374,,,,,2,,,,,,,,,,,,,0.9982686980609419,,,12309.138152767,,,0.999133599029631,1,,
,,,,,"{'ncols': 3, 'sha256': '891971b197ee720c55672556f1f87d2613f2736c4c3f6d4caccbe8a5e3257bf1', 'size': 82, 'artifact_path': 'wandb-client-artifact://fhveguxpxvrvwemo17nq3hb7gylplhem53unr4em8pvfi8ccaxg6ngf5h7x7f9uss2bhkoa7glxgx3ge2waniyo5zh4n733xhl2om739p94zl4v1bdsv6dj0kfqm5moe/fold1/confusion_matrix.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://wknqd6hmy54j0tju88tr5id2zko9e0za3p0lzuruo8pvm94g0fgur8k7vqgqofrwo6w90ogjsxwvsnojpandoqmmv9tyql88aq0lrgxjxohywzpf1lhfamsixpazwmdv:latest/fold1/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_891971b197ee720c5567.table.json'}",,,,,,1770742467.139042,,,,,3,,,,,,,,,,,,,,,,14065.127758096,,,,,,
,,,,,,,,,,,1770742467.1402214,,,,,4,,,,,,0.9980340357559747,,,1,,0.9960757863756208,,,,,14065.128689167,,,,,,
,,,,,,,,,,0.9977839335180055,1770742467.1404812,,,,,5,0.9988907376594565,,,,,,,,,,,1,,,,14065.128879676,,,,,,
,,,,,,,,,,,1770743751.1116788,,,,,6,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://lbb4lk9knoyzysr7nw6tu9vahnhf4scr7sqsmt19emrjd9u316sw9py41x45d0lxl8z5jsgfmjtaa98ivaepj3mlcst9si477spn1tumm00q1lqc5gjuh15dl9bwdpyz/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://3o4nqzs1s6v61temahwwpz8uf2ys4rotwfjumfnkonm9pdt7ud4rkyvkw004s9qqw5mfw37o5278pgt8vj5vdkafee8tp9xkdeqz3qzqpyiryvpjb91qz7hlx2bptnet:latest/fold2/confusion_matrix.table.json', 'size': 83, 'ncols': 3, 'nrows': 2, 'sha256': 'abc8333df2c8af2b45b65287d3ffc5c19e42b11e912104f644ba4b745dc5a850', '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_6_abc8333df2c8af2b45b6.table.json'}",,,,,,,,,15349.100168072,,,,,,
0.9934528544330906,,,,,,,,,0.9967156757420425,,1770743751.1128542,,,,,7,,,,1,,,,,,,,,,,,15349.101295053,,,,,,
,,,0.9962929600886918,1,,,,,,,1770743751.113093,,,,0.9981430381284601,8,,,,,,,,,,,,,,,,15349.101508858,,,,,,
,"{'_latest_artifact_path': 'wandb-client-artifact://a2hk3ajoi68cnqbcr1qgf8s5uw3v2756zqq750ql89cobe3h0op1dkw3ilovoddl7gsd7cxpehn2c21mw5powwfpls29oja5svc5l1vbb088w0rzvth4zrjxyj0a6b0j:latest/fold3/confusion_matrix.table.json', 'nrows': 2, 'sha256': '933ea09adc058cd537c5861be28a4f4a1ec371ea35f04a2c9ab21c95e13f16e8', 'ncols': 3, 'size': 82, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://uu0jss99l2xk50sbjckdzb2ufjs2l029v220pwagrz8lqtje7yxq7uhpick4yov9xjccv45z4274q5ml9qqosxfhy6pyaiyibuw0120kzfgp9453hoqf0rkw8bt2s0s2/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_9_933ea09adc058cd537c5.table.json'}",,,,,,,,,,1770744995.3992293,,,,,9,,,,,,,,,,,,,,,,16593.387867647,,,,,,
