fold1/confusion_matrix,fold1/class_1/recall,fold0/class_0/precision,fold2/class_3/f1-score,fold4/class_2/recall,fold2/class_1/recall,fold3/class_2/precision,fold3/confusion_matrix,cv5/fold_metrics,fold0/class_2/f1-score,fold2/class_1/f1-score,fold1/class_1/f1-score,fold3/class_0/recall,fold4/class_0/precision,fold4/confusion_matrix,fold3/class_2/recall,fold3/class_3/f1-score,fold1/class_0/precision,fold3/class_1/precision,fold3/class_2/f1-score,fold1/class_2/recall,fold3/class_1/f1-score,fold0/class_1/f1-score,fold0/class_0/f1-score,fold0/class_3/f1-score,fold0/class_2/recall,fold1/class_3/recall,_timestamp,fold2/class_0/f1-score,fold4/class_0/f1-score,fold4/class_1/f1-score,_step,fold0/class_1/precision,fold3/class_3/precision,fold1/class_0/recall,fold1/class_1/precision,fold2/class_3/precision,fold1/class_2/f1-score,fold2/class_2/recall,fold3/class_3/recall,fold2/class_0/precision,fold3/class_1/recall,fold3/class_0/precision,fold4/class_0/recall,fold2/class_0/recall,fold2/confusion_matrix,_runtime,fold1/class_0/f1-score,fold0/confusion_matrix,fold1/class_3/precision,fold4/class_2/precision,fold4/class_3/recall,fold3/class_0/f1-score,fold4/class_1/recall,fold2/class_2/f1-score,fold1/class_2/precision,fold0/class_3/recall,fold4/class_2/f1-score,fold2/class_3/recall,fold1/class_3/f1-score,fold2/class_2/precision,fold0/class_1/recall,fold4/class_3/f1-score,fold2/class_1/precision,fold4/class_3/precision,fold0/class_2/precision,fold4/class_1/precision,fold0/class_3/precision,fold0/class_0/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715439.9398913,,,,0,,,,,,,,,,,,,,,999.487675414,,"{'size': 143, 'artifact_path': 'wandb-client-artifact://mhpeowk5shsozc3jd0tiaax5qw9cll6iklvj4ifaywroll5x5uhn56fy5tya3sljli13v8hs7qyvzom0um19w7ibrhasw4kt26mb7pg9a02o17oqbnwdmgjpxkx0bt51/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://pp7dlcjra75a4syg7hv4oz83ot3l407wpzuessdfxvqvqrmnqo0924sza72p0awa2zu92mn0pwmdgo11nt47r9jj1a1cvyktgz2f3v6mmoy83fcxy3odubz1a62vjby9:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold0/confusion_matrix_0_e19660db0c4f5cb0fc69.table.json', 'sha256': 'e19660db0c4f5cb0fc69c6f20fe0058e42029a388cc191e3daaeca3e0f410fe5', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'nrows': 4}",,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,0.9983739837398374,,,,1770715439.9417777,,,,1,,,,,,,,,,,,,,,999.489609239,,,,,,,,,,,,,,,,,,,,,,0.9967532467532467
,,,,,,,,,,,,,,,,,,,,,,0.995085995085995,,,,,1770715439.9424171,,,,2,0.9938650306748467,,,,,,,,,,,,,,999.490081245,,,,,,,,,,,,,,,0.996309963099631,,,,,,,
,,,,,,,,,0.9967845659163987,,,,,,,,,,,,,,,,0.9951845906902087,,1770715439.9428608,,,,3,,,,,,,,,,,,,,,999.490402199,,,,,,,,,,,,,,,,,,,0.998389694041868,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.9910112359550561,,,1770715439.943201,,,,4,,,,,,,,,,,,,,,999.490706209,,,,,,,,,,0.9966101694915255,,,,,,,,,,,0.9854748603351955,
"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://2pvnfeh10ynzbmu0cswl4eapgrxiouhry745p9f7d5h87b8pkkgafi5tq569c90bb88vtsnfy40aon02ajszcn17wzb06eqiemre8wg1ji64ljcusioexjrlonnjoh0c/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://qs9pxa3m7rr7nmbonl46jixdf1r6i4irzn1ulvy0vuw0za8qxj8r9jhbosglawkqya4bd344h58awuk76rlvliklovsoc8kceo9o9eajwoll3lt8zw5f00fs1h296nki:latest/fold1/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_406d783574f076eb1d7d.table.json', 'sha256': '406d783574f076eb1d7daa662e1e9551d2a29955b6ce7d85c2e3c226b34c0070', 'size': 143, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,1770715547.9009204,,,,5,,,,,,,,,,,,,,,1107.448675957,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9975222993062438,,,,,,,,,,1770715547.9028156,,,,6,,,0.9970282317979198,,,,,,,,,,,,1107.450453492,0.997275204359673,,,,,,,,,,,,,,,,,,,,,
,0.9892857142857143,,,,,,,,,,0.9916467780429594,,,,,,,,,,,,,,,,1770715547.903229,,,,7,,,,0.9940191387559809,,,,,,,,,,,1107.450754074,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.9962059620596206,,,,,,,1770715547.9035635,,,,8,,,,,,0.9972870320130223,,,,,,,,,1107.451137888,,,,,,,,,0.9983704508419338,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9943502824858758,1770715547.9039614,,,,9,,,,,,,,,,,,,,,1107.451602149,,,0.9818688981868898,,,,,,,,,,0.9880701754385965,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715644.631659,,,,10,,,,,,,,,,,,,,"{'sha256': '47e5c69da8ec18dfb2027f16bbb1e7b162072f5e6c0866116c3276a25ee9087b', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://adf8ky6vc8yfhylt19qcpn0mlx4hln4h40ey7vzhbbqs5zy36we8igd35wf4zs7td0h1nduvt22pt4celehc4tvga56j9nx8g4o6i7taw9qxttpuavp9jxyhdo165x4j/fold2/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'size': 144, '_latest_artifact_path': 'wandb-client-artifact://5wmb4vzji665uq308v14by43p9fdstins193c608zflvjkdamvgbdd1ps120xbopfy020o1nuiektgbaagalk8f04lsmqw2wd491gtfbx424sth6adyhwusiqufmqz9z:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_10_47e5c69da8ec18dfb202.table.json'}",1204.179304981,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715644.6331942,0.9989594172736732,,,11,,,,,,,,,0.9994794377928162,,,,0.9984399375975039,,1204.180791355,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.9825970548862115,,,,,0.9892183288409704,,,,,,,,,,,,,,,,,1770715644.6336455,,,,12,,,,,,,,,,,,,,,1204.181204009,,,,,,,,,,,,,,,,,0.9959294436906377,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715644.6340854,,,,13,,,,,,,0.9979035639412998,,,,,,,,1204.181668934,,,,,,,,0.9976421273251245,,,,,,0.9973808276584599,,,,,,,,
,,,0.9874925550923168,,,,,,,,,,,,,,,,,,,,,,,,1770715644.6344457,,,,14,,,,,0.9810650887573964,,,,,,,,,,1204.181988749,,,,,,,,,,,,0.9940047961630696,,,,,,,,,,
,,,,,,,"{'_type': 'table-file', 'sha256': '1e2da69a933b4a267d01d02376091c35549b9819b7755022649ccbfb0b356b57', 'log_mode': 'IMMUTABLE', 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_1e2da69a933b4a267d01.table.json', 'size': 144, 'ncols': 5, 'artifact_path': 'wandb-client-artifact://5ipx9r32avczbr5v8gg9nc4rksrfjilm134jkeb8ag01niq00uidqa2q1otq40pbeixu1nojx4npkq26h32wc06nilxuxvkt93c0ol3x1x22iwawcfwh8u91g3x97kpi/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://gevrk65nk0ek66bp8lq2aoa5cjyeybf3sl16pqsmz7lnakd261d5lgoteahu5tfl3refmmx3qfgoeyae9pymmqryuupzux20wghtb167xo3kgeq5zkn4kaaknixw1epq:latest/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,1770715714.3894951,,,,15,,,,,,,,,,,,,,,1273.937137258,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9941613588110403,,,,,,,,,,,,,,,1770715714.390685,,,,16,,,,,,,,,,,0.9978689397975493,,,,1273.938298102,,,,,,0.9960116990162191,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.9812734082397003,,,0.9849624060150376,,,,,,1770715714.3911552,,,,17,,,,,,,,,,0.9886792452830189,,,,,1273.938764867,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.9984383133784487,,,,,,,,,0.9912144702842377,,,,0.9948132780082988,,,,,,,,1770715714.3916342,,,,18,,,,,,,,,,,,,,,1273.939184921,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.9808286951144094,,,,,,,,,,,1770715714.3920267,,,,19,,0.9718137254901961,,,,,,0.9900124843945068,,,,,,,1273.939625949,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://h4x0r7okt2ugy1q3zlikl0qcfhqzxz34i8h1qsse83e74stuti937dbnlzex7httikvo4rm89505ubx5c2x4iwf165kh6okzkveqjq5khe2bo1zbopsgngt8t2k7ani9:latest/fold4/confusion_matrix.table.json', 'nrows': 4, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://g9aspjg74acnqpw1xr57ro46f1qvgi8cuaa97884uis75idts3okgqb3ah9hnwer2nwuzkapkngu7h28bzqeogf63ncq2itr0ivgjad6f8qivtcvyo5j2y3fmcfkvmwb/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_f196ecbf3a5011d32698.table.json', 'sha256': 'f196ecbf3a5011d326988a97532353bb67e2f02df85c1130613c3a729436f022', 'size': 144, 'log_mode': 'IMMUTABLE', 'ncols': 5}",,,,,,,,,,,,,1770715794.5691419,,,,20,,,,,,,,,,,,,,,1354.116865865,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9968354430379747,,,,,,,,,,,,,,1770715794.570756,,0.9960474308300395,,21,,,,,,,,,,,,0.995260663507109,,,1354.118322878,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715794.571154,,,0.9822784810126582,22,,,,,,,,,,,,,,,1354.118702583,,,,,,,0.9835234474017744,,,,,,,,,,,,,0.9810366624525917,,
,,,,0.9932920536635707,,,,,,,,,,,,,,,,,,,,,,,1770715794.5715292,,,,23,,,,,,,,,,,,,,,1354.119130971,,,,0.9968928016571724,,,,,,,0.9950891703282502,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715794.5719018,,,,24,,,,,,,,,,,,,,,1354.119468415,,,,,0.9821882951653944,,,,,,,,,,,0.9772151898734177,,0.9722921914357683,,,,
,,,,,,,,"{'artifact_path': 'wandb-client-artifact://2n330sxqznx90po2ye1aoge8rt47kuhmo0eo3l41t9109cifl58501qui89ltn0vrsmxvenr0j5pngkczjutmwq5wp7ynwnjku83b1zbjfazf64iyk9x3cfc9jvhojsi/cv5/fold_metrics.table.json', '_latest_artifact_path': 'wandb-client-artifact://itvfua28bvi3hp9pcj319uj6z9em6tgrtw27fs2ruy2tj5hbxnnch6f5gyyn1l5x219ojhzcbzro9q4y88stc4nkt31lpbbuht7osrzdhrzi2f7448c8a8ss77vxu2nu:latest/cv5/fold_metrics.table.json', 'nrows': 5, 'log_mode': 'IMMUTABLE', 'size': 772, '_type': 'table-file', 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_25_7e128a6602f5c2a02151.table.json', 'sha256': '7e128a6602f5c2a0215186a48cc716881018c3c6557a1fa3a409c8b413320450'}",,,,,,,,,,,,,,,,,,,1770715794.8888414,,,,25,,,,,,,,,,,,,,,1354.436489624,,,,,,,,,,,,,,,,,,,,,,
