cv5/fold_metrics,_runtime,fold0/class_1/recall,fold4/class_1/precision,fold1/class_1/f1-score,fold2/class_1/precision,fold3/confusion_matrix,fold3/class_0/recall,fold0/class_1/f1-score,fold4/class_0/recall,fold0/class_0/precision,fold0/class_1/precision,fold2/confusion_matrix,fold3/class_0/f1-score,fold3/class_1/precision,fold0/class_0/recall,fold1/class_0/recall,fold4/class_1/f1-score,fold4/confusion_matrix,fold0/confusion_matrix,fold0/class_0/f1-score,fold1/class_0/f1-score,fold3/class_1/recall,_timestamp,fold2/class_1/recall,fold1/confusion_matrix,fold1/class_0/precision,fold2/class_0/recall,fold4/class_1/recall,fold3/class_1/f1-score,fold2/class_0/f1-score,fold4/class_0/precision,fold3/class_0/precision,_step,fold1/class_1/precision,fold2/class_1/f1-score,fold4/class_0/f1-score,fold2/class_0/precision,fold1/class_1/recall
,286.337128179,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://zjvlq40kvurzvxw6w852eo16hpdvvnxm3eqs2eyv61rb27y6sua7cqy8krwc3tuwxz15h951iq5zflyb32o4ekjvk4q9ou337h4eb82zvmb3flqtdpev3g7a4he6dqhn/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://25crbea2f1950zegc3m91vhz8sz56ycepcofywyyogvxcoaoaly8ok1e1iskxsiuj56l2y6ndmy7izd3ihglwxifaf960mkzz41x9w3twajwnpdm6gk3zpjfbv0ws4c2:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'size': 84, 'ncols': 3, 'nrows': 2, 'sha256': 'b770a55ee688a11646a974aeadd03af45c2aee493488c9de86611ccf67ac47a2', 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_b770a55ee688a11646a9.table.json'}",,,,1770743043.8961082,,,,,,,,,,0,,,,,
,286.338297761,,,,,,,,,0.9925959277602682,,,,,0.9992948879375472,,,,,0.9959341431583174,,,1770743043.8974981,,,,,,,,,,1,,,,,
,286.33843724,0.9948753462603878,,,,,,0.9971887689584562,,,0.9995129757183608,,,,,,,,,,,,1770743043.8977454,,,,,,,,,,2,,,,,
,622.344258986,,,,,,,,,,,,,,,,,,,,,,1770743379.90324,,"{'artifact_path': 'wandb-client-artifact://8xnn4si9b8m3ps8u9kmzu5sh76cmc0ty3wua5nfoqd3wbydxegbs3v5osmcwd5mtwpgq6pi4q1xgt4ik74ux1ry786yo3h5xeb3y37xwpyb2vrxxyteq7bejyn3t506p/fold1/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_86905e0ff4db0d4b2283.table.json', 'size': 83, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://7inwz4hly8qavlltfw37ngwp27ctc2jlju3951vtv7dkfttx9vn27dfksuzp19y4q6u9v2wmdflfh87s6f2mtjj7efz3ajxj6twtopvbh902n8tw2ayh5o6p8v01gzjd:latest/fold1/confusion_matrix.table.json', 'nrows': 2, 'sha256': '86905e0ff4db0d4b228374c89fb51f115c3ad3f053b6f7dabb8b747d84577f6a'}",,,,,,,,3,,,,,
,622.345689831,,,,,,,,,,,,,,,1,,,,,0.9952131525525676,,1770743379.9048834,,,0.9904719145964282,,,,,,,4,,,,,
,622.34588437,,,0.9966822421789505,,,,,,,,,,,,,,,,,,,1770743379.9051602,,,,,,,,,,5,1,,,,0.9933864265927977
,843.277856529,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://c4cqg9ahne1vbwu4k7g86odrpjlhh33d2rpvfkmw6hwjhp64p3m9n930nh26eqixm25fs2qd860l9hd4ca6crw73u4jx6vzxw9tedsz4zzc36mz6luap7ooqujm35454/fold2/confusion_matrix.table.json', 'sha256': 'c9916d9534c4a16cd0c8a79b0066146a89eb18feeb7aabb0a5c4f54690f04f60', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://gikwcoi1ajqvbalx8qpa94rw1xfalo19x8qphkf0h4susokzp9hwufvuz74j6twxxbiopdh01yt9bjrq1vhds3gchl46hyt2q2mr29t9npch9mxlkskre0upeq9cwpmk:latest/fold2/confusion_matrix.table.json', 'size': 83, '_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold2/confusion_matrix_6_c9916d9534c4a16cd0c8.table.json'}",,,,,,,,,,,1770743600.8369515,,,,,,,,,,6,,,,,
,843.279398046,,,,,,,,,,,,,,,,,,,,,,1770743600.8385139,,,,1,,,0.9934915390007009,,,7,,,,0.9870672502984481,
,843.279606202,,,,1,,,,,,,,,,,,,,,,,,1770743600.8388257,0.9909922394678492,,,,,,,,,8,,0.9954757430222037,,,
,1079.805764483,,,,,"{'size': 83, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://dfced3yogq6rp7do30lb6186kcp6vfwxvjehy1rxvlirikxmd50xsz52ohi2yjyn8wvepqffbrgg308xkx7jqxgxuvotxdcayebj41s5vwcjsltbtw3zxr65fie7mmuo:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'sha256': 'b4c88e5afe3a57312ae7c6ab9e7d14804a87546f566e9e0a82f9ab0e402304f4', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://8hpgn4lu3v5gv7z0c7v7w6tmq5vwgwilvdblpy5dvlerh49a95ebpkbs5ra94obwwvi8om0ms4p9q5i9o3rophrjlpw6pas2uf7rw0frqbf8v85fhljkc9u9wwz55swa/fold3/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_b4c88e5afe3a57312ae7.table.json'}",,,,,,,,,,,,,,,,,1770743837.3647132,,,,,,,,,,9,,,,,
,1079.807076279,,,,,,0.9996976416045152,,,,,,0.9957835558678847,,,,,,,,,,1770743837.366196,,,,,,,,,0.9919,10,,,,,
,1079.807334266,,,,,,,,,,,,,0.9997909990246621,,,,,,,,0.9943874722838137,1770743837.366526,,,,,,0.997081914819704,,,,11,,,,,
,1423.151467321,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold4/confusion_matrix_12_9fcd8bfbabc52f1d2e3d.table.json', '_type': 'table-file', 'size': 83, 'artifact_path': 'wandb-client-artifact://m3didc5wvfz3bqu7h27wenmuaqoiudmfd1cmpe9jmzjj2flio5iq2146sgujy7esb87n0981ecqa3j89ijfj3glezsmbb8xxtgjo6y1uhzr2jf8fj4cx6xmfqr06gkkr/fold4/confusion_matrix.table.json', 'nrows': 2, 'sha256': '9fcd8bfbabc52f1d2e3defb4c9382a034acc5cf2115ca02cbcf194555d7a8b83', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://8csz5zqi4k08rehob89m7n46kwr01fyseaklxyhoqb30dwtoud7dwamik5ds9q6w2nzyc76jnc4ir9dk03zktmn9z5onr8f7zqfewv8tlnlrjicd6yd05nrcyn0b09im:latest/fold4/confusion_matrix.table.json', 'ncols': 3}",,,,,1770744180.7104805,,,,,,,,,,12,,,,,
,1423.15278038,,,,,,,,1,,,,,,,,,,,,,,1770744180.7119842,,,,,,,,0.992150392480376,,13,,,0.9960597314594052,,
,1423.152934158,,1,,,,,,,,,,,,,,0.9972729325528478,,,,,,1770744180.7122161,,,,,0.9945606984478935,,,,,14,,,,,
"{'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 5, 'size': 775, 'sha256': 'f3dc78073bf70fb1016fe7ace5a6db43c307d9d529128a60b40fa4f07b04b9be', 'artifact_path': 'wandb-client-artifact://0c8xfaayxyo8zdvg2vdh5wtf9gmuv8y92g0n9wqiqsa98g1z2p8navqzs2hpl3n2m83kuzdq5aq2d9sxxb1u7u7grfnqc4ex5v3wzngmygc29kpbgo1hldx4813wqot8/cv5/fold_metrics.table.json', '_latest_artifact_path': 'wandb-client-artifact://xob0whi6hq1k0dhgctle5tpvebcc17wr7uq8hucws20qpf31pv8zeble482z61f9jt6xzdhsspoxyoj4svnzqa5uw1pcdwns9g48r2et1zcw18r5m6dwgp2jym78aoc7:latest/cv5/fold_metrics.table.json', 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_15_f3dc78073bf70fb1016f.table.json'}",1423.430881357,,,,,,,,,,,,,,,,,,,,,,1770744180.9899814,,,,,,,,,,15,,,,,
