fold0/class_2/recall,fold1/class_5/f1-score,fold2/class_6/f1-score,_runtime,fold4/class_6/f1-score,fold1/class_9/recall,fold2/class_9/f1-score,fold1/class_10/recall,fold2/class_10/recall,fold2/class_2/f1-score,fold1/class_3/recall,fold4/class_10/f1-score,fold0/class_2/precision,fold3/class_8/recall,fold3/class_7/f1-score,fold4/class_6/precision,fold3/class_0/f1-score,fold2/class_8/recall,fold3/confusion_matrix,fold2/class_4/precision,fold4/class_3/f1-score,fold3/class_2/f1-score,fold2/class_1/recall,fold4/class_8/precision,fold2/class_7/recall,fold3/class_0/recall,fold3/class_8/precision,fold0/class_10/recall,fold2/class_9/recall,fold3/class_10/f1-score,fold1/class_6/precision,_timestamp,fold3/class_4/f1-score,fold1/confusion_matrix,fold4/class_2/recall,fold1/class_7/recall,fold0/class_5/precision,fold0/class_10/f1-score,fold0/class_6/f1-score,fold0/class_4/f1-score,fold3/class_5/recall,fold2/class_5/f1-score,fold0/class_10/precision,fold2/class_0/f1-score,fold1/class_2/recall,fold4/class_8/recall,fold3/class_1/f1-score,fold4/class_6/recall,fold0/class_8/recall,fold1/class_3/precision,cv5/fold_metrics,fold4/class_1/f1-score,fold3/class_3/recall,fold1/class_8/recall,fold1/class_5/recall,fold4/class_4/precision,fold1/class_10/f1-score,fold4/class_1/recall,fold1/class_4/recall,fold2/class_6/recall,fold2/class_1/f1-score,fold1/class_9/f1-score,fold2/class_8/precision,fold0/class_4/precision,fold0/class_9/precision,fold4/class_9/recall,fold0/class_8/precision,fold4/class_10/recall,fold2/class_8/f1-score,fold0/class_1/precision,fold4/class_8/f1-score,fold4/class_9/f1-score,fold0/class_9/f1-score,fold0/class_1/recall,fold2/class_7/precision,fold4/class_0/precision,fold1/class_8/f1-score,fold0/class_3/f1-score,fold3/class_9/recall,fold1/class_10/precision,fold1/class_2/precision,fold0/class_1/f1-score,fold3/class_10/recall,fold1/class_0/precision,fold4/class_7/f1-score,fold2/class_6/precision,fold2/class_3/precision,fold1/class_8/precision,fold2/class_9/precision,fold1/class_1/f1-score,fold1/class_2/f1-score,fold4/class_3/precision,fold1/class_7/precision,fold0/class_6/recall,fold0/class_5/f1-score,fold1/class_1/recall,fold0/class_0/precision,fold0/confusion_matrix,fold0/class_5/recall,fold3/class_4/recall,fold1/class_0/recall,fold1/class_6/recall,fold4/class_3/recall,fold0/class_3/precision,fold3/class_0/precision,fold1/class_7/f1-score,fold2/class_4/f1-score,fold2/class_10/f1-score,fold4/class_0/recall,fold4/class_4/f1-score,fold1/class_3/f1-score,fold4/class_7/recall,fold0/class_8/f1-score,fold1/class_5/precision,fold3/class_9/precision,fold4/class_9/precision,fold4/class_10/precision,fold3/class_9/f1-score,fold2/class_7/f1-score,fold3/class_10/precision,fold1/class_6/f1-score,fold3/class_5/precision,fold2/confusion_matrix,fold4/class_7/precision,fold0/class_0/f1-score,fold1/class_4/precision,fold3/class_4/precision,fold4/class_5/recall,_step,fold2/class_2/recall,fold3/class_1/precision,fold3/class_3/f1-score,fold2/class_3/f1-score,fold4/class_1/precision,fold3/class_5/f1-score,fold2/class_5/precision,fold4/class_0/f1-score,fold0/class_4/recall,fold0/class_9/recall,fold3/class_1/recall,fold2/class_10/precision,fold3/class_7/precision,fold3/class_7/recall,fold0/class_6/precision,fold3/class_3/precision,fold4/class_5/f1-score,fold3/class_8/f1-score,fold3/class_2/precision,fold3/class_6/recall,fold3/class_6/precision,fold2/class_1/precision,fold0/class_7/recall,fold2/class_3/recall,fold4/class_4/recall,fold1/class_4/f1-score,fold1/class_0/f1-score,fold2/class_0/precision,fold0/class_7/precision,fold0/class_0/recall,fold2/class_5/recall,fold3/class_6/f1-score,fold2/class_4/recall,fold4/class_5/precision,fold2/class_0/recall,fold0/class_3/recall,fold0/class_2/f1-score,fold1/class_1/precision,fold1/class_9/precision,fold4/class_2/f1-score,fold0/class_7/f1-score,fold4/confusion_matrix,fold3/class_2/recall,fold2/class_2/precision,fold4/class_2/precision
,,,2496.876007705,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770933311.160997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_911fbe624090d5c8e5f1.table.json', 'sha256': '911fbe624090d5c8e5f1d1862687718af1d2cd3a23819c7e4422305a49fe53d8', 'size': 568, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://or38rla97ztadrmc4d7fv1wbtd51xasdmi3bkt1oiwla5fzx500eit8op2nxj1s9jhmdyasf1sniy0xum39hszh12nynzz8d1wneb2a7wrk6f4wbtzee94jy8ujbtu9l:latest/fold0/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://1wi3e7u5yqcf4cepo4a1k57erfw1hexcwcaa6z8ftocxic2rkteysditd14xwdn4p26csqqgq32k2ettvniyy974n7i45u758590y5kgrnp460qgw8rd8b1ysjcb6k5a/fold0/confusion_matrix.table.json', 'nrows': 11, 'ncols': 12}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2496.877484133,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770933311.1631446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995385325334564,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997692130163859,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,,2496.87766458,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770933311.1634166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9945701357466064,,,,1,,,,,,,,0.9972776769509982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9981447124304267,,,2496.877845427,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1770933311.1636057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990714948932219,,,,,,,,
,,,2496.878010894,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770933311.163779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966329966329966,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9932885906040269,,,,,,,,,
,,,2496.878118537,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770933311.163913,,,,,,,,0.9994711792702274,,,,,,,,,,,,,,,,,,,,,,,,0.9989429175475687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2496.878261179,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770933311.1640422,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995721009841677,,,,0.9991445680068435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2496.878364533,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770933311.1641603,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2496.878462918,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770933311.1642718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,0.9990079365079365,,,,,,0.998017839444995,,,,,,,,,,,,0.9985126425384234,,,,
,,,2496.878581372,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770933311.164381,,,,,,,,,,,,,,,,,0.9943609022556391,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9971724787935909,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
