fold1/class_3/precision,fold4/class_4/recall,fold1/class_2/precision,fold2/class_4/precision,fold3/class_4/recall,fold4/class_10/recall,fold4/class_8/f1-score,fold1/class_9/recall,fold2/class_2/recall,fold2/class_1/recall,fold4/class_0/f1-score,fold3/class_9/precision,fold2/class_6/precision,fold4/class_5/precision,fold3/class_3/f1-score,fold2/class_8/recall,fold4/class_6/f1-score,fold1/class_1/recall,fold4/class_3/recall,fold4/class_9/f1-score,fold2/class_10/recall,fold0/class_3/recall,fold4/class_1/recall,fold4/class_0/recall,fold0/class_4/f1-score,fold4/class_8/precision,fold1/class_5/precision,fold3/class_2/precision,fold1/class_8/f1-score,fold0/class_1/recall,fold0/class_8/recall,fold1/class_2/f1-score,fold4/class_2/precision,fold1/class_7/precision,fold0/class_1/precision,fold2/class_6/recall,fold1/class_3/recall,fold1/class_10/precision,fold4/class_7/f1-score,fold4/confusion_matrix,fold0/class_9/precision,fold1/class_6/recall,fold2/class_3/recall,fold3/class_1/precision,fold3/class_5/f1-score,fold2/class_10/precision,fold3/class_2/f1-score,fold3/class_8/f1-score,fold2/class_1/f1-score,fold0/class_10/precision,fold3/class_6/recall,fold2/class_1/precision,fold2/class_4/f1-score,fold4/class_9/recall,fold0/class_9/f1-score,fold2/class_9/recall,fold1/class_4/recall,fold1/class_5/f1-score,fold0/class_10/recall,fold0/class_2/precision,fold0/class_6/f1-score,fold2/class_3/f1-score,fold4/class_10/precision,fold2/class_7/precision,fold0/class_4/recall,fold1/class_6/precision,fold4/class_4/precision,fold1/class_3/f1-score,fold2/class_0/precision,fold4/class_2/f1-score,fold4/class_4/f1-score,fold0/class_0/precision,fold0/class_5/precision,fold3/class_4/precision,fold2/class_2/f1-score,cv5/fold_metrics,fold1/class_8/precision,fold3/class_7/precision,fold0/class_9/recall,fold3/class_10/recall,fold2/class_0/recall,fold1/class_10/recall,fold1/confusion_matrix,fold2/class_3/precision,fold0/class_7/precision,fold3/class_0/f1-score,fold3/class_10/precision,fold3/class_8/recall,fold3/class_6/precision,_timestamp,fold4/class_5/f1-score,fold2/class_0/f1-score,_runtime,fold0/class_0/recall,fold3/class_7/f1-score,fold4/class_3/f1-score,fold4/class_5/recall,fold0/class_10/f1-score,fold3/class_8/precision,fold2/class_5/precision,fold3/class_5/recall,fold1/class_1/precision,fold0/class_1/f1-score,fold0/class_0/f1-score,fold0/class_7/f1-score,fold3/class_0/recall,fold4/class_7/precision,fold3/class_6/f1-score,fold4/class_10/f1-score,fold2/class_7/recall,fold4/class_8/recall,fold2/confusion_matrix,fold2/class_4/recall,fold4/class_1/precision,fold1/class_2/recall,fold0/class_3/f1-score,fold3/class_0/precision,fold3/confusion_matrix,fold3/class_5/precision,fold1/class_9/precision,fold3/class_7/recall,fold0/class_6/precision,fold4/class_1/f1-score,fold1/class_0/recall,fold0/class_2/recall,fold1/class_4/f1-score,fold0/class_3/precision,fold4/class_0/precision,fold2/class_2/precision,fold3/class_1/recall,fold4/class_6/precision,fold0/class_2/f1-score,fold4/class_3/precision,fold3/class_10/f1-score,fold1/class_5/recall,fold2/class_8/precision,fold4/class_6/recall,fold3/class_1/f1-score,fold1/class_6/f1-score,fold2/class_6/f1-score,fold2/class_5/f1-score,fold3/class_3/recall,fold2/class_5/recall,fold0/class_6/recall,fold4/class_7/recall,fold0/class_8/precision,fold4/class_2/recall,fold4/class_9/precision,fold0/confusion_matrix,fold2/class_10/f1-score,fold1/class_0/f1-score,fold1/class_10/f1-score,fold3/class_9/recall,fold1/class_0/precision,fold3/class_2/recall,fold1/class_8/recall,fold3/class_4/f1-score,fold1/class_9/f1-score,fold3/class_9/f1-score,fold0/class_7/recall,fold1/class_1/f1-score,fold1/class_4/precision,fold3/class_3/precision,fold1/class_7/f1-score,fold2/class_8/f1-score,fold0/class_8/f1-score,fold2/class_9/f1-score,fold2/class_9/precision,fold0/class_4/precision,fold1/class_7/recall,_step,fold0/class_5/recall,fold2/class_7/f1-score,fold0/class_5/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770952477.0797315,,,9343.455997396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 11, 'sha256': '71a1861af4b963592a8a2f19dd115d27ba732d47132631d3b504f62048d3d515', 'size': 559, '_latest_artifact_path': 'wandb-client-artifact://9v9v9gvr0e6nvk54oelwwyve3noqnt4adai7suffrwmwr0c4k5cb4day6heae65fopk5e7obwwa48bxqf03s6dx9kqmvu5gvfsiea3y1m514g02u8aisa10oxx25hq2a:latest/fold0/confusion_matrix.table.json', 'ncols': 12, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_71a1861af4b963592a8a.table.json', 'artifact_path': 'wandb-client-artifact://cgbnqkhau4lttaos4dykcns6erpf2amb0jvrsvkith53wxvue20jnq8th7kcbrp10teqn9ad0flo9r9v4zhmwucj6k5yspncc1nq3xatv4pq4l8p1l3jxb05f1y5lc3h/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996222899302495,,,,,,,,,,,,,,,,,,1770952477.0808241,,,9343.456904024,0.9996978091160916,,,,,,,,,,0.9996600480968989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985815602836879,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770952477.0811148,,,9343.457099472,,,,,,,,,,0.9992902767920511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9865689865689866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770952477.0813594,,,9343.457347384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9975308641975309,,,,,,,0.9920196439533456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,0.9976047904191617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770952477.081522,,,9343.457453945,,,,,,,,,,,,,,,,,,,,,,,0.99581589958159,,,,,,,,,,,0.9940334128878282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.9976133651551312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9952380952380953,,,,,,,,,,,,,,,,,,,,,,,,,1770952477.0816731,,,9343.457615877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9899749373433584,,,,,,,,,,,,,,,,,1770952477.0818145,,,9343.457753099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,0.9949622166246851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953611663353215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770952477.0819528,,,9343.457887506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9960212201591512,,,,,,,,,,,,,,,,,,,,,,0.9947019867549669,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1770952477.0820928,,,9343.458018876,,,,,,,,,,,,0.9882697947214076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9768115942028985,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9909774436090225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770952477.0822246,,,9343.458153423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9939668174962293,,,,,,,,,,,,,,,,,,,,0.9924698795180723,,,,,9,,,
