fold0/class_0/f1-score,fold3/class_0/recall,fold4/class_1/recall,fold4/class_1/precision,fold0/class_1/recall,fold0/class_1/f1-score,fold4/confusion_matrix,fold1/confusion_matrix,fold0/class_0/precision,_runtime,fold4/class_0/recall,fold2/class_0/f1-score,fold3/class_1/f1-score,fold0/confusion_matrix,fold4/class_1/f1-score,fold2/class_1/precision,fold3/class_0/f1-score,fold3/class_1/precision,_timestamp,fold0/class_1/precision,fold4/class_0/f1-score,fold1/class_1/recall,fold3/class_0/precision,fold2/class_1/f1-score,fold2/confusion_matrix,fold2/class_0/precision,fold1/class_0/recall,fold1/class_1/f1-score,_step,cv5/fold_metrics,fold4/class_0/precision,fold3/confusion_matrix,fold0/class_0/recall,fold1/class_0/f1-score,fold1/class_0/precision,fold3/class_1/recall,fold1/class_1/precision,fold2/class_0/recall,fold2/class_1/recall
,,,,,,,,,3484.775199573,,,,"{'path': 'media/table/fold0/confusion_matrix_0_15aaacda8e73bd62a08c.table.json', 'sha256': '15aaacda8e73bd62a08c2e7fa54d780d18a9344f621092b8442e6c7e7b9fc294', 'size': 82, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 3, 'nrows': 2, 'artifact_path': 'wandb-client-artifact://sx2hysnegx87twl3vr05zqs679yt6pgelpa97f8a73slidbpyeszgi5ouxdwpwop7d0m8b1dekhut7m4fcug4mtdhct987gk9clwmt9x32ue0ce2sidt2mw1iuix0d1f/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://dch945yd0r9dl92dor7r4z6o079khagfad43fifcw9rq4op7xv85trca5uy87oqahtljbto8lzvqxwtfexqgyfx1ii8w6u5516c2aqgfouu0oglnsuznzmndec3ixr6h:latest/fold0/confusion_matrix.table.json'}",,,,,1770736377.7855403,,,,,,,,,,0,,,,,,,,,,
0.9971763550426616,,,,,,,,0.9943686111281141,3484.776852329,,,,,,,,,1770736377.7873929,,,,,,,,,,1,,,,1,,,,,,
,,,,0.996814404432133,0.9984046611639037,,,,3484.777334092,,,,,,,,,1770736377.7878904,1,,,,,,,,,2,,,,,,,,,,
,,,,,,,"{'artifact_path': 'wandb-client-artifact://pkchxxu7b2gvtw98g0fe3ns82h87vqj5zz45k3tbmtv1h93h6lzin43yq8t00m045sl5qk018skrrkwnl0eeklbkxyn1ah6ca4y44mci7skq8ecsac1h952ztdt9myi7/fold1/confusion_matrix.table.json', 'sha256': '3ad77e118f2e89c2b5cb9f9d8aa6b019211e95147f4fbd39b233543c8d6eb058', '_type': 'table-file', 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_3ad77e118f2e89c2b5cb.table.json', 'log_mode': 'IMMUTABLE', 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://nvxj17wylyyu526r5afoxu7hqc3n10o52lmgddzr1uvnpu47hx89wa7emc5bcx285hi72ilgzw1mq3ndccm3mlus850x0a6x92m42tbxsw5asyts22ga5ut8gxped2of:latest/fold1/confusion_matrix.table.json', 'nrows': 2}",,3763.168977101,,,,,,,,,1770736656.179521,,,,,,,,,,3,,,,,,,,,,
,,,,,,,,,3763.17020693,,,,,,,,,1770736656.180865,,,,,,,,1,,4,,,,,0.9960147148988351,0.99206106870229,,,,
,,,,,,,,,3763.170399315,,,,,,,,,1770736656.1811917,,,0.9954986149584487,,,,,,0.9977442304355371,5,,,,,,,,1,,
,,,,,,,,,4147.763852161,,,,,,,,,1770737040.7743514,,,,,,"{'path': 'media/table/fold2/confusion_matrix_6_a330554a8efdc93a65d4.table.json', '_type': 'table-file', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://xk44jkn3ytulbobm1timipy3kk4k0wrmjab1v3m6s1209k5cgusee6m9nqakft3igc3pshze2vj2t2l9xyrjd50o2y87df87fw775hv9kg7x6t0ds2w4tqpniqtmua0v/fold2/confusion_matrix.table.json', 'size': 83, 'ncols': 3, 'sha256': 'a330554a8efdc93a65d4354ae3a4129bc3566b02035707c1ee56132f19b0a636', '_latest_artifact_path': 'wandb-client-artifact://0r71b86hrcqaumr9du3eptcx2f9767h7w1654ijm0whgbrsgmojt1x5d7u1z3pjnvlbryeea1fjvxxey52v4ifjh3caz8geeja6ixcou2xvum9sik2vfsxtrimoqr1nm:latest/fold2/confusion_matrix.table.json'}",,,,6,,,,,,,,,,
,,,,,,,,,4147.765119355,,0.9950053623410449,,,,,,,1770737040.7757406,,,,,,,0.9900603695347278,,,7,,,,,,,,,1,
,,,,,,,,,4147.765302,,,,,,1,,,1770737040.7761054,,,,,0.9971684183097368,,,,,8,,,,,,,,,,0.9943528270509978
,,,,,,,,,4427.722785163,,,,,,,,,1770737320.733371,,,,,,,,,,9,,,"{'_latest_artifact_path': 'wandb-client-artifact://o5ims6ughgpcsmgtgh0itsj0cv1xy9pmak28128fjzho2pmswea1q08i1rkn2li06aauiu0is4fgnla2bxehb171z7ypkhnghi720dcqopwwov209odhdzd6gpvsffak:latest/fold3/confusion_matrix.table.json', 'ncols': 3, 'path': 'media/table/fold3/confusion_matrix_9_073289399e796076c2fc.table.json', 'log_mode': 'IMMUTABLE', 'nrows': 2, 'sha256': '073289399e796076c2fca9aa52e793e62ca89dfc6bc2a8e49f30bbf381bc2d0d', 'artifact_path': 'wandb-client-artifact://k12yyp8njs66fxy56z71zw3ms7qo671drjmj1k8kvmap5hbodpxvay8yd338gybzvjobaofczav1yb86ew2vbtq19d4dv4pxijamof3ux94z2ul2prtfk17f4hxafmhw/fold3/confusion_matrix.table.json', 'size': 83, '_type': 'table-file'}",,,,,,,
