fold4/class_7/recall,fold4/class_3/recall,fold0/class_6/recall,fold4/class_7/precision,fold3/class_7/recall,fold4/class_8/f1-score,fold3/class_0/f1-score,fold3/class_4/precision,fold4/class_4/recall,fold4/class_6/recall,fold3/class_1/precision,fold2/class_4/recall,fold2/class_3/precision,fold4/class_5/recall,fold1/class_6/recall,fold0/class_1/precision,fold1/class_8/precision,fold0/class_1/recall,fold4/class_8/precision,fold2/class_8/f1-score,fold0/class_5/precision,fold0/class_6/f1-score,fold2/class_7/precision,fold1/class_2/f1-score,fold4/class_6/f1-score,fold1/class_5/recall,fold3/class_2/recall,fold3/class_3/precision,fold3/class_7/precision,fold4/class_2/precision,fold1/class_4/recall,fold4/class_0/f1-score,fold3/class_0/recall,fold1/class_0/precision,fold1/class_5/precision,fold0/confusion_matrix,fold1/class_1/recall,fold1/class_7/precision,fold1/class_1/precision,fold0/class_3/recall,fold3/class_2/precision,fold1/class_8/recall,fold3/class_6/f1-score,fold1/class_1/f1-score,fold3/class_9/f1-score,fold3/class_3/recall,fold2/class_2/f1-score,fold1/class_3/recall,fold2/class_10/precision,fold3/class_8/precision,fold0/class_1/f1-score,fold0/class_8/f1-score,fold1/class_2/recall,fold2/class_2/recall,fold2/class_6/recall,fold4/class_3/f1-score,fold0/class_2/precision,fold2/class_6/f1-score,fold1/class_10/f1-score,fold0/class_7/f1-score,fold4/confusion_matrix,_runtime,fold1/class_9/precision,fold4/class_0/precision,fold4/class_6/precision,fold0/class_8/recall,fold0/class_8/precision,fold4/class_3/precision,fold4/class_10/recall,fold3/class_7/f1-score,fold4/class_0/recall,fold4/class_7/f1-score,fold0/class_9/precision,fold1/class_9/f1-score,fold2/class_4/f1-score,fold3/class_9/recall,fold1/class_8/f1-score,fold2/class_8/recall,fold4/class_9/recall,fold4/class_4/precision,fold1/class_4/precision,fold2/class_9/precision,fold0/class_4/precision,fold3/class_8/f1-score,fold1/class_10/recall,fold0/class_7/recall,fold0/class_4/recall,fold2/class_1/precision,fold0/class_0/precision,fold2/class_10/recall,fold0/class_2/f1-score,fold0/class_2/recall,fold3/class_8/recall,fold2/class_0/recall,fold4/class_1/f1-score,fold1/class_9/recall,fold2/class_1/recall,fold0/class_7/precision,fold0/class_5/recall,fold4/class_9/precision,fold2/class_4/precision,fold2/class_2/precision,fold1/class_6/f1-score,fold3/class_9/precision,fold1/class_2/precision,fold2/class_3/recall,fold0/class_9/f1-score,fold3/class_5/f1-score,fold3/class_10/recall,fold1/confusion_matrix,fold2/confusion_matrix,fold4/class_2/f1-score,fold3/confusion_matrix,fold4/class_4/f1-score,fold0/class_10/precision,fold4/class_8/recall,fold2/class_9/recall,fold3/class_2/f1-score,fold3/class_5/recall,_timestamp,fold4/class_5/precision,fold4/class_1/precision,fold2/class_5/precision,fold2/class_1/f1-score,fold4/class_2/recall,fold2/class_5/recall,fold1/class_10/precision,fold1/class_7/f1-score,_step,fold3/class_1/f1-score,fold1/class_3/f1-score,fold1/class_6/precision,fold3/class_0/precision,fold3/class_4/recall,fold2/class_7/recall,fold4/class_5/f1-score,fold1/class_3/precision,cv5/fold_metrics,fold4/class_1/recall,fold2/class_8/precision,fold2/class_9/f1-score,fold0/class_3/f1-score,fold0/class_4/f1-score,fold1/class_0/f1-score,fold2/class_0/f1-score,fold0/class_6/precision,fold3/class_5/precision,fold2/class_6/precision,fold1/class_4/f1-score,fold4/class_9/f1-score,fold0/class_9/recall,fold0/class_3/precision,fold3/class_1/recall,fold2/class_0/precision,fold3/class_10/precision,fold2/class_5/f1-score,fold0/class_5/f1-score,fold1/class_5/f1-score,fold4/class_10/f1-score,fold3/class_6/recall,fold2/class_10/f1-score,fold3/class_3/f1-score,fold1/class_0/recall,fold2/class_3/f1-score,fold0/class_0/f1-score,fold3/class_6/precision,fold3/class_4/f1-score,fold3/class_10/f1-score,fold4/class_10/precision,fold0/class_10/recall,fold1/class_7/recall,fold2/class_7/f1-score,fold0/class_0/recall,fold0/class_10/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'size': 602, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://a19xiijdckasbjz460uqufo20s35h2wfvposob9lt2e24ezq4dh4fhov2ojhd25a2xtkntl71spmco0e43uoyktihlkirxlh0xwhypo1ro9h4pziphiomiv27bzi5e91/fold0/confusion_matrix.table.json', 'sha256': '7d3574a07229f5a4aa4030bd230a2c387bcb088174141c98c47aace07c1fa47e', 'ncols': 12, 'nrows': 11, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_7d3574a07229f5a4aa40.table.json', '_latest_artifact_path': 'wandb-client-artifact://nitgaggklpsh7htzh9vs5tydqg892mk0osad8qyx3f8bpmp1eizfbygiepsi3rtxv8wbzn83fq2sfegh28igwwb9juhad1uaop4rz0vlghjamsrqfl2n51rb3ycq7ezn:latest/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,2949.048791812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917494.0932362,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2949.050083587,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9028507240656972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917494.0947392,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090464472940134,,,,,,,,0.9153277931671283,
,,,,,,,,,,,,,,,0.8048552754435108,,0.7843494085532302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7944700460829494,,,,,,,,,,,2949.05024601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917494.0949483,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8021778584392014,,,,,2949.050358443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8110091743119267,0.8200371057513914,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917494.0951085,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8130393096836049,,,,,,,,,,,,,,,,,,,,,,2949.050542379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917494.0952518,,,,,,,,,4,,,,,,,,,,,,,0.8018912529550828,,,,,,,,,,0.7910447761194029,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2949.050646706,,,,,,,,,,,,,,,,,,,,,0.5777351247600768,,,,0.31851851851851853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917494.0953863,,,,,,,,,5,,,,,,,,,,,,,,0.4106412005457026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.5216326530612245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2949.05076972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5466210436270317,,,,,,,,,,,,,,,,,,,,,1770917494.0955267,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5338345864661654,,,,,,,,,,,,,,,,,
,,0.5517241379310345,,,,,,,,,,,,,,,,,,,0.5263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2949.050942423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917494.0956564,,,,,,,,,7,,,,,,,,,,,,,,,,,0.5031446540880503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7884416924664602,,2949.051015558,,,,,,,,,,,,,,,,,,,,,,,,0.7579365079365079,,,,,,,,,,,,0.821505376344086,,,,,,,,,,,,,,,,,,,,,,1770917494.0957842,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7540826128722382,,,,,,,,,,2949.051171969,,,,0.7377819548872181,0.7711198428290766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917494.0959203,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
