fold4/class_0/f1-score,fold1/class_2/precision,fold4/class_3/precision,fold0/class_3/precision,fold1/class_1/f1-score,fold4/class_2/recall,fold4/confusion_matrix,fold1/class_3/recall,fold4/class_1/recall,fold2/class_0/precision,fold3/class_0/f1-score,fold0/class_3/recall,fold4/class_0/recall,fold1/class_2/f1-score,fold2/class_3/recall,fold2/class_3/f1-score,fold1/class_0/recall,fold3/class_0/precision,fold0/class_1/precision,fold0/class_1/f1-score,fold2/class_1/f1-score,cv5/fold_metrics,fold0/confusion_matrix,fold1/class_1/recall,fold2/class_3/precision,_timestamp,fold0/class_1/recall,fold4/class_1/f1-score,fold3/class_2/precision,fold2/class_2/precision,fold0/class_0/recall,fold0/class_3/f1-score,fold3/confusion_matrix,fold3/class_1/recall,fold3/class_1/precision,fold1/class_3/precision,fold1/confusion_matrix,fold0/class_2/precision,fold4/class_3/f1-score,fold2/class_1/precision,fold0/class_0/precision,fold4/class_3/recall,fold0/class_0/f1-score,fold1/class_3/f1-score,fold3/class_2/f1-score,fold2/class_2/recall,fold2/class_2/f1-score,fold4/class_0/precision,fold0/class_2/recall,fold1/class_1/precision,_runtime,fold3/class_0/recall,_step,fold0/class_2/f1-score,fold2/class_0/f1-score,fold2/confusion_matrix,fold1/class_2/recall,fold4/class_1/precision,fold4/class_2/precision,fold1/class_0/precision,fold4/class_2/f1-score,fold2/class_0/recall,fold1/class_0/f1-score,fold3/class_2/recall,fold2/class_1/recall,fold3/class_1/f1-score,fold3/class_3/recall,fold3/class_3/f1-score,fold3/class_3/precision
,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://ugztxr6x9uipo2j11sbeiptyqk9ri3atgtprkk19pdtvotz1s4jl6y3u3kfk3ra57v0pvi1d65t0qz7zotstiakpxe4opzklinzczhp7okfxprc1ebjckb7icej3t29h/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_69cb3996eb9d89ecae41.table.json', '_latest_artifact_path': 'wandb-client-artifact://1uu86447pcal1lv84kdov61wqyqtwh3p90xmh1ck4j9935gmw0i7zyg6qo3ub30k0khnbn5nsd7bef5gberkeyb3w0eu1h9dgqygd21coe7299efhz49ctzeq8ud1sic:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'sha256': '69cb3996eb9d89ecae4153a2f541d8c996781b9521d4de7eae09da2105c50a24', 'size': 152}",,,1770726969.3137698,,,,,,,,,,,,,,,,,,,,,,,,,3220.599563291,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1770726969.3160713,,,,,0.9833024118738405,,,,,,,,,,0.954954954954955,,0.9689213893967094,,,,,,,,3220.60150076,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.9889624724061811,0.966298193583176,,,,,,1770726969.3166032,0.9446494464944649,,,,,,,,,,,,,,,,,,,,,,,,3220.601844284,,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1770726969.3170094,,,,,,,,,,,,0.9601710171017102,,,,,,,,,,,0.9784453107085531,,3220.602187025,,3,0.9692220329358319,,,,,,,,,,,,,,,
,,,0.9902011346054668,,,,,,,,0.9297820823244553,,,,,,,,,,,,,,1770726969.3173358,,,,,,0.9590409590409591,,,,,,,,,,,,,,,,,,,3220.60250073,,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1770727254.9700563,,,,,,,,,,,"{'path': 'media/table/fold1/confusion_matrix_5_c9145632093786f766a7.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://7vphci6f3rq1s5i6sevl3jwvs4vfpepst501uew2a9wp65ufvmy4ebxzcp4by07e0pi1esjequofyyqku0sktlr9tw8edw63lkz1gd9jd6muq8y9oruo48v765azpk8a:latest/fold1/confusion_matrix.table.json', 'sha256': 'c9145632093786f766a7c19cc10c1e0ec461443d382c1a75440addb176dfe88e', '_type': 'table-file', 'ncols': 5, 'artifact_path': 'wandb-client-artifact://wib7xjd7f4uqpxxq52el9jk30culllmne0cv4j6a2xz6pxvjzgze2wm24usmtisuz7w904j0oz6b00civag59pamzx30rhjvlj8cm4phb1n6grswoc4pckq6ej6y7a02/fold1/confusion_matrix.table.json', 'size': 152, 'nrows': 4}",,,,,,,,,,,,,,3506.255508172,,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.9749522394396094,,,,,,,,,1770727254.9722311,,,,,,,,,,,,,,,,,,,,,,,,,3506.257479369,,6,,,,,,,0.977442008938072,,,0.9761955366631243,,,,,,
,,,,0.9690613529103304,,,,,,,,,,,,,,,,,,,0.9428571428571428,,1770727254.9725926,,,,,,,,,,,,,,,,,,,,,,,,0.9967637540453075,3506.257779904,,7,,,,,,,,,,,,,,,,
,0.9428950863213812,,,,,,,,,,,,0.9656579394763686,,,,,,,,,,,,1770727254.9729173,,,,,,,,,,,,,,,,,,,,,,,,,3506.258113329,,8,,,,0.9895470383275261,,,,,,,,,,,,
,,,,,,,0.9352300242130751,,,,,,,,,,,,,,,,,,1770727254.9732337,,,,,,,,,,0.9922928709055877,,,,,,,,0.9629167965098161,,,,,,,3506.258400574,,9,,,,,,,,,,,,,,,,
