cv5/fold_metrics,fold0/confusion_matrix,fold3/class_0/recall,fold4/class_1/recall,fold2/class_0/f1-score,fold3/class_1/recall,fold2/class_0/precision,fold4/class_1/f1-score,_runtime,fold1/class_0/recall,_step,fold0/class_1/f1-score,fold3/class_0/precision,fold3/class_0/f1-score,_timestamp,fold0/class_0/precision,fold2/class_1/precision,fold3/class_1/f1-score,fold3/confusion_matrix,fold2/class_1/recall,fold0/class_0/recall,fold2/confusion_matrix,fold3/class_1/precision,fold1/class_1/recall,fold4/class_0/precision,fold0/class_1/recall,fold0/class_0/f1-score,fold2/class_1/f1-score,fold4/confusion_matrix,fold1/class_1/f1-score,fold4/class_0/recall,fold4/class_1/precision,fold2/class_0/recall,fold1/confusion_matrix,fold4/class_0/f1-score,fold1/class_0/f1-score,fold0/class_1/precision,fold1/class_0/precision,fold1/class_1/precision
,"{'ncols': 3, 'path': 'media/table/fold0/confusion_matrix_0_d9633f47df81a721bf22.table.json', 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://ib3alwjtf6c58vvffzvbwgelg49wn4tg33b2ecine8yjz95681k497j6h2q46l7oxd1u5nlti6xotfb5xnkdflnl5rw9n7ym38fy6ie2hu83vljpvjs0se9hew8uu2ir:latest/fold0/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://q6rtmdgkj3rd63awnjtckqp6bbqkuszcyvpjj4lqdphiknv1fy7qbwoksoj01kmhxnv313588y3kb1byzu9o8kr63ym2tsh7vef6ynhk1koimhkveidt87gr3vwmqmsv/fold0/confusion_matrix.table.json', 'nrows': 2, 'sha256': 'd9633f47df81a721bf2230118ccedc0bd1cc8e0094e61919efd47e54d5a20164', '_type': 'table-file'}",,,,,,,3483.227729993,,0,,,,1770740733.4880476,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3483.229432361,,1,,,,1770740733.489981,0.9880549472426836,,,,,0.9998489045580459,,,,,,0.9939169399454277,,,,,,,,,,,,
,,,,,,,,3483.229669857,,2,0.9957756028023573,,,1770740733.4904096,,,,,,,,,,,0.9916897506925207,,,,,,,,,,,0.9998952623677687,,
,,,,,,,,4044.434249547,,3,,,,1770741294.694932,,,,,,,,,,,,,,,,,,,"{'ncols': 3, 'artifact_path': 'wandb-client-artifact://4ftalix7p7j6na6xe7ete2tv29hk0srpe2qt7nkzrs826gwkqlc6bcvn5dwbzwxl9nwl9nwaxxz5zjgqz5c9atr92h9kpkapxw3f8vff1df48odezymi7flo4uhjll7x/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://by851fkhv95uimhrw77die7x0mbif7mopleh3hfax3g9q1xoe93ihud5ygdkz3h0g1xk1e658jfzwg1lewfreky9d8m36q1shhx91298znqwr084pw00x70sb00yap2s:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_3_470c3b1d1ed7fea79e49.table.json', 'sha256': '470c3b1d1ed7fea79e497b6a0c00bc41028743761f0986aa0f01fc002afbafea', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'size': 83, '_type': 'table-file'}",,,,,
,,,,,,,,4044.435303687,1,4,,,,1770741294.696066,,,,,,,,,,,,,,,,,,,,,0.9947145612584856,,0.9894847004883883,
,,,,,,,,4044.43554503,,5,,,,1770741294.6962998,,,,,,,,,0.9926939058171745,,,,,,0.9963335592277885,,,,,,,,,1
,,,,,,,,4414.065379596,,6,,,,1770741664.3258743,,,,,,,"{'path': 'media/table/fold2/confusion_matrix_6_f841e4183f7f04ca106d.table.json', 'sha256': 'f841e4183f7f04ca106d07d7626e1cac5e8d79fa6657fe8f0ba14c0888a8a477', '_latest_artifact_path': 'wandb-client-artifact://uv0xfzmy78iyy1i1n47wbts85ib0lw7yp57ssyvdlgzgwo34vrnxv2b3rijs780oxhnzv0dr2dt3fbhdmrr05wqwuysex96rp1nzydjsx6u1gh51ww45nvc2mcewbjak:latest/fold2/confusion_matrix.table.json', 'nrows': 2, 'artifact_path': 'wandb-client-artifact://94biolix73c2g93vmk69tkdz9qz7re7s0yftiy9zkjsfb3phg77jm8d9r6lziffvpumetgp0keyzkupnar7nq1gz2fhrirrha4goql2ozlzeh3jayxob7b5ilnzno7d7/fold2/confusion_matrix.table.json', 'size': 83, 'log_mode': 'IMMUTABLE', 'ncols': 3, '_type': 'table-file'}",,,,,,,,,,,,,,,,,
,,,,0.991704147926037,,0.9835448057097541,,4414.066507715,,7,,,,1770741664.3271968,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,4414.06670004,,8,,,,1770741664.327442,,1,,,0.9884977827050998,,,,,,,,0.9942156247822148,,,,,,,,,,,
,,,,,,,,4915.29566226,,9,,,,1770742165.5561905,,,,"{'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_9_574f7fe57515e316ae94.table.json', '_latest_artifact_path': 'wandb-client-artifact://r2butzxgd1b0ua9x60my1x7u9j3z42y5w2ot8219m6m3mz4fqh59yn4okmwswoiqbqruvpwtt7161rddcpohqrnkppf4ut8eqr33kasxc7rol17fr3bge5k60nktzi78:latest/fold3/confusion_matrix.table.json', 'nrows': 2, 'ncols': 3, 'artifact_path': 'wandb-client-artifact://o3834uxt5uh8scdese1cz8kaa5s16t9kxuj0rxpus1b6855np5zxw87horv10rry4hxg9l60n68hl89w57cgi54i65a6prlnj8vho1xjp2veturln1xfokyu3ynlsboo/fold3/confusion_matrix.table.json', 'sha256': '574f7fe57515e316ae942ed91a547ff9cc92e0944530a679e1cb4b822890f124', 'size': 83, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,
,,1,,,,,,4915.297016752,,10,,0.9880009957679861,0.9939642866087305,1770742165.5577114,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.9916504988913526,,,4915.297174768,,11,,,,1770742165.5579576,,,0.9958077478386418,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,5497.05088407,,12,,,,1770742747.311589,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://esxmlukpgmn07m6l81g12nuhotq7rfhso6ipupzopgrq1b7kt0arlna810dyl75ts1vmi06bm1pi8wmop86hu382uhrazvb7nd35xl69yuyiuaw3rms2bnd27ykp8rzk:latest/fold4/confusion_matrix.table.json', 'ncols': 3, 'nrows': 2, 'sha256': '3aee3cd67a6fb938bf928ad845c8f894e16d663ca36a77c1c881a43407a1f34e', 'size': 83, '_type': 'table-file', 'path': 'media/table/fold4/confusion_matrix_12_3aee3cd67a6fb938bf92.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://5qcmtjajk9h54dzfzpzxmjmvnj16wy3jv3lds2n0trilc6s9833jocfhv94j0ld8s10nhxbwlftcwlwpoyr5kx3af38fbaudhafz3z1wyu4vavsg2b20g7x06i3l6ox3/fold4/confusion_matrix.table.json'}",,,,,,,,,,
,,,,,,,,5497.051784292,,13,,,,1770742747.3125703,,,,,,,,,,0.9905161225915943,,,,,,1,,,,0.9952354681779427,,,,
,,,0.9934174057649667,,,,0.9966978344746081,5497.05197289,,14,,,,1770742747.3128026,,,,,,,,,,,,,,,,,1,,,,,,,
