fold2/class_1/precision,fold4/class_0/recall,fold0/class_0/recall,fold3/class_3/f1-score,fold4/class_2/precision,fold4/class_2/recall,fold2/class_2/f1-score,fold3/class_0/f1-score,fold2/class_0/precision,fold1/class_2/precision,fold0/class_1/precision,fold2/class_2/recall,_runtime,cv5/fold_metrics,fold0/class_2/recall,fold1/class_3/precision,fold4/class_3/recall,fold2/class_0/recall,fold0/class_3/f1-score,fold2/class_3/precision,fold3/class_3/precision,fold3/confusion_matrix,fold0/confusion_matrix,fold0/class_3/recall,fold1/class_1/precision,fold4/class_1/recall,fold2/class_3/f1-score,fold0/class_1/recall,fold1/class_1/recall,fold3/class_1/precision,fold1/confusion_matrix,fold4/class_3/precision,fold2/confusion_matrix,fold1/class_2/recall,fold2/class_3/recall,fold0/class_0/f1-score,fold1/class_0/recall,fold2/class_1/f1-score,fold3/class_1/f1-score,fold2/class_0/f1-score,fold4/class_0/precision,fold0/class_0/precision,fold3/class_0/precision,fold3/class_2/recall,fold3/class_0/recall,fold3/class_2/f1-score,fold4/class_1/f1-score,fold0/class_1/f1-score,fold0/class_3/precision,fold3/class_3/recall,fold3/class_2/precision,fold4/class_0/f1-score,fold2/class_1/recall,fold3/class_1/recall,_timestamp,fold1/class_0/f1-score,fold0/class_2/f1-score,fold1/class_3/recall,fold4/confusion_matrix,fold1/class_1/f1-score,fold4/class_3/f1-score,fold2/class_2/precision,fold1/class_3/f1-score,fold1/class_0/precision,fold4/class_1/precision,fold1/class_2/f1-score,fold0/class_2/precision,_step,fold4/class_2/f1-score
,,,,,,,,,,,,2609.066066672,,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_3989f520ae2f05f4d42f.table.json', 'sha256': '3989f520ae2f05f4d42ff84aea59c57663baefddcf4cb70c05b63a52892ddc4f', 'size': 147, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://j3x794yg3stef6omiawyhtilx2d3urvw32zel4ouuefrzrifu782qnnp1htvxnah6fqi5owixd2tvea6v0ey5yqyn62hs12eqexzhy7fvf473i9pqn4lea3b4amg25vk/fold0/confusion_matrix.table.json', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://anx3jjt1tb1a9duj80sth2g6wepo9qr0vog3mra1e0ywe9djnxfqjddpxdlme8rqagq4d7ab418hf4fn5pr4l25t57sx5m3vwa8okosshrfd369hpfuxxuqgheb9et93:latest/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770720998.5484679,,,,,,,,,,,,,0,
,,0.9974489795918368,,,,,,,,,,2609.06727597,,,,,,,,,,,,,,,,,,,,,,,0.9984910040626813,,,,,,0.9995352079944225,,,,,,,,,,,,,1770720998.5502977,,,,,,,,,,,,,1,
,,,,,,,,,,0.9941952506596307,,2609.067556553,,,,,,,,,,,,,,,0.9931470743278862,,,,,,,,,,,,,,,,,,,,0.9936708860759493,,,,,,,1770720998.5506508,,,,,,,,,,,,,2,
,,,,,,,,,,,,2609.068007819,,0.9880761293281357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770720998.5509772,,0.993887671548841,,,,,,,,,,0.9997679814385151,3,
,,,,,,,,,,,,2609.068337246,,,,,,0.9818702290076335,,,,,0.9966101694915255,,,,,,,,,,,,,,,,,,,,,,,,,0.9675599435825106,,,,,,1770720998.5513742,,,,,,,,,,,,,4,
,,,,,,,,,,,,2699.396408635,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://yd1b9n0z7q9svlnxx5bzzh7605l8w3o7ej1i9p41ayzbb3l8sfhl2cnhc3vdq56f9udx7uoy2jh21ywtqr7hegvbr0pa4fftbunr5ucy5ql4djr80e5cjjw7nfj0rqnk/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_0398615e06931b4f2a59.table.json', 'ncols': 5, 'nrows': 4, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'sha256': '0398615e06931b4f2a593a9e59ec583ae1ed96cef7a47dc8e7111fd437cff821', 'size': 161, '_latest_artifact_path': 'wandb-client-artifact://ct1nj1esueoj8s0znoddh2nfxzo5jcxgcpu6wo1yr5n6ikgn1qhp5b7stqoa3usessm45vt0yy7bbzklav8n5lpz6rfk9oxaquhni8pshh1fv89kt7vqfd0tq8rnmdbx:latest/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,1770721088.879339,,,,,,,,,,,,,5,
,,,,,,,,,,,,2699.398186704,,,,,,,,,,,,,,,,,,,,,,,,0.7601358522606665,,,,,,,,,,,,,,,,,,1770721088.8810043,0.8564936618033964,,,,,,,,0.9808271706381814,,,,6,
,,,,,,,,,,,,2699.398479368,,,,,,,,,,,,0.5869565217391305,,,,0.7989795918367347,,,,,,,,,,,,,,,,,,,,,,,,,,1770721088.881481,,,,,0.6767502160760588,,,,,,,,7,
,,,,,,,,,0.8330701556508008,,,2699.398783185,,,,,,,,,,,,,,,,,,,,,0.8578397212543554,,,,,,,,,,,,,,,,,,,,,1770721088.8818593,,,,,,,,,,,0.8452735179674983,,8,
,,,,,,,,,,,,2699.399150153,,,0.43763326226012794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721088.8821695,,,0.49697336561743344,,,,,0.46541950113378683,,,,,9,
