fold3/class_0/recall,_step,fold4/class_0/f1-score,fold0/confusion_matrix,fold1/confusion_matrix,fold1/class_1/f1-score,fold3/class_1/f1-score,fold2/confusion_matrix,fold2/class_1/precision,fold0/class_0/recall,fold4/class_1/f1-score,fold3/class_0/precision,fold3/class_0/f1-score,fold1/class_1/precision,fold1/class_0/recall,_timestamp,fold0/class_0/precision,cv5/fold_metrics,fold0/class_1/f1-score,fold2/class_1/f1-score,fold2/class_0/precision,fold1/class_0/f1-score,fold3/confusion_matrix,fold4/class_1/precision,fold3/class_1/recall,fold2/class_1/recall,fold4/class_0/recall,_runtime,fold2/class_0/f1-score,fold1/class_0/precision,fold1/class_1/recall,fold2/class_0/recall,fold4/confusion_matrix,fold0/class_1/recall,fold4/class_0/precision,fold3/class_1/precision,fold4/class_1/recall,fold0/class_0/f1-score,fold0/class_1/precision
,0,,"{'path': 'media/table/fold0/confusion_matrix_0_83231ad1948d221085ff.table.json', 'artifact_path': 'wandb-client-artifact://wurppq6zdfw3qqygomglhgh03fjtgcvezy0gsulvku3khrhd3wmevg61y2puw9dxrd9icvi7f8kr0kp2hybo54jegz7593fljzlb5gebhsiv7l4qotz4omxt0tpv02gx/fold0/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'sha256': '83231ad1948d221085ff626214d1a04e663674906e5a1462d066b5ea1feb987b', '_type': 'table-file', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://e4b7bpc2ppp9vrcep589z7uujjrxd55y5yv37j5ilt4zlwpm696u5kpku2s9euvsav42r6so49h0zky2sqez0in5r5vk4b981ul26vfj8ryjuilyttxyomyjd1slv89c:latest/fold0/confusion_matrix.table.json', 'size': 83, 'nrows': 2}",,,,,,,,,,,,1770736043.503922,,,,,,,,,,,,3607.480442151,,,,,,,,,,,
,1,,,,,,,,0.9994459833795014,,,,,,1770736043.5054896,0.9936352509179927,,,,,,,,,,,3607.481760762,,,,,,,,,,0.9965321466932637,
,2,,,,,,,,,,,,,,1770736043.505918,,,0.9980404057920749,,,,,,,,,3607.482137907,,,,,,0.996398891966759,,,,,0.9996873371547681
,3,,,"{'artifact_path': 'wandb-client-artifact://ta3xatdp6zehikkk44efgc7x0himowem6xh39jxjrzsxs59qay3hd0kk6bidm6qawv5mz2c3njnrepovv86sext8x902h0l4w8e6b1pk8rfru5tibyw4t369ljozm44m/fold1/confusion_matrix.table.json', 'size': 82, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://rg11z999ynbujjh5bkoa9648itdg6xli313ors3fyghl3xiwlne4iuf35iwla9zbqa2e3kkngu9zcjoqwzlmiqlueoqrudsi0acekiqpl9syquoplkmkpemv82jlaake:latest/fold1/confusion_matrix.table.json', 'nrows': 2, 'sha256': '235d746b59809889701b265da1d25421646edcfc71be320b5691c255dfe69d23', 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_235d746b59809889701b.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,1770736371.9293113,,,,,,,,,,,,3935.905513868,,,,,,,,,,,
,4,,,,,,,,,,,,,1,1770736371.9304185,,,,,,0.9972069611123047,,,,,,3935.906559341,,0.9944294809010774,,,,,,,,,
,5,,,,0.99842202916645,,,,,,,,1,,1770736371.9307017,,,,,,,,,,,,3935.906841176,,,0.9968490304709141,,,,,,,,
,6,,,,,,"{'_type': 'table-file', 'log_mode': 'IMMUTABLE', 'sha256': 'f758826395d709d0ac1c1990a59cd2f3e30d37cdfcf27e1c76f0a3d0413ff53e', 'nrows': 2, 'size': 83, 'ncols': 3, 'artifact_path': 'wandb-client-artifact://wmasvjy686gf1zbyvnuxxemolwadagwlgajkvbsqk5etl7e99g5z0utupq61lj92k96kv5a505y2zeob7h991njlqdyxkci8z2sl245h344221rpvdv26jr97y9npyap/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_f758826395d709d0ac1c.table.json', '_latest_artifact_path': 'wandb-client-artifact://ih8e1i0raw5kicu8pyuhexnk38sngkj7nno8p2zzt5uauc4nqdd5ent05dwxifzvt4q38obuj1wt84hij0cant8fs75l09d0t5i7rlc9ljhi4iczalovdgz0akziwie8:latest/fold2/confusion_matrix.table.json'}",,,,,,,,1770736639.4361901,,,,,,,,,,,,4203.412544778,,,,,,,,,,,
,7,,,,,,,,,,,,,,1770736639.4374905,,,,,0.9926002935420744,,,,,,,4203.413790884,0.9961335460905855,,,0.9996920423749692,,,,,,,
,8,,,,,,,0.9998260748573814,,,,,,,1770736639.4379125,,,,0.9978129556342429,,,,,,0.9958079268292683,,4203.414165114,,,,,,,,,,,
,9,,,,,,,,,,,,,,1770737046.6227376,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://71btl6vowgyoyh0pcbnh4r1xvmxhov048d602c55j3xdt79uzitf8jdiewe6stn2qs71pyoh9z778jbzh8xdwlgznflmrrzheo1t39bh70h43epn29yzlfkgwrtq8qu3:latest/fold3/confusion_matrix.table.json', 'nrows': 2, 'sha256': '7a6eee25353de59b20ebb6ec2358a9cd6b72b287849a29859f3a049abf803a29', '_type': 'table-file', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://j0h5zre4gv322nmmz9sufxd2bfmrlbzmb80hhwau1iba77plz674r7w16wmo1krvt08fzb7hv8nabrrfnjymg5pho1olq4ouc5ipl97tfii802jx4ywsnhqfiw0938lf/fold3/confusion_matrix.table.json', 'size': 82, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_9_7a6eee25353de59b20eb.table.json'}",,,,,4610.599048826,,,,,,,,,,,
1,10,,,,,,,,,,0.9957681692732291,0.9978795980455425,,,1770737046.6239903,,,,,,,,,,,,4610.600215342,,,,,,,,,,,
,11,,,,,0.9988033091104598,,,,,,,,,1770737046.6243124,,,,,,,,,0.9976094789356984,,,4610.600456825,,,,,,,,1,,,
,12,,,,,,,,,,,,,,1770737525.852049,,,,,,,,,,,,5089.82826258,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://wljrko765avekg5c1vls2fbm8jg3qtzjos3nm7k0cwj7b5t5fexvtmi1owsza9qlk03odawgqshowcbbhzl124wjj72nst4qrb7jghd4974b9no5tglxx0lyjtfyhv0b:latest/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_12_1f85b8c5cfed79149b5a.table.json', 'ncols': 3, '_type': 'table-file', 'nrows': 2, 'artifact_path': 'wandb-client-artifact://482eiy08ydzzcv05c3znjdwfg1yb2holmohu46vg6546jkescegor5na2d693d6tzv2dasd4dpfjcgcmemh0wtkp3bf6j5325fht7siyc4z2vja3bz97vx9iwadxooon/fold4/confusion_matrix.table.json', 'sha256': '1f85b8c5cfed79149b5a03a6847f830498f53ae8acbf3da894971ef602ecde21', 'size': 82}",,,,,,
,13,0.9977569519127362,,,,,,,,,,,,,1770737525.853106,,,,,,,,,,,1,5089.829269757,,,,,,,0.9955239438346924,,,,
,14,,,,,,,,,0.9987338478883011,,,,,1770737525.8533406,,,,,,,,1,,,,5089.829398655,,,,,,,,,0.9974708980044346,,
,15,,,,,,,,,,,,,,1770737526.1278014,,"{'size': 773, '_latest_artifact_path': 'wandb-client-artifact://bvybixrvxbr881h2m3l7oj2mdg92dchoifew4ybgynlt3fk08c5d9j1w30xqc93pqiaa6uow89m1q4po7hygrqru9muhz8kn5569nnxvfxvy8ldao5s727zamer802rg:latest/cv5/fold_metrics.table.json', 'ncols': 9, 'nrows': 5, 'sha256': '7821fa6d1ce4414a7196dd536a32f1baab530051908edaecbf4913175375723f', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://63kprgt4d673gzbntwclxxdvwn1ir30qe95rbm964ocf6go2kh8a64b1trrycitz78xt08pu8txk5ytfz6hc7b2pmsynig4bot1gkvg5rwltiidz87fxudft8szi81ez/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_15_7821fa6d1ce4414a7196.table.json', '_type': 'table-file'}",,,,,,,,,,5090.104104267,,,,,,,,,,,
