fold0/class_0/f1-score,_runtime,fold2/confusion_matrix,fold1/class_0/recall,fold1/confusion_matrix,fold1/class_0/precision,fold0/confusion_matrix,fold1/class_1/recall,fold3/class_0/recall,fold3/class_0/precision,cv5/fold_metrics,fold2/class_0/recall,fold0/class_1/recall,_step,fold4/class_1/f1-score,fold0/class_1/f1-score,fold3/class_1/f1-score,fold4/class_1/precision,fold2/class_0/precision,fold3/class_1/precision,_timestamp,fold2/class_1/precision,fold4/class_0/precision,fold4/class_0/f1-score,fold4/class_0/recall,fold0/class_0/recall,fold3/confusion_matrix,fold3/class_0/f1-score,fold1/class_1/precision,fold2/class_0/f1-score,fold0/class_1/precision,fold1/class_0/f1-score,fold4/confusion_matrix,fold2/class_1/f1-score,fold1/class_1/f1-score,fold0/class_0/precision,fold3/class_1/recall,fold4/class_1/recall,fold2/class_1/recall
,225.339186251,,,,,"{'artifact_path': 'wandb-client-artifact://szzwsgoniaqbuhc7s0yfmpdd1y01xyifnngkglnfi5ewffxaadn9r5u3c0ch4859eiqjh3edmn5fl2pe770q9r8g41dgdf01gagey835c5ukqw4nt6vau3x0v1jbxnlz/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, 'sha256': '82bfc655ec6d95a3a362dce821c1a8678c74f3ce3cfa8814e76aca09b352cb94', 'ncols': 3, 'path': 'media/table/fold0/confusion_matrix_0_82bfc655ec6d95a3a362.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://slgdvpsda4us09og6obt4d3kz37yqlycahzuu9ruhsfs8g296gf1zi5nw3hlf6k0gzpjg28vtoctwvxtpbzsy9pje7sz9aliam97s238hxdb543vbequau2e9dczu9j3:latest/fold0/confusion_matrix.table.json', 'size': 84}",,,,,,,0,,,,,,,1770736310.1005816,,,,,,,,,,,,,,,,,,
0.9934543605821171,225.340130463,,,,,,,,,,,,1,,,,,,,1770736310.101827,,,,,0.9993181333901555,,,,,,,,,,0.987659000926628,,,
,225.340274299,,,,,,,,,,,0.9898545706371191,2,,0.9946244976775742,,,,,1770736310.1020856,,,,,,,,,,0.9994406181169807,,,,,,,,
,512.219146039,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://g049d91hmssxs790hg23nn7502rlgljgbh4a2mndh69c2poschdoyoaor8zhd9i27g9k6dfou6qeopkhzbb4jr7hng23odzg54qu472dt96losq9955hxuo1f5wfuxi0/fold1/confusion_matrix.table.json', 'sha256': 'e2abec598938928e468f65aee84c399d8b6e31c04addbcc497fa25ba93853bd7', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_e2abec598938928e468f.table.json', '_latest_artifact_path': 'wandb-client-artifact://jsh67xsvcfbtvyvuzm839ypsehzgsonu81etefd8ffs9bduotmj5ozors0q7sejq6h7trfgfdtxoyf5xuek265xxzv4ak30es88a4dvyhfoedgukn33kd3amuu0fl2l2:latest/fold1/confusion_matrix.table.json', 'ncols': 3, '_type': 'table-file', 'size': 83}",,,,,,,,,3,,,,,,,1770736596.9808028,,,,,,,,,,,,,,,,,,
,512.220003247,,1,,0.9864217252396166,,,,,,,,4,,,,,,,1770736596.9817064,,,,,,,,,,,0.9931644551668677,,,,,,,
,512.220247964,,,,,,0.9888157894736842,,,,,,5,,,,,,,1770736596.9820561,,,,,,,,1,,,,,,0.9943764472378432,,,,
,712.478338403,"{'ncols': 3, 'artifact_path': 'wandb-client-artifact://57htmbyd6g28vlkppfp81oaz8ecq0plicenoi9e3llr8yfe7xs2u4ijw9uld7j4lnr04rq6xgpgvkquajacoeubzemdfzxxbxv8pxt72iliwmqmxpvga2d5o80arz2dt/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_be10ac155b251fa57413.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://4mzpl8gkvgrpo2q8a4ubt5t8hk2hps5up7pzwrq12gj7tck2g43ytwtwqy60egqa7zb1x7x1f0mgqwedihmhj6f8kh7xujtoavn586b44pctdrihh1rt28y579y7uil4:latest/fold2/confusion_matrix.table.json', 'nrows': 2, 'sha256': 'be10ac155b251fa57413bb59f679f24b92ea8de23b8f66560f6ef25b66eb80af', 'log_mode': 'IMMUTABLE', 'size': 83}",,,,,,,,,,,6,,,,,,,1770736797.2400799,,,,,,,,,,,,,,,,,,
,712.479233416,,,,,,,,,,1,,7,,,,,0.9816248796617973,,1770736797.2410278,,,,,,,,,0.9907272458441586,,,,,,,,,
,712.479504787,,,,,,,,,,,,8,,,,,,,1770736797.2413018,1,,,,,,,,,,,,0.9923370978721918,,,,,0.9847907427937915
,977.808235753,,,,,,,,,,,,9,,,,,,,1770737062.5698123,,,,,,"{'ncols': 3, 'artifact_path': 'wandb-client-artifact://gpynfnmt4jvk5cfm1o5gitfw85yssu2xbhviis52z0ebdxbsbv4d6j3lxzo7do872hpsn1y4t9f5yt2q3dqujir8uawlyla4k7ay1vo8167fyk9jagqxa3rg7vecqkoy/fold3/confusion_matrix.table.json', 'sha256': '81476f9be3c60f779a2bdeada097e500e3a11df20a5898dbd9be42751da665bc', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://9pgqj3srvsstoind740op2ncsu2uvt513iyzy5qmh9ye4i4xlbnyk6ra0srsnvdbe8gf9cisuhkvhm8amsun8986oakdessmyx1tk5bnmxgtabv7k350gzvv1zgscc73:latest/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_9_81476f9be3c60f779a2b.table.json', 'size': 83, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,,,,,,
