fold1/class_0/precision,fold1/class_8/precision,fold3/class_8/f1-score,fold4/class_8/precision,fold1/class_1/recall,fold1/class_3/precision,fold3/class_4/precision,fold4/class_5/recall,fold2/class_4/precision,fold2/class_3/precision,fold3/class_5/precision,_runtime,fold1/class_4/precision,fold3/confusion_matrix,fold0/class_6/recall,fold3/class_1/f1-score,fold4/class_2/recall,fold0/class_10/recall,fold4/class_5/f1-score,cv5/fold_metrics,fold0/class_7/recall,fold2/class_5/recall,fold2/confusion_matrix,fold1/class_10/recall,fold2/class_9/precision,fold0/class_10/precision,fold2/class_6/precision,fold0/class_5/recall,fold1/class_2/f1-score,fold0/class_1/f1-score,fold0/class_2/recall,fold1/class_4/f1-score,fold3/class_10/f1-score,fold4/class_0/precision,fold3/class_6/recall,fold1/class_10/f1-score,fold3/class_10/precision,fold0/class_4/precision,fold2/class_2/recall,fold0/class_3/f1-score,fold4/class_9/precision,fold1/class_9/precision,fold4/class_0/f1-score,fold2/class_6/recall,fold0/class_8/precision,fold0/class_3/precision,fold1/class_4/recall,fold3/class_7/recall,fold4/class_7/f1-score,fold1/class_5/precision,fold2/class_8/f1-score,fold3/class_6/precision,fold4/class_10/precision,fold4/class_8/f1-score,fold3/class_1/recall,fold1/class_9/f1-score,fold4/class_9/recall,fold2/class_0/f1-score,fold1/class_8/recall,fold0/class_6/f1-score,fold3/class_4/f1-score,fold0/class_7/f1-score,fold4/class_6/f1-score,fold4/confusion_matrix,fold3/class_7/precision,fold2/class_4/recall,fold2/class_7/f1-score,fold3/class_4/recall,fold0/class_8/f1-score,fold3/class_9/precision,fold4/class_10/f1-score,fold1/class_3/recall,fold0/class_2/f1-score,fold3/class_0/precision,fold0/class_8/recall,fold4/class_10/recall,fold1/class_7/f1-score,fold3/class_0/f1-score,fold1/confusion_matrix,fold1/class_5/f1-score,fold4/class_1/precision,fold0/class_10/f1-score,fold3/class_3/f1-score,fold1/class_9/recall,fold3/class_9/recall,fold2/class_4/f1-score,fold4/class_1/f1-score,fold4/class_6/precision,fold0/class_5/f1-score,fold0/confusion_matrix,fold1/class_7/recall,fold3/class_2/recall,fold0/class_1/precision,fold1/class_6/recall,fold2/class_10/recall,fold2/class_2/precision,fold0/class_2/precision,fold4/class_5/precision,fold3/class_8/recall,fold2/class_3/recall,fold2/class_2/f1-score,fold3/class_3/precision,fold3/class_0/recall,fold1/class_6/precision,fold0/class_4/f1-score,fold3/class_3/recall,fold2/class_9/f1-score,fold4/class_6/recall,fold0/class_3/recall,fold2/class_3/f1-score,fold3/class_7/f1-score,fold2/class_9/recall,fold0/class_7/precision,fold3/class_2/precision,fold0/class_9/precision,fold4/class_2/precision,_step,fold3/class_2/f1-score,fold0/class_6/precision,fold2/class_5/precision,fold1/class_3/f1-score,fold1/class_5/recall,fold2/class_8/precision,fold3/class_6/f1-score,fold2/class_0/precision,fold0/class_9/recall,fold2/class_1/precision,fold4/class_4/f1-score,fold4/class_3/f1-score,fold1/class_0/recall,fold4/class_9/f1-score,fold4/class_3/recall,fold2/class_0/recall,fold4/class_7/precision,fold0/class_0/precision,fold4/class_3/precision,fold2/class_1/recall,fold1/class_6/f1-score,fold3/class_9/f1-score,fold2/class_7/recall,_timestamp,fold2/class_1/f1-score,fold1/class_10/precision,fold0/class_0/f1-score,fold4/class_0/recall,fold1/class_1/precision,fold3/class_10/recall,fold2/class_6/f1-score,fold1/class_2/recall,fold3/class_8/precision,fold4/class_4/recall,fold1/class_1/f1-score,fold1/class_0/f1-score,fold4/class_1/recall,fold4/class_4/precision,fold0/class_9/f1-score,fold1/class_7/precision,fold2/class_10/precision,fold2/class_8/recall,fold3/class_1/precision,fold1/class_8/f1-score,fold4/class_7/recall,fold0/class_5/precision,fold2/class_7/precision,fold2/class_10/f1-score,fold4/class_8/recall,fold3/class_5/f1-score,fold4/class_2/f1-score,fold0/class_0/recall,fold0/class_1/recall,fold2/class_5/f1-score,fold0/class_4/recall,fold1/class_2/precision,fold3/class_5/recall
,,,,,,,,,,,5937.988941964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 12, 'path': 'media/table/fold0/confusion_matrix_0_8526658a166588d0b03d.table.json', 'log_mode': 'IMMUTABLE', 'nrows': 11, 'artifact_path': 'wandb-client-artifact://wl5ojnxmr82kkfofca0a4ar5ijmy1plt0s8ijs1rt9o5za9a11r32sjot7mxlnmyluxlpkqxpwced66tfomkgh0786i3sszvt260hdb1b87vbg6zwckwkh0284j074y8/fold0/confusion_matrix.table.json', 'sha256': '8526658a166588d0b03dc417c34d0e19df27854a3e18aa05bfb2ab3386aabfed', 'size': 572, '_latest_artifact_path': 'wandb-client-artifact://m5utpf904sk2za7wipcmra4ft7bm83bed0bzkgitad5685bw6t9zjutk2uggc2dqbcb64lht43leewuh0tqh5netujw5l7ae7twcj2dyo4an74rhyrn7aa21z5opg7o8:latest/fold0/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1770742515.389625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5937.990320616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.9909984385046385,,,,,,1770742515.3916793,,,0.9935994842749919,,,,,,,,,,,,,,,,,,,,,,,,,0.9962142197599261,,,,,
,,,,,,,,,,,5937.990812322,,,,,,,,,,,,,,,,,,0.6838235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808695652173913,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1770742515.3922005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5923566878980892,,,,
,,,,,,,,,,,5937.991272849,,,,,,,,,,,,,,,,,,,0.6298701298701299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,0.708029197080292,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1770742515.3926375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5937.991653727,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6640625,,,,,,0.794392523364486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5704697986577181,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1770742515.3930733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5937.992015832,,,,,,,,,,,,,,,,,,,,,,,,,,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7368421052631579,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1770742515.3934538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674074074074074,,
,,,,,,,,,,,5937.992373393,,,,,,,,,,,,,,,,0.688622754491018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7443365695792881,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1770742515.393814,,,,,,,,,,,,,,,,,,,,,,0.8098591549295775,,,,,,,,,,,
,,,,,,,,,,,5937.992730106,,,0.8275862068965517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8362369337979094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0.8450704225352113,,,,,,,,,,,,,,,,,,,,,,1770742515.3941567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5937.993063577,,,,,,,,,0.6597222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.753968253968254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8796296296296297,,,,8,,,,,,,,,,,,,,,,,,,,,,,,1770742515.3945355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5937.993370412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9304347826086956,,,,,,,,,,,,,,,,,,,,,,,,0.8014981273408239,,,,,,0.7039473684210527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1770742515.3948424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
