cv5/fold_metrics,fold0/class_0/precision,fold2/class_0/f1-score,fold3/class_1/recall,fold1/confusion_matrix,fold0/class_0/recall,fold4/class_0/f1-score,fold1/class_1/recall,fold2/class_0/recall,fold3/class_0/f1-score,fold1/class_1/precision,fold4/class_1/precision,fold0/class_1/f1-score,fold2/class_1/precision,fold1/class_1/f1-score,fold1/class_0/f1-score,fold2/confusion_matrix,fold0/confusion_matrix,fold4/confusion_matrix,fold3/confusion_matrix,_timestamp,fold3/class_0/recall,fold4/class_0/recall,_runtime,fold0/class_1/recall,fold1/class_0/precision,fold0/class_0/f1-score,fold3/class_0/precision,fold2/class_1/recall,fold4/class_1/recall,fold4/class_1/f1-score,fold4/class_0/precision,fold3/class_1/f1-score,fold2/class_1/f1-score,fold3/class_1/precision,_step,fold0/class_1/precision,fold2/class_0/precision,fold1/class_0/recall
,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'sha256': '855d0592db2f719397761397489701d20bc97f0cba3dc74b7f07f02988211ccb', '_latest_artifact_path': 'wandb-client-artifact://yizi929ag4sni0t9y3tkaunuwuyuqhutsl938wm7d9mp8s2ugbo4dazwcoq2unk48wgr3ldvnk7rdjf46pffb85gxmmca786pvg6m8fy1ijyge8qq1e513t3tudnvo2z:latest/fold0/confusion_matrix.table.json', 'size': 83, 'nrows': 2, '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_855d0592db2f71939776.table.json', 'artifact_path': 'wandb-client-artifact://wu6xepclgac43wasri0xoek3kn707i8uv1a94x5e0m42fs1rw7k648uo229v0uocmm460ps7v8ilvcl4x1tdkoon7vcn4k1e1zy6l7j9w3dqeoev4rkzo3kbnv4842f1/fold0/confusion_matrix.table.json', 'ncols': 3}",,,1770751011.0395854,,,2070.994793325,,,,,,,,,,,,0,,,
,0.9839729611862189,,,,1,,,,,,,,,,,,,,,1770751011.0407214,,,2070.995754207,,,0.9919217453426389,,,,,,,,,1,,,
,,,,,,,,,,,,0.9923062160889059,,,,,,,,1770751011.0410962,,,2070.995963355,0.9847299168975069,,,,,,,,,,,2,1,,
,,,,"{'_latest_artifact_path': 'wandb-client-artifact://3kpfgzogutqv6lbd28tkwffv6u0e1w4862po93ue7h0gy02gn398ms1jwb913mdhte3f0lg820hp878cbempc15mrl576nh66v0vdwknw5rqxz6pwywfmg0uue9y6lol:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'size': 83, 'nrows': 2, 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_5b51e055eace5cb87208.table.json', 'sha256': '5b51e055eace5cb8720853685811b93cab061f3de6bd15ab05f3c2718ba5d4f5', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://i8ipepvv12wutjpwabsjyo2ybioai1v1jmu7w0axtix92g2rpt1vt2o3my5m6huftnvgl4a55jsyq5huox9vcubayzdvdd9pvsozu6o1rox7h3b3y8kjeeprfow70soo/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,1770751258.3446286,,,2318.299620091,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,0.9899813521518154,,,,,1770751258.3457897,,,2318.300619369,,0.9801614596531876,,,,,,,,,,4,,,1
,,,,,,,0.9810249307479224,,,1,,,,0.9904215898762497,,,,,,1770751258.3460257,,,2318.30097989,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://95o2n962d67yyz2sxjwwnpdtmgzdyj5gtp4lopk1nu6g5d62pdyrmyihzqr5lhofqtgjdbtyiypawsvdyjowbe17kba2a840f8k015vgodzkq1cusezdkehcu07i3mn8/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://29nbhkhgqpn38m6luchttyqzkwguksyx098l7adszns1cir176g9fy8sbvpv8z0ad48av0u7gq3t01j72s4qo06yjxcx3oouscjudyqgwd4yk27exnawi4hd04f3mhg6:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_d22a6ce3c095daa0ef0e.table.json', 'nrows': 2, 'sha256': 'd22a6ce3c095daa0ef0e889c13cd8efb1f56e713671686bc5c5032f0da93d036', 'ncols': 3, 'size': 83}",,,,1770751546.5298893,,,2606.484790568,,,,,,,,,,,,6,,,
,,0.990156976105968,,,,,,1,,,,,,,,,,,,1770751546.5309267,,,2606.485879776,,,,,,,,,,,,7,,0.9805058337560693,
,,,,,,,,,,,,,1,,,,,,,1770751546.5311444,,,2606.485940447,,,,,0.981360864745011,,,,,0.990592760972198,,8,,,
,,,,,,,,,,,,,,,,,,,"{'sha256': '1c20ec156d93d5d24be40c67d3c229f78813db0495723f135cb29b673d173315', 'path': 'media/table/fold3/confusion_matrix_9_1c20ec156d93d5d24be4.table.json', '_latest_artifact_path': 'wandb-client-artifact://z7s2pou8b95zhijm73jl4p4sdxpb4xgort0yoixqlnwvas9k111jife1pq12v8d0vzsaa89kapzdi6mr28t7gt7e80pumysfgwyikp9jo390by1aai30m18aeqq15uu1:latest/fold3/confusion_matrix.table.json', 'ncols': 3, 'nrows': 2, 'size': 83, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://cr6k3blstxvq8e2eyq4bexzri6kakchejmf6i1cchh6nsuzza969wp2rmfs4g0udivgn241fftgivk3rob0y7qtemgpu95j1ns0e8dyk89nct236aoea0qyur7ltjghs/fold3/confusion_matrix.table.json', '_type': 'table-file'}",1770751967.072846,,,3027.027754846,,,,,,,,,,,,9,,,
